Index,ID,User_ID,Friends_Count,Followers_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
1,1094742902109016065,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,7,4,2019-02-10 23:40:21,The plant-based burger battle is heating up as @ImpossibleFoods and @BeyondMeat roll out new versions of their meat… https://t.co/sVvLwoKnBT
2,1094736985435049984,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,3,5,2019-02-10 23:16:51,"Kathleen Fraser, poet and former @SFSU professor, dies at 83.

via @SFJKDineen: https://t.co/wwR4EjZQ0U"
3,1094735450097549312,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,0,1,2019-02-10 23:10:45,"Marco Estrada ready to be #Athletics next starter with a bounce-back season.

https://t.co/7UeqwfnctB"
4,1094735280475648012,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,1,1,2019-02-10 23:10:04,"Another Kristine Anigwe record; another Cal loss.

via @Rusty_SFChron: https://t.co/4kI5rqfCgC"
5,1094735237882490880,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,1,3,2019-02-10 23:09:54,Weekend snow sport enthusiasts hoping to head back to the Bay Area on Sunday night may be out of luck as whiteout c… https://t.co/6DcKAFCuNk
6,1094729696485535747,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,2,2019-02-10 22:47:53,"As Southern Baptist leaders reject reforms, sexual abuse continues to spread, which could have ramifications beyond… https://t.co/KshMnwvIuQ"
7,1094721046513627138,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,0,2,2019-02-10 22:13:31,"If you’re looking for the television equivalent of eye bleach — that is, an aggressively nice distraction from, and… https://t.co/XGozL0QTCp"
8,1094708126853550082,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,0,2,2019-02-10 21:22:10,"America had some glamorous musical moments in 1928, but perhaps the best thing to occur that year was the birth in… https://t.co/pFkx3TWHsR"
9,1094701719295049728,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,3,7,2019-02-10 20:56:43,"Alexander Hamilton himself was a numbers man. It’s fitting, then, that the musical about him would produce some sta… https://t.co/JfnEtOPDsi"
10,1094696354331398145,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,1,2,2019-02-10 20:35:24,"It’s not much of a surprise that @swmrs is aiming for arenas and stadiums with the release of its second album, “Be… https://t.co/4CZmshn39W"
11,1094690692574728192,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,6,2019-02-10 20:12:54,"Yes, it really hailed at Pebble Beach today. #ATTProAM https://t.co/CqfrG1rWsj https://t.co/JDrl2Vo2sP"
12,1094687791991132161,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,25,51,2019-02-10 20:01:22,An aerial shot of the Golden Gate Bridge and snow-dusted Marin Headlands remains one of the most iconic photos in C… https://t.co/n71QuqfI2p
13,1094681748649242625,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,22,58,2019-02-10 19:37:21,Mayor @LondonBreed is readying legislation to eliminate thousands of dollars in fees the city charges when 100 perc… https://t.co/HCijKj593h
14,1094676587998560259,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,1,4,2019-02-10 19:16:51,"If the #Raiders do wind up playing their final Bay Area season at the #SFGiants' newly rechristened Oracle Park, it… https://t.co/VYRxQzPx7G"
15,1094671450840145920,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,5,5,2019-02-10 18:56:26,An armed man who had fallen asleep in a Taco Bell drive-through line in Vallejo was fatally shot by police Saturday… https://t.co/ZOp3gJOL5Y
16,1094666150548508672,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,7,2019-02-10 18:35:22,"Jay Fulcher wants people to know that the Zenefits of 2019 isn’t the regulation-skirting, sex-in-the-stairwell type… https://t.co/yCYkSrRcE0"
17,1094660923602669570,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,5,2019-02-10 18:14:36,"Lawmakers of both parties, advocates and business and tech industry lobbies all say this session of Congress may be… https://t.co/BTaN15CsGr"
18,1094655428405932033,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,4,8,2019-02-10 17:52:46,Opinion via @sfc_opinions: If we want to nurture the vibrancy of urban life in Oakland and cities across the Bay Ar… https://t.co/7t5yN03aJ6
19,1094649672403206151,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,10,2019-02-10 17:29:54,"Opinion via @sfc_opinions: Over the past year, Oakland has inspired more great films than even movie-mad nations li… https://t.co/p8cC1ljiGl"
20,1094644251038810113,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,5,2019-02-10 17:08:21,Heading back to the Bay Area after a weekend in the snow? Whiteout conditions have closed main routes out of Lake T… https://t.co/OxSPXVVoZd
21,1094638945160314880,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,0,4,2019-02-10 16:47:16,"“It makes no sense.” 

SFMTA has taken out a block-long stretch of metered parking on Drumm Street to make way for… https://t.co/Xkuw61uZJc"
22,1094630998359322624,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,8,6,2019-02-10 16:15:41,"Beginning Monday, BART will start service at 5 a.m. on weekdays, an hour later than usual, to accommodate a crucial… https://t.co/2krnqN1BUq"
23,1094625389698273280,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,2,4,2019-02-10 15:53:24,"While bankruptcy will help PG&amp;E address its immediate financial challenges, it may do little to alleviate longer-te… https://t.co/sshtruDvJm"
24,1094615790723035136,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,1,11,2019-02-10 15:15:16,Today's front page: the stories San Francisco is talking about this morning. https://t.co/sgK7iFvtYo https://t.co/0nswu0CNNx
25,1094612460663988225,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,5,11,2019-02-10 15:02:02,"Three months after the election, Gov. @GavinNewsom is still running Facebook ads, calling on supporters to “join th… https://t.co/YEmU5fpICY"
26,1094596943710433282,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,3,10,2019-02-10 14:00:22,"For almost a year, @OtisRTaylorJr has been watching a fantastic trend brew at Oakland Tech’s protests in support of… https://t.co/LQE8t20RZs"
27,1094563410191282176,121597316,212,168531,2642,3048,101551,2010-03-10 00:44:07,4,6,2019-02-10 11:47:07,"Of California's 200 significant waterfalls, Feather Falls has the most dramatic viewing deck. Here's how to hike an… https://t.co/RjqTV0Df5o"
