Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,amnewyork,https://www.amny.com/news/ruben-diaz-homosexual-comments-1.27145946,2019-02-10T20:20:00-05:00,1,"Councilman Ruben Diaz Sr. is unapologetic after saying ""the Council is controlled by the homosexual community"" in an interview.       Photo Credit: Charles Eckert",Photo Credit: Charles Eckert
2,amnewyork,https://www.amny.com/entertainment/red-room-orchestra-1.27144241,2019-02-10T18:19:53-05:00,1,"Red Room Orchestra will be performing music from ""Twin Peaks"" and from Wes Anderson movies this weekend.       Photo Credit: Jakub Mosur Photography/Jakub Mosur",Photo Credit: Jakub Mosur Photography/Jakub Mosur
3,amnewyork,https://www.amny.com/news/elections/nyc-public-advocate-election-1.26984144,2019-02-26T08:20:00-05:00,1,"The NYC public advocate candidates are, top left to right, A. Manny Alicandro, Michael Blake, David Eisenbach, Rafael Espinal, Anthony Herbert and Ron Kim; middle left to right, Nomiki Konst, Melissa Mark-Viverito, Danny O'Donnell, Jared Rich, Ydanis Rodriguez and Dawn Smalls; and bottom left to right, Eric A. Ulrich, Jumaane Williams and Benjamin Yee. Helal Sheikh (not pictured) also is running.       Photo Credit: Composite image",Photo Credit: Composite image
4,amnewyork,https://www.amny.com/news/queens-neir-s-tavern-1.27139979,2019-02-11T08:50:16-05:00,4,"Neir's Tavern, Queens' oldest bar located at 87-48 78th St. in Woodhaven, has never changed locations in its 190-year history.       Photo Credit: Jeff Bachner",Photo Credit: Jeff Bachner
4,amnewyork,,,4,"Owner Loy Gordon, center, took over as owner of Neir's Tavern in 2009. Photo Credit: Jeff Bachner",Photo Credit: Jeff Bachner
4,amnewyork,,,4,The bar's almost 200-year history is sprawled across its walls in the form of photographs and relics. Photo Credit: Jeff Bachner,Photo Credit: Jeff Bachner
4,amnewyork,,,4,The Neir's 190 Committee is considering applying again for landmark status from the city. Photo Credit: Jeff Bachner,Photo Credit: Jeff Bachner
5,amnewyork,https://www.amny.com/eat-and-drink/valentines-chocolates-nyc-1.26720032,2019-02-04T10:00:00-05:00,7,Flour Shop will help you get your Sweetheart fix this Valentine's Day with its $100 Midi Explosion Cakes.       Photo Credit: The Flour Shop,Photo Credit: The Flour Shop
5,amnewyork,,,7,"JoMart Chocolates is offering a chocolate high-heeled shoe, filled with sweets, this Valentine's Day. Photo Credit: JoMart Chocolates",Photo Credit: JoMart Chocolates
5,amnewyork,,,7,Tache Artisan Chocolates is offering CBD-infused chocolate truffles. Photo Credit: Tache Artisan Chocolates,Photo Credit: Tache Artisan Chocolates
5,amnewyork,,,7,"Jacques Torres locations are offering Be Still My Heart, a lace heart box filled with red chocolate-coated hazelnuts, and the Chocolate Violin, a milky rich instrument filled with signature bonbons, this Valentine's Day. Photo Credit: Jacques Torres",Photo Credit: Jacques Torres
5,amnewyork,,,7,Stick With Me is offering a Valentine's Day box for $98. Photo Credit: Evan Sung,Photo Credit: Evan Sung
5,amnewyork,,,7,Valentine's Day cake balls are available for order at Flour Shop. Photo Credit: Flour Shop,Photo Credit: Flour Shop
5,amnewyork,,,7,"Oddfellows Ice Cream Co. is teaming up with Nomikai, a new canned wine and cocktail brand, to create a Valentines Day boozy ice cream float for two. Photo Credit: Oddfellows Ice Cream Co.",Photo Credit: Oddfellows Ice Cream Co.
6,amnewyork,https://www.amny.com/things-to-do/westminster-dog-show-1.27138578,2019-02-10T13:19:00-05:00,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
6,amnewyork,,,10,Photo Credit: Debbie Egan-Chin,Photo Credit: Debbie Egan-Chin
7,amnewyork,https://www.amny.com/eat-and-drink/new-restaurants-nyc-1.27135718,2019-02-10T11:59:00-05:00,2,Find charred octopus on the menu at The Meatpackers.       Photo Credit: Sam Morris PR,Photo Credit: Sam Morris PR
7,amnewyork,,,2,Wagamama's new Murray Hill location is exclusively serving this hot katsu curry for a limited time. Photo Credit: Danielle Adams,Photo Credit: Danielle Adams
8,amnewyork,https://www.amny.com/news/bronx-girl-dies-in-fall-1.27134045,2019-02-10T11:16:07-05:00,1,"A four-year-old fell out of a fourth-floor window to her death on Saturday, police said.       Photo Credit: Theodore Parisienne",Photo Credit: Theodore Parisienne
9,amnewyork,https://www.amny.com/entertainment/grammy-award-predictions-1.27014438,2019-02-07T18:21:54-05:00,5,"Childish Gambino deserves to win the Grammy for album of the year for ""This is America.""       Photo Credit: Getty Images for iHeartMedia/Kevin Winter",Photo Credit: Getty Images for iHeartMedia/Kevin Winter
9,amnewyork,,,5,"Janelle Monáe's ""Dirty Computer"" is worthy of winning the Grammy for album of the year. Photo Credit: Getty Images for Global Citizen/Theo Wargo",Photo Credit: Getty Images for Global Citizen/Theo Wargo
9,amnewyork,,,5,"Kendrick Lamar's ""All the Stars"" should win the Grammy for song of the year. Photo Credit: Getty Images for NARAS/Kevin Winter",Photo Credit: Getty Images for NARAS/Kevin Winter
9,amnewyork,,,5,Jorja Smith stands out in a crowded field of candidates for the Grammy for best new artist. Photo Credit: Getty Images for Coachella/Rich Fury,Photo Credit: Getty Images for Coachella/Rich Fury
9,amnewyork,,,5,"Childish Gambino's ""This is America"" is a shoo-in for the Grammy for best music video. Photo Credit: Getty Images for Diamond Ball/Dimitrios Kambouris",Photo Credit: Getty Images for Diamond Ball/Dimitrios Kambouris
10,amnewyork,https://www.amny.com/entertainment/the-zoo-animal-planet-1.27024878,2019-02-07T19:00:50-05:00,2,"Season three of ""The Zoo,"" which provides a glimpse of life behind the scenes at the Bronx Zoo, premieres Feb. 10 on Animal Planet.       Photo Credit: Julie Larsen Maher/WCS",Photo Credit: Julie Larsen Maher/WCS
10,amnewyork,,,2,"""The Zoo"" shows how the Bronx Zoo cares for its animals, including this Nile crocodile Photo Credit: Julie Larsen Maher/WCS",Photo Credit: Julie Larsen Maher/WCS
11,amnewyork,https://www.amny.com/eat-and-drink/affordable-valentine-s-dinners-1.26332000,2019-02-12T12:34:00-05:00,4,Valentine's Day dinners don't have to cost hundreds of dollars -- Astoria's DiWine wine bar is offering dinner for $65 per person with two themed cocktails like the Glitter Valentine.       Photo Credit: DiWine,Photo Credit: DiWine
11,amnewyork,,,4,Baar Baar offers a warm and inviting dining experience. Photo Credit: Noah Fecks,Photo Credit: Noah Fecks
11,amnewyork,,,4,"Hortus in NoMad is offering a free glass of champagne to each guest and a menu that includes Special Asian Black Truffle Noodle, grilled beef with galbi sauce and more. Photo Credit: Hortus",Photo Credit: Hortus
11,amnewyork,,,4,Morton's is offering a special dish that includes steak and lobster for $65. Photo Credit: Ralph Smith Studio,Photo Credit: Ralph Smith Studio
12,amnewyork,https://www.amny.com/entertainment/adeline-singer-brooklyn-1.27020273,2019-02-07T16:25:52-05:00,1,Singer and bassist Adeline says disco never died.        Photo Credit: Shervin Lainez,Photo Credit: Shervin Lainez
13,amnewyork,https://www.amny.com/eat-and-drink/winter-produce-nyc-1.26982227,2019-02-06T16:32:08-05:00,4,Farmer Carolyn Paulik from Windfall Farms tosses microgreens at the Union Square Greenmarket.       Photo Credit: Claire Leaden,Photo Credit: Claire Leaden
13,amnewyork,,,4,"Lani's Farm uses a ""veggie bus"" to transport and keep vegetables at proper temperatures. Photo Credit: Claire Leaden",Photo Credit: Claire Leaden
13,amnewyork,,,4,Wilmier Tavarez picks out sweet potatoes for Gramercy Tavern. Photo Credit: Claire Leaden,Photo Credit: Claire Leaden
13,amnewyork,,,4,The Union Square Greenmarket offers a variety of root vegetables in the winter months. Photo Credit: Claire Leaden,Photo Credit: Claire Leaden
14,amnewyork,https://www.amny.com/things-to-do/nyc-winter-outing-deals-1.24538422,2019-01-09T12:34:00-05:00,4,"It may be cold outside but these deals on Broadway tickets, attractions and dining in the city are too good to pass up.       Photo Credit: Julienne Schaer",Photo Credit: Julienne Schaer
14,amnewyork,,,4,"""King Kong"" will be offering two-for-one tickets for three weeks. Photo Credit: Matthew Murphy",Photo Credit: Matthew Murphy
14,amnewyork,,,4,The two-for-one deal gives New Yorkers license to be a tourist in their own city this January and February. Photo Credit: The Ride LLC,Photo Credit: The Ride LLC
14,amnewyork,,,4,Leuca is one of nearly 400 restaurants offering prix-fixe meals during NYC Winter Outing. Photo Credit: Noah Fecks,Photo Credit: Noah Fecks
15,amnewyork,https://www.amny.com/transit/mta-weekend-service-changes-what-to-know-before-riding-the-subway-1.11488948,2019-02-22T12:51:00-05:00,1,Subway service changes are bound to impact your weekend commutes.       Photo Credit: Craig Ruttle,Photo Credit: Craig Ruttle
16,amnewyork,https://www.amny.com/news/little-pakistan-brooklyn-1.27071999,2019-02-08T17:28:35-05:00,1,"Councilman Jumaane Williams holds up a replica of the new street sign during a ceremony to rename the ""Little Pakistan"" stretch of Coney Island Avenue to Muhammad Ali Jinnah Way, on Friday, Feb. 8.       Photo Credit: Jeff Bachner",Photo Credit: Jeff Bachner
17,amnewyork,https://www.amny.com/things-to-do/westminster-dog-show-1.26944987,2019-02-05T16:04:00-05:00,2,"Westminster Kennel Club Dog Show's 2018 Best in Show winner Flynn, a Bichon Frise, poses for photos.       Photo Credit: Getty Images/Drew Angerer",Photo Credit: Getty Images/Drew Angerer
17,amnewyork,,,2,NA,NA
