Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,dallasnews,https://www.dallasnews.com/news/courts/2019/02/10/plano-man-gets-13-years-promising-undercover-cop-50-sex-13-year-old-daughter,2019-02-10T17:15:00-06:00,0,NA,NA
3,dallasnews,https://sportsday.dallasnews.com/college-sports/collegesports/2019/02/05/look-inside-millions-dollars-universities-texas-spending-find-elite-recruiting-classes?utm_content=buffer22e41&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-09T22:00CST,1,"Ashley Landis/Staff Photographer                
Texas Longhorns head coach Tom Herman waits in the tunnel with his team before a college football game between Baylor and the University of Texas on Saturday, October 13, 2018 at Darrell K Royal Memorial Stadium in Austin, Texas.  (Ashley Landis/The Dallas Morning News)",Ashley Landis/Staff Photographer
4,dallasnews,https://www.dallasnews.com/business/small-business/2019/02/07/regional-sba-exceeding-goals-clearing-loan-backlog-created-shutdown?utm_content=buffer114db&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-07T16:18:00-06:00,1,"SBA Regional Administrator Justin Crossie 

                        (SBA)",(SBA)
5,dallasnews,https://www.dallasnews.com/news/crime/2019/02/10/man-suspected-opening-fire-ex-girlfriend-fort-worth-parking-lot?utm_content=buffer53afe&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T14:14:00-06:00,0,NA,NA
6,dallasnews,https://www.dallasnews.com/arts/theater/2019/02/05/smu-art-history-class-launched-jonathan-nortons-career-dallas-playwright?utm_content=bufferb09d9&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-05T11:00:00-06:00,4,"Dallas playwright Jonathan Norton (left) and director Derrick Sanders pose for a portrait in October 2017 at Dallas Theater Center at the Wyly Theatre in downtown Dallas. The DTC commissioned a play called Penny Candy, written by Norton and directed by Sanders.                     

                        (Ashley Landis/Staff Photographer)",(Ashley Landis/Staff Photographer)
6,dallasnews,,,4,"Playwright Jonathan Norton (left) and director Derrick Sanders (right) work with Kenneisha Thompson, who plays Willie Pearl Mackey, during a  rehearsal for the play The 67th Book of the Bible at the Dallas Institute of Humanities and Culture in January 2015. The work by Norton is an original play about the story behind the Rev. Martin Luther King Jr.'s ""Letter from a Birmingham Jail.""                    

                        (Smiley N. Pool/Staff Photographer)",(Smiley N. Pool/Staff Photographer)
6,dallasnews,,,4,"Tyrees Allen and Calvin Gabriel perform a scene from Mississippi Goddamn during rehearsal at the South Dallas Cultural Center in February 2015.                    

                        (Rex C. Curry/Special Contributor)",(Rex C. Curry/Special Contributor)
6,dallasnews,,,4,"Playwright Jonathan Norton photographed in January 2019 at the McFarlin Auditorium on the SMU campus in Dallas.                    

                        (Allison V. Smith)",(Allison V. Smith)
7,dallasnews,https://www.dallasnews.com/arts/classical-music/2019/02/10/dallas-verdigris-ensemble-redefines-choral-music-show-inspired-radio-earhart-mystery?utm_content=buffere349f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T10:37:00-06:00,2,"Aviator Amelia Earhart in 1937 at Burbank Airport in Burbank, Calif.                     

                        (Albert Bresnik/The Associated Press)",(Albert Bresnik/The Associated Press)
7,dallasnews,,,2,"Conductor Sam Brukhman leads Verdigris Ensemble as it performs Betty's Notebook at Royal Lane Baptist Church in Dallas on Saturday, Feb. 9, 2019.                     

                        (Daniel Carde/Staff Photographer)",(Daniel Carde/Staff Photographer)
8,dallasnews,https://www.dallasnews.com/news/courts/2019/02/10/fort-worth-mom-sentenced-2-years-jail-after-boyfriend-beats-toddler-death?utm_content=bufferbbb4d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T12:49:00-06:00,1,"Jessica Nicole Langlais                    

                        (Tarrant County Sheriff's Office)",(Tarrant County Sheriff's Office)
9,dallasnews,https://www.dallasnews.com/opinion/editorials/2019/02/10/texas-schools-are-not-meeting-the-needs-of-the-economy-and-that-has-to-change?utm_content=buffer8b14b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
10,dallasnews,https://www.dallasnews.com/business/airlines/2019/02/10/after-35-years-southwests-former-ticket-agent-gets-herwings?utm_content=buffer5cea1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T06:00:00-06:00,2,"Southwest Airlines flight attendants Shari Rood (left) and Linda Clark pose for a photo after Rood earned her wings at the Southwest Airlines Training and Operational Support building in Dallas. Clark, who has been friends with Rood since high school, gave Rood her wings. 

                        (Daniel Carde/Staff Photographer)",(Daniel Carde/Staff Photographer)
10,dallasnews,,,2,"Wings belonging to Shari Rood, Southwest Airlines flight attendant, after she earned them at the Southwest Airlines Training and Operational Support building in Dallas.                    

                        (Daniel Carde/Staff Photographer)",(Daniel Carde/Staff Photographer)
11,dallasnews,https://www.dallasnews.com/opinion/commentary/2019/02/10/make-public-school-finance-reform-top-priority?utm_content=bufferc1a82&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
12,dallasnews,https://www.dallasnews.com/opinion/commentary/2019/02/10/dallas-perfect-city-prep-school-helps-low-income-kids-pay-tuition?utm_content=buffer8f303&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
13,dallasnews,https://sportsday.dallasnews.com/dallas-cowboys/cowboys/2019/02/09/super-bowl-debunked-notion-dak-prescott-needs-run-cowboys-succeed?utm_content=buffer5483b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-09T12:58CST,1,"Tom Fox/Staff Photographer                
Dallas Cowboys quarterback Dak Prescott (4) takes off running before being sacked late in the second quarter by the Los Angeles Rams in their NFC Divisional Playoff game at Los Angeles Memorial Coliseum in Los Angeles, Saturday, January 12, 2019. (Tom Fox/The Dallas Morning News)",Tom Fox/Staff Photographer
14,dallasnews,https://www.dallasnews.com/news/crime/2019/02/10/dwi-suspect-bites-part-denton-officers-ear-police-say?utm_content=bufferff2cd&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T11:32:00-06:00,1,"Christopher Rogers                    

                        (Denton Police Department)",(Denton Police Department)
15,dallasnews,https://www.dallasnews.com/opinion/commentary/2019/02/10/heart-school-teachers-teachers-heart-school-finance-reform?utm_content=bufferad812&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
16,dallasnews,https://www.dallasnews.com/opinion/commentary/2019/02/10/like-roses-growing-concrete-impoverished-kids-can-blossom-right-education?utm_content=buffer1b2b9&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
17,dallasnews,https://www.dallasnews.com/opinion/commentary/2019/02/10/key-education-achievement-among-low-income-kids-setting-high-expectations?utm_content=buffer6b592&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
18,dallasnews,https://www.dallasnews.com/opinion/commentary/2019/02/10/texas-legislature-must-recognize-cost-benefit-high-quality-education?utm_content=buffer8270a&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T02:00:00-06:00,0,NA,NA
19,dallasnews,https://sportsday.dallasnews.com/dallas-stars/stars/2019/02/09/stars-favorable-playoff-picture-cant-always-mask-lurking-issue?f=r&utm_content=bufferd13e9&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-09T19:36CST,1,"Ross D. Franklin/AP                
Dallas Stars right wing Alexander Radulov (47) shoots the puck at Arizona Coyotes goaltender Darcy Kuemper (35) before it slips past for a goal as Stars center Tyler Seguin (91), Coyotes defenseman Oliver Ekman-Larsson (23) and Coyotes defenseman Niklas Hjalmarsson (4) looks on during the third period of an NHL hockey game Saturday, Feb. 9, 2019, in Glendale, Ariz. (AP Photo/Ross D. Franklin)",Ross D. Franklin/AP
21,dallasnews,https://www.dallasnews.com/news/dallas/2019/02/10/2-drivers-die-after-single-car-crashes-dallas-police-say?utm_content=buffercc07b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T09:38:00-06:00,0,NA,NA
22,dallasnews,https://www.dallasnews.com/news/immigration/2019/02/10/latest-cat-mouse-game-us-border-town-guatemala-buzzing?utm_content=bufferc4530&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2019-02-10T06:30:00-06:00,5,"Ana Matzutz, 32, has a debate with her son, Esduardo, 14, on January 27, 2019 about whether to leave for the United States where her husband and daughter live.                    

                        (Alfredo Corchado/Staff)",(Alfredo Corchado/Staff)
22,dallasnews,,,5,"U.S. Border Patrol agents check for footprints near a ""Normandy""-style border fence at the U.S.-Mexico border in Antelope Wells, N.M.                    

                        (John Moore/Getty Images)",(John Moore/Getty Images)
22,dallasnews,,,5,"A woman in traditional indigenous dress walks the streets of San Martin Jilotepeque, Guatemala. She confuses a visitor for a smuggler and asks him to leave her alone.                    

                        (Alfredo Corchado/Staff)",(Alfredo Corchado/Staff)
