Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,denverpost,https://www.denverpost.com/2019/02/10/boston-bruins-colorado-avalanche-overtime/?utm_content=tw-denverpost&utm_source=twitter.com&utm_medium=social&utm_campaign=socialflow,2019-02-10 16:23:33,7,"Colorado Avalanche's Matt Nieto (83) and Boston Bruins' Charlie McAvoy (73) collide sending them both to the ice during the second period of an NHL hockey game, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
1,denverpost,,,7,"Boston Bruins' Jaroslav Halak, of Slovakia (41) deflects an attempt on goal during the first period of an NHL hockey game against the Colorado Avalanche, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
1,denverpost,,,7,"Boston Bruins's David Pastrnak, of Czech Republic, (88) and Colorado Avalanche's J.T. Compher (37) skate past the puck during the first period of an NHL hockey game, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
1,denverpost,,,7,"Colorado Avalanche's Nathan MacKinnon (29), left, shoots the puck into the net past Boston Bruins' Jaroslav Halak, of Slovakia (41) to score as Bruins' Brad Marchand (63) and Zdeno Chara, of Slovakia, top right, look on during the first period of an NHL hockey game, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
1,denverpost,,,7,"Colorado Avalanche's Mikko Rantanen, of Finland (96) and Boston Bruins' Charlie McAvoy (73) vie for control of the puck during the first period of an NHL hockey game, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
1,denverpost,,,7,"Boston Bruins' Brad Marchand (63) and Colorado Avalanche's Tyson Barrie (4) collide during the first period of an NHL hockey game, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
1,denverpost,,,7,"Boston Bruins' John Moore, left,  crashes into Colorado Avalanche's J.T. Compher, right, during the first period of an NHL hockey game, Sunday, Feb. 10, 2019, in Boston.","Steven Senne, The Associated Press"
2,denverpost,https://www.denverpost.com/2019/02/10/sunday-feb-10-2019-letters-colorado-climate-dps-strike-electoral-college-health-insurance-tax/?utm_campaign=socialflow&utm_medium=social&utm_content=tw-denverpost&utm_source=twitter.com,2019-02-10 11:55:13,1,"
						RJ Matson, CQ Roll Call		",NA
3,denverpost,https://www.denverpost.com/2019/02/10/saturday-feb-9-2019-letters-dia-sign-health-care-equifax-data-breach/?utm_source=twitter.com&utm_content=tw-denverpost&utm_medium=social&utm_campaign=socialflow,2019-02-10 11:43:53,1,"
						Dave Whamond, PoliticalCartoons.com		",NA
4,denverpost,https://www.denverpost.com/2019/02/10/yampa-valley-airport-atlantic-aviation/?utm_medium=social&utm_campaign=socialflow&utm_source=twitter.com&utm_content=tw-denverpost,2019-02-10 14:25:04,0,NA,NA
5,denverpost,https://www.denverpost.com/2019/02/10/michael-bennet-presidential-campaign-colorado/?utm_source=twitter.com&utm_campaign=socialflow&utm_content=tw-denverpost&utm_medium=social,2019-02-10 14:09:02,1,"
Justin Edmonds, Special to the Denver Post
						U.S. Sen. Michael Bennet (D-CO) waves to the crowd after speaking during the Democratic State Assembly at 1STBANK Center on April 14, 2018 in Broomfield.		","Justin Edmonds, Special to the Denver Post"
