Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,washingtonpost,https://www.washingtonpost.com/local/virginia-politics/virginia-democrats-weigh-impeachment-of-lt-gov-justin-fairfax-over-sexual-assault-allegations/2019/02/10/b8933a48-2d64-11e9-8ad3-9a5b113ecd3c_story.html?utm_term=.c7711c42a70c&tid=sm_tw,2019-02-11T08:58-500,0,NA,NA
2,washingtonpost,https://www.washingtonpost.com/sports/2019/02/10/everyone-walks-eggshells-around-nfl-bob-costas-what-cost-him-super-bowl-lii/?utm_term=.f466ff5e2f13&tid=sm_tw,2019-02-10T12:49-500,0,NA,NA
3,washingtonpost,https://www.washingtonpost.com/local/obituaries/walter-jones-freedom-fries-congressman-who-became-iraq-war-critic-dies-at-76/2019/02/10/39aa38b6-232e-11e9-ad53-824486280311_story.html?tid=sm_tw,2019-02-10T06:09-500,3,Rep. Walter B. Jones ,(R-N.C.) in 2017. (Andrew Harnik/AP)
3,washingtonpost,,,3,Rep. Jones replacing a sign for “french fries” with a signing promoting “freedom fries” during a news conference in 2003. ,(Lisa Nipp/AP)
3,washingtonpost,,,3,Rep. Jones speaks during a 2017 news conference outside the U.S. Capitol in opposition to the involvement of U.S. military forces in Syria. ,(Win McNamee/Getty Images)
4,washingtonpost,https://www.washingtonpost.com/world/united-states-and-south-korea-reach-stopgap-deal-on-troop-cost-sharing/2019/02/10/c086bafa-2cb4-11e9-906e-9d55b6451eb4_story.html?utm_term=.5c79125c6969&tid=sm_tw,2019-02-10T03:37-500,0,NA,NA
5,washingtonpost,https://www.washingtonpost.com/local/virginia-politics/democrats-looking-for-a-clear-path-forward-from-va-scandals/2019/02/10/642781ba-2bbd-11e9-b011-d8500644dc98_story.html?utm_term=.f2c487f8f22e&tid=sm_tw,2019-02-10T07:58-500,0,NA,NA
6,washingtonpost,https://www.washingtonpost.com/religion/2019/02/10/pure-evil-southern-baptist-leaders-condemn-decades-sexual-abuse-revealed-investigation/?tid=sm_tw,2019-02-10T06:18-500,1,The Southern Baptist Convention’s Nashville headquarters. ,(Mark Humphrey/AP)
7,washingtonpost,https://www.washingtonpost.com/health/2019/02/10/unvaccinated-teens-are-fact-checking-their-parents-trying-get-shots-their-own/?utm_term=.d2596c1eb9a7&tid=sm_tw,2019-02-11T12:30-500,1,Ethan Lindenberge,NA
8,washingtonpost,https://www.washingtonpost.com/world/national-security/house-intelligence-chairman-voices-concern-that-muellers-scrutiny-of-trumps-finances-isnt-adequate/2019/02/10/267de566-2d5c-11e9-8ad3-9a5b113ecd3c_story.html?utm_term=.b6fae3af224e&tid=sm_tw,2019-02-10T02:26-500,1,House Intelligence Committee Chairman Adam B. Schiff at the Capitol on Wednesday. ,(J. Scott Applewhite/AP)
9,washingtonpost,https://www.washingtonpost.com/news/voraciously/wp/2019/02/10/no-constant-stirring-no-dairy-this-double-mushroom-risotto-defies-conventional-wisdom/?utm_term=.a35b7988a6c6&tid=sm_tw,2019-02-10T10:00-500,1,NA,(Tom McCorkle for The Washington Post; food styling by Lisa Cherkasky for The Washington Post)
10,washingtonpost,https://www.washingtonpost.com/arts-entertainment/2019/02/10/attorney-claims-national-enquirer-threat-publish-bezos-photos-was-journalism-not-blackmail/?utm_term=.54cb63e887c3&tid=sm_tw,2019-02-10T02:52-500,0,NA,NA
11,washingtonpost,https://www.washingtonpost.com/arts-entertainment/2019/02/10/snl-only-wants-talk-about-jeff-bezos-its-cold-open/?utm_term=.0b69fb2da346&tid=sm_tw,2019-02-10T02:48-500,0,NA,NA
12,washingtonpost,https://www.washingtonpost.com/arts-entertainment/2019/02/10/snl-confronts-virginias-blackface-scandal-it-was-never-funny-or-cool/?utm_term=.242a7a8629ab&tid=sm_tw,2019-02-10T06:00-500,0,NA,NA
13,washingtonpost,https://www.washingtonpost.com/world/after-years-of-silence-turkey-rebukes-china-for-mass-detention-of-muslim-uighurs/2019/02/10/011c7dd6-2d44-11e9-ac6c-14eea99d5e24_story.html?utm_term=.04127b2e2860&tid=sm_tw,2019-02-10T12:59-500,1,People rally last week to urge the State Department to fight for the freedom of the Muslim Uighur population held in Chinese detention centers. ,(Timothy A. Clary/AFP/Getty Images)
14,washingtonpost,https://www.washingtonpost.com/arts-entertainment/2019/02/10/snl-confronts-virginias-blackface-scandal-it-was-never-funny-or-cool/?utm_term=.242a7a8629ab&tid=sm_tw,2019-02-10T06:00-500,0,NA,NA
15,washingtonpost,https://www.washingtonpost.com/politics/sen-amy-klobuchar-touting-herself-as-a-bridge-builder-announces-her-democratic-presidential-bid/2019/02/10/4d9c39de-152b-11e9-803c-4ef28312c8b9_story.html,2019-02-10T07:21-500,0,NA,NA
