Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,USATODAY,https://www.usatoday.com/story/life/music/2019/02/10/grammys-2019-winners-list/2813536002/,"Published 3:36 p.m. ET Feb. 10, 2019 | Updated 11:56 p.m. ET Feb. 10, 2019",3,"Lady Gaga accepts the Grammy Award for best pop duo/group performance for ""Shallow."" (Photo: Robert Hanashiro, USA TODAY)","(Photo: Robert Hanashiro, USA TODAY)"
1,USATODAY,,,3,"Shaggy accepts the award for Best Reggae Album. (Photo: Robert Hanashiro, USA TODAY)","(Photo: Robert Hanashiro, USA TODAY)"
1,USATODAY,,,3,"Buddy Guy accepts the award for Best Traditional Blues Album for ""The Blues is Alive and Well."" (Photo: ROBERT HANASHIRO, USA TODAY)","(Photo: ROBERT HANASHIRO, USA TODAY)"
2,USATODAY,https://www.usatoday.com/story/news/education/2019/02/10/dps-denver-public-schools-teacher-strike-dcta-school-closing/2812038002/,"Published 5:00 p.m. ET Feb. 10, 2019 | Updated 7:56 p.m. ET Feb. 11, 2019",1,"Ryan Marini and his dog Ollie walk a picket line outside South High School in Denver where he is a teacher. This strike is the first for teachers in Colorado in 25 years. (Photo11: David Zalubowski, AP)","(Photo11: David Zalubowski, AP)"
3,USATODAY,https://www.usatoday.com/story/life/music/2019/02/10/grammys-2019-news-updates-winners/2828473002/,"Published 3:45 p.m. ET Feb. 10, 2019 | Updated 2:02 a.m. ET Feb. 11, 2019",10,Dua Lipa accepts the award for best new artist. (Photo: ROBERT HANASHIRO/USA TODAY),(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"Cardi B accepts the award for best rap album for ""Invasion of Privacy"" with husband Offset joining her onstage. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"H.E.R. performs ""Hard Place"" during the 61st Grammy Awards. She also won best R&B album. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"Lady Gaga performs ""Shallow"" with Mark Ronson on acoustic guitar. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"Surprise! Drake shows up to accept best rap song at the Grammys for ""God's Plan."" But his speech got cut off. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"Alicia Keys performs a “Songs I Wish I’d Written"" medley at the Grammys. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
