Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,startribune,http://video.startribune.com/overnight-forecast-snow-stays-away-for-a-bit/505638532/,"February 10, 2019 — 11:07pm",0,NA,NA
9,startribune,http://www.startribune.com/looking-back-at-minnesotas-past-presidential-candidates-success-klobuchar-pawlenty-bachmann-mondale-humphrey-mccarthy/502089941/,"February 10, 2019",0,NA,NA
12,startribune,http://www.startribune.com/live-stream-amy-klobuchar-announcement-speech/505609561/,"February 10, 2019 — 2:57pm",0,NA,NA
13,startribune,http://www.startribune.com/live-stream-amy-klobuchar-announcement-speech/505609561/,"February 10, 2019 — 2:57pm",0,NA,NA
15,startribune,http://www.startribune.com/5-snowmobile-crashes-since-friday-in-wisconsin-kill-5-people/505638002/,"February 10, 2019 — 12:40pm",0,NA,NA
19,startribune,http://www.startribune.com/can-a-family-vacation-without-a-rental-car/505208412/,"February 9, 2019 — 4:53pm",0,NA,NA
50,startribune,http://www.startribune.com/the-possible-2020-democratic-presidential-field/505036972/,"February 19, 2019 — 6:05am",0,NA,NA
54,startribune,http://www.startribune.com/horse-in-basement-of-inver-grove-heights-home-spurs-police-to-action/505614352/,"February 9, 2019 — 6:47pm",0,NA,NA
57,startribune,http://www.startribune.com/can-a-family-vacation-without-a-rental-car/505208412/,"February 9, 2019 — 4:53pm",0,NA,NA
59,startribune,http://www.startribune.com/two-found-guilty-in-major-minnesota-medicaid-fraud-case/505596752/,"February 9, 2019 — 4:10pm",0,NA,NA
71,startribune,http://www.startribune.com/horse-in-basement-of-inver-grove-heights-home-spurs-police-to-action/505614352/,"February 9, 2019 — 6:47pm",0,NA,NA
73,startribune,http://www.startribune.com/rescue-of-schnauzer-lost-in-below-freezing-temps-has-surprise-twist/505582321/,"February 8, 2019 — 4:55pm",0,NA,NA
89,startribune,http://www.startribune.com/two-found-guilty-in-major-minnesota-medicaid-fraud-case/505596752/,"February 9, 2019 — 4:10pm",0,NA,NA
93,startribune,http://www.startribune.com/rescue-of-schnauzer-lost-in-below-freezing-temps-has-surprise-twist/505582321/,"February 8, 2019 — 4:55pm",0,NA,NA
96,startribune,http://www.startribune.com/top-us-envoy-returns-to-s-korea-after-pyongyang-visit/505551902/,"February 8, 2019 — 9:00pm",0,NA,NA
98,startribune,http://www.startribune.com/fatal-crash-reported-on-icy-hwy-61-in-wabasha-county/505592762/,"February 8, 2019 — 8:52pm",0,NA,NA
104,startribune,http://www.startribune.com/feb-27-is-new-tentative-date-for-acquiring-bwca-permits/505572932/,"February 8, 2019 — 5:16pm",0,NA,NA
111,startribune,http://www.startribune.com/rescue-of-schnauzer-lost-in-below-freezing-temps-has-surprise-twist/505582321/,"February 8, 2019 — 4:55pm",0,NA,NA
112,startribune,http://www.startribune.com/infant-shot-while-sitting-in-car-parked-along-chicago-street/505558222/,"February 8, 2019 — 4:45pm",0,NA,NA
124,startribune,http://www.startribune.com/gophers-ask-big-ten-for-clarification-on-questionable-play-in-the-wisconsin-game/505573402/,"February 8, 2019 — 1:42pm",0,NA,NA
125,startribune,http://www.startribune.com/feb-27-is-new-tentative-date-for-acquiring-bwca-permits/505572932/,"February 8, 2019 — 5:16pm",0,NA,NA
128,startribune,http://www.startribune.com/kevin-garnett-wants-to-light-fire-under-andrew-wiggins-tells-him-hes-mad-at-him/505566872/,"February 8, 2019 — 11:21am",0,NA,NA
132,startribune,http://www.startribune.com/weekend-warehouse-sales-range-from-frozen-fish-to-furniture/505518112/,"February 8, 2019 — 9:26am",0,NA,NA
133,startribune,http://www.startribune.com/burger-friday-edina-s-first-taproom-has-a-first-rate-cheeseburger/505530362/,"February 8, 2019 — 12:34pm",0,NA,NA
138,startribune,http://www.startribune.com/this-is-us-star-sterling-k-brown-reflects-back-on-his-secret-session-with-guthrie-students/505557502/,"February 8, 2019 — 8:12am",0,NA,NA
139,startribune,http://www.startribune.com/first-look-at-finland-s-basic-income-trial-no-major-changes/505551222/,"February 8, 2019 — 10:25am",0,NA,NA
142,startribune,http://www.startribune.com/body-identified-as-missing-milwaukee-teacher/505552892/,"February 8, 2019 — 10:51am",0,NA,NA
143,startribune,http://www.startribune.com/siberian-slap-dangerous-wind-chills-today-some-moderation-next-week/505523932/,"February 7, 2019 — 7:35pm",0,NA,NA
167,startribune,http://www.startribune.com/bankruptcy-judge-gives-sears-another-chance/505521362/,"February 8, 2019 — 2:45pm",0,NA,NA
186,startribune,http://www.startribune.com/how-icy-is-it-watch-minnesotan-expertly-shovel-driveway-on-hockey-skates/505506781/,"February 7, 2019 — 6:41pm",0,NA,NA
187,startribune,http://www.startribune.com/families-values-tattoo-helps-identify-man-accused-in-rape/505506572/,"February 7, 2019 — 12:10pm",0,NA,NA
188,startribune,http://www.startribune.com/michael-b-jordan-warner-bros-buy-movie-rights-to-marlon-james-new-book/505506452/,"February 7, 2019 — 11:43am",0,NA,NA
191,startribune,http://www.startribune.com/alaska-tops-list-of-most-reports-of-snowmobile-thefts/505489822/,"February 7, 2019 — 9:20am",0,NA,NA
197,startribune,http://www.startribune.com/another-plowable-snowfall-likely-today/505411882/,"February 6, 2019 — 8:01pm",0,NA,NA
201,startribune,http://www.startribune.com/two-die-in-minnesota-crashes-including-one-where-car-hit-snowplow-and-got-caught-in-blade/505484762/,"February 7, 2019 — 5:42pm",0,NA,NA
204,startribune,http://www.startribune.com/little-canada-lands-new-bix-produce-headquarters-with-190k-incentive-package/505483182/,"February 6, 2019 — 11:17pm",0,NA,NA
205,startribune,http://www.startribune.com/controlled-burns-will-fight-buckthorn-at-battle-creek-regional-park/505482192/,"February 6, 2019 — 8:43pm",0,NA,NA
219,startribune,http://www.startribune.com/2-people-found-dead-in-home-near-bemidji-people-of-interest-questioned/505463642/,"February 6, 2019 — 9:32pm",0,NA,NA
235,startribune,http://www.startribune.com/financial-watchdog-proposes-rollback-of-payday-lending-rules/505422652/,"February 6, 2019 — 4:20pm",0,NA,NA
240,startribune,http://www.startribune.com/livestream-at-11-a-m-jake-patterson-hearing-in-barron-wis/505417031/,"February 6, 2019 — 10:55am",0,NA,NA
243,startribune,http://www.startribune.com/the-latest-michael-cohen-testimony-to-house-panel-postponed/505415172/,"February 6, 2019 — 10:35am",0,NA,NA
248,startribune,http://www.startribune.com/body-found-in-car-belonging-to-missing-milwaukee-teacher/505407282/,"February 6, 2019 — 6:18am",0,NA,NA
249,startribune,http://www.startribune.com/shovel-worthy-another-4-7-expected-tonight-into-thursday/505384212/,"February 5, 2019 — 9:53pm",0,NA,NA
254,startribune,http://www.startribune.com/new-to-politics-infinite-campus-ceo-is-big-donor-for-walz-klobuchar/505390322/,"February 5, 2019 — 7:24pm",0,NA,NA
256,startribune,http://www.startribune.com/prince-celebration-2019-to-feature-jesse-johnson-manager-bob-cavallo-and-live-video-concert/505394312/,"February 5, 2019 — 9:20pm",0,NA,NA
259,startribune,http://www.startribune.com/trump-to-call-for-unity-face-skepticism-in-state-of-union/505346242/,"February 6, 2019 — 11:57am",0,NA,NA
264,startribune,http://www.startribune.com/trump-to-call-for-unity-face-skepticism-in-state-of-union/505346242/,"February 6, 2019 — 11:57am",0,NA,NA
