Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
39,usatoday,https://www.usatoday.com/story/news/politics/2019/02/09/trump-appears-mock-warren-campaign-trail-tears-reference/2826768002/,"Published 8:03 p.m. ET Feb. 9, 2019 | Updated 11:18 a.m. ET Feb. 10, 2019",0,NA,NA
44,usatoday,https://www.usatoday.com/story/news/nation/2019/02/09/mumps-cases-confirmed-ice-facility-houston-texas/2823730002/,"Published 4:29 p.m. ET Feb. 9, 2019 | Updated 4:31 p.m. ET Feb. 9, 2019",0,NA,NA
106,usatoday,https://www.usatoday.com/story/news/nation/2019/02/08/robbers-clown-masks-had-machetes-she-had-scooter-texas-cops-say/2814363002/,"Published 3:49 p.m. ET Feb. 8, 2019
        ",0,NA,NA
107,usatoday,https://www.usatoday.com/story/news/politics/2019/02/08/matthew-whitaker-6-heated-moments-his-testimony-before-congress/2815185002/,"Published 5:02 p.m. ET Feb. 8, 2019 | Updated 5:02 p.m. ET Feb. 8, 2019",0,NA,NA
114,usatoday,https://www.usatoday.com/story/money/2019/02/08/wells-fargo-outage-customers-report-issues-paychecks-deposits/2810562002/,"Published 9:50 a.m. ET Feb. 8, 2019 | Updated 1:11 p.m. ET Feb. 10, 2019",0,NA,NA
128,usatoday,https://www.usatoday.com/story/money/2019/02/08/wells-fargo-outage-customers-report-issues-paychecks-deposits/2810562002/,"Published 9:50 a.m. ET Feb. 8, 2019 | Updated 1:11 p.m. ET Feb. 10, 2019",0,NA,NA
136,usatoday,https://www.usatoday.com/story/sports/soccer/2019/02/08/fire-brazilian-soccer-team-complex-10-dead/2810483002/,"Published 7:21 a.m. ET Feb. 8, 2019 | Updated 7:26 a.m. ET Feb. 8, 2019",0,NA,NA
152,usatoday,https://www.usatoday.com/story/news/nation/2019/02/07/cat-found-frozen-snow-survives-help-montana-vet/2808321002/,"Published 11:13 p.m. ET Feb. 7, 2019
        ",0,NA,NA
158,usatoday,https://www.usatoday.com/story/news/2019/02/07/pope-reveals-nun-abuse-but-u-s-activists-say-problem-isnt-new/2804109002/,"Published 4:30 p.m. ET Feb. 7, 2019 | Updated 12:52 a.m. ET Feb. 8, 2019",0,NA,NA
169,usatoday,https://www.usatoday.com/story/news/2019/02/07/pope-reveals-nun-abuse-but-u-s-activists-say-problem-isnt-new/2804109002/,"Published 4:30 p.m. ET Feb. 7, 2019 | Updated 12:52 a.m. ET Feb. 8, 2019",0,NA,NA
173,usatoday,https://www.usatoday.com/story/news/politics/2019/02/07/supreme-court-blocks-abortion-restrictions-over-conservatives-dissent/2767658002/,"Published 9:34 p.m. ET Feb. 7, 2019 | Updated 12:59 p.m. ET Feb. 8, 2019",0,NA,NA
177,usatoday,https://www.usatoday.com/story/tech/talkingtech/2019/02/07/apple-releases-software-update-iphones-ipads-fix-group-facetime-bug/2767415002/,"Published 1:21 p.m. ET Feb. 7, 2019 | Updated 6:36 p.m. ET Feb. 7, 2019",0,NA,NA
193,usatoday,https://www.usatoday.com/story/news/politics/2019/02/07/trump-national-prayer-breakfast/2799508002/,"Published 10:38 a.m. ET Feb. 7, 2019 | Updated 12:24 p.m. ET Feb. 7, 2019",0,NA,NA
212,usatoday,https://www.usatoday.com/story/news/politics/2019/02/07/watch-live-president-donald-trump-speaks-national-prayer-breakfast/2799323002/,"Published 7:55 a.m. ET Feb. 7, 2019 | Updated 9:28 a.m. ET Feb. 7, 2019",0,NA,NA
232,usatoday,https://www.usatoday.com/story/money/business/2019/02/06/dog-food-recall-how-high-levels-vitamin-d-can-deadly-pets/2775864002/,"Published 9:29 a.m. ET Feb. 6, 2019
        ",0,NA,NA
