Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
18,nypost,https://nypost.com/2019/02/10/christian-hackenbergs-pro-football-debut-does-not-start-well/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 4:55pm
												",0,NA,NA
41,nypost,https://pagesix.com/2019/02/04/alec-baldwin-thought-parking-spot-foe-was-trying-to-run-over-his-wife/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 4, 2019 | 1:58pm
												",0,NA,NA
52,nypost,https://nypost.com/2019/02/10/the-gross-moment-nhlers-teeth-come-flying-out/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 12:38pm
												",0,NA,NA
56,nypost,https://nypost.com/2019/02/10/horrific-long-island-crash-leaves-three-dead-two-hospitalized-cops/?utm_source=NYPTwitter&utm_medium=SocialFlow&utm_campaign=SocialFlow,"February 10, 2019 | 1:58am
											| Updated February 10, 2019 | 7:16pm
",0,NA,NA
64,nypost,https://nypost.com/2019/02/10/snl-skewers-virginia-politicians-blackface-scandals/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 11:12am
												",0,NA,NA
69,nypost,https://nypost.com/2019/02/10/chimps-use-branches-to-build-ladder-in-daring-zoo-escape/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 8:36am
												",0,NA,NA
75,nypost,https://nypost.com/2019/02/08/woman-finds-deadly-snake-in-her-sink-oh-my-god-its-huge/?utm_medium=SocialFlow&utm_source=NYPTwitter&utm_campaign=SocialFlow,"February 8, 2019 | 4:06pm
												",0,NA,NA
78,nypost,https://nypost.com/2019/02/10/chimps-use-branches-to-build-ladder-in-daring-zoo-escape/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 10, 2019 | 8:36am
												",0,NA,NA
79,nypost,https://nypost.com/2019/02/07/frozen-cat-found-buried-in-snow-thawed-by-animal-clinic/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 7, 2019 | 8:54pm
											| Updated February 7, 2019 | 9:29pm
",0,NA,NA
84,nypost,https://pagesix.com/2019/02/04/inside-victoria-gottis-new-biopic/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 4, 2019 | 5:17pm
												",0,NA,NA
87,nypost,https://nypost.com/2019/02/10/snl-loves-pecker-and-the-ny-post/?utm_source=NYPTwitter&utm_campaign=SocialFlow&utm_medium=SocialFlow,"February 10, 2019 | 6:05am
											| Updated February 11, 2019 | 12:36pm
",0,NA,NA
109,nypost,https://nypost.com/2019/02/10/horrific-long-island-crash-leaves-three-dead-two-hospitalized-cops/?utm_source=NYPTwitter&utm_medium=SocialFlow&utm_campaign=SocialFlow,"February 10, 2019 | 1:58am
											| Updated February 10, 2019 | 7:16pm
",0,NA,NA
128,nypost,https://nypost.com/2019/02/09/aaf-qb-gets-absolutely-blown-up-and-no-flag-is-called/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 11:56pm
												",0,NA,NA
145,nypost,https://nypost.com/2019/02/08/lost-south-african-city-brought-to-life-with-digital-reconstruction/?utm_campaign=SocialFlow&utm_source=NYPTwitter&utm_medium=SocialFlow,"February 8, 2019 | 4:04pm
											| Updated February 8, 2019 | 7:01pm
",0,NA,NA
159,nypost,https://nypost.com/2019/02/09/zion-williamson-just-made-the-most-incredible-block/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 8:41pm
											| Updated February 10, 2019 | 4:01am
",0,NA,NA
189,nypost,https://nypost.com/2019/02/09/cunys-school-of-medicine-dean-quits-over-budget-quarrel/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 5:16pm
												",0,NA,NA
204,nypost,https://nypost.com/2019/02/09/woman-goes-ballistic-after-eatery-runs-out-of-beef-patties/?utm_medium=SocialFlow&utm_campaign=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 10:32am
											| Updated February 9, 2019 | 5:56pm
",0,NA,NA
213,nypost,https://nypost.com/2019/02/09/this-secret-bestselling-author-is-the-male-elena-ferrante/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,"February 9, 2019 | 2:29pm
											| Updated February 11, 2019 | 11:07am
",0,NA,NA
