Index,ID,User_ID,Friends_Count,Followers_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
1,1094740351972270080,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,1,2019-02-10 23:30:13,Ithaca-based Maguire to buy Chevy dealership in Baldwinsville https://t.co/7BxTbdF9Yi
2,1094732778950803456,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,2,2019-02-10 23:00:08,Parker’s Grille &amp; Tap House in Auburn: Standing out in a crowd  https://t.co/hJ0iT84c5X
3,1094732000416677888,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,0,2019-02-10 22:57:02,Grammys 2019: They wore that? Fashions and photos from the red carpet https://t.co/z502uaVSrp
4,1094727206494969856,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,1,2,2019-02-10 22:37:59,Syracuse Crunch win streak ends with shutout to Providence https://t.co/QBw4Q8zcdI
5,1094726941402386433,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,2,2019-02-10 22:36:56,Minnesota Sen. Amy Klobuchar announces 2020 presidential bid https://t.co/vtn3p3qVdt
6,1094725255485112322,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,2,2019-02-10 22:30:14,"Just Donuts, and its chicken wing donut, find new home on Westcott https://t.co/PTGBZYkrsp"
7,1094717688411238400,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,1,2019-02-10 22:00:10,Katko at I-81 forum seeks unity despite divides https://t.co/W7RV7Ksojd
8,1094714635570331656,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,0,2019-02-10 21:48:02,"Weekend box office: ‘Lego’ sequel is No. 1, but win doesn’t stack up to past films https://t.co/hDNShTxavg"
9,1094710122197192705,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,5,2019-02-10 21:30:06,"Hello kale, my old friend: My 21 days on the CoreLife Challenge https://t.co/rQJtkKsyfJ"
10,1094702579542568960,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,4,2019-02-10 21:00:08,"Instead of begging, panhandlers will be able to work in new Syracuse day labor program https://t.co/6sYYO7z3mD"
11,1094699937915437056,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,4,2019-02-10 20:49:38,Syracuse women’s basketball bounces back with rout of Boston College https://t.co/5CMxqNF7Y1
12,1094695045062639616,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,0,2019-02-10 20:30:11,"These are the 31 most crime-ridden counties in New York, ranked https://t.co/3mQvQzX3uj"
13,1094687480287293441,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,1,2019-02-10 20:00:08,"Auburn hospital turned blind eye to doc who provided deadly care, lawsuit says https://t.co/kpSamzwp6o"
14,1094679939914387457,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,3,10,2019-02-10 19:30:10,The Irish (or sort of Irish) Pubs of Syracuse: A visual tour https://t.co/pjNKq0TF3G
15,1094672383208755200,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,2,2019-02-10 19:00:08,Look inside the funnest office in Syracuse https://t.co/HgY4gFWzT8
16,1094664811470880774,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,0,2019-02-10 18:30:03,"What’s average credit score where you live? Upstate NY cities, ranked https://t.co/XHnDsBEPYq"
17,1094661894739320836,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,0,2019-02-10 18:18:28,"Two injured, restaurant damaged in shooting on North Salina street https://t.co/AtPZz8MHpl"
18,1094657278073098241,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,1,2019-02-10 18:00:07,House of the Week: North Syracuse ranch has space for a visionary https://t.co/Vb0xY0xE63
19,1094649716095287296,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,1,3,2019-02-10 17:30:04,"Dinosaur BBQ mocks Pete Davidson with custom drink: 'Thank U, Next' https://t.co/3SVq39rTfV"
20,1094642198585532416,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,3,2019-02-10 17:00:12,Trump to Upstate NY residents: Leave state for better jobs https://t.co/D2rJO0Hblm
21,1094634625769631745,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,1,2019-02-10 16:30:06,"Gladys Knight, Marc Cohn, and Lorrie Morgan: 6 shows to see this week https://t.co/gmnTKFg3bK"
22,1094630123926704130,16477702,567,87336,172,828,159167,2008-09-27 00:17:13,0,0,2019-02-10 16:12:13,"What channel is Grammys? TV, streaming info; 2019 Grammy Awards nominees list https://t.co/FgnpqnI341"
