Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,asburyparkpress,https://www.app.com/story/life/music/2019/02/10/grammys-2019-news-updates-winners/2828473002/,"Published 3:45 p.m. ET Feb. 10, 2019 | Updated 2:02 a.m. ET Feb. 11, 2019",10,Dua Lipa accepts the award for best new artist. (Photo: ROBERT HANASHIRO/USA TODAY),(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Cardi B accepts the award for best rap album for ""Invasion of Privacy"" with husband Offset joining her onstage. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"H.E.R. performs ""Hard Place"" during the 61st Grammy Awards. She also won best R&B album. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Lady Gaga performs ""Shallow"" with Mark Ronson on acoustic guitar. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Surprise! Drake shows up to accept best rap song at the Grammys for ""God's Plan."" But his speech got cut off. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Alicia Keys performs a “Songs I Wish I’d Written"" medley at the Grammys. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Katy Perry, left, and Kacey Musgraves, right, flank Dolly Parton to sing ""Here You Come Again"" as part of a tribute to the country icon. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Lady Gaga, right, get a congratulatory kiss on the cheek from Grammy host Alicia Keys after she wins best pop duo or group performance for ""Shallow,"" her duet with Bradley Cooper from ""A Star Is Born."" (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,"Lady Gaga (from left), Jada Pinkett Smith, Alicia Keys, Michelle Obama and Jennifer Lopez celebrate the power of music at the Grammys. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
1,asburyparkpress,,,10,Camila Cabello (in yellow) performs “Havana” during the opening of the 61st annual Grammy Awards. (Photo: ROBERT HANASHIRO/USA TODAY),(Photo: ROBERT HANASHIRO/USA TODAY)
2,asburyparkpress,https://www.app.com/story/news/local/helpinghands/2019/02/08/helping-hands-megan-franzoso/2710879002/,"Published 5:00 a.m. ET Feb. 8, 2019
        ",4,Megan Franzoso (left) with her mother Debbie Franzoso. (Photo: Doug Hood ),(Photo: Doug Hood )
2,asburyparkpress,,,4,"Megan Franzoso, left with sister Michele Franzoso (Photo: Doug Hood )",(Photo: Doug Hood )
2,asburyparkpress,,,4,"An invoice showing the $59,000 cost of Megan Franzoso's emergency helicopter transport. (Photo: Jerry Carino)",(Photo: Jerry Carino)
2,asburyparkpress,,,4,Megan Franzoso walks with her mother Debbie at the family's Toms River home. (Photo: Doug Hood ),(Photo: Doug Hood )
3,asburyparkpress,https://www.app.com/story/news/local/western-monmouth-county/freehold/2019/02/08/paid-parking-meters-freehold-borough/2661135002/,"Published 5:00 a.m. ET Feb. 8, 2019
        ",10,A look at downtown Freehold. FILE PHOTO (Photo: Bob Bielk/Gannett NJ),(Photo: Bob Bielk/Gannett NJ)
3,asburyparkpress,,,10,"Freehold Borough celebrated Veterans Day 2018 by introducing the Lewis Brothers Pavilion at Veterans Park, named after the six Lewis brothers who fought in every branch of the military in World War II.",Steph Solis
3,asburyparkpress,,,10,"Private Bigerton ""Buddy"" Lewis, who served in World War II, placed his hand over his chest while reciting the Pledge of Allegiance.",Steph Solis
3,asburyparkpress,,,10,"Veterans, residents and others start taking their seats ahead of the re-dedication of Veterans Park on Nov. 11, 2018. The ceremony commemorated the six Lewis brothers from Freehold Borough who served in World War II.",Steph Solis
3,asburyparkpress,,,10,"Bigerton ""Buddy"" Lewis Jr. placed his hand over his chest as Courtneney Wilds sings the national anthem on Veterans Day, Nov. 11, 2018 at Veterans Park in Freehold Borough. The ceremony commemorated Lewis and his five brothers who served in World War II.",Steph Solis
3,asburyparkpress,,,10,"More than 100 people gathered on Nov. 11, 2018, for the re-dedication ceremony at Freehold Borough's Veterans Park. The ceremony commemorated the six Lewis brothers from Freehold Borough who served in World War II.",Steph Solis
3,asburyparkpress,,,10,"More than 100 people gathered on Nov. 11, 2018, for the re-dedication ceremony at Freehold Borough's Veterans Park. The ceremony commemorated the six Lewis brothers from Freehold Borough who served in World War II.",Steph Solis
3,asburyparkpress,,,10,"Freehold Borough councilwoman Sharon Shutzer, right, announced the guests at the Veterans Park re-dedication ceremony, including (left) Assemblywoman Joann Downey and Lt. Gov. Sheila Oliver. The ceremony commemorated the six Lewis brothers from Freehold Borough who served in World War II.",Steph Solis
3,asburyparkpress,,,10,"From left, the Rev. Ronald Sparks, councilwoman Sharon Shutzer, mayor J. Nolans Higgin, town historian Kevin Coyne and youth government alumnus Ricky Coyne watch as public officials deliver remarks during the re-dedication ceremony for Freehold's six Lewis brothers who served in World War II.",Steph Solis
3,asburyparkpress,,,10,"Assemblywoman Joann Downey and state Sen. Vin Gopal, both left, present a proclamation to Bigerton ""Buddy"" Lewis Jr., a private in the 1317th Engineer General Service Regiment during World War II. He was one of six brothers who served in the war.",Steph Solis
4,asburyparkpress,https://www.app.com/story/tech/reviewedcom/2019/02/07/gifts-women-actually-valentines-day-2019/2793719002/,"Published 4:31 p.m. ET Feb. 7, 2019 | Updated 9:30 a.m. ET Feb. 12, 2019",10,Best Valentine's Day Gifts 2019 (Photo: Nordstrom and Anthropologie),(Photo: Nordstrom and Anthropologie)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Sugarfina XOXO Candy Bento Box (Photo: Sugarfina),(Photo: Sugarfina)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Barefoot Dreams CozyChic Cardigan (Photo: Barefoot Dreams),(Photo: Barefoot Dreams)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Roku Ultra (2018) (Photo: Amazon),(Photo: Amazon)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: InnoGear Aromatherapy Essential Oil Diffuser (Photo: Reviewed / Jackson Ruckar),(Photo: Reviewed / Jackson Ruckar)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Kendra Scott Pendant Necklace (Photo: Nordstrom),(Photo: Nordstrom)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Ugg Dakota Slippers (Photo: UGG),(Photo: UGG)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: La Mer Kit (Photo: Nordstrom),(Photo: Nordstrom)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Capri Blue Candle (Photo: Anthropologie),(Photo: Anthropologie)
4,asburyparkpress,,,10,Best Valentine's Day Gifts 2019: Sephora Perfume Sampler (Photo: Sephora),(Photo: Sephora)
5,asburyparkpress,https://www.app.com/story/entertainment/music/2019/02/10/grammy-awards-who-win-and-why-2019-grammys/2769095002/,"Published 11:46 a.m. ET Feb. 10, 2019
        ",5,Grammy Awards host Alicia Keys. (Photo: Gary Gershoff / Getty Images),(Photo: Gary Gershoff / Getty Images)
5,asburyparkpress,,,5,Album Of The Year:  Dirty Computer — Janelle Monáe (Photo: Greg Allen/Invision/AP),(Photo: Greg Allen/Invision/AP)
5,asburyparkpress,,,5,Post Malone (Photo: Rob Ball/WireImage),(Photo: Rob Ball/WireImage)
5,asburyparkpress,,,5,"Lady Gaga and Bradley Cooper. (Photo: Tim P. Whitby, Getty Images)","(Photo: Tim P. Whitby, Getty Images)"
5,asburyparkpress,,,5,Best New Artist:  Margo Price (Photo: Mark Weber/The Commercial Appeal/USA TODAY NETWORK),(Photo: Mark Weber/The Commercial Appeal/USA TODAY NETWORK)
