Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,kcstar,https://t.co/n036h597TG,"February 10, 2019 04:13 PM",1,"Eighth-grader Conner Elder, a student at Pioneer Ridge Middle School in Gardner, Kan., heaved up a three-quarter court shot Monday in a game against Eudora Middle School. The shot went in, just before the buzzer at the half.",Image courtesy of the Elder family
2,kcstar,https://t.co/PqbW32JJHp,"February 10, 2019 03:49 PM",1,"William Byron climbs out of his car after his qualifying run for the Daytona 500 auto race at Daytona International Speedway, Sunday, Feb. 10, 2019, in Daytona Beach, Fla. (AP Photo/John Raoux)",AP
4,kcstar,https://t.co/HNI2Etvwxk,"February 10, 2019 03:05 PM",1,"Kansas coach Bill Self had high praise for Mitch Lightfoot after the Jayhawks took care of business on Saturday, Feb. 9, 2019. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
5,kcstar,https://t.co/sLqIq5bvHn,"February 10, 2019 03:00 PM",1,"TCU Horned Frogs head coach Jamie Dixon encouraged his team from the sideline during the Iowa State University and TCU semifinal game at the Men’s Big12 Basketball Championship at Sprint Center on Friday, March 10, 2017, in Kansas City, Missouri.",skeyser@kcstar.com
10,kcstar,https://t.co/uUEqUgh8HK,"February 10, 2019 10:25 AM",1,"A 30-inch water main broke about 7:30 a.m. Sunday near 9900 Blue River Road, leaving many residents and businesses with no water or low water pressure. Inspectors found the broken pipe spewing water in a field.",Kansas City Water department
13,kcstar,https://t.co/0Igq08k25R,"February 10, 2019 09:19 AM",1,"The Kansas City area once again woke up to a glazing of ice after a mixed bag of precipitation coated roads, sidewalks and parking lots. On Thursday, Carlos Lopez breaks up ice near the “Rush Hour” sculpture by George Segal at the Nelson Atkins Museum of Art.",kmyers@kcstar.com
18,kcstar,https://t.co/sFQMjr2Pet,"February 10, 2019 05:30 AM",1,"A demonstrator holds up a sign in support of pro-life rights outside the U.S. Supreme Court in Washington on March 2, 2016.",Bloomberg
19,kcstar,https://t.co/3d0zOw7B5O,"February 10, 2019 05:30 AM",1,"Protesters place carnations, representing abortions performed, outside the Supreme Court on the 46th anniversary of the Roe v. Wade decision on Jan. 22, 2019.",The New York Times
20,kcstar,https://t.co/oFeIQ4K4zE,"February 10, 2019 05:30 AM",1,NA,The Kansas City Star
21,kcstar,https://t.co/iR61d3Bb5b,"February 09, 2019 08:52 PM",1,"Kansas State head coach Bruce Weber reacts during a matchup with Baylor in the second half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Waco, Texas. (Rod Aydelotte/Waco Tribune Herald, via AP)/Waco Tribune-Herald via AP)",AP
22,kcstar,https://t.co/0zEPVT7k8W,"February 09, 2019 07:20 PM",5,"Kansas State guard Barry Brown Jr., front, reaches for a turnover with Baylor guard Devonte Bandoo, right, in the second half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Waco, Texas. (Rod Aydelotte/Waco Tribune Herald, via AP)",AP
22,kcstar,,,5,"Kansas State forward Xavier Sneed, top right, pulls in a rebound over Baylor guard Matthew Mayer, left, in the second half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Waco, Texas. (Rod Aydelotte/Waco Tribune Herald, via AP)",AP
22,kcstar,,,5,"Kansas State guard Kamau Stokes (3) and Baylor forward Flo Thamba (0) watch the ball in the second half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Waco, Texas. (Rod Aydelotte/Waco Tribune Herald, via AP)",AP
22,kcstar,,,5,"Kansas State head coach Bruce Weber reacts during a matchup with Baylor in the second half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Waco, Texas. (Rod Aydelotte/Waco Tribune Herald, via AP)/Waco Tribune-Herald via AP)",AP
22,kcstar,,,5,"Kansas State forward Dean Wade, center, is guarded by Baylor guard Mark Vital, right, and forward Flo Thamba, left, in the first half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Waco, Texas. (Rod Aydelotte/Waco Tribune Herald, via AP)",AP
23,kcstar,https://t.co/EHUkQMt8XX,"February 09, 2019 07:17 PM",1,"New England Patriots defensive line coach Brendan Daly, left, shouts out instructions on the sideline during the second half of an NFL football game against the Jacksonville Jaguars Sunday, Sept. 16, 2018, in Jacksonville, Fla. The Jaguars won 31-20. (AP Photo/Phelan M. Ebenhack)",AP
24,kcstar,https://t.co/eZYbijoG5T,"February 09, 2019 07:09 PM",1,"Missouri’s Reed Nikko, right, and Texas A&M’s Christian Mekowulu, left, battle for a rebound during the first half of an NCAA college basketball game, Saturday, Feb. 9, 2019, in Columbia, Mo. (AP Photo/L.G. Patterson)",AP
25,kcstar,https://t.co/LKFkdZM9Ds,"February 09, 2019 06:27 PM",1,Royals general manager Dayton Moore (left) and owner David Glass figure to be dealing with substantially less revenue from attendance for the next couple of years.,jsleezer@kcstar.com
26,kcstar,https://t.co/ZZwLIOqMab,"February 09, 2019 06:09 PM",1,"Kansas coach Bill Self chats with freshman guard Quentin Grimes during a break in the action during the second half of Saturday’s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
27,kcstar,https://t.co/SzDtcyZioX,"February 09, 2019 05:57 PM",1,Traffic moves along sleet-covered Antioch Road near 198th Terrace in Overland Park Thursday morning. Some cars had difficulty making it up the hill south bound on the slippery road.,cochsner@kcstar.com
28,kcstar,https://t.co/Um2dnhK8N9,"February 09, 2019 05:07 PM",1,NA,NA
29,kcstar,https://t.co/n9iEcCiM5l,"February 09, 2019 01:06 PM",10,"Kansas coach Bill Self had high praise for Mitch Lightfoot after the Jayhawks took care of business Saturday. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"KUâ€™s Ochai Agbaji drives between OSUâ€™s Thomas Dziagwa, left, and Yor Anei for a shot during the second half of Saturdayâ€™s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"Kansas coach Bill Self chats with freshman guard Quentin Grimes during a break in the action during the second half of Saturday’s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"KUâ€™s Dedric Lawson flashes three fingers after hitting another three-point shot during the second half of Saturdayâ€™s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"KUâ€™s Quentin Grimes found himself surrounded by Cowboys while battling OSUâ€™s Your Anei, from left, Lindy Waters and Camerion McGriff for a rebound during the second half of Saturdayâ€™s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"KUâ€™s Mitch Lightfoot sent down a dunk over OSUâ€™s Cameron McGriff, left, and Isaac Likekele during the second half of Saturdayâ€™s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"KUâ€™s Devon Dotson drove the length of the floor and scored over OSUâ€™s Duncan Demuth during the second half of Saturdayâ€™s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
29,kcstar,,,10,"KUâ€™s Dedric Lawson, who led all scorers with 25 points, got a shot off over a double team by OSUâ€™s Cameron McGriff, left, and Yor Anei during the second half of Saturdayâ€™s Big 12 Conference game at Allen Fieldhouse. KU beat Oklahoma State, 84-72.",rsugg@kcstar.com
