Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,phillyinquirer,https://www.philly.com/college-sports/la-salle/la-salle-explorers-george-mason-patriots-basketball-20190210.html?cid=Inquirer+Twitter+Account&utm_source=t.co&utm_medium=social&utm_campaign=Inquirer+Twitter+Account,2019-02-10T23:20:17.493Z,1,"La Salle's David Beatty (left), Pookie Powell, Saul Phiri, Isiah Deas and Tracy Carter late during their win over St. Joe's on Feb. 5.",CHARLES FOX / Staff Photographer
2,phillyinquirer,https://www.philly.com/sixers/sixers-lakers-game-score-joel-embiid-kyle-kuzma-tobias-harris-lebron-james-20190210.html?utm_campaign=Inquirer+Twitter+Account&utm_medium=social&utm_source=t.co&cid=Inquirer+Twitter+Account,2019-02-10T23:09:27.466Z,3,Joel Embiid dunks past the Lakers' JaVale McGee on Sunday.,YONG KIM / Staff Photographer
2,phillyinquirer,,,3,YONG KIM / Staff Photographer   Joel Embiid had 37 points in the Sixers' win on Sunday.,YONG KIM / Staff Photographer
2,phillyinquirer,,,3,HEATHER KHALIFA / Staff Photographer   New Sixer Tobias Harris dunks over JaVale McGee during the first quarter of Sunday's game. Harris finished with 22 points.,HEATHER KHALIFA / Staff Photographer
3,phillyinquirer,https://www.philly.com/sixers/lebron-james-lakers-sixers-analysis-20190210.html?utm_source=t.co&cid=Inquirer+Twitter+Account&utm_campaign=Inquirer+Twitter+Account&utm_medium=social,2019-02-10T23:16:02.468Z,1,LeBron James tries to drive around the Sixers' Ben Simmons.,HEATHER KHALIFA / Staff Photographer
4,phillyinquirer,https://www.philly.com/college-sports/trevor-john-drexel-caa-three-point-shooting-20190210.html?utm_campaign=Inquirer+Twitter+Account&utm_medium=social&cid=Inquirer+Twitter+Account&utm_source=t.co,2019-02-10T22:42:56.601Z,5,Trevor John has seen his playing time increase dramatically since transferring.,CHARLES FOX / Staff Photographer
4,phillyinquirer,,,5,"CHARLES FOX / Staff Photographer   Trevor John of Drexel shows his enthusiasm as they rally late in the game against the College of Charleston on Feb. 9, 2019.",CHARLES FOX / Staff Photographer
4,phillyinquirer,,,5,CHARLES FOX / Staff Photographer   Trevor John (center) leads young fan Ryan Berg onto the court for the Dragons' game against UNC-Wilmington on Feb. 7.,CHARLES FOX / Staff Photographer
4,phillyinquirer,,,5,CHARLES FOX / Staff Photographer   Trevor John is gunning for the Drexel single-season record for three-pointers.,CHARLES FOX / Staff Photographer
4,phillyinquirer,,,5,"CHARLES FOX / Staff Photographer   Trevor John, center, of Drexel gathers the Drexel team before their game against the College of Charleston on Feb. 9, 2019.",CHARLES FOX / Staff Photographer
