Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,pittsburghpg,https://www.post-gazette.com/news/politics-nation/2019/02/10/Virginia-Gov-Ralph-Northam-not-resign-first-interview-blackface-Fairfax-scandals/stories/201902100195?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 16:53:36 -0500",1,"""Virginia Gov. Ralph Northam talks during an interview at the executive mansion on Feb. 9, 2019, in Richmond.""","""Katherine Frey\/The Washington Post via AP"""
2,pittsburghpg,https://www.post-gazette.com/news/politics-nation/2019/02/10/Massachusetts-Democratic-Sen-Elizabeth-Warren-2020-presidential-campaign-Trump/stories/201902100197?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 17:33:41 -0500",1,"""Sen. Elizabeth Warren, D-Mass., speaks to local residents during an organizing event Feb. 10, 2019, in Cedar Rapids, Iowa.""","""AP photo\/Charlie Neibergall"""
4,pittsburghpg,https://www.post-gazette.com/sports/penguins/2019/02/10/Penguins-analysis-issues-Lightning-Jim-Rutherford-Flyers-short-handed-goals-playoffs/stories/201902100189?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 14:44:30 -0500",1,"""Penguins center Sidney Crosby skates up the ice against the Tampa Bay Lightning during the first period Saturday, Feb. 9, 2019, in Tampa, Fla.""","""Chris O'Meara\/Associated Press"""
5,pittsburghpg,https://www.post-gazette.com/ae/music/2019/02/10/Pittsburgh-at-the-Grammys-Pittsburgh-Symphony-Mac-Miller-Dan-Shay-Renee-Fleming-Christina-Aguilera-Stephen-Flaherty/stories/201902100198?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 17:37:44 -0500",3,"""Dan Smyers and Shay Mooney of musical duo Dan + Shay accept the award for best country duo\/group performance for \""Tequila\"" during the 61st Annual Grammy Awards pre-telecast show on Sunday in Los Angeles.""","""Robyn Beck\/AFP\/Getty Images"""
5,pittsburghpg,,,3,"""Mac Miller""","""Brick Stowell"""
5,pittsburghpg,,,3,"""Manfred Honeck conducting the Pittsburgh Symphony Orchestra at Heinz Hall in March.""","""Jessie Wardarski\/Post-Gazette"""
6,pittsburghpg,https://www.post-gazette.com/news/politics-nation/2019/02/10/border-wall-funding-talks-government-shutdown-President-Trump-White-House/stories/201902100193?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 16:12:30 -0500",1,"""In this July 11, 2018, file photo, Mick Mulvaney, acting White House chief of staff, listens during a news conference at the Department of Justice in Washington.""","""AP photo\/Jacquelyn Martin"""
7,pittsburghpg,https://www.post-gazette.com/news/politics-nation/2019/02/10/Minnesota-Democratic-Sen-Amy-Klobuchar-announce-running-2020-presidential-race/stories/201902100191?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 15:50:01 -0500",1,"""Democratic Sen. Amy Klobuchar of Minnesota greets the crowd before announcing her bid for president at Boom Island Park in Minneapolis on Feb. 10, 2019.""","""Anthony Souffle\/Star Tribune via AP"""
8,pittsburghpg,https://www.post-gazette.com/ae/theater-dance/2019/02/10/Review-Pittsburgh-Ballet-Theatre-s-Gatsby-depicts-beauty-allure-of-a-bygone-era/stories/201902100188?utm_medium=social&utm_source=twitter_PittsburghPG,"Sun, 10 Feb 2019 14:37:42 -0500",5,"""The cast of the Pittsburgh Ballet Theatre's production of \""The Great Gatsby\"" perform during a dress rehearsal at a 50th Anniversary Season event Thursday, Feb. 7, 2019, at the Benedum Center for the Performing Arts in Downtown.""","""Michael M. Santiago\/Post-Gazette"""
8,pittsburghpg,,,5,"""Lucius Kirst who plays Gatsby, left, and Alexandra Kochis who plays Daisy, right, perform during a dress rehearsal of the Pittsburgh Ballet Theatre's production of \""The Great Gatsby\"" perform during a dress rehearsal at a 50th Anniversary Season event Thursday, Feb. 7, 2019, at the Benedum Center for the Performing Arts in Downtown.""","""Michael M. Santiago\/Post-Gazette"""
8,pittsburghpg,,,5,"""Lucius Kirst who plays Gatsby, left, and Alexandra Kochis who plays Daisy, right, perform during a dress rehearsal of the Pittsburgh Ballet Theatre's production of \""The Great Gatsby\"" perform during a dress rehearsal at a 50th Anniversary Season event Thursday, Feb. 7, 2019, at the Benedum Center for the Performing Arts in Downtown.""","""Michael M. Santiago\/Post-Gazette"""
8,pittsburghpg,,,5,"""The cast of the Pittsburgh Ballet Theatre's production of \""The Great Gatsby\"" perform during a dress rehearsal at a 50th Anniversary Season event Thursday, Feb. 7, 2019, at the Benedum Center for the Performing Arts in Downtown.""","""Michael M. Santiago\/Post-Gazette"""
8,pittsburghpg,,,5,"""The cast of the Pittsburgh Ballet Theatre's production of \""The Great Gatsby\"" perform during a dress rehearsal at a 50th Anniversary Season event Thursday, Feb. 7, 2019, at the Benedum Center for the Performing Arts in Downtown.""","""Michael M. Santiago\/Post-Gazette"""
9,pittsburghpg,https://www.post-gazette.com/local/city/2019/02/08/pittsburgh-towing-policy-mayor-bill-peduto-homewood-shooting-truck-drivers/stories/201902080142?utm_medium=social&utm_source=twitter_PittsburghPG,"Fri, 08 Feb 2019 15:33:19 -0500",1,"""Tow truck operators work to secure a motorcycle to the bed of a truck at 14th and Carson Streets on Sunday, April 23, 2017 in the South Side.""","""Post-Gazette"""
10,pittsburghpg,https://www.post-gazette.com/sports/steelers/2019/02/08/steel-curtain-roller-coaster-kennywood-steelers-country-under-construction/stories/201902080127?utm_medium=social&utm_source=twitter_PittsburghPG,"Fri, 08 Feb 2019 15:40:14 -0500",1,"""In this photo from 2018, construction begins on on the Steel Curtain at Kennywood. The coaster will take the space previously occupied by the Log Jammer, in the northeast corner of the park between the pavilion area and the Racer. Steelers Country is expected to open during the 2019 season.""","""Courtesy of Kennywood"""
12,pittsburghpg,https://www.post-gazette.com/ae/music/2019/02/06/5-things-to-watch-for-on-Grammy-night-Mac-Miller-Lady-Gaga-Kendrick-Lamar-Dan-Shay/stories/201902040100?utm_medium=social&utm_source=twitter_PittsburghPG,"Mon, 04 Feb 2019 15:14:19 -0500",1,"""Bradley Cooper and Lady Gaga in \""A Star is Born.\"" ""","""Neal Preston"""
