Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,staradvertiser,https://www.staradvertiser.com/2019/02/10/breaking-news/high-wind-warning-extended-for-oahu/,"February 10, 2019",7,"BRUCE ASATO / BASATO@STARADVERTISER.COM
High winds uprooted a 70-foot-tall kiawe tree near the fountain at Kapiolani Park this morning, partially blocking one Waikiki-bound lane of traffic. City employees and the Honolulu Fire Department were on scene to remove the tree.",BRUCE ASATO / BASATO@STARADVERTISER.COM
1,staradvertiser,,,7,"CELIA DOWNES / CDOWNES@STARADVERTISER.COM
A tree came down on Hiana Place in Waipahu, blocking cars from going in or coming out. Honolulu police reported first and then the Honolulu Fire Department was called to slice up the tree and get it out of the way  in a torrential downpour.",CELIA DOWNES / CDOWNES@STARADVERTISER.COM
1,staradvertiser,,,7,"JAMM AQUINO / JAQUINO@STARADVERTISER.COM
Honolulu Police work to erect safety tape as high winds cracked a large banyan tree on Kalaimoku Street in Waikiki today.",JAMM AQUINO / JAQUINO@STARADVERTISER.COM
1,staradvertiser,,,7,"CINDY ELLEN RUSSELL / CRUSSELL@STARADVERTISER.COM
Gnarled waves brought on by the low pressure storm hit Pupukea Beach Park today.",CINDY ELLEN RUSSELL / CRUSSELL@STARADVERTISER.COM
1,staradvertiser,,,7,"CINDY ELLEN RUSSELL / CRUSSELL@STARADVERTISER.COM
Palm trees along Kamehameha Hwy were windswept above the traffic today.",CINDY ELLEN RUSSELL / CRUSSELL@STARADVERTISER.COM
1,staradvertiser,,,7,"CINDY ELLEN RUSSELL / CRUSSELL@STARADVERTISER.COM
Rough surf pounded Waimea Bay this morning.",CINDY ELLEN RUSSELL / CRUSSELL@STARADVERTISER.COM
1,staradvertiser,,,7,"DIANE S.W. LEE / DLEE@STARADVERTISER.COM
Crews work on a tree in Waikiki this afternoon.",DIANE S.W. LEE / DLEE@STARADVERTISER.COM
2,staradvertiser,https://www.staradvertiser.com/2019/02/10/breaking-news/downed-pole-closes-kunia-road-in-both-directions/,"February 10, 2019",0,NA,NA
4,staradvertiser,https://www.staradvertiser.com/2019/02/08/tgif/review-romance-clashes-with-politics-in-cold-war/,"February 8, 2019",1,"COURTESY AMAZON
Cold War smolders and even burns with the gorgeous, intoxicating atmosphere of star-crossed romance.",COURTESY AMAZON
5,staradvertiser,https://www.staradvertiser.com/2019/02/09/features/monthly-program-provides-free-laundry-service-for-those-in-need/?HSA=d75a4965226c6262eb5402d2ba4dbba345d57362,"February 9, 2019",4,"DENNIS ODA / DODA@STARADVERTISER.COM
Owner of Waimanalo Laundry Services Ericka Drayton, left, helped Briana Green load her clothes into the washing machines in December. Laundry Love is a national nonprofit that provides free laundry service to the needy and homeless. This particular project is sponsored by First Presbyterian Church of Honolulu and Drayton has been hosting the program at her laundromat for three years.",DENNIS ODA / DODA@STARADVERTISER.COM
5,staradvertiser,,,4,"DENNIS ODA / DODA@STARADVERTISER.COM
Johana Feary and her daughter Heather Feary folded clean laundry at the monthly Laundry Love event in December.",DENNIS ODA / DODA@STARADVERTISER.COM
5,staradvertiser,,,4,"DENNIS ODA / DODA@STARADVERTISER.COM
Alice Flores loaded up a washing machine as Laundry Love program coordinator Laura Kay Rand stood ready to help. Flores used to be homeless but now has shelter and still uses the service to wash clothes. “They’re very good, these guys, they made me feel welcome, they always come by and talk; we consider them friends,” Flores said.",DENNIS ODA / DODA@STARADVERTISER.COM
5,staradvertiser,,,4,"DENNIS ODA / DODA@STARADVERTISER.COM
Chan Snyder and her son Challen Snyder helped out with the laundry at Waimanalo Laundry Services.",DENNIS ODA / DODA@STARADVERTISER.COM
6,staradvertiser,https://www.staradvertiser.com/2019/02/09/features/things-we-love/5-things-we-love-fountain-of-youth-facial-copper-roses-and-more/?HSA=788fe113e51a3f8b03f0454b56241614215e799c,"February 9, 2019",5,"CRAIG T. KOJIMA / CKOJIMA@STARADVERTISER.COM
Surprise your love this year with a rose that wont ever wilt. These forever copper roses are made by Honolulu Community College students in the schools sheet metal and plastics technology program.",CRAIG T. KOJIMA / CKOJIMA@STARADVERTISER.COM
6,staradvertiser,,,5,"PHOTOS BY DIANE S. W. LEE / DLEE@STARADVERTISER.COM
Japan ice cream shop Eddys Ice Cream opened November as Charmy at Shirokiya Japan Village Walk. Charmy serves vanilla and strawberry ice cream topped with colorful housemade chocolate and shortbread cookies designed in fun shapes.",PHOTOS BY DIANE S. W. LEE / DLEE@STARADVERTISER.COM
6,staradvertiser,,,5,"COURTESY PHOTO
These peach shorts and cotton tote can be found at Here, a Kakaako boutique. The bag works perfectly cross-body while walking and biking.",COURTESY PHOTO
