Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,suntimes,https://chicago.suntimes.com/health/rebooting-your-system-as-you-age-10-steps-to-turn-around-unhealthy-habits/?utm_campaign=ChicagoSunTimes&utm_content=1549827221&utm_medium=social&utm_source=twitter,"02/10/2019, 08:00am",5,Wellness boot camp at 60: It's not too late to jettison your unhealthy lifestyle habits. | stock.adobe.com,| stock.adobe.com
1,suntimes,,,5,Reboot your health by investing in a good pair of walking shoes. Start by walking around the block. Expand that to 30-minute walks at least three times weekly — or set a goal to increase your walking distance 10 percent each week. | stock.adobe.com,| stock.adobe.com
1,suntimes,,,5,"Skip the sweet roll when it comes to breakfast. Try fresh fruits, whole-grain cereals and avoid sugars. | stock.adobe.com",| stock.adobe.com
1,suntimes,,,5,"Tennis is a great sport to consider even as you age, as it challenges your mobility as well as your strength. | stock.adobe.com",| stock.adobe.com
1,suntimes,,,5,Keeping your mind and spirit healthy are key to good health at any age. Hobbies such as painting are a great way for middle-aged persons and seniors to enhance the quality of their day-to-day lives. | stock.adobe.com,| stock.adobe.com
2,suntimes,https://chicago.suntimes.com/autos/auto-chicago-cruise-through-history-at-chicago-area-car-museums/?utm_campaign=ChicagoSunTimes&utm_content=1549827042&utm_medium=social&utm_source=twitter,"02/10/2019, 05:01am",9,The Pontiac-Oakland Automobile Museum features classic and antique cars and related artifacts meant to preserve the history of the Pontiac and Oakland makes. Photo courtesy of Dice Sales/the Illinois Office of Tourism,Photo courtesy of Dice Sales/the Illinois Office of Tourism
2,suntimes,,,9,"The 1966 TV series Batmobile was built from a 1955 Lincoln concept car by George Barris of Barris Kustoms. This Batmobile, autographed by George Barris and Adam West, is on display at Volo Auto Museum in northwest suburban Volo. | Volo Auto Museum photo",| Volo Auto Museum photo
2,suntimes,,,9,"The Tumbler, made famous in the Christopher Nolan Batman movies, is a cross between a Lamborghini and a tank. This particular Tumbler was restored from the wreckage of a stunt car that was heavily damaged on set. | Volo Auto Museum photo",| Volo Auto Museum photo
2,suntimes,,,9,Over 300 cars are on display at the Klairmont Kollection car museum in Chicago. | Robert Olson/Klairmont Kollections,| Robert Olson/Klairmont Kollections
2,suntimes,,,9,The 1973 Grand Am station wagon prototype on display at the Pontiac Oakland Automobile Museum. |Pontiac Oakland Automobile Museum/Facebook,|Pontiac Oakland Automobile Museum/Facebook
2,suntimes,,,9,The showroom at the Rockford Auto Museum. | Photo courtesy of the Rockford Auto Museum.,| Photo courtesy of the Rockford Auto Museum.
2,suntimes,,,9,A 1932 Studebaker used by John Dillinger in an Indiana Bank Robbery. | Photo courtesy of Historic Auto Attractions/Facebook,| Photo courtesy of Historic Auto Attractions/Facebook
2,suntimes,,,9,A 1928 Ford AA Doodlebug at the Beller Museum. | Photo courtesy of the Beller Museum.,| Photo courtesy of the Beller Museum.
2,suntimes,,,9,An old 1923 Milburn Electric beside a modern Tesla Roadster. | J.B. Spector/Museum of Science and Industry.,| J.B. Spector/Museum of Science and Industry.
3,suntimes,https://chicago.suntimes.com/autos/autos-for-the-ages-10-memorable-cars-from-chicago-auto-show-history-photos/?utm_campaign=ChicagoSunTimes&utm_content=1549826914&utm_medium=social&utm_source=twitter,"02/10/2019, 10:08am",1,"When the Auto Show moved from the Coliseum
to the larger International Amphitheater in the 1930s, the Chicago Automobile Trade Association added a twice-daily musical revue that spotlighted the latest automobiles to the general public. | Photo courtesy of the Chicago Auto Show.",| Photo courtesy of the Chicago Auto Show.
4,suntimes,https://chicago.suntimes.com/autos/auto-chicago-chicagos-forgotten-motor-row-revs-up-once-again/?utm_campaign=ChicagoSunTimes&utm_content=1549826532&utm_medium=social&utm_source=twitter,"02/10/2019, 05:00am",9,A view north on Michigan Avenue of Chicago's Historic Motor Row. | Tyler LaRiviere/Sun-Times,| Tyler LaRiviere/Sun-Times
4,suntimes,,,9,Chicago Motor Row banners that hang on Michigan Ave. on Chicago’s historic Motor Row. | Tyler LaRiviere/Sun-Timesa,| Tyler LaRiviere/Sun-Timesa
4,suntimes,,,9,"Fred G. Litsinger Fred G. Litsinger, at the wheel of a 1921 Model T Ford, accepts an award for completing 50 years as a Ford Motor Co. dealer in Chicago from B. L. Crumpton, Ford division Chicago district sales manager.",NA
4,suntimes,,,9,"Exterior views of the former Chicago Defender building. Friday, August 26, 2011 | Scott Stewart~Sun-Times",| Scott Stewart~Sun-Times
4,suntimes,,,9,Marmon sign at 2232 South Michigan Ave. on Chicago’s historic Motor Row. | Tyler LaRiviere/Sun-Times,| Tyler LaRiviere/Sun-Times
4,suntimes,,,9,“H” logo at 2222 South Michigan Ave. on Chicago’s historic Motor Row. | Tyler LaRiviere/Sun-Times,| Tyler LaRiviere/Sun-Times
4,suntimes,,,9,Chess Producing Corporation at 2120 South Michigan Avenue on Chicago’s historic Motor Row. | Tyler LaRiviere/Sun-Times,| Tyler LaRiviere/Sun-Times
4,suntimes,,,9,"Bluesmen Johnny Twist (left) and Buddy Guy play Willie Dixon’s “Wang Dang Doodle,” a Chess Records classic, at a jam session Thursday night in the former Chess studio at 2120 S. Michigan. The building, where such recording artists as Dixon, Muddy Waters, Howlin Wolf and Chuck Berry got their start, was dedicated as an official Chicago landmark. | Sun-Times file photo.",| Sun-Times file photo.
4,suntimes,,,9,A rendering of the development planned for the former Hudson Motor Building at 2222 S. Michigan Ave. | Photo by Ware Malcomb.,| Photo by Ware Malcomb.
5,suntimes,https://chicago.suntimes.com/opinion/virginia-officials-blackface-liam-neeson-racism/?utm_campaign=ChicagoSunTimes&utm_content=1549825928&utm_medium=social&utm_source=twitter,"02/10/2019, 07:03am",1,Virginia Gov. Ralph Northam is under fire for a racist photo that appeared on his page in his medical school yearbook.| AP Photo/Steve Helber,| AP Photo/Steve Helber
6,suntimes,https://chicago.suntimes.com/news/written-off-15-ward-lopez-burke-gangs-solis/?utm_campaign=ChicagoSunTimes&utm_content=1549825640&utm_medium=social&utm_source=twitter,"02/10/2019, 06:52pm",6,"Chicago Police Deputy Supt. Kevin Navarro (left) and Ald. Raymond Lopez (15th) speak a brief press conference in 2017, File Photo. | Lauren FitzPatrick/Sun-Times",| Lauren FitzPatrick/Sun-Times
6,suntimes,,,6,15th Ward aldermanic candidate and incumbent Raymond Lopez. | Rich Hein/Sun-Times,| Rich Hein/Sun-Times
6,suntimes,,,6,"15th Ward aldermanic candidate Rafael “Rafa” Yanez met with the Sun-Times Editorial Board Monday, February 4, 2019. | Rich Hein/Sun-Times",| Rich Hein/Sun-Times
6,suntimes,,,6,"15th Ward aldermanic candidate Berto Aguayo met with the Sun-Times Editorial Board Monday, February 4, 2019. | Rich Hein/Sun-Times",| Rich Hein/Sun-Times
6,suntimes,,,6,"15th Ward aldermanic candidate Joseph G. Williams met with the Sun-Times Editorial Board Monday, February 4, 2019. | Rich Hein/Sun-Times",| Rich Hein/Sun-Times
6,suntimes,,,6,"15th Ward aldermanic candidate Otis Davis Jr. met with the Sun-Times Editorial Board Monday, February 4, 2019. | Rich Hein/Sun-Times",| Rich Hein/Sun-Times
7,suntimes,https://chicago.suntimes.com/lifestyles/dear-abby-man-miffed-after-wife-flirts-with-far-younger-waiter/?utm_campaign=ChicagoSunTimes&utm_content=1549825464&utm_medium=social&utm_source=twitter,"02/10/2019, 05:00am",0,NA,NA
