Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,tennessean,https://www.tennessean.com/story/entertainment/music/2019/02/10/grammys-brandi-carlile-recalls-coming-out-15-thanks-americana-being-my-island/2832435002/?utm_source=dlvr.it&utm_medium=twitter,"Published 5:19 p.m. CT Feb. 10, 2019 | Updated 5:31 p.m. CT Feb. 10, 2019",10,"Brandi Carlile accepts the award for Best Americana Album for By The Way, I Forgive You at the GRAMMY Awards Premiere Ceremony at the Microsoft Theater in Los Angeles, Calif. (Photo: Robert Hanashiro-USA TODAY NETWORK)",(Photo: Robert Hanashiro-USA TODAY NETWORK)
1,tennessean,,,10,"Phil Hanseroth (L), Brandi Carlile and Tim Hanseroth accept the award for  Best Americana Album for Brandi Carlile's By The Way, I Forgive You at the GRAMMY Awards Premiere Ceremony at the Microsoft Theater in Los Angeles, Calif. (Photo: Robert Hanashiro-USA TODAY NETWORK)",(Photo: Robert Hanashiro-USA TODAY NETWORK)
1,tennessean,,,10,"Kacey Musgraves accepts the award for album of the year for ""Golden Hour"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
1,tennessean,,,10,"Kacey Musgraves performs ""Rainbow"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
1,tennessean,,,10,"Miley Cyrus kisses Dolly Parton during a tribute to Dolly Parton at the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif.",Robert Hanashiro-USA TODAY NETWORK
1,tennessean,,,10,"Katy Perry, from left, Dolly Parton and Kacey Musgraves perform ""Here You Come Again"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
1,tennessean,,,10,"Brandi Carlile performs ""The Joke""  during the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif.",Robert Hanashiro-USA TODAY NETWORK
1,tennessean,,,10,"Phil Hanseroth, from left, Brandi Carlile and Tim Hanseroth accept the award for best Americana album for ""By the Way, I Forgive You"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
1,tennessean,,,10,"Dan Smyers, left, and Shay Mooney, of Dan + Shay, embrace after performing ""Tequila"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
1,tennessean,,,10,"Kacey Musgraves accepts the award for best country album for ""Golden Hour"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,https://www.tennessean.com/picture-gallery/entertainment/music/2019/02/10/2019-grammys-stars-nashville-and-across-nation-pick-up-awards/2832290002/,,10,"Kacey Musgraves accepts the award for album of the year for ""Golden Hour"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Kacey Musgraves performs ""Rainbow"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Miley Cyrus kisses Dolly Parton during a tribute to Dolly Parton at the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif.",Robert Hanashiro-USA TODAY NETWORK
2,tennessean,,,10,"Katy Perry, from left, Dolly Parton and Kacey Musgraves perform ""Here You Come Again"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Brandi Carlile performs ""The Joke""  during the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif.",Robert Hanashiro-USA TODAY NETWORK
2,tennessean,,,10,"Phil Hanseroth, from left, Brandi Carlile and Tim Hanseroth accept the award for best Americana album for ""By the Way, I Forgive You"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Dan Smyers, left, and Shay Mooney, of Dan + Shay, embrace after performing ""Tequila"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Kacey Musgraves accepts the award for best country album for ""Golden Hour"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Kelsea Ballerini introduces a performance by Brandi Carlile at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
2,tennessean,,,10,"Brandi Carlile accepts the award for best American roots performance for ""The Joke"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
3,tennessean,https://www.tennessean.com/story/entertainment/music/2019/02/10/grammy-awards-brandi-carlile-kacey-musgraves-lauren-daigle-early-winners/2832383002/?utm_source=dlvr.it&utm_medium=twitter,"Published 5:20 p.m. CT Feb. 10, 2019 | Updated 11:10 a.m. CT Feb. 12, 2019",10,"Katy Perry, from left, Dolly Parton and Kacey Musgraves perform ""Here You Come Again"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo: Matt Sayles/Invision/AP)",(Photo: Matt Sayles/Invision/AP)
3,tennessean,,,10,"Brandi Carlile performs ""The Joke""  during the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif. (Photo: Robert Hanashiro-USA TODAY NETWORK)",(Photo: Robert Hanashiro-USA TODAY NETWORK)
3,tennessean,,,10,"Shay Mooney, left, and Dan Smyers of Dan + Shay accept the award for Best Country Duo/Group Performance for ""Tequila"" at the 61st annual Grammy Awards on Feb. 10, 2019, in Los Angeles. (Photo: Matt Sayles/Invision/AP)",(Photo: Matt Sayles/Invision/AP)
3,tennessean,,,10,"Lauren Daigle accepts the award for Best Contemporary Christian Music Album for Look Up Child at the GRAMMY Awards Premiere Ceremony at the Microsoft Theater in Los Angeles, Calif. (Photo: Robert Hanashiro-USA TODAY NETWORK)",(Photo: Robert Hanashiro-USA TODAY NETWORK)
3,tennessean,,,10,"Jason Crabb accepts the award for Best Roots Gospel Album for ""Unexpected.""  (Photo: ROBERT HANASHIRO, USA TODAY)","(Photo: ROBERT HANASHIRO, USA TODAY)"
3,tennessean,,,10,"Kacey Musgraves accepts the award for album of the year for ""Golden Hour"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
3,tennessean,,,10,"Kacey Musgraves performs ""Rainbow"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
3,tennessean,,,10,"Miley Cyrus kisses Dolly Parton during a tribute to Dolly Parton at the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif.",Robert Hanashiro-USA TODAY NETWORK
3,tennessean,,,10,"Katy Perry, from left, Dolly Parton and Kacey Musgraves perform ""Here You Come Again"" at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles.",Matt Sayles/Invision/AP
3,tennessean,,,10,"Brandi Carlile performs ""The Joke""  during the 61st Annual GRAMMY Awards on Feb. 10, 2019 at STAPLES Center in Los Angeles, Calif.",Robert Hanashiro-USA TODAY NETWORK
4,tennessean,https://www.tennessean.com/story/life/music/2019/02/10/grammys-2019-winners-list/2813536002/,"Published 2:36 p.m. CT Feb. 10, 2019 | Updated 10:56 p.m. CT Feb. 10, 2019",10,"Lady Gaga accepts the Grammy Award for best pop duo/group performance for ""Shallow."" (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
4,tennessean,,,10,"Shaggy accepts the award for Best Reggae Album. (Photo: Robert Hanashiro, USA TODAY)","(Photo: Robert Hanashiro, USA TODAY)"
4,tennessean,,,10,"Buddy Guy accepts the award for Best Traditional Blues Album for ""The Blues is Alive and Well."" (Photo: ROBERT HANASHIRO, USA TODAY)","(Photo: ROBERT HANASHIRO, USA TODAY)"
4,tennessean,,,10,"The 61st annual Grammy Awards were handed out at Staples Center in Los Angeles Sunday on “music’s biggest night.” Kacey Musgraves accepts the Grammys' final and most prestigious award, Album of the Year, for ""Golden Hour.""","ROBERT HANASHIRO, USA TODAY"
4,tennessean,,,10,"Composer and record producer Ludwig Goransson accepts the Record of the Year Grammy for ""This Is America"" by Childish Gambino. Multi-talented Donald Glover, who performs as Childish Gambino and is one of producers and writers of ""This Is America,"" didn't attend Sunday's ceremony.","ROBERT HANASHIRO, USA TODAY"
4,tennessean,,,10,"A nervous but elated Cardi B, joined onstage by Offset, talks about the challenge of getting ""Invasion of Privacy"" finished while pregnant during her acceptance speech for Best Rap Album.",ROBERT HANASHIRO/USA TODAY
4,tennessean,,,10,"After performing a duet with St. Vincent, Dua Lipa accepts a major Grammy, Best New Artist, as Bob Newhart, right, who won that award in 1961, watches.",ROBERT HANASHIRO/USA TODAY
