Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,thebuffalonews,https://buffalonews.com/2019/02/10/145-years-later-abraham-lincolns-birthday-still-marked-in-buffalo/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549841172,2019-02-10,0,NA,NA
2,thebuffalonews,https://buffalonews.com/2019/02/10/145-years-later-abraham-lincolns-birthday-still-marked-in-buffalo/,2019-02-10,0,NA,NA
3,thebuffalonews,https://buffalonews.com/2019/02/10/broken-water-pipe-leads-to-ohara-closure-monday/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549839141,2019-02-10,1,Cardinal O’Hara High School. (Image via Google),(Image via Google)
4,thebuffalonews,https://buffalonews.com/2019/02/09/new-york-state-legal-marijuana-pot-frequently-asked-questions/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549817599,2019-02-09,1,"Marijuana plants fill a greenhouse at Tweed Farms in Niagara-on-the-Lake, Ont., on Dec. 21, 2017. (Derek Gee/News file photo)",(Derek Gee/News file photo)
5,thebuffalonews,https://buffalonews.com/2019/02/09/open-now-the-house-that-beer-built/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549830576,2019-02-09,1,Volunteers with Habitat for Humanity Buffalo at an open house Saturday with Manasse Nsabiyuma and Nechode Ndayishimiye at the house they built through Habitat. (Courtesy of Habitat for Humanity Buffalo),(Courtesy of Habitat for Humanity Buffalo)
7,thebuffalonews,https://buffalonews.com/2019/02/10/discount-divaputting-a-ring-on-it-go-ahead-and-skip-the-diamond/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549828398,2019-02-10,1,Buffalo News file photo,NA
8,thebuffalonews,https://buffalonews.com/2019/02/09/judge-ends-historic-desegregation-order-for-buffalo-firefighters/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549819078,2019-02-09,1,"In April of last year, the fire department’s overall workforce was 24 percent African-American, 5.5 percent Hispanic and 5 percent female. That compares with a workforce that was 1 percent black and included no Hispanics or women in 1974. (Derek Gee/News file photo)",(Derek Gee/News file photo)
9,thebuffalonews,https://buffalonews.com/2019/02/09/town-of-tonawanda-bringing-back-santa-village/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549822664,2019-02-09,1,Santa Claus (aka Mike Stroh) listens closely as a curious 4-year-old Tristen Goldring asks a question at the Walden Galleria Mall in this 2014 photo. Kids can meet Mr. Claus at the revived Santa Village in the Town of Tonawanda later this year.  (Derek Gee/Buffalo News file photo),(Derek Gee/Buffalo News file photo)
10,thebuffalonews,https://buffalonews.com/2019/02/10/trucker-faces-multiple-charges-after-traffic-stop-in-genesee-county/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549813388,2019-02-10,0,NA,NA
11,thebuffalonews,https://buffalonews.com/2019/02/10/demolition-work-to-begin-monday-on-niagara-scenic-parkway-project/?utm_term=Autofeed&utm_campaign=puma&utm_medium=social&utm_source=Twitter#Echobox=1549812793,2019-02-10,1,A look at the Niagara Scenic Parkway looking south from Orchard Street in Niagara Falls. (Courtesy Empire State Development),(Courtesy Empire State Development)
