Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,wsj,https://www.wsj.com/articles/ex-malaysia-leader-revs-up-image-makeover-before-trial-11549458000?mod=e2tw,"Feb. 6, 2019 8:00 a.m. ET",3,"Najib Razak, Malaysia's former prime minister, shaking hands with a supporter as he leaves court in Kuala Lumpur in December.","Photo: 
            
        Joshua Paul/Bloomberg News"
1,wsj,,,3,"Mr. Najib waving as he leaves a rally organized by Muslim politicians against the signing of a United Nations antidiscrimination convention, in Kuala Lumpur in December.","Photo: 
            
        mohd rasfan/Agence France-Presse/Getty Images"
1,wsj,,,3,"Mr. Najib and his wife, Rosmah Mansor, on April 3, 2009, after his first election as prime minister of Malaysia.","Photo: 
            
        Associated Press"
2,wsj,https://www.wsj.com/articles/black-panther-and-a-star-is-born-lead-soundtrack-resurgence-11549717200?mod=e2tw,"Feb. 9, 2019 8:00 a.m. ET",1,"Bradley Cooper, left, and Lady Gaga in a scene from the latest reboot of the film, ‘A Star Is Born.’","Photo: 
            
        Neal Preston/Warner Bros./Associated Press"
3,wsj,https://www.wsj.com/articles/brandi-carlile-finds-her-voice-again-11549390782?mod=e2tw,"Feb. 5, 2019 1:19 p.m. ET",4,"Brandi Carlile photographed with her longtime bandmates on her home turf of Washington state. Their latest album ‘By the Way, I Forgive You’ and single ‘The  Joke’ gleaned several Grammy nominations.","Photo: 
            
        Pete Souza"
3,wsj,,,4,"The band, playing here in Austin in October, is having a resurgence: from left, Phil Hanseroth, Brandi Carlile and Tim Hanseroth.","Photo: 
            
        Jim Bennett/FilmMagic/Getty Images"
3,wsj,,,4,"From the beginning, Ms. Carlile and her collaborators, the Hanseroth twins, have been equal financial partners.","Photo: 
            
        Pete Souza"
3,wsj,,,4,"Music and fishing were Ms. Carlile’s lifelines as a teen. Here, she fishes near the log home in Maple Valley, Wash., where she lives with her wife and two children.","Photo: 
            
        Pete Souza"
4,wsj,https://www.wsj.com/articles/jeff-bezoss-journey-from-private-family-man-to-tabloid-sensation-11549837862?mod=e2tw,"Feb. 10, 2019 5:31 p.m. ET",6,Jeff Bezos last September.,"Photo: 
            
        Andrew Harrer/Bloomberg News"
4,wsj,,,6,"Patrick Whitesell, Lauren Sanchez and Mr. Bezos at Mr. Bezos’ and Matt Damon's ‘Manchester By The Sea’ Holiday Party in 2016 in Los Angeles..","Photo: 
            
        Todd Williamson/Getty Images for Amazon Studios"
4,wsj,,,6,"Jeff and MacKenzie Bezos, right, at the 2018 Vanity Fair Oscar Party.","Photo: 
            
        Mike Coppola/VF18/Getty Images for VF"
4,wsj,,,6,The Bezoses at a 2005 Sundance party.,"Photo: 
            
        J. Countess/WireImage/Getty Images"
4,wsj,,,6,"Ms. Bezos, Mick Jagger, Scarlett Johansson and Mr. Bezos at the Met Gala, 2012.","Photo: 
            
        Billy Farrell/BFA"
4,wsj,,,6,"Mr. Bezos in Seattle, 1997.","Photo: 
            
        Paul Souders/Getty Images"
5,wsj,https://www.wsj.com/articles/u-s-campaign-against-huawei-faces-challenge-in-eastern-europe-11549833381?mod=e2tw,"Feb. 10, 2019 4:16 p.m. ET",1,"The site in Warsaw of Huawei’s Polish headquarters. Polish officials have assured U.S. counterparts they would curb Huawei, while trying not to anger China.","Photo: 
            
        JAAP ARRIENS/NURPHOTO/ZUMA PRESS/"
7,wsj,https://www.wsj.com/articles/what-to-watch-for-at-the-grammys-11549800054?mod=e2tw,"Feb. 10, 2019 7:00 a.m. ET",3,"This year’s Grammy nominees include, from left, Drake, Lady Gaga, H.E.R. and Childish Gambino.","Photo: 
            
        Getty Images (4)"
7,wsj,,,3,Cardi B is among this year’s album of the year nominees.,"Photo: 
            
        Ethan Miller/Getty Images"
7,wsj,,,3,"Kacey Musgraves, an album of the year nominee who is scheduled to perform at the Grammys on Sunday.","Photo: 
            
        Paras Griffin/WireImage/Getty Images"
8,wsj,https://www.wsj.com/articles/maduro-wrecked-venezuelas-oil-industry-11549325002?mod=e2tw,"Feb. 4, 2019 7:03 p.m. ET",1,"A pump jack near an oil spill at a PdVSA facility in Venezuela, Oct. 12.","Photo: 
            
        Bloomberg"
9,wsj,https://www.wsj.com/articles/to-reduce-payments-recast-your-mortgage-11549466415?mod=e2tw,"Feb. 6, 2019 10:20 a.m. ET",1,NA,"Photo: 
            
        Tim Foley"
10,wsj,https://www.wsj.com/articles/venezuelas-collapse-exposes-the-fake-socialism-debated-in-u-s-11549465200?mod=e2tw,"Updated Feb. 6, 2019 10:55 a.m. ET",1,"Supporters of President Nicolás Maduro attending Monday’s celebration of the 27th anniversary of the late Hugo Chávez's failed coup in Caracas, Venezuela.","Photo: 
            
        Ignacio Marin/Bloomberg News"
11,wsj,https://www.wsj.com/articles/politics-is-a-dirty-businessstarting-with-the-rats-at-los-angeles-city-hall-11549830509?mod=e2tw&page=1&pos=1,"Feb. 10, 2019 3:28 p.m. ET",4,Los Angeles City Hall at night.,"Photo: 
            
        iStock/Getty Images"
11,wsj,,,4,Los Angeles City Council President Herb Wesson had to deal with a dead rat in the ceiling in the office of one of his staffers.,"Photo: 
            
        Reed Saxon/Associated Press"
11,wsj,,,4,"The Norway rat, a common pest in the U.S.","Photo: 
            
        iStock"
11,wsj,,,4,"Elizabeth Greenwood, a Los Angeles deputy city attorney.","Photo: 
            
        Elizabeth Greenwood"
12,wsj,https://www.wsj.com/articles/sen-amy-klobuchar-of-minnesota-launches-presidential-bid-11549830754?tesla=y&mod=e2tw,"Updated Feb. 10, 2019 4:05 p.m. ET",2,"Sen. Amy Klobuchar (D., Minn.) announcing her candidacy on Sunday.","Photo: 
            
        Stephen Maturen/Getty Images"
12,wsj,,,2,Snow fell as rallygoers arrived at Boom Island Park for Democratic Sen. Amy Klobuchar’s presidential announcement Sunday in Minneapolis.,"Photo: 
            
        Jim Mone/Associated Press"
13,wsj,https://www.wsj.com/articles/thieves-mine-catalytic-converters-for-metal-more-valuable-than-gold-11549803601?mod=e2tw,"Feb. 10, 2019 8:00 a.m. ET",2,"An employee welds parts onto an automobile catalytic converter emission control device at BM Catalysts in Mansfield, U.K.","Photo: 
            
        Chris Ratcliffe/Bloomberg News"
13,wsj,,,2,"An employee moves steel moldings for use in BM Catalysts in Mansfield, U.K.","Photo: 
            
        Chris Ratcliffe/Bloomberg News"
14,wsj,https://www.wsj.com/articles/the-lego-movie-2-collapses-at-the-box-office-11549819252?mod=e2tw,"Feb. 10, 2019 12:20 p.m. ET",1,"The characters Rex Dangervest, left, and Emmet, both voiced by Chris Pratt, in a scene from ‘The Lego Movie 2: The Second Part.’","Photo: 
            
        Warner Bros./Associated Press"
15,wsj,https://www.wsj.com/articles/what-i-learned-from-the-hacker-who-spied-on-me-11549559728?mod=e2tw,"Feb. 7, 2019 12:15 p.m. ET",7,"Once the hacker was able to get into the Windows PC, he was able to get into the Wi-Fi network and connect to this Wansview IP camera.","Photo: 
            
        Alexander Heid"
15,wsj,,,7,The indicator light on the Windows and Mac laptops turned on when their webcams were being used to snap photos.,"Photo: 
            
        Johnny Frohman for The Wall Street Journal"
15,wsj,,,7,"The Windows laptop's indicator light went on when the hacker first reached the camera, but everything on the laptop's desktop remained as is.","Photo: 
            
        Johnny Frohman for The Wall Street Journal"
15,wsj,,,7,"When trying to download the malicious 'video reel' file, Windows Defender, Microsoft's built-in anti-virus, detected and prevented it from installing.","Photo: 
            
        Johnny Frohman for The Wall Street Journal"
15,wsj,,,7,"When the hacker tried to access the Mac's webcam, a pop-up appeared asking to give permission to the app.","Photo: 
            
        Joanna Stern/The Wall Street Journal"
15,wsj,,,7,"A sliding webcam cover is a good idea, but a Post-It or piece of tape will work, too.","Photo: 
            
        Johnny Frohman for The Wall Street Journal"
15,wsj,,,7,Wansview's IP baby monitor came with a default username and password that could be easily found on the internet.,"Photo: 
            
        Johnny Frohman for The Wall Street Journal"
16,wsj,https://www.wsj.com/articles/attorney-for-tabloid-publisher-says-jeff-bezos-wasnt-blackmailed-11549825566?mod=e2tw,"Feb. 10, 2019 2:06 p.m. ET",1,"FILE- In this Sept. 13, 2018, file photo Jeff Bezos, Amazon founder and CEO, speaks at The Economic Club of Washington's Milestone Celebration in Washington. Jeff Bezos, the worldÃ¢â?¬â?¢s richest man and CEO of Amazon, is publicly accusing The National Enquirer in a blog post of trying to blackmail him by threatening to release more intimate photos of him unless he calls off an investigation into how that information was obtained in the first place.","Photo: 
            
        Cliff Owen/Associated Press"
17,wsj,https://www.wsj.com/articles/how-to-squeeze-higher-returns-from-your-savings-11549825201?mod=e2tw,"Feb. 10, 2019 2:00 p.m. ET",2,There are more ways to save than just a commercial-bank savings account: Exploring options can help you realize higher returns.,"Photo: 
            
        iStock"
17,wsj,,,2,Specialized savings accounts can help you achieve small increases in your personal savings return rate—which add up over a lifetime.,"Photo: 
            
        iStock"
