Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,wistatejournal,https://madison.com/wsj/news/local/ask/just-ask-us/just-ask-us-how-old-do-my-children-have-to/article_88dd82d4-c596-5e30-ad22-77bb36d8529b.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-11T04:45:00-06:00,1,ISTOCK,ISTOCK
2,wistatejournal,https://madison.com/wsj/opinion/column/cynthia-tucker-we-seem-to-need-a-blackface-history-month/article_d5afebd5-3d3b-5c77-a157-5dfb7f30debf.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-10T16:53:00-06:00,1,Cynthia Tucker,NA
3,wistatejournal,https://madison.com/wsj/news/local/crime-and-courts/fight-at-home-in-windsor-leads-to-saturday-night-stabbing/article_a101c66a-ecb2-5e9f-a1a8-b7cb4405a736.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-10T22:45:00-06:00,1,"Evans K. Chelanga


Dane County Sheriff's Office",Dane County Sheriff's Office
4,wistatejournal,https://madison.com/wsj/news/local/ask/sos/sos-phone-back-satellite-equipment-gone-and-no-trip-to/article_11d5e5ac-5239-56e3-ac40-17ce2e9ff9c4.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-11T04:45:00-06:00,1,NASA,NASA
5,wistatejournal,https://madison.com/wsj/news/local/madison-sends-out-trucks-to-plow-and-salt-roads-as/article_9724f6d4-5432-5568-8e83-d80b44e2fce1.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-10T15:15:00-06:00,1,"The Madison Streets Divison said Sunday that it was sending out its trucks to plow a fresh coat of snow and apply sand to slick roads. 


State Journal archives",State Journal archives
7,wistatejournal,https://madison.com/wsj/news/local/man-dies-in-green-lake-county-house-fire-sunday-morning/article_8d270f17-4f41-5137-bb98-ef5719050d98.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-10T22:30:00-06:00,1,"A house fire early Sunday morning killed a 29-year-old Princeton man in the Town of Green Lake. 


iStock",iStock
9,wistatejournal,https://madison.com/wsj/opinion/cartoon/hands-on-wisconsin-for-president-trump-it-was-the-right/article_34c986a1-6f22-54ad-9c1c-1fdaaf988e36.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-10T12:15:00-06:00,0,NA,NA
10,wistatejournal,https://madison.com/gallery/entertainment/fictional-characters-with-stars-on-the-hollywood-walk-of-fame/collection_c4cab422-bdaf-5c8a-ab06-a5afbac51d4f.html?utm_source=twitter.com&utm_medium=social&utm_campaign=wisconsin%20state%20journal,2019-02-10T13:00:00-06:00,10,"Date added: November 13, 1978Location: 6925 Hollywood Blvd.Reason: For his role in animated films. Dedicated on his 50th Anniversary.Mickey Mouse, the cartoon character created by Walt Disney, became the 1700th star, and first animated personality, to have his star placed on Hollywood Boulevard’s Walk of Fame in Los Angeles on Monday, Nov. 13, 1978. Minnie Mouse joined Mickey on ceremonies in front of Mann’s, formerly Grauman’s, Chinese Theater. Event was one of many that will kick off a nationwide tour for Mickey, celebrating his 50th birthday, as well as the 75th anniversary of Hollywood.


AP Photo/George Brich",AP Photo/George Brich
10,wistatejournal,,,10,"Date added: December 10, 1985Location: 7007 Hollywood Blvd.Reason: For his role in Looney Tunes short films.


By Witchblue - Witchblue, Public Domain, Link","By Witchblue - Witchblue, Public Domain, Link"
10,wistatejournal,,,10,"Date added: June 28, 1987Location: 6920 Hollywood Blvd.Reason: For her role in the first feature-length Disney animated film, Snow White and the Seven Dwarfs.


By kulo - originally posted to Flickr as DSCN3958, CC BY-SA 2.0, Link","By kulo - originally posted to Flickr as DSCN3958, CC BY-SA 2.0, Link"
