Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,ajc,https://www.ajc.com/blog/music/grammy-awards-2019-the-stage-set-for-ladies-night/jCIbepjKQdxat4y3q8jOYK/,02/08/2019 02:45:00 GMT,4,"Atlanta-based Janelle Monae might take home the biggest award of the night - Album of the Year.  (ALYSSA POINTER/ALYSSA.POINTER@AJC.COM)


            
            
                
                    Photo: Alyssa Pointer",Photo: Alyssa Pointer
1,ajc,,,4,"Shawn Mendes might get some Grammy love, too. Robb Cohen Photography & Video /RobbsPhotos.com",Photos.com
1,ajc,,,4,Lady Gaga and Bradley Cooper are a lock for a “Shallow” win.,NA
1,ajc,,,4,Greta Van Fleet is trying to get people to care about rock ‘n’ roll again.,NA
2,ajc,https://www.ajc.com/blog/music/grammy-awards-2019-diana-ross-will-perform-live-show-shaggy-will-host-pre-ceremony/xrB3e9hMGYT1IPc1tePeuM/,01/31/2019 18:30:00 GMT,1,"Diana Ross is set to perform at the upcoming Grammy Awards, the Recording Academy announced Thursday.


            
            
                
                    Photo: Kevin Winter/Getty Images",Photo: Kevin Winter/Getty Images
3,ajc,https://www.ajc.com/blog/music/grammy-awards-2019-dallas-austin-talks-savage-atlanta-super-bowl-clive-davis-pre-grammy-gala/ZNnSWnkgCqX1Fjyah3XKnO/,02/10/2019 10:20:00 GMT,4,"Clive Davis speaks onstage during the Pre-GRAMMY Gala and GRAMMY Salute to Industry Icons Honoring Clarence Avant at The Beverly Hilton Hotel on February 9, 2019 in Beverly Hills, California.


            
            
                
                    Photo: Neilson Barnard/(Credit too long, see caption)","Photo: Neilson Barnard/(Credit too long, see caption)"
3,ajc,,,4,"Dallas Austin attends the Pre-GRAMMY Gala and GRAMMY Salute to Industry Icons Honoring Clarence Avant at The Beverly Hilton Hotel on February 9, 2019 in Beverly Hills, California.",Photo: Frazer Harrison/Getty Images for NARAS
3,ajc,,,4,"'Weird Al' Yankovic attends the Pre-GRAMMY Gala and GRAMMY Salute to Industry Icons Honoring Clarence Avant at The Beverly Hilton Hotel on February 9, 2019 in Beverly Hills, California.",Photo: Frazer Harrison/Getty Images for NARAS
3,ajc,,,4,"Sammy Hagar (R) and Kari Karte attend the Pre-GRAMMY Gala and GRAMMY Salute to Industry Icons Honoring Clarence Avant at The Beverly Hilton Hotel on February 9, 2019 in Beverly Hills, California.",Photo: Frazer Harrison/Getty Images for NARAS
4,ajc,https://www.ajc.com/blog/music/grammy-awards-2019-lady-gaga-aretha-franklin-tribute-and-chloe-halle-added-performances/jAHnmyXhXBfkuscnzWZ16N/,02/06/2019 20:18:00 GMT,1,"Lady Gaga will sing her Grammy-nominated “Shallow” with Mark Ronson at the Feb. 10 Grammy Awards. 


            
            
                
                    Photo: Kevin Mazur/Getty Images",Photo: Kevin Mazur/Getty Images
5,ajc,https://www.ajc.com/entertainment/2019-grammy-nominees-with-georgia-connections/HYL9lVYGLegpml530V5AuJ/,02/10/2019 18:50:00 GMT,0,NA,NA
6,ajc,https://www.ajc.com/sports/nagbe-won-train-with-atlanta-united-for-next-few-days/NZ2JgVD6L4ym9pOcTlBwMM/?mode=new,02/10/2019 23:34:00 GMT,1,"Atlanta United midfielder Darlington Nagbe battles Sporting Kansas City forward Khiry Shelton during the first half Wednesday, May 9, 2018, in Atlanta.


            
            
                
                    Photo: Curtis Compton/ccompton@ajc.com",Photo: Curtis Compton/ccompton@ajc.com
8,ajc,https://www.ajc.com/news/national/stray-dogs-believed-have-eaten-body-dead-homeless-man/91YfLnCUiUNWLMvRANe6dP/?mode=new,02/10/2019 21:06:00 GMT,0,NA,NA
9,ajc,https://www.ajc.com/news/national/pit-bull-saves-new-york-family-from-gas-leak-home/t7zN1RXEGoJpgj8nwmI7RL/?mode=new,02/10/2019 18:40:00 GMT,0,NA,NA
11,ajc,https://www.ajc.com/news/national/stray-dogs-believed-have-eaten-body-dead-homeless-man/91YfLnCUiUNWLMvRANe6dP/,02/10/2019 21:06:00 GMT,0,NA,NA
12,ajc,https://www.ajc.com/sports/nagbe-won-train-with-atlanta-united-for-next-few-days/NZ2JgVD6L4ym9pOcTlBwMM/,02/10/2019 23:34:00 GMT,1,"Atlanta United midfielder Darlington Nagbe battles Sporting Kansas City forward Khiry Shelton during the first half Wednesday, May 9, 2018, in Atlanta.


            
            
                
                    Photo: Curtis Compton/ccompton@ajc.com",Photo: Curtis Compton/ccompton@ajc.com
13,ajc,https://www.ajc.com/news/national/woman-abduction-florida-tire-shop-caught-video/BvUFWrXtiTruZe2GXy07AM/,02/11/2019 14:10:00 GMT,0,NA,NA
