Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,bostonherald,https://www.bostonherald.com/2019/02/10/shutdown-chance-looms-as-wall-negotiations-continue/?utm_medium=social&utm_content=tw-bostonherald&utm_source=twitter.com&utm_campaign=socialflow,2019-02-10 20:25:43,1,"FILE- In this July 11, 2018, file photo Mick Mulvaney, acting director of the Consumer Financial Protection Bureau (CFPB), and Director of the Office of Management, listens during a news conference at the Department of Justice in Washington. White House Acting Chief of Staff Mick Mulvaney isn’t setting any lofty goals for this weekend’s meeting with a bipartisan mix of legislators at Camp David, but he is trying to build relationships across the aisle. (AP Photo/Jacquelyn Martin, File)","(AP Photo/Jacquelyn Martin, File)"
2,bostonherald,https://www.bostonherald.com/2019/02/10/trump-defends-work-ethic-after-private-schedules-leak/?utm_content=tw-bostonherald&utm_campaign=socialflow&utm_source=twitter.com&utm_medium=social,2019-02-10 17:10:02,1,"FILE – In this Friday, Feb. 8, 2019, file photo, President Donald Trump waves after arriving on Marine One on the South Lawn of the White House in Washington. Trump is pushing back against criticisms that a leak of his private schedule suggests he is not working hard. (AP Photo/Carolyn Kaster, File)","(AP Photo/Carolyn Kaster, File)"
3,bostonherald,https://www.bostonherald.com/2019/02/09/red-sox-may-benefit-but-mlb-must-be-careful-with-proposed-rule-changes/?utm_source=twitter.com&utm_campaign=socialflow&utm_medium=social&utm_content=tw-bostonherald,2019-02-09 14:00:18,1,MLB Commissioner Rob Manfred,NA
4,bostonherald,https://www.bostonherald.com/2019/02/09/with-six-titles-in-the-bank-how-outrageous-is-it-to-think-they-might-pull-off-no-7/?utm_medium=social&utm_source=twitter.com&utm_campaign=socialflow&utm_content=tw-bostonherald,2019-02-09 15:00:39,1,"ATLANTA, GA – FEBRUARY 03:  Tom Brady #12 of the New England Patriots talks to head coach Bill Belichick of the New England Patriots after the Patriots defeat the Rams 13-3 during Super Bowl LIII at Mercedes-Benz Stadium on February 3, 2019 in Atlanta, Georgia.  (Photo by Kevin C. Cox/Getty Images)",(Photo by Kevin C. Cox/Getty Images)
5,bostonherald,https://www.bostonherald.com/2019/02/10/millionaire-tax-amendment-rises-again-at-statehouse/?utm_campaign=socialflow&utm_medium=social&utm_source=twitter.com&utm_content=tw-bostonherald,2019-02-10 05:29:01,1,The Massachusetts  State House . Staff photo by Christopher Evans.,Staff photo by Christopher Evans.
6,bostonherald,https://www.bostonherald.com/2019/02/09/on-scene-for-battle-against-prostate-cancer/?utm_content=tw-bostonherald&utm_campaign=socialflow&utm_medium=social&utm_source=twitter.com,2019-02-09 21:09:00,1,"WEYMOUTH, MA. – FEBRUARY 8:  Dr. Peter Orio Dana-Farber/Brigham and Women’s Cancer Center in clinical affiliation with South Shore Hospital on February 8, 2019 in Weymouth, Massachusetts. (Staff Photo By Matt Stone/MediaNews Group/Boston Herald)",(Staff Photo By Matt Stone/MediaNews Group/Boston Herald)
7,bostonherald,https://www.bostonherald.com/2019/02/09/battenfeld-kennedy-gives-clout-away-and-too-early/?utm_medium=social&utm_source=twitter.com&utm_content=tw-bostonherald&utm_campaign=socialflow,2019-02-09 22:19:34,1,"LAWRENCE, MA – FEBRUARY 9: Rep. Joe Kennedy III at the podium to introduce Senator Elizabeth Warren  at Everett Mills February 9, 2019 in LAWRENCE, Massachusetts. (Staff Photo By Chris Christo/MediaNews Group/Boston Herald)",(Staff Photo By Chris Christo/MediaNews Group/Boston Herald)
8,bostonherald,https://www.bostonherald.com/2019/02/10/vonn-wins-bronze-medal-in-the-final-race-of-her-career/?utm_content=tw-bostonherald&utm_campaign=socialflow&utm_source=twitter.com&utm_medium=social,2019-02-10 12:01:56,1,"United States’ Lindsey Vonn smiles in the finish area after the women’s downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Giovanni Auletta)",(AP Photo/Giovanni Auletta)
9,bostonherald,https://www.bostonherald.com/2019/02/10/minnesota-sen-amy-klobuchar-expected-to-join-2020-dem-race/?utm_source=twitter.com&utm_medium=social&utm_campaign=socialflow&utm_content=tw-bostonherald,2019-02-10 20:45:42,1,"FILE – In this Jan. 15, 2109 file photo, Senate Judiciary Committee member Sen. Amy Klobuchar, D-Minn., during a Senate Judiciary Committee hearing on Capitol Hill in Washington. (AP Photo/Carolyn Kaster)",(AP Photo/Carolyn Kaster)
10,bostonherald,https://www.bostonherald.com/2019/02/09/uber-driver-allegedly-offered-cash-for-sex-assaulted-rider/?utm_content=tw-bostonherald&utm_source=twitter.com&utm_campaign=socialflow&utm_medium=social,2019-02-09 22:19:42,1,"Uber driver JOSE H. AREVALOS-AVALOS, AGE 37, OF HOLLISTON. Image Courtesy Ashland Police Department",Ashland Police Department
11,bostonherald,https://www.bostonherald.com/2019/02/10/virginia-lieutenant-governor-resists-calls-to-step-down/?utm_campaign=socialflow&utm_source=twitter.com&utm_medium=social&utm_content=tw-bostonherald,2019-02-10 20:05:55,1,"Virginia Lt. Gov Justin Fairfax looks over a briefing book prior to the start of the senate session at the Capitol in Richmond, Va., Thursday, Feb. 7, 2019. A California woman has accused Fairfax of sexually assaulting her 15 years ago. (AP Photo/Steve Helber)",(AP Photo/Steve Helber)
12,bostonherald,https://www.bostonherald.com/2019/02/09/patriots-reportedly-lose-assistant-coach-brendan-daly-to-chiefs/?utm_content=tw-bostonherald&utm_medium=social&utm_campaign=socialflow&utm_source=twitter.com,2019-02-09 14:23:59,1,"(Foxborough, MA, 10/09/14) Head coach Bill Belichick talks with defensive assistant Brendan Daly as the Patriots warm up for practice at Gillette. Thursday, October 9, 2014. Staff photo by John Wilcox.",Staff photo by John Wilcox.
13,bostonherald,https://www.bostonherald.com/2019/02/09/watertown-educator-killed-in-somerville-hit-and-run/?utm_campaign=socialflow&utm_source=twitter.com&utm_medium=social&utm_content=tw-bostonherald,2019-02-09 18:55:26,1,"SOMERVILLE, MA – FEBRUARY 9-SATURDAY: A makeshift memorial of balloon, flowers and candles left in memory of a woman who was struck and killed by a car at the intersection of Powder House Boulevard and Hardan Road February 9, 2019, in Somerville, Massachusetts. (Photo by Paul Connors/Media News Group/Boston Herald)",(Photo by Paul Connors/Media News Group/Boston Herald)
14,bostonherald,https://www.bostonherald.com/2019/02/09/howie-carr-aoc-aint-a-ok/?utm_campaign=socialflow&utm_content=tw-bostonherald&utm_medium=social&utm_source=twitter.com,2019-02-09 22:46:49,1,"Rep. Alexandria Ocasio-Cortez, D-NY, awaits the start of the 116th Congress on the floor of the US House of Representatives at the US Capitol on Jan. 3, 2019 in Washington, D.C. (Olivier Douliery/Abaca Press/TNS)",(Olivier Douliery/Abaca Press/TNS)
