Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,chicagotribune,https://www.chicagotribune.com/lifestyles/travel/sc-trav-nebraska-crane-migration-0205-story.html,"February 8, 2019, 8:45 AM 2019-02-08T08:45:00CST",3,Sandhill cranes stop in Nebraska each year as they migrate north. Peak season for this magical spectacle is mid- to late March.,NA
2,chicagotribune,,,3,"The Archway museum in Kearney, Neb., is built inside an arch that straddles Interstate 80.",Beth J. Harpaz/Chicago Tribune
2,chicagotribune,,,3,"The beer soak, as it is called at Chicago's Piva Beer Spa, is a transcendental moment in a day of beer-fueled relaxation.",NA
4,chicagotribune,https://www.chicagotribune.com/news/local/breaking/ct-met-charges-dismissed-ronald-watts-20190210-story.html,"February 11, 2019, 3:45 PM 2019-02-11T15:45:00CST",1,"Deon Willis, right, speaks to the media about the exonerations of several men in connection with federal charges against Kallatt Mohammed and Ronald Watts in 2018. To the left of Willis is Josh Tepfer, an attorney with the Exoneration Project.",Antonio Perez/Chicago Tribune
5,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-amy-klobuchar-2020-presidential-election-20190210-story.html,"February 10, 2019, 4:45 PM 2019-02-10T16:45:00CST",1,"Democratic Sen. Amy Klobuchar, laughs as she addresses a snowy rally where she announced she is entering the race for president on Feb. 10, 2019, at Boom Island Park in Minneapolis.",Jim Mone/AP
6,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-ralph-northam-blackface-tv-interview-20190210-story.html,"February 10, 2019, 1:23 PM 2019-02-10T13:23:00CST",1,"In his first interview since a racist photograph in his medical school yearbook came to light on Feb. 1, Virginia Gov. Ralph Northam said that despite widespread calls for his resignation he is determined to spend the remaining three years of his term pursuing ""equity.""",Katherine Frey/The Washington Post
7,chicagotribune,https://www.chicagotribune.com/news/nationworld/midwest/ct-milwaukee-officer-shooting-20190210-story.html,"February 10, 2019, 6:53 PM 2019-02-10T18:53:00CST",1,This undated image provided by the Milwaukee County Jail shows Jordan Fricke.,AP
8,chicagotribune,https://www.chicagotribune.com/news/opinion/commentary/ct-perspec-flashback-ben-lewis-24th-ward-black-alderman-murder-020319-story.html,"February 8, 2019, 7:00 AM 2019-02-08T07:00:00CST",3,"The 24th Ward’s first black alderman, who liked being known as the ""Big Cat"" and the ""Duke of Dixieland,"" won a second term in 1963. But just two days later, on Feb. 28, 1963, police found Ald. Ben Lewis handcuffed to a chair at ward headquarters, with three bullet holes in his head. Even for a city known for mob-style killings, Lewis’ murder was big news. One by one, lie detector tests were administered to potential suspects: the janitor who found Lewis’ body; the janitor’s helper; customers with a beef about his business practices; rebel precinct captains; political rivals; fired patronage workers; disappointed job-seekers; policy-wheel operators; mobsters; the gangster’s wife he’d supposedly made a pass at; his girlfriends; his ex-wife; and his wife. His murder is still unsolved.","(Chicago Tribune)
</div>"
8,chicagotribune,,,3,"Ald. Ben Lewis, the 24th Ward's first black alderman who was first elected to his seat in 1959, in an undated photo.",Chicago archive photo
8,chicagotribune,,,3,"Ella Lewis testifies on the witness stand at the inquest for her murdered husband, Ald. Ben Lewis, at the county board room on March 7, 1963.",Frederick Giese / Chicago Tribune
9,chicagotribune,https://www.chicagotribune.com/entertainment/music/ct-ent-when-are-grammys-0208-story.html,"February 8, 2019, 6:00 AM 2019-02-08T06:00:00CST",4,Fifteen-time Grammy winner Alicia Keys is hosting the 61st Grammy Awards on CBS this Sunday.,Recording Academy
9,chicagotribune,,,4,"Cover art for Cardi B's album ""Invasion of Privacy,"" Kacey Musgraves' ""Golden Hour"" and Janelle Monáe's ""Dirty Computer.""",Atlantic Records / Kelly Christine Sutton / Universal Music Group Nashville / Bad Boy Records
9,chicagotribune,,,4,Lady Gaga will perform at the Grammy Awards.,Jay L. Clendenin / Los Angeles Times
9,chicagotribune,,,4,South Korean pop sensation BTS will present at the Grammy Awards.,Jung Yeon-Je / AFP/Getty Images
10,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-elizabeth-warren-2020-iowa-20190210-story.html,"February 10, 2019, 8:50 PM 2019-02-10T20:50:00CST",1,"Sen. Elizabeth Warren, D-Mass., speaks during an event to formally launch her presidential campaign, Saturday, Feb. 9, 2019, in Lawrence, Mass.",Elise Amendola / AP
11,chicagotribune,https://www.chicagotribune.com/news/local/breaking/ct-met-naperville-home-invasion-robbery-20190210-story.html,"February 10, 2019, 1:00 PM 2019-02-10T13:00:00CST",0,NA,NA
12,chicagotribune,https://www.chicagotribune.com/business/ct-biz-nest-cameras-hacked-20190204-story.html,"February 8, 2019, 5:00 AM 2019-02-08T05:00:00CST",2,"Arjun Sud puts his 7-month-old son Oliver down for a nap in Lake Barrington. On Jan. 20, Sud heard a man's voice coming from the Nest camera mounted about his son's crib. The next cameras and thermostat in the Sud family's home had been hacked.",Erin Hooley/Chicago Tribune
12,chicagotribune,,,2,"Arjun Sud sits with his wife, Jessica, and 7-month-old son, Oliver, at their home in Lake Barrington.",Erin Hooley/Chicago Tribune
13,chicagotribune,https://www.chicagotribune.com/news/opinion/editorials/ct-edit-police-mayor-election-consent-decree-reforms-chicago-20190208-story.html,"February 8, 2019, 5:25 PM 2019-02-08T17:25:00CST",1,"Police tape surrounds a car that was carrying two people who were shot in Chicago on Feb. 6, 2019.",Armando L. Sanchez / Chicago Tribune
14,chicagotribune,https://www.chicagotribune.com/lifestyles/ct-life-women-medical-research-illinois-registry-20190207-story.html,"February 10, 2019, 8:00 AM 2019-02-10T08:00:00CST",3,Participating in a medical research study allows women to contribute to better medical treatments for all.,Tom Werner/Getty Images
14,chicagotribune,,,3,"Remember during the polar vortex when many Chicago businesses let their employees work from home and we nearly lost our minds after two days of despair and distraction? #NeverForget. To remedy the stir-crazy the next time you're allowed to work remotely, we've rounded up some quiet, quaint and creative locales through the city worth checking out.","(Randi Stevenson)
</div>"
14,chicagotribune,,,3,"Brand logos have always had a well-known presence at the U.S. Patent and Trademark Office. We affiliate the Golden Arches with McDonald's and a simplistic navy blue star with the Dallas Cowboys. But did you know that sounds can be trademarked as well — legally registered as representing a company or product? For example, the Mockingjay whistle from ""The Hunger Games."" And why not? After all, Hasbro trademarked the smell of Play-Doh (seriously). Here's a list of some familiar sounds that have been trademarked by their brands. Click the links in each caption to hear the sound.","(Darcel Rockett)
</div>"
16,chicagotribune,https://www.chicagotribune.com/news/opinion/editorials/ct-edit-measles-vaccines-20190209-story.html,"February 10, 2019, 5:00 AM 2019-02-10T05:00:00CST",1,"Measles vaccine is 97 percent effective after two doses, which usually also protect against mumps, rubella and sometimes chickenpox, according to the federal Centers for Disease Control and Prevention.",Eric Risberg/AP
17,chicagotribune,https://www.chicagotribune.com/business/ct-biz-foxconn-plant-hiring-target-20190205-story.html,"February 8, 2019, 5:35 PM 2019-02-08T17:35:00CST",1,"In a Nov. 2, 2018, photo released by China's Xinhua News Agency, a newly built Foxconn building is seen in Mount Pleasant, Wis. It had only 178 employees as of December.",Xinhua News Agency
18,chicagotribune,https://www.chicagotribune.com/suburbs/naperville-sun/news/ct-nvs-virtual-lessons-st-0210-story.html,"February 9, 2019, 1:05 PM 2019-02-09T13:05:00CST",1,"Naperville North students study on tables set up in the hallway of their school on Feb. 1. Because wireless internet is available throughout District 203 high schools, students in blended classes can work anywhere in the school on their independent study days.",Suzanne Baker/Naperville Sun
19,chicagotribune,https://www.chicagotribune.com/entertainment/tv/ct-ent-joy-behar-blackface-the-view-20190207-story.html,"February 7, 2019, 2:20 PM 2019-02-07T14:20:00CST",1,"Joy Behar arrives at the ""Lucky Guy"" Opening Night in New York.",Dario Cantatore/Invision/AP
20,chicagotribune,https://www.chicagotribune.com/news/nationworld/ct-california-national-guard-urination-20190209-story.html,"February 9, 2019, 7:55 PM 2019-02-09T19:55:00CST",5,"The 144th Fighter Wing is home to more than 100 officers, including about two dozen fighter pilots who fly F-15 Eagle aircraft, and roughly 1,000 enlistees in support units.",Tech. Sgt. Charles Vaughn / U.S. Air National Guard
20,chicagotribune,,,5,Maj. Gen. Clay L. Garrison was the head of the 144th Fighter Wing when Staff Sgt. Jennifer Pineda discovered someone had urinated in her boots.,Tech. Sgt. Charles Vaughn / U.S. Air National Guard
20,chicagotribune,,,5,Col. Sean Navin was the commander of the 194th fighter squadron at the 144th wing when Staff Sgt. Jennifer Pineda discovered someone had urinated in her boots.,Staff Sgt. Christian Jadot / U.S Air National Guard
20,chicagotribune,,,5,Retired Maj. Dan Woodside said the head of base security told him that he was ordered by 144th leadership to shut down an investigation into who urinated in Jennifer Pineda's boots and destroy all the evidence.,Kent Nishimura / Los Angeles Times
20,chicagotribune,,,5,"The 144th wing in Fresno is the biggest wing in the state, home to more than 100 officers and roughly 1,000 enlistees.",Staff Sgt. Christian Jadot / U.S Air National Guard
21,chicagotribune,https://www.chicagotribune.com/sports/basketball/bulls/ct-spt-bulls-wizards-jabari-parker-bobby-portis-20190209-story.html,"February 9, 2019, 10:45 PM 2019-02-09T22:45:00CST",1,"Jabari Parker of the Wizards dunks on Lauri Markkanen on Saturday, Feb. 9, 2019 at the United Center.",Chris Sweda/Chicago Tribune
22,chicagotribune,https://www.chicagotribune.com/news/nationworld/politics/ct-trump-democrats-oversight-20190207-story.html,"February 7, 2019, 4:40 PM 2019-02-07T16:40:00CST",2,"President Donald Trump speaks during the National Prayer Breakfast, Thursday, Feb. 7, 2019, in Washington.",Evan Vucci / AP
