Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,indystar,https://www.indystar.com/story/sports/college/2019/02/10/state-college-basketball-notre-dame-win-ease/2817558002/?utm_source=dlvr.it&utm_medium=twitter,"Published 6:48 p.m. ET Feb. 10, 2019 | Updated 8:36 p.m. ET Feb. 10, 2019",1,"Notre Dame's Arike Ogunbowale (24) shots in front of Florida State's Nicki Ekhomu (12) during the first half of an NCAA college basketball game Sunday, Feb. 10, 2019, in South Bend, Ind. (Photo: Robert Franklin, AP)","(Photo: Robert Franklin, AP)"
2,indystar,https://www.indystar.com/story/news/2019/02/10/indy-winter-classic-akc-dog-show-coolest-cutest-stuff-we-saw/2829749002/?utm_source=dlvr.it&utm_medium=twitter,"Published 6:30 p.m. ET Feb. 10, 2019 | Updated 6:34 p.m. ET Feb. 10, 2019",10,"Eva, a Chihuahua puppy, is held by handler Debbie Coggin during the Indy Winter Classic All Breed Dog Show held at the Indiana State Fairgrounds on Sunday, Feb. 10, 2019. (Photo: Michelle Pemberton/IndyStar)",(Photo: Michelle Pemberton/IndyStar)
2,indystar,,,10,Kelly Wilmes displays her crystal dog designs at the Indy Winter Classic Dog Show. (Photo: Justin L. Mack/IndyStar),(Photo: Justin L. Mack/IndyStar)
2,indystar,,,10,A dog strikes a pose in a portrait by David Beisinger (Photo: Justin L. Mack/IndyStar),(Photo: Justin L. Mack/IndyStar)
2,indystar,,,10,A piece of concrete dog yard art from the Norma's Yard Art vendor booth at the Indy Winter Classic (Photo: Justin L. Mack/IndyStar),(Photo: Justin L. Mack/IndyStar)
2,indystar,,,10,Concrete yard art created by Art Etzel of Norma's Yard Art on display at the Indy Winter Classic AKC Dog Show at the Indiana State Fairgrounds. (Photo: Justin L. Mack/IndyStar),(Photo: Justin L. Mack/IndyStar)
2,indystar,,,10,Fresh antler chews await buyers at the Indy Winter Classic (Photo: Justin L. Mack/IndyStar),(Photo: Justin L. Mack/IndyStar)
2,indystar,,,10,The International Canine Semen Bank at the Indy Winter Classic Dog Show at the Indiana State Fairgrounds. (Photo: Justin L. Mack/IndyStar),(Photo: Justin L. Mack/IndyStar)
2,indystar,,,10,"Cameron Hollins, left, and Rich White, of Divine Danes, pose for a photo with their Great Danes, Fia, left, and award winner Poppy, during the Indy Winter Classic All Breed Dog Show, held at the Indiana State Fairgrounds on Sunday, Feb. 10, 2019. Michelle Pemberton/IndyStar",Michelle Pemberton/IndyStar
2,indystar,,,10,"Eva, a Chihuahua puppy, is held by handler Debbie Coggin during the Indy Winter Classic All Breed Dog Show held at the Indiana State Fairgrounds on Sunday, Feb. 10, 2019. Michelle Pemberton/IndyStar",Michelle Pemberton/IndyStar
2,indystar,,,10,"St. Bernards show during the Indy Winter Classic All Breed Dog Show, held at the Indiana State Fairgrounds on Sunday, Feb. 10, 2019.  Michelle Pemberton/IndyStar",Michelle Pemberton/IndyStar
4,indystar,https://www.indystar.com/story/sports/columnists/gregg-doyel/2019/02/10/romeo-langford-elite-nba-draft-target-but-iu-basketball-needs-more/2817487002/?utm_source=dlvr.it&utm_medium=twitter,"Published 5:39 p.m. ET Feb. 10, 2019 | Updated 6:03 p.m. ET Feb. 10, 2019",10,"Indiana Hoosiers guard Romeo Langford (0) scores a basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. (Photo: Bobby Goddin/For IndyStar)",(Photo: Bobby Goddin/For IndyStar)
4,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) dribbles the ball during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. (Photo: Bobby Goddin/For IndyStar)",(Photo: Bobby Goddin/For IndyStar)
4,indystar,,,10,"Indiana Hoosiers guard Rob Phinisee (10) drives to the basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) goes up for a dunk during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) scores a basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers guard Rob Phinisee (10) drives through contact during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) dribbles the ball during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers guard Al Durham (1) passes the ball during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers forward De'Ron Davis (20) backs down his defender during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,indystar,,,10,"Indiana Hoosiers guard Al Durham (1) makes a layup during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
8,indystar,https://www.indystar.com/story/sports/college/indiana/2019/02/10/3-reasons-why-iu-basketball-lost-ohio-state-55-52-romeo-langford-archie-miller-juwan-morgan/2830494002/?utm_source=dlvr.it&utm_medium=twitter,"Published 3:13 p.m. ET Feb. 10, 2019 | Updated 5:42 p.m. ET Feb. 10, 2019",10,"Indiana's Juwan Morgan, middle, battles for the ball against Ohio State's Kyle Young, left, and C.J. Jackson during the first half of an NCAA college basketball game, Sunday, Feb. 10, 2019, in Bloomington, Ind. (AP Photo/Darron Cummings) (Photo: Darron Cummings, AP)","(Photo: Darron Cummings, AP)"
8,indystar,,,10,"Indiana Hoosiers guard Rob Phinisee (10) drives to the basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
8,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) goes up for a dunk during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
8,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) scores a basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
8,indystar,,,10,"Indiana Hoosiers guard Rob Phinisee (10) drives through contact during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
8,indystar,,,10,"Indiana Hoosiers guard Romeo Langford (0) dribbles the ball during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
