Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,journalsentinel,https://www.jsonline.com/story/life/music/2019/02/04/grammys-2019-predictions-who-win-and-who-should/2746104002/,"Published 9:36 a.m. CT Feb. 4, 2019 | Updated 9:58 a.m. CT Feb. 10, 2019",10,"It’s all about the music! Click ahead to see which stars and films are nominated for the 61st annual Grammy Awards.
              


               None",None
1,journalsentinel,,,10,"Record Of The Year:  ""I Like It"" — Cardi B, Bad Bunny and  J Balvin
              


               Kevin Mazur/Getty Images for Coachella",Kevin Mazur/Getty Images for Coachella
1,journalsentinel,,,10,"Record Of The Year:
""The Joke"" — Brandi Carlile
              


               Erika Goldring/WireImage",Erika Goldring/WireImage
1,journalsentinel,,,10,"Record Of The Year: ""This Is America"" — Childish Gambino
              


               Dimitrios Kambouris/Getty Images for Diamond Ball",Dimitrios Kambouris/Getty Images for Diamond Ball
1,journalsentinel,,,10,"Record Of The Year: ""God's Plan"" — Drake
              


               Jerritt Clark/Getty Images for McDonald's",Jerritt Clark/Getty Images for McDonald's
1,journalsentinel,,,10,"Record Of The Year: ""Shallow"" — Lady Gaga & Bradley Cooper
              


               WARNER BROS. PICTURES",WARNER BROS. PICTURES
1,journalsentinel,,,10,"Record Of The Year:  ""All The Stars"" — Kendrick Lamar and  SZA
              


               Getty Images for BET and Getty Images for Coachella respectively",Getty Images for BET and Getty Images for Coachella respectively
1,journalsentinel,,,10,"Record Of The Year:  ""Rockstar"" — Post Malone Featuring 21 Savage
              


               FilmMagic For dcp and Invision/AP respectively",FilmMagic For dcp and Invision/AP respectively
1,journalsentinel,,,10,"Record Of The Year:  ""The Middle"" — Zedd, Maren Morris & Grey
              


               Jeff Kravitz/FilmMagic",Jeff Kravitz/FilmMagic
1,journalsentinel,,,10,"Album Of The Year: Invasion Of Privacy — Cardi B
              


               Emma McIntyre/Getty Images for iHeartMedia",Emma McIntyre/Getty Images for iHeartMedia
2,journalsentinel,https://www.jsonline.com/story/news/nation/2019/02/10/parkland-one-year-after-shooting-where-key-figures-are-now/2721798002/,"Published 1:48 p.m. CT Feb. 10, 2019 | Updated 11:51 a.m. CT Feb. 14, 2019",10,"Jorge Zapata, 16, a student at Marjory Stoneman Douglas High School in Parkland, Fla., embraces his mother, Lavinia Zapata, after a mass shooting on Feb. 14, 2018. (Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network)",(Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network)
