Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,knoxnews,https://www.knoxnews.com/story/sports/college/university-of-tennessee/womens-basketball/2019/02/10/ut-lady-vols-mississippi-state-bulldogs-holly-warlick/2781703002/,"Published 12:31 p.m. ET Feb. 10, 2019 | Updated 5:54 a.m. ET Feb. 11, 2019",10,"Mississippi State senior guard Jordan Danberry scored 20 points in the Bulldogs' win over Tennessee. (Photo: Kelly Donoho, MSU Athletics)","(Photo: Kelly Donoho, MSU Athletics)"
2,knoxnews,,,10,"UT guard Evina Westbrook (2) shoots over Vanderbilt guard LeaLea Carter (30) and forward Mariella Fasoula (34) during the first half at Memorial Gym in Nashville, Tenn., Sunday, Feb. 3, 2019.",Andrew Nelles / Tennessean.com
2,knoxnews,,,10,"Tennessee’s Evina Westbrook (2) takes a shot at the basket over Florida's Zada Williams (12) on Thursday, January 31, 2019. ",Saul Young/News Sentinel
2,knoxnews,,,10,"Tennessee’s Evina Westbrook (2) at the free thrown line against LSU after technical fouls were called against both teams on Sunday, January 27, 2019. ",Saul Young/News Sentinel
2,knoxnews,,,10,"Tennessee’s Evina Westbrook (2) scores over LSU's Khayla Pointer (3) on Sunday, January 27, 2019. ",Saul Young/News Sentinel
2,knoxnews,,,10,"Tennessee guard Evina Westbrook (2) and Notre Dame guard Arike Ogunbowale (24) trip over one another during a game between Tennessee and Notre Dame at Thompson-Boling Arena in Knoxville, Tennessee on Thursday, January 24, 2019.",Calvin Mattheis/News Sentinel
2,knoxnews,,,10,"Tennessee guard Evina Westbrook (2) calls down the court during a game between Tennessee and Notre Dame at Thompson-Boling Arena in Knoxville, Tennessee on Thursday, January 24, 2019.",Calvin Mattheis/News Sentinel
2,knoxnews,,,10,"Tennessee guard Evina Westbrook (2) runs out onto the court during a game between Tennessee and Arkansas at Thompson-Boling Arena in , Tennessee on Monday, January 21, 2019. ",Calvin Mattheis/News Sentinel
2,knoxnews,,,10,"Tennessee guard Evina Westbrook (2) reacts after falling to Arkansas 79-80 at Thompson-Boling Arena in Knoxville, Tennessee on Monday, January 21, 2019. ",Calvin Mattheis/News Sentinel
2,knoxnews,,,10,"Tennessee’s Evina Westbrook (2) drives towards the basket while guarded by Kentucky's KeKe McKinney (3) on Thursday, January 10, 2019. ",Saul Young/News Sentinel
3,knoxnews,https://www.knoxnews.com/story/news/local/2019/02/10/tara-fox-grainger-county-car-crash/2832069002/,"Published 5:52 p.m. ET Feb. 10, 2019 | Updated 6:29 a.m. ET Feb. 12, 2019",2,"Tara Fox, right, in an undated picture with friend Jocee Winstead. Fox was killed in a car accident Saturday, February 9, 2019. (Photo: Submitted)",(Photo: Submitted)
3,knoxnews,,,2,"Tara Fox, 19, of Grainger County, was killed in a two-vehicle wreck on Western Avenue at Dale Avenue on Saturday evening. (Photo: Provided / Knoxville Police Department)",(Photo: Provided / Knoxville Police Department)
9,knoxnews,https://www.knoxnews.com/story/news/crime/2019/02/08/cold-case-unsolved-killing-john-constant-max-calhoun-gangland-murder-monroe-county-vonore-mystery/2816093002/,"Published 5:02 p.m. ET Feb. 8, 2019 | Updated 3:51 p.m. ET Feb. 19, 2019",3,John Constant (Photo: KNS Archives),(Photo: KNS Archives)
9,knoxnews,,,3,Harold E. Buckner (Photo: KNS Archives),(Photo: KNS Archives)
9,knoxnews,,,3,"Steve Crump, 10th Judicial District attorney general (Photo: Submitted)",(Photo: Submitted)
13,knoxnews,https://www.knoxnews.com/story/entertainment/columnists/sam-venable/2019/02/10/east-tennessee-weather-february-sam-venable/2769978002/,"Published 7:00 a.m. ET Feb. 10, 2019
        ",10,"Sam Venable, KNS columnist (Photo: Paul Efird)",(Photo: Paul Efird)
13,knoxnews,,,10,"Forecasts from the National Weather Service office in Morristown show temperatures in the 60s for Tuesday, Feb. 5, 2019. (Photo: National Weather Service)",(Photo: National Weather Service)
13,knoxnews,,,10,"A snowman was built on a brick pillar along a trail in Meade's Quarry on Tuesday, January 29, 2019.",Saul Young/News Sentinel
13,knoxnews,,,10,"Snow covers the trees at Mead's Quarry on Tuesday, January 29, 2019. ",Saul Young/News Sentinel
13,knoxnews,,,10,"Snow blankets the grounds at Meade's Quarry on Tuesday, January 29, 2019. ",Saul Young/News Sentinel
13,knoxnews,,,10,"Snow blankets the grounds and railroad tracks at Aultman Ave. in South Knoxville on Tuesday, January 29, 2019. ",Saul Young/News Sentinel
13,knoxnews,,,10,"Snow covers the grounds along the Will Skelton Greenway at Ijams Nature Center on Tuesday, January 29, 2019. ",Saul Young/News Sentinel
