Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,latimes,https://www.latimes.com/opinion/readersreact/la-ol-le-green-new-deal-aoc-20190210-story.html,,1,"Rep. Alexandria Ocasio-Cortez (D-N.Y.) speaks about the proposed ""Green New Deal"" with other congressional supporters of the plan in Washington on Feb. 7. (Shawn Thew / EPA/Shutterstock)",(Shawn Thew / EPA/Shutterstock)
2,latimes,https://www.latimes.com/nation/la-na-virginia-governor-northam-20190210-story.html,,1,"Gov. Ralph Northam, shown here at the funeral of Virginia State Trooper Lucas B. Dowell on Saturday in Chilhowie, Va., said Sunday on CBS’ “Face the Nation” that “Virginia needs someone that can heal. There’s no better person to do that than a doctor."" (Pool / Getty Images)",(Pool / Getty Images)
3,latimes,https://www.latimes.com/local/lanow/la-me-ln-camp-fire-seniors-mobile-home-deaths-20190209-story.html,,2,Homes leveled by the Camp fire line the Ridgewood Mobile Home Park retirement community in Paradise. (Noah Berger / Associated Press),(Noah Berger / Associated Press)
3,latimes,,,2,Institute for Canine Forensics handler Barbara Pence walks with search dog Asha amid the remains of a home in the Ridgewood Mobile Home Park in December in Paradise. (Kent Nishimura / Los Angeles Times),(Kent Nishimura / Los Angeles Times)
4,latimes,https://www.latimes.com/politics/la-na-pol-amy-klobuchar-president-election-20190210-story.html?15498406856046,,1,Sen. Amy Klobuchar (D-Minn.) addresses the crowd at a snowy rally where she announced she is entering the race for her party's presidential nomination Sunday. (Jim Mone / Associated Press),(Jim Mone / Associated Press)
5,latimes,https://www.latimes.com/politics/la-pol-ca-road-map-california-budget-payroll-gimmick-20190210-story.html,,1,An IOU issued by the California controller's office in Sacramento in July 2009. That year's state budget included a $1.6 billion shift in the days paychecks were issued -- which still exists in state operations. (Rich Pedroncelli / Associated Press),(Rich Pedroncelli / Associated Press)
6,latimes,https://www.latimes.com/sports/mlb/la-sp-bryce-harper-manny-machado-mlb-20190210-story.html,,1,Washington Nationals right fielder Bryce Harper looks on from the bench during the Nationals' final home game of the 2018 season on Sept. 26. (Manuel Balce Ceneta / Associated Press),(Manuel Balce Ceneta / Associated Press)
7,latimes,https://www.latimes.com/local/la-me-hatzolah-20190210-story.html,,2,"Aharon Sabbagh, an emergency medical technician with Hatzolah, a Jewish volunteer EMT service that primarily services the Jewish community of Pico-Robertson, waits for a medical call last month in the Beverly Hills area. (Allen J. Schaben / Los Angeles Times)",(Allen J. Schaben / Los Angeles Times)
7,latimes,,,2,"Rabbi Shmuel Manne, center, joins Hatzolah supporters at an ambulance license hearing in Santa Fe Springs. Manne is chairman of the Jewish volunteer emergency medical service. (Allen J. Schaben / Los Angeles Times)",(Allen J. Schaben / Los Angeles Times)
8,latimes,https://www.latimes.com/entertainment/music/la-et-ms-grammys-bradley-cooper-shallow-20190210-story.html,,1,"Bradley Cooper in a scene from ""A Star Is Born."" (Clay Enos / Warner Bros.)",(Clay Enos / Warner Bros.)
