Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,orlandosentinel,https://www.orlandosentinel.com/entertainment/tv/tv-guy/os-et-pulse-tyler-perry-visits-interim-memorial-20190210-story.html,2019-02-10T17:25:00EST,1,Tyler Perry at the Golden Globes in January.,Paul Drinkwater / NBCUniversal via Getty Images
2,orlandosentinel,https://www.orlandosentinel.com/news/fl-ne-gun-seizure-laws-popularity-20190210-story.html,2019-02-10T13:20:00EST,1,A file photo of weapons seized by the Broward Sheriff's Office under Florida's red-flag laws.,Broward Sheriff's Office / Courtesy
3,orlandosentinel,https://www.orlandosentinel.com/news/politics/ct-ralph-northam-blackface-tv-interview-20190210-story.html,2019-02-10T14:23:00EST,1,"In his first interview since a racist photograph in his medical school yearbook came to light on Feb. 1, Virginia Gov. Ralph Northam said that despite widespread calls for his resignation he is determined to spend the remaining three years of his term pursuing ""equity.""",Katherine Frey/The Washington Post
4,orlandosentinel,https://www.orlandosentinel.com/sports/nascar/os-sp-daytona-clash-0211-story.html,2019-02-10T16:10:00EST,1,William Byron captured the pole Sunday for the 61st Annual Daytona 500.,Jonathan Ferrey / Getty Images
5,orlandosentinel,https://www.orlandosentinel.com/entertainment/tv/tv-guy/os-et-agt-champions-miracle-workers-westminster-dog-show-20190210-story.html,2019-02-10T13:30:00EST,1,Orlando comedian Preacher Lawson has made it to the finals of 'America's Got Talent: The Champions.',Trae Patton/NBC
6,orlandosentinel,https://www.orlandosentinel.com/news/orange/os-ne-vehicle-struck-orlando-fire-truck-20190210-story.html,2019-02-10T13:10:00EST,1,A speeding car struck a fire engine Sunday morning that had pulled over on Interstate 4 near Orange Blossom Trail to help a disabled vehicle.,Orlando Fire Department
7,orlandosentinel,https://www.orlandosentinel.com/news/politics/ct-elizabeth-warren-2020-iowa-20190210-story.html,2019-02-10T21:50:00EST,1,"Sen. Elizabeth Warren, D-Mass., speaks during an event to formally launch her presidential campaign, Saturday, Feb. 9, 2019, in Lawrence, Mass.",Elise Amendola / AP
8,orlandosentinel,https://www.orlandosentinel.com/news/nationworld/ct-milwaukee-officer-shooting-20190210-story.html,2019-02-10T19:53:00EST,1,This undated image provided by the Milwaukee County Jail shows Jordan Fricke.,AP
9,orlandosentinel,https://www.orlandosentinel.com/news/fl-ne-ariana-grande-zamboni-sun-sentinel-archives-20190209-story.html,2019-02-11T04:30:00EST,1,"Ariana Grande-Butera at 5 was the first kid to get a ride on the Panther's Zamboni at an Oct. 10, 1998 hockey game.",Robert Duyos / Sun Sentinel
10,orlandosentinel,https://www.orlandosentinel.com/news/politics/ct-border-wall-government-shutdown-20190210-story.html,2019-02-11T08:55:00EST,1,"Budget talks have hit another impasse over immigration, congressional aides said.",AFP/Getty Images
11,orlandosentinel,https://www.orlandosentinel.com/news/breaking-news/os-orlando-credit-union-bank-robbery-suspect-at-large-20190210-story.html,2019-02-10T10:35:00EST,2,Composite sketch of the man Orlando police say robbed the same bank twice since January.,Orlando Police Department
11,orlandosentinel,,,2,"Orlando police are looking for this man, who is suspected in two robberies at the same back in just more than a month.",Orlando Police Department
12,orlandosentinel,https://www.orlandosentinel.com/news/politics/ct-south-korea-us-military-deal-20190210-story.html,2019-02-10T09:56:00EST,1,"South Korean Foreign Minister Kang Kyung-wha, right, and Timothy Betts, acting Deputy Assistant Secretary and Senior Advisor for Security Negotiations and Agreements in the U.S. Department of State, shake hands for the media before their meeting at Foreign Ministry in Seoul, South Korea, Sunday, Feb. 10, 2019.",Lee Jin-man / AP
13,orlandosentinel,https://www.orlandosentinel.com/sports/ct-spt-mma-ufc-234-silva-adesanya-20190210-story.html,2019-02-10T10:05:00EST,0,NA,NA
14,orlandosentinel,https://www.orlandosentinel.com/features/florida-history/os-joy-wallace-dickinson-0210-story.html,2019-02-10T07:00:00EST,1,"The Red Diving Girl, long a fixture on Daytona Beach’s Boardwalk area, swims through clear skies in January in her new perch at the One Daytona complex on International Speedway Boulevard, across from the speedway.",Joy Wallace Dickinson
15,orlandosentinel,https://www.orlandosentinel.com/news/politics/ct-amy-klobuchar-2020-presidential-election-20190210-story.html,2019-02-10T17:45:00EST,1,"Democratic Sen. Amy Klobuchar, laughs as she addresses a snowy rally where she announced she is entering the race for president on Feb. 10, 2019, at Boom Island Park in Minneapolis.",Jim Mone/AP
16,orlandosentinel,https://www.orlandosentinel.com/news/nationworld/ct-kyle-yorlets-nashville-shooting-20190209-story.html,2019-02-09T20:35:00EST,0,NA,NA
17,orlandosentinel,https://www.orlandosentinel.com/news/breaking-news/os-pedestrian-struck-fatal-crash-in-orange-county-02102019-story.html,2019-02-10T08:10:00EST,2,"A 24-year-old man was struck and killed in Orange County, troopers say.",File
17,orlandosentinel,,,2,"Take another look at notable crashes, weird incidents and unusual sights along the road.",NA
