Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,seattletimes,https://www.seattletimes.com/entertainment/music/brandi-carlile-wins-first-3-grammys-ahead-of-tonights-big-show-seattle-symphony-wins-2/?utm_content=bufferc8fbf&utm_medium=social&utm_source=twitter&utm_campaign=owned_buffer_tw_m,2019-02-10 15:20:13,10,"Brandi Carlile, left, winner of the awards for best Americana album for “By The Way, I Forgive You”, best American roots performance for “The Joke”, and best American roots song for “The Joke” and Catherine Shepherd pose in the press room at the 61st annual Grammy Awards at the Staples Center on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Chris Pizzello/Invision/AP) ",(Photo by Chris Pizzello/Invision/AP) 
1,seattletimes,,,10,"Brandi Carlile performs “The Joke” at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP) ",(Photo by Matt Sayles/Invision/AP) 
1,seattletimes,,,10,"Phil Hanseroth, from left, Brandi Carlile and Tim Hanseroth accept the award for best Americana album for “By the Way, I Forgive You” at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP) ",(Photo by Matt Sayles/Invision/AP) 
1,seattletimes,,,10,"Toni Cornell, left, and Christopher Nicholas Cornell accept the award for best rock performance for “When Bad Does Good” on behalf of their late father Chris Cornell at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP) ",(Photo by Matt Sayles/Invision/AP) 
1,seattletimes,,,10,"Rashida Jones, from left, Alan Hicks and Paula DuPre Pesmen accept the award for best music film for “Quincy” at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP)",(Photo by Matt Sayles/Invision/AP)
1,seattletimes,,,10,"Ricky Martin, Camila Cabello, and J Balvin perform during the 61st Grammy Awards at Staples Center in Los Angeles on Sunday, Feb. 10, 2019. (Robert Gauthier/Los Angeles Times/TNS)",(Robert Gauthier/Los Angeles Times/TNS)
1,seattletimes,,,10,"Lady Gaga, from left, Jada Pinkett Smith, Alicia Keys, Michelle Obama and Jennifer Lopez speak at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP) ",(Photo by Matt Sayles/Invision/AP) 
1,seattletimes,,,10,"Janelle Monae, center, performs “Make Me Feel” at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP) ",(Photo by Matt Sayles/Invision/AP) 
1,seattletimes,,,10,"Lady Gaga accepts the award for best pop duo or group performance for “Shallow” at the 61st annual Grammy Awards on Sunday, Feb. 10, 2019, in Los Angeles. (Photo by Matt Sayles/Invision/AP)",(Photo by Matt Sayles/Invision/AP)
1,seattletimes,,,10,"Shawn Mendes performs during the 61st Grammy Awards at Staples Center in Los Angeles on Sunday, Feb. 10, 2019. (Robert Gauthier/Los Angeles Times/TNS)",(Robert Gauthier/Los Angeles Times/TNS)
