Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,starledger,https://www.nj.com/opinion/2019/02/cory_booker_made_it_official_sheneman_cartoon.html?utm_campaign=starledger_sf&utm_medium=social&utm_content=nj_starledger_twitter&utm_source=twitter,2019-02-10T09:30:48Z,0,NA,NA
2,starledger,https://www.nj.com/opinion/2019/02/to-live-or-not-to-live-the-decision-should-be-yours-moran.html?utm_medium=social&utm_campaign=starledger_sf&utm_content=nj_starledger_twitter&utm_source=twitter,2019-02-10T08:34:31Z,1,"Debra Dunn speaks before the Senate health committee before they approved a bill that would allow doctors to prescribe life-ending meds to terminally ill patients. Hearing were held at the Statehouse Annex in Trenton, N.J. Thursday, February, 7, 2019 (Ed Murray | NJ Advance Media for NJ.com) Ed Murray | NJ Advance Media for",Ed Murray | NJ Advance Media for
3,starledger,https://www.nj.com/opinion/2019/02/all-donald-trump-is-saying-is-give-peace-a-chance-mulshine.html?utm_campaign=starledger_sf&utm_medium=social&utm_content=nj_starledger_twitter&utm_source=twitter,2019-02-10T06:30:06Z,1,"President Trump gives his State of the Union address to a joint session of Congress. (Doug Mills/The New York Times via AP, Pool)",AP Photo
4,starledger,https://www.nj.com/opinion/2019/02/im_afraid_of_donald_trumps_taxes_sheneman_cartoon.html?utm_medium=social&utm_source=twitter&utm_campaign=starledger_sf&utm_content=nj_starledger_twitter,2019-02-08T09:30:53Z,0,NA,NA
5,starledger,https://www.nj.com/opinion/2019/02/the_state_of_the_union_is_full_of_it_sheneman_cart.html?utm_medium=social&utm_content=nj_starledger_twitter&utm_campaign=starledger_sf&utm_source=twitter,2019-02-07T09:30:56Z,0,NA,NA
6,starledger,https://www.nj.com/rutgersfootball/2019/02/this-seals-it-greg-schiano-is-never-coming-back-to-rutgers-politi.html?utm_campaign=starledger_sf&utm_source=twitter&utm_medium=social&utm_content=nj_starledger_twitter,2019-02-07T07:09:36Z,1,"The homecoming between Rutgers and Greg Schiano is not going to happen, not with Schiano getting a job in New England.",Marvin Fong
7,starledger,https://www.nj.com/opinion/2019/02/steve-sweeney-vs-phil-murphy-big-budget-battle-brewing-in-trenton-mulshine.html?utm_source=twitter&utm_campaign=starledger_sf&utm_medium=social&utm_content=nj_starledger_twitter,2019-02-07T06:33:19Z,1,Phil Murphy address a group of labor unions during a 2017 rally with Senate President Stephen Sweeney. (Aristide Economopoulos),Aristide Economopoulos
8,starledger,https://www.nj.com/opinion/2019/02/verniero-sees-mistakes-in-brennan-rape-case-murphy-ignores-them-moran.html?utm_source=twitter&utm_campaign=starledger_sf&utm_medium=social&utm_content=nj_starledger_twitter,2019-02-06T19:00:03Z,1,"Peter Verniero former Justice of the New Jersey Supreme Court, was hired by Gov. Phil Murphy to conduct an internal investigation. (Patti Sapone/The Star-Ledger) SL","Sapone, Patti"
9,starledger,https://www.nj.com/opinion/2019/02/murphy-flubbed-the-housing-aid-bill-fix-it-or-step-aside-editorial.html?utm_content=nj_starledger_twitter&utm_medium=social&utm_campaign=starledger_sf&utm_source=twitter,2019-02-06T08:41:58Z,1,"Gov. Murphy vetoed Senate President Steve Sweeney's bill to provide more emergency aid for the homeless, because it was too large an expense for the middle of a fiscal year. Julio Cortez | Associated Press",AP Photo
10,starledger,https://www.nj.com/opinion/2019/02/state-of-the-state-of-emergency-can-trump-get-out-of-the-corner-he-put-himself-in-mulshine.html?utm_campaign=starledger_sf&utm_source=twitter&utm_medium=social&utm_content=nj_starledger_twitter,2019-02-05T06:36:27Z,1,"Rick Cavazos is mayor of Los Indios, Texas. The mayor supports a border wall and says it has protected his community.",(Andre Malok | NJ Advance Media for NJ.com)
