Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,startelegram,https://www.star-telegram.com/news/state/texas/article226071935.html#storylink=rss,"February 10, 2019 05:43 PM",1,"A 22-year-old woman from Alvord died on Saturday night after losing control of her truck, according to the Texas Department of Public Safety. 

Courtesy: McClatchy Co.",Courtesy: McClatchy Co.
4,startelegram,https://www.star-telegram.com/news/local/community/fort-worth/article226070085.html#storylink=rss,"February 10, 2019 04:33 PM",1,"A nurse in a Fort Worth hospital is suing Thyssenkrupp Elevator Corp. after the elevator she was riding plunged several floors causing her serious injuries, according to a lawsuit filed in Tarrant County District Court.",Provided Provided
6,startelegram,https://www.star-telegram.com/sports/dfwvarsity/article226005610.html#storylink=rss,"February 10, 2019 12:32 PM",1,"Mansfield Summit post Tommisha Lampkin shoots over Grapevine’s Kate Dickson in the first half in the Mansfield Spring Creek high school basketball tournament in 2017. 

Brad Loper
Special to the Star-Telegram",Brad Loper Special to the Star-Telegram
7,startelegram,https://www.star-telegram.com/news/local/community/fort-worth/article226062705.html#storylink=rss,"February 10, 2019 10:48 AM",1,"Christopher Rogers is accused of biting off part of a Denton police officer’s ear during a struggle with officers. 

Courtesy: Denton police",Courtesy: Denton police
9,startelegram,https://www.star-telegram.com/news/local/community/fort-worth/article226062330.html#storylink=rss,"February 10, 2019 09:20 AM",1,"A motorcyclist was killed Friday afternoon in a Hurst traffic accident. 

Courtesy: Star-Telegram archives",Courtesy: Star-Telegram archives
10,startelegram,https://www.star-telegram.com/sports/mlb/texas-rangers/article226012985.html#storylink=rss,"February 10, 2019 08:34 AM",1,"Willie Calhoun showed improvement defensively from spring training until his 2018 Rangers debut after the All-Star break. He has shown more improvement all around this off-season. 

Jim Cowsert
AP",Jim Cowsert AP
11,startelegram,https://www.star-telegram.com/news/local/community/fort-worth/article226061690.html#storylink=rss,"February 10, 2019 08:15 AM",1,"A man was injured early Sunday in a shooting at a Fort Worth grocery store parking lot. 

Courtesy: McClatchy Co.",Courtesy: McClatchy Co.
12,startelegram,https://www.star-telegram.com/sports/other-sports/article226055795.html#storylink=rss,"February 09, 2019 10:34 PM",0,NA,NA
13,startelegram,https://www.star-telegram.com/sports/other-sports/article226040310.html#storylink=rss,"February 09, 2019 10:33 PM",1,"Marty Yates of Stephenville 

Richard W. Rodriguez
rrodriguez@star-telegram.com",Richard W. Rodriguez rrodriguez@star-telegram.com
14,startelegram,https://www.star-telegram.com/sports/college/mens-basketball/article226040645.html#storylink=rss,"February 09, 2019 08:56 PM",1,"UNT head coach Grant McCasland’s Mean Green fell to Old Dominion on Jan. 31, 2019. 

Rick Yeatts
Rick Yeatts Photography",Rick Yeatts Rick Yeatts Photography
