Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,stltoday,https://www.stltoday.com/news/local/govt-and-politics/two-years-in-trump-is-the-disruptor-in-chief/article_da951f18-484f-565b-a949-28c58d97e621.html?utm_content=bufferd8101&utm_medium=social&utm_source=twitter.com&utm_campaign=LEEDCC,2019-02-10T10:00:00-06:00,1,"From left, President Donald Trump, Vice President Mike Pence, Sen. Roy Blunt, R-Mo., and Senate Majority Leader Mitch McConnell, as Trump speaks while departing after a Senate Republican Policy luncheon in Washington on Jan. 9. (AP Photo/Alex Brandon)",(AP Photo/Alex Brandon)
2,stltoday,https://www.stltoday.com/news/local/columns/tony-messenger/messenger-better-together-thought-it-was-starting-a-campaign-and/article_e5e209a1-e808-5cb3-a64c-e0df06756599.html?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=dlvr,2019-02-10T14:30:00-06:00,1,"Marius Johnson-Malone (center) of Better Together takes a reporter's question surrounded by Dave Leipholtz (left) Will Ross, St. Louis County Executive Steve Stenger, St. Louis Mayor Lyda Krewson and Washington University Chancellor Mark Wrighton following an unveiling event for plans to merge the city and county held at the Cheshire hotel on Monday, Jan. 28, 2019. Photo by Robert Cohen, rcohen@post-dispatch.com","(left) Will Ross, St. Louis County Executive Steve Stenger, St. Louis Mayor Lyda Krewson and Washington University Chancellor Mark Wrighton following an unveiling event for plans to merge the city and county held at the Cheshire hotel on Monday, Jan. 28, 2019. Photo by Robert Cohen, rcohen@post-dispatch.com"
3,stltoday,https://www.stltoday.com/business/local/the-bottom-line-tax-filing-season-will-be-different-this/html_2a570ce4-223d-5b0d-b14c-7cbcba805024.html?utm_content=buffer37061&utm_medium=social&utm_source=twitter.com&utm_campaign=LEEDCC,2019-02-11T10:15:00-06:00,0,NA,NA
4,stltoday,https://www.stltoday.com/news/local/crime-and-courts/st-louis-police-investigate-shooting-near-ballpark-village/article_d737cf03-d4a2-5a37-bbe1-186a6e9bfeb1.html?utm_content=buffer534e8&utm_medium=social&utm_source=twitter.com&utm_campaign=LEEDCC,2019-02-11T10:00:00-06:00,0,NA,NA
5,stltoday,https://www.stltoday.com/news/local/metro/icy-conditions-causing-problems-on-highways/article_dd86259c-a6dd-5db6-a8d5-b69d9037d656.html?utm_content=bufferffc41&utm_medium=social&utm_source=twitter.com&utm_campaign=LEEDCC#tracking-source=home-top-story-1,2019-02-10T14:45:00-06:00,10,"A St. Charles County Police Department officer and police dog weren't injured in this rollover accident Feb. 10, 2019. Photo by SCCPD",Photo by SCCPD
5,stltoday,,,10,"A crashed car sits on the side of Interstate 44 eastbound just west of the Compton Avenue overpass in St. Louis on Sunday, Feb. 10, 2019. An icy rain fell across the St. Louis area on Sunday morning making travel treacherous and causing numerous accidents. Temperatures are expected to warm in the afternoon which should improve road conditions. Photo by David Carson, dcarson@post-dispatch.com","Photo by David Carson, dcarson@post-dispatch.com"
5,stltoday,,,10,"Lucretia Taper steps lightly on an icy road while getting into her freshly cleaned-off car in St. Louis on Sunday, Feb. 10, 2019. ""I'm going out to buy some salt,"" she said. An icy rain fell across the St. Louis area on Sunday morning, making travel treacherous. Photo by David Carson, dcarson@post-dispatch.com","Photo by David Carson, dcarson@post-dispatch.com"
5,stltoday,,,10,"Rafael Rodriguez scrapes the ice off his car in downtown St. Louis on Sunday, Feb. 10, 2019. An icy rain fell across the St. Louis area on Sunday morning, making travel treacherous. Photo by David Carson, dcarson@post-dispatch.com","Photo by David Carson, dcarson@post-dispatch.com"
5,stltoday,,,10,"Icicles hang from a street sign on Washington Avenue in downtown St. Louis on Sunday, Feb. 10, 2019. An icy rain fell across the St. Louis area on Sunday morning, making travel treacherous. Photo by David Carson, dcarson@post-dispatch.com","Photo by David Carson, dcarson@post-dispatch.com"
5,stltoday,,,10,"Wet and icy roads caused many accidents on St. Louis roads the morning of Sunday, Feb. 10, 2019. This crash was on eastbound Interstate just before Compton Avenue in St. Louis. Photo by David Carson, St. Louis Post-Dispatch","Photo by David Carson, St. Louis Post-Dispatch"
