Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,toledonews,https://www.toledoblade.com/a-e/living/2019/02/10/better-late-for-some-seniors-love-and-companionship-not-limited-by-age/stories/20190210013," ""Sun, 10 Feb 2019 12:15:00 GMT",10,"""Dean Sonner and Nancy Chew sit together at Genesis Village. They have found love after 50."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Jackie Geer and Steve Poppe at their home."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Jackie Geer and Steve Poppe at their home."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Jackie Geer and Steve Poppe at their home."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Jan Spindler sits in the lounge at Genesis Village. She shared her story of finding love at Genesis Village, a Toledo retirement community."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Jan Spindler sits in the library at Genesis Village."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Gail Broeker holds a picture of her dog, Moe, at the East Toledo Senior Center. Broeker says her boyfriend, Tom Shanteau, fell in love with her dog before her."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Dean Sonner and Nancy Chew sit together at Genesis Village."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,"""Gail Broeker, left, and Tom Shanteau, right, sit on the couch in the East Toledo Senior Center."",","""THE BLADE\/AMY E. VOIGT"","
2,toledonews,,,10,NA,NA
3,toledonews,https://www.toledoblade.com/news/medical/2019/02/10/promedica-barbershop-health-program-groomed-in-west-toledo/stories/20190131129," ""Sun, 10 Feb 2019 13:00:00 GMT",7,"""Stevie Harris recieves a beard trim from Groomed owner Tawann Gaston."",","""THE BLADE\/LORI KING"","
3,toledonews,,,7,"""James Brazzel III gets his blood sugar checked during his hair cut appointment at Groomed in Toledo."",","""THE BLADE\/LORI KING"","
3,toledonews,,,7,"""Clifford Wellington interacts with the barbers as he gets his blood sugar tested at Groomed in Toledo."",","""THE BLADE\/LORI KING"","
3,toledonews,,,7,"""Toledo Hospital stroke coordinator Mary Britton checks the blood pressure of Jose Castillo after his hair cut."",","""THE BLADE\/LORI KING"","
3,toledonews,,,7,"""Stevie Harris receives a beard trim from Groomed owner Tawann Gaston."",","""THE BLADE\/LORI KING"","
3,toledonews,,,7,"""Dr. Brian Dolsey, a cardiologist with ProMedica who is involved with the health system's barbershop program."",","""ProMedica"","
3,toledonews,,,7,"""Toledo Hospital cardiac educator Londa Ommert checks the blood pressure of Groomed barber Brandon Easterling."",","""THE BLADE\/LORI KING"","
4,toledonews,https://www.toledoblade.com/local/transportation/2019/02/09/little-information-why-huron-street-still-closed-huntington-center/stories/20190208130," ""Sat, 09 Feb 2019 13:30:00 GMT",3,"""No workers are present and much of the equipment is gone, but Huron Street remains closed between Madison Avenue and Jefferson Street."",","""THE BLADE\/DAVE ZAPOTOSKY"","
4,toledonews,,,3,"""There is no word yet on when Huron Street will reopen."",","""THE BLADE\/DAVE ZAPOTOSKY"","
4,toledonews,,,3,"""The work on Huron Street was supposed to have been finished by Jan. 18, but the street remains closed and information has been scant."",","""THE BLADE\/DAVE ZAPOTOSKY"","
5,toledonews,https://www.toledoblade.com/local/community-events/2019/02/08/evening-with-john-cusack-stories-behind-grosse-pointe-blank/stories/20190209065," ""Sat, 09 Feb 2019 04:40:43 GMT",4,"""John Cusack speaks after a showing of 'Grosse Pointe Blank.'"",","""THE BLADE\/KURT STEISS"","
5,toledonews,,,4,"""John Cusack waves as he walks out before a Q&A session."",","""THE BLADE\/KURT STEISS"","
5,toledonews,,,4,"""Brigette Burnett, Daily Downtown host, left, moderates as John Cusack speaks during a question and answer session."",","""THE BLADE\/KURT STEISS"","
5,toledonews,,,4,"""John Cusack points to the audience as he answers questions after a showing of 'Grosse Pointe Blank' at the Stranahan Theater."",","""THE BLADE\/KURT STEISS"","
6,toledonews,https://www.toledoblade.com/local/courts/2019/02/08/lonzo-rivers-video-extortion-voluntary-manslaugher-jury-deliberations-begin-South-Toledo-murder-case/stories/20190208106," ""Fri, 08 Feb 2019 20:27:54 GMT",4,"""Defendant Lonzo Rivers, left, confers with defense lawyer Sam Kaplan during his murder trial."",","""THE BLADE\/LORI KING"","
6,toledonews,,,4,"""Defendant Lonzo Rivers is escorted of the courtroom by deputy sheriffs during a break in his murder trial."",","""THE BLADE\/LORI KING"","
6,toledonews,,,4,"""Lucas County prosecutor Drew Wood gives his closing statement to the jury during the murder trial of Lonzo Rivers at the Lucas County Common Pleas Court in Toledo."",","""THE BLADE\/LORI KING"","
6,toledonews,,,4,"""Defense attorney Sam Kaplan gives his closing remarks to the jury during the Lonzo Rivers murder trial."",","""THE BLADE\/LORI KING"","
7,toledonews,https://www.toledoblade.com/local/environment/2019/02/08/flood-warning-maumee-river-side-cut-metropark-perrysburg/stories/20190208127," ""Sat, 09 Feb 2019 00:50:52 GMT",10,"""Large chunks of ice bowled over this speed sign on River Road in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Nolan Foster, left, and his father-in-law, Tim Kohler, walk down River Road in Maumee to view the ice formations that caused the road to close."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Nolan Foster, left, and his father-in-law, Tim Kohler, check to see if there is water damage to Mr. Kohler's shed after it was flooded. Mr. Kohler lives on River Road and his backyard is by the Maumee River."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Waterville resident Chad Young, right, is among curious residents who ventured out to River Road in Waterville to view the ice formations that covered the road just west of Side Cut Metropark in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Perrysburg resident Andrew Leslie climbs ice boulders that covered River Road in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Waterville resident Chad Young walks past an ice chunk taller than him. Ice covered a stretch of River Road in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Evidence of flooding on a prairie in Side Cut Metropark in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Perrysburg resident Andrew Leslie clambers over ice chunks that covered River Road in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""People check out ice chunks that littered River Road in Maumee."",","""THE BLADE\/LORI KING"","
7,toledonews,,,10,"""Ice chunks were all over River Road in Maumee."",","""THE BLADE\/LORI KING"","
8,toledonews,https://www.toledoblade.com/local/animals/2019/02/08/local-competitors-headed-to-143rd-westminster-kennel-club-dog-show/stories/20190207134," ""Fri, 08 Feb 2019 18:23:31 GMT",10,"""Fergie (Crossroad Jokeyhill Big Girls Don’t Cry), an English springer spaniel, is returning to Westminster with co-breeder and co-owner Laurie Green."",",NA
8,toledonews,,,10,"""Dex, whose official name is Kaska's Destiny de Los Vitorones, likes to do 'the piggy nose,' a characteristic his grandfather and mother both did."",",NA
8,toledonews,,,10,"""Irish setter Crimsonacre Come Running, or Gavin, is co-owned by Laurie Green."",",NA
8,toledonews,,,10,"""BretD N Adventureland Star Coach, or CJ, is co-bred and co-owned by John and Elaine Bachey of BretD Kennels in Rossford."",","""COURTESY OF RHONDA CASSIDY"","
8,toledonews,,,10,"""Dex, with his owner, Lindsey Cook of Oregon."",",NA
8,toledonews,,,10,"""Dex (Kaska’s Destiny de Los Vitorones), co-bred by Lindsey Cook of Kaska’s English Setters in Oregon, is just 9 months old."",","""GREG SMITH"","
8,toledonews,,,10,"""Handler Dave Slattum is here with CJ, a 2-year-old who is headed to Westminster tied as the No. 3 Dalmatian in the country."",","""COURTESY OF RHONDA CASSIDY"","
8,toledonews,,,10,"""Kendra Williams, 15, practices for Westminster with her dog Apollo, a pharaoh hound, at the Toledo Kennel Club in Holland, Ohio, on Feb. 7, 2017."",","""THE BLADE\/LORI KING"","
8,toledonews,,,10,"""Kendra Williams, 15, practices for Westminster with her dog Apollo, a pharaoh hound, at the Toledo Kennel Club in Holland, Ohio, on Feb. 7, 2017."",","""THE BLADE\/LORI KING"","
8,toledonews,,,10,"""Junior handler Kendra Williams handling a Siberian husky."",",NA
9,toledonews,https://www.toledoblade.com/sports/ohio-state/2019/02/08/college-football-ohio-state-buckeyes-ryan-day-new-hampshire/stories/20190209002," ""Fri, 08 Feb 2019 18:23:09 GMT",10,"""Ryan Day answers questions during a news conference announcing his hiring as Ohio State football head coach to replace Urban Meyer, who announced his retirement Dec. 4 in Columbus."",","""ASSOCIATED PRESS"","
9,toledonews,,,10,"""The sign at Pappy's Pizza."",","""COLIN HASS-HILL\/TWITTER"","
9,toledonews,,,10,"""Manchester Central High School, the alma mater of Ohio State coach Ryan Day."",","""THE BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""Manchester Central High School, the alma mater of Ohio State coach Ryan Day."",","""THE BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""The University of New Hampshire's Wildcat Stadium, where Ryan Day played college football."",","""THE BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""The University of New Hampshire's Wildcat Stadium, where Ryan Day played college football."",","""THE BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""A New Hampshire football team photo. Ryan Day is No. 12."",","""BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""Ryan Day was inducted into the Manchester Central Hall of Fame. Other members include Adam Sandler and Chip Kelly."",","""THE BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""From Ryan Day's senior yearbook."",","""BLADE\/KYLE ROWLAND"","
9,toledonews,,,10,"""Ryan Day's high school football team. Day is No. 8."",","""BLADE\/KYLE ROWLAND"","
11,toledonews,https://www.toledoblade.com/local/police-fire/2019/02/08/toledo-police-department-african-american-police-league/stories/20190210027," ""Fri, 08 Feb 2019 12:00:00 GMT",6,"""Shirley Green looks at the new exhibit about the history of African-American police officers at the Toledo Police Museum in Toledo."",","""THE BLADE\/REBECCA BENSON"","
11,toledonews,,,6,"""On Feb. 9, 1945, officer Jake Chandler was killed during World War II while trying to save his comrades."",","""TOLEDO POLICE DEPARTMENT"","
11,toledonews,,,6,"""The new exhibit of the history of African-American police officers sits in the Toledo Police Museum."",","""THE BLADE\/REBECCA BENSON"","
11,toledonews,,,6,"""Shirley Green talks about the new exhibit on the history of African-American police officers at the Toledo Police Museum."",","""THE BLADE\/REBECCA BENSON"","
11,toledonews,,,6,"""Exhibits honoring officer Jake Chandler and others at the Toledo Police Museum."",","""THE BLADE\/REBECCA BENSON"","
11,toledonews,,,6,"""On Feb., 1 1887, Albert King became the first African-American appointed as a Toledo police officer. Mr. King retired on Jan. 2, 1914, after 27 years."",","""TOLEDO POLICE DEPARTMENT"","
13,toledonews,https://www.toledoblade.com/local/suburbs/2019/02/08/perrysburh-tea-tree-asian-bistro-pleads-for-help-as-he-s-stuck-in-south-korea/stories/20190208084," ""Fri, 08 Feb 2019 14:35:25 GMT",7,"""From left are Kim Yi and Sung Yi, sister and mother respectively of Tong Yi, on Friday at the Tea Tree Asian Bistro in Perrysburg."",","""THE BLADE\/JEREMY WADSWORTH"","
13,toledonews,,,7,"""The Tea Tree Asian Bistro in Perrysburg."",","""THE BLADE"","
13,toledonews,,,7,"""Tong Yi"",","""FROM FACEBOOK"","
13,toledonews,,,7,"""Tong Yi"",","""FROM FACEBOOK"","
13,toledonews,,,7,"""Kim Yi, sister of Tong Yi, says her brother is 'the face of Tea Tree.'"",","""THE BLADE\/JEREMY WADSWORTH"","
13,toledonews,,,7,"""Tea Tree Asian Bistro in Perrysburg."",","""THE BLADE\/JEREMY WADSWORTH"","
13,toledonews,,,7,"""Tea Tree Asian Bistro in Perrysburg."",","""THE BLADE\/JEREMY WADSWORTH"","
15,toledonews,https://www.toledoblade.com/local/education/2019/02/08/philanthropist-pete-kaden-discuss-ambitious-education-plan-with-TPS/stories/20190207188," ""Fri, 08 Feb 2019 13:00:00 GMT",3,"""Pete Kadens"",","""THE BLADE"","
15,toledonews,,,3,"""Toledo Mayor Wade Kapszukiewicz, left, Pete Kadens, an Ottawa Hills native and philanthropist, center, and Gretchen DeBacker, legislative director, right, speak to The Blade editorial board on Thursday, Feb. 7, 2019."",","""THE BLADE\/AMY E. VOIGT"","
15,toledonews,,,3,"""Pete Kadens, an Ottawa Hills native and philanthropist, speaks to The Blade editorial board on Thursday, Feb. 7, 2019."",","""THE BLADE\/AMY E. VOIGT"","
16,toledonews,https://www.toledoblade.com/local/city/2019/02/07/toledo-regional-water-commission-could-be-in-place-by-2020/stories/20190207164," ""Fri, 08 Feb 2019 04:07:16 GMT",3,"""The water tower at Toledo's Collins Water Treatment Plant."",","""THE BLADE"","
16,toledonews,,,3,"""Water treatment filters at Collins Park Water Treatment Plant in Toledo. Officials say Toledo and its suburban customers are close to calculating what water rates would be under the Toledo Area Water Authority."",","""THE BLADE"","
16,toledonews,,,3,"""Toledo Director of Public Utilities Ed Moore"",","""The Blade"","
18,toledonews,https://www.toledoblade.com/news/deaths/2019/02/07/congressman-john-dingell-dies-at-age-92/stories/20190207191," ""Fri, 08 Feb 2019 02:32:13 GMT",9,"""U.S. Rep. John Dingell speaks during a groundbreaking ceremony for the Ventower Industries wind tower manufacturing facility in Monroe, Mich., in 2010."",","""THE BLADE"","
18,toledonews,,,9,"""Rep. John Dingell (D., Mich.) speaks at an event marking the 50th anniversary of Medicare and Medicaid on Capitol Hill in Washington in 2015."",","""ASSOCIATED PRESS"","
18,toledonews,,,9,"""Rep. John Dingell speaks on Capitol Hill in Washington in 2013."",","""ASSOCIATED PRESS"","
18,toledonews,,,9,"""U.S. Rep. John Dingell in 2011."",","""THE BLADE"","
18,toledonews,,,9,"""Congressman John Dingell speaks to dignitaries and guests during the ceremonial signing transferring donated and purchased land to the Port of Monroe for the restoration and development of River Raisin National Battlefield Park in 2011. Mr. Dingell, who served in Congress for 59 years, died Thursday at the age of 92."",","""THE BLADE"","
18,toledonews,,,9,"""This 1955 file photo provided by Rep. John Dingell's office shows the congressman being sworn in by mentor and Speaker of the House Sam Rayburn of Texas in 1955."",","""ASSOCIATED PRESS"","
18,toledonews,,,9,"""John Dingell congratulates Monroe, Mich., organizations for working together to enhance the River Raisin Battlefield in 2007."",","""THE BLADE"","
18,toledonews,,,9,"""This undated file photo provided by Rep. John Dingell's office, shows the congressman with President John F. Kennedy."",","""ASSOCIATED PRESS"","
18,toledonews,,,9,"""Congressman John Dingell, left, and Secretary of the Interior Ken Salazar sign the act which transfers donated and purchased land to the Port of Monroe for the restoration and development of River Raisin National Battlefield Park on July 6, 2011."",","""THE BLADE"","
19,toledonews,https://www.toledoblade.com/a-e/tv-radio/2019/02/07/wwe-smackdown-invades-huntington-center-xavier-woods/stories/20190207035," ""Fri, 08 Feb 2019 02:10:33 GMT",2,"""Xavier Woods will be among the WWE superstars in action Tuesday when Smackdown comes to the Huntington Center in Toledo."",","""WWE"","
19,toledonews,,,2,"""WWE superstar Xavier Woods"",","""WWE"","
20,toledonews,https://www.toledoblade.com/local/transportation/2019/02/07/toledo-area-paratransit-tarta-service-cuts-social-services/stories/20190207169," ""Thu, 07 Feb 2019 22:51:20 GMT",3,"""Toledo Area Regional Paratransit Service buses wait in front of the Amtrak station in 2012."",","""The Blade"","
20,toledonews,,,3,"""A combination of Toledo social service agencies and federal funds might be able to resurrect recently cut Sunday paratransit service in the area."",","""The Blade"","
20,toledonews,,,3,"""Bruce Baumhower"",","""The Blade"","
21,toledonews,https://www.toledoblade.com/sports/high-school/2019/02/07/boys-basketball-archbold-following-charmed-script/stories/20190207152," ""Thu, 07 Feb 2019 23:29:51 GMT",10,"""Archbold's Elijah Zimmerman puts up a shot against Wauseon."",","""THE BLADE"","
21,toledonews,,,10,"""Archbold's Archbold's Austin Wiemken drives to the basket against Wauseon."",","""THE BLADE"","
21,toledonews,,,10,"""Archbold's Jeron Williams defends against Wauseon's Trent Armstrong."",","""THE BLADE"","
21,toledonews,,,10,"""Elijah Zimmerman defends during an Archbold practice. The Blue Streaks' strong senior class has set the foundation for an 18-0 start to the season."",","""The Blade\/Rebecca Benson"","
21,toledonews,,,10,"""Archbold's Rigo Ramos shoots over Wauseon's Sean Brock during the Blue Streaks' 47-42 win this season."",","""THE BLADE"","
21,toledonews,,,10,"""“We know how to push each other...The more competitive the practice is, the more prepared you are for games.” Archbold senior Rigo Ramos."",","""The Blade\/Rebecca Benson"","
21,toledonews,,,10,"""Joe Frank, right, played for Archbold's state tournament team in 1978-79. The Blue Streaks are undefeated in his first season as head coach."",","""The Blade\/Rebecca Benson"","
21,toledonews,,,10,"""Elijah Zimmerman fights for the ball during an Archbold basketball practice Monday February 4, 2019."",","""The Blade\/Rebecca Benson"","
21,toledonews,,,10,"""Archbold head coach Joe Frank"",","""THE BLADE"","
21,toledonews,,,10,"""Archbold's Austin Wiemken"",","""The Blade\/Rebecca Benson"","
22,toledonews,https://www.toledoblade.com/a-e/food/2019/02/06/schmuckers-restaurant-52-finest-toledo-diner-homemade-food-pies/stories/20190601014," ""Wed, 06 Feb 2019 11:00:00 GMT",9,"""Kelsey Cardell, left, of Toledo and Ed Your of Tiffin buy pies during the Pie Day event in January, 2018."",","""THE BLADE"","
22,toledonews,,,9,"""Angela Ferguson pours sugar on cherry pies at Schmucker's Restaurant in January, 2018."",","""The Blade"","
22,toledonews,,,9,"""Vice President Joe Biden made a stop at Schmucker's Restaurant in 2012."",","""The Blade"","
22,toledonews,,,9,"""Pam Poland bringing lunch to a family at a booth at Schmucker's Restaurant in July, 2008."",","""The Blade"","
22,toledonews,,,9,"""Schmucker's Restaurant started in 1948 when Nola and Harvey, center, started serving good food at an affordable price on Reynolds Road. At left is current owner Doug Schmucker, and at right is his father, Allen."",","""THE BLADE"","
22,toledonews,,,9,"""Alice Schmucker works behind the counter of the family restaurant in July, 2008."",","""The Blade"","
22,toledonews,,,9,"""Carol Speaks stands with some homemade pies at Schmucker's Restaurant in July, 2008."",","""The Blade"","
22,toledonews,,,9,"""Doug Schmucker takes an order on the company phone in a working phone booth at Schmucker's Restaurant in July, 2008."",","""The Blade"","
22,toledonews,,,9,"""Pies cook in an oven at Schmucker's Restaurant in January, 2018."",","""The Blade"","
23,toledonews,https://www.toledoblade.com/local/courts/2019/02/07/lonzo-rivers-dakoda-rogers-fired-weapon-in-self-defense/stories/20190207144," ""Thu, 07 Feb 2019 20:41:06 GMT",2,"""Defendant Lonzo Rivers listens to opening statements during his murder trial at the Lucas County Common Pleas Court in Toledo."",","""THE BLADE\/LORI KING"","
23,toledonews,,,2,"""Defense attorney Sam Kaplan gives his opening remarks to the jury during the Lonzo Rivers trial at the Lucas County Common Pleas Court in Toledo."",","""THE BLADE\/LORI KING"","
