Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,virginianpilot,https://pilotonline.com/news/local/crime/article_ed761c88-2bf4-11e9-b8d9-4ba9b350c4a4.html,2019-02-10T16:00:00-05:00,1,"Tyler Wrucke, accused in child abduction case in Hampton, didn't go to trial Friday because he wasn't talking to his attorneys and was just staring down at the defense table.",Hampton Police Division / Handou
2,virginianpilot,https://pilotonline.com/news/local/crime/article_bfaa363a-2d7b-11e9-bc87-878b5345845a.html,2019-02-10T16:35:00-05:00,1,NA,Steve Earley/Staff
3,virginianpilot,https://pilotonline.com/news/local/article_b2211cfc-24c7-11e9-8304-db59a1e96899.html,2019-02-10T14:46:00-05:00,2,"Danielle Lam of Publishers Clearing House presents Natalie Glover of Chesapeake with a check for $10,000 on Jan. 23, 2019, at Glover's employer, CMA CGM, in Norfolk.",David Macaulay/For The Virginian-Pilot
3,virginianpilot,,,2,"Danielle Lam of Publishers Clearing House Prize Patrol and cameraman John Warner try to track down Natalie Glover in Chesapeake on Jan. 23, 2019.",David Macaulay/For The Virginian-Pilot
4,virginianpilot,https://pilotonline.com/news/military/local/article_1ec2abb2-2bc3-11e9-ae2b-e358e275209c.html,2019-02-10T15:00:00-05:00,1,"The Army is inviting science fiction writers of all types to submit a 5,000-word short story based on a battle scenario in 2030. It's part of the Mad Scientist Initiative, a future-thinking effort from Army Training and Doctrine Command, headquartered at Fort Eustis in Newport News. - Original Source: Image courtesy of U.S. Army",U.S. Army
5,virginianpilot,https://pilotonline.com/life/flavor/restaurants/peake-eats/article_bbd07ea8-28b6-11e9-9a18-c714e3a241b1.html,2019-02-08T05:55:00-05:00,1,"Celebrate National Pancake Day on March 12 with a stack of blueberry pancakes at Pop’s Diner. Three flapjacks are stacked on a platter, with a generous amount of blueberry sauce – full of whole blueberries – poured on top. The dish was garnished with rosettes of fresh whipped cream.",Patrick Evans-Hylton/For The Virginian-Pilot
6,virginianpilot,https://pilotonline.com/news/government/nation/article_2e04cab4-2d4a-11e9-b2c0-6bc71a4fd2a2.html,2019-02-10T10:44:00-05:00,0,NA,NA
7,virginianpilot,https://pilotonline.com/life/flavor/article_4925f55a-2bda-11e9-bf8b-cb8b7d3206bb.html,2019-02-10T13:00:00-05:00,6,"Sam Edwards stands in the field where the curing and smoke houses of Edwards Virginia Smokehouse stood before they were destroyed in a fire not long ago in Surry on Monday, December 6, 2018.",Stephen M. Katz/Staff
7,virginianpilot,,,6,"The fire that destroyed the Edwards Virginia smokehouse on January 19, 2016, has turned into an insurance battle that has lasted three years. ""I honestly thought the check was gonna be here within a week. We were already drawing up plans to rebuild,"" said Sam Edwards in 2018.",Courtesy Sam Edwards IV
7,virginianpilot,,,6,"Sam Edwards Sr. (far left) and a young Sam Edwards Jr. (far right) in a photograph from the late 1930s at Edwards Virginia smokehouse, pictured with two early employees in Surry, Virginia.",Courtesy Sam Edwards III
