Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
3,theoklahoman,https://www.oklahoman.com/article/5622328?access=0e0e586cb32a7fca8bba442d4043e5c9,"Friday, February  8, 2019             |       by David Dishman",1,Beverly Beddoe bags a bottle of wine before scanning a customer's other groceries inside the Homeland store at Classen and NW 18 on the first day of wine and strong beer sales in grocery stores. [NATE BILLINGS/THE OKLAHOMAN],[NATE BILLINGS/THE OKLAHOMAN
4,theoklahoman,https://www.oklahoman.com/article/5622352,"Friday, February  8, 2019             |       by Melissa Howell",3,Tania Smith prepares to distribute dictionaries to third grade students at North Highland Elementary School as part of her work with the Oklahoma City Rotary Club. [Photo by Jim Beckel/The Oklahoman],[Photo by Jim Beckel/The Oklahoman
4,theoklahoman,,,3,Students flip through pages of their new dictionaries after receiving them this week. [Jim Beckel/The Oklahoman],[Jim Beckel/The Oklahoman
4,theoklahoman,,,3,Tania Smith talks to third grade students this week at North Highland Elementary School. Her love for math as a child compelled her into a career in finance. [Photo by Jim Beckel/The Oklahoman],[Photo by Jim Beckel/The Oklahoman
5,theoklahoman,https://www.oklahoman.com/article/5622345?access=40d917b6900a34d37e5fb9fd74606656,"Friday, February  8, 2019             |       by Tim Willert",1,"The playground at Gatewood Elementary School is shown in this 2014 file photo. Gatewood would be closed under Oklahoma City Public Schools’ proposed restructuring project. 
 [The Oklahoman Archives]",[The Oklahoman Archives
7,theoklahoman,https://www.oklahoman.com/article/5622268?access=4e71a55748815192c9a046fe012641f5,"Thursday, March 28, 2019             |       by Brandy McDonnell",1,"Caissie Levy appears as ""Elsa"" in Disney's ""Frozen"" the musical. Photo by Deen Van Meer",Photo by Deen Van Meer
8,theoklahoman,https://www.oklahoman.com/article/5622191?access=0be8fcf9a65c9b105ffe1ec03ac2c6d3,"Thursday, February  7, 2019             |       by Tim Willert",1,A Norman principal is accused of using his cellphone when he lost control of a school bus on a Texas highway. [METRO CREATIVE CONNECTION IMAGE],[METRO CREATIVE CONNECTION IMAGE
9,theoklahoman,https://www.oklahoman.com/article/5622220?access=2c7f5998a8bd31f2505fb51ea97650c0,"Thursday, February  7, 2019             |       by Ben Felder",5,"Gov. Kevin Stitt speaks in the House of Representatives chamber during Rose Day, an annual anti-abortion event, Wednesday at the state Capitol. [Nate Billings/The Oklahoman]",[Nate Billings/The Oklahoman
9,theoklahoman,,,5,"Tim Taylor and Ann Taylor, of Hennessey, chat Wednesday after leaving roses in the office of Sen. Chuck Hall during Rose Day at the state Capitol. [Nate Billings/The Oklahoman]",[Nate Billings/The Oklahoman
9,theoklahoman,,,5,"Gov. Kevin Stitt, left, hugs Lt. Gov. Matt Pinnell after Pinnell spoke and introduced Stitt in the House of Representatives chamber during Rose Day. [Nate Billings/The Oklahoman]",[Nate Billings/The Oklahoman
9,theoklahoman,,,5,"Gov. Kevin Stitt, left, shakes hands with Lt. Gov. Matt Pinnell during Rose Day. [Nate Billings/ The Oklahoman]",[Nate Billings/ The Oklahoman
9,theoklahoman,,,5,People in the gallery of the House of Representatives chamber applaud during Rose Day at the state Capitol. [Nate Billings/The Oklahoman],[Nate Billings/The Oklahoman
16,theoklahoman,https://www.oklahoman.com/article/5621757?access=d643d955bfc49734a34a43eb65f65f65,"Thursday, March 28, 2019       |     From Staff Reports",1,Rachel Lynch,Rachel Lynch
17,theoklahoman,https://www.oklahoman.com/article/5621735?access=72febd3b5e87f4c5e736efd0187c819e,"Thursday, March 28, 2019             |       by Brandy McDonnell",1,"Guitarist Rocky Armstrong feels the music while performing with the band Shortt Dogg in front of a capacity crowd at Capitol Hill Library's Black History Month celebration ""All That Jazz"" on Saturday, Feb. 18, 2017. Photo by Jim Beckel, The Oklahoman Archives","Photo by Jim Beckel, The Oklahoman Archives"
18,theoklahoman,https://www.oklahoman.com/article/5621674?access=1eaed2e556e9544a410d3e8bf5f021bb,"Friday, February  1, 2019       |     From Staff Reports",0,NA,NA
19,theoklahoman,https://www.oklahoman.com/article/5621644?access=4d3db85549466d95a082435d0482a6d2,"Friday, February  1, 2019             |       by Jack Money",4,NA,NA
19,theoklahoman,,,4,A Chesapeake Energy production pad in the south Texas Eagle Ford Shale field is shown. [Photos provided by Chesapeake Energy],[Photos provided by Chesapeake Energy
19,theoklahoman,,,4,A rig drills a well for Chesapeake Energy in December in the south Texas Eagle Ford Shale field.,NA
19,theoklahoman,,,4,Chesapeake Energy's Oklahoma City campus is shown in this 2016 photograph. [The Oklahoman Archives],[The Oklahoman Archives
20,theoklahoman,https://www.oklahoman.com/article/5621705?access=497cadf17bde405506e7f82b8ab8f4a8,"Friday, February  1, 2019             |       by Nolan Clay",1,"Former Oklahoma State Senator Ralph Shortey appears for arraignment at the Cleveland County Courthouse on Friday, March 24, 2017 in Norman, Okla.  [The Oklahoman archives]",[The Oklahoman archives
22,theoklahoman,https://www.oklahoman.com/article/5621615?access=855efbefb14ce03b98e5c7323ab981e2,"Thursday, January 31, 2019       |     FROM STAFF REPORTS",1,"Former state Rep. Lisa Billy, shown speaking at the state Capitol in 2015, has been named secretary of Native American Affairs. [AP File Photo]",[AP File Photo
23,theoklahoman,https://www.oklahoman.com/article/5621616?access=2b021c89453c5cff38a695e3f8bdaca6,"Thursday, January 31, 2019             |       by Jacob Unruh",1,"Classen SAS' Darianna Littlepage-Buggs. [Photo by Bryan Terry, The Oklahoman]","[Photo by Bryan Terry, The Oklahoman"
24,theoklahoman,https://www.oklahoman.com/article/5621609?access=a4272d22056ed1480896e7fe5814a69c,"Thursday, January 31, 2019             |       by Justin Wingerter",1,U.S. Rep. Kendra Horn,NA
25,theoklahoman,https://www.oklahoman.com/article/5621585?access=f70cb67b8a9b039488f8082f4f53f27b,"Thursday, January 31, 2019       |     BY BROOKE LEFFERTS Associated Press",3,"Rachel Brosnahan stars in ""The Marvelous Mrs. Maisel."" [Photo by Nicole Rivelli, Amazon]","[Photo by Nicole Rivelli, Amazon"
25,theoklahoman,,,3,"Tony Shalhoub stars in ""The Marvelous Mrs. Maisel."" [Photo by Nicole Rivelli, Amazon]","[Photo by Nicole Rivelli, Amazon"
25,theoklahoman,,,3,"Alex Borstein stars in ""The Marvelous Mrs. Maisel."" [Photo by Nicole Rivelli, Amazon]","[Photo by Nicole Rivelli, Amazon"
26,theoklahoman,https://www.oklahoman.com/article/5621546?access=b1c30dfe63fc540247126acc5cd3ad31,"Thursday, January 31, 2019             |       by William Crum",1,"The highway lighting north of NW 63 on Interstate 235 has been the victim of copper theft in the past. [Photo by Doug Hoke, The Oklahoman]","[Photo by Doug Hoke, The Oklahoman"
27,theoklahoman,https://www.oklahoman.com/article/5621588?access=e0b0a2aac95de9787fe297cf341aa7de,"Thursday, March 28, 2019             |       by Berry Tramel",10,"Oklahoma City's Paul George (13) shoots over Milwaukee's Sterling Brown (23)  during a NBA preseason game between the Oklahoma City Thunder and Milwaukee Bucks at Chesapeake Energy Arena in Oklahoma City,  Tuesday, Oct. 9, 2018. Photo by Sarah Phipps, The Oklahoman","Photo by Sarah Phipps, The Oklahoman"
