Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,sacbee_news,https://www.sacbee.com/news/nation-world/national/article226064920.html,"February 10, 2019 11:08 AM",1,"A retired cop was arrested after firing his gun at a shoplifting suspect at a Riverside Home Depot store, police said.",Screen grab of KCAL9 news video
2,sacbee_news,https://www.sacbee.com/entertainment/living/home-garden/article225517780.html,"February 06, 2019 03:00 AM",1,"Does a pepper have three bumps or four? It doesn’t matter, the Bee’s Plant Lady says.",David Middlecampdmiddlecamp@thetribunenews.com
3,sacbee_news,https://www.sacbee.com/entertainment/arts-culture/article225961805.html,"February 10, 2019 02:28 PM",6,"Performance artist David Garibaldi opens for the band Kiss at Golden 1 Center on Saturday, Feb. 9, 2019. Garibaldi paints three art pieces during the opener that will be auctioned off to benefit 916 Ink, a local arts-based creative writing nonprofit organization.",Daniel Kimdkim@sacbee.com
3,sacbee_news,,,6,"Gene Simmons, bassist and co-lead singer of Kiss, performs during a concert at Golden 1 Center, Saturday, Feb. 9, 2019. Thousands of fans came to watch the ‘One Last Kiss: End of the Road World Tour’.",Daniel Kimdkim@sacbee.com
3,sacbee_news,,,6,"Paul Stanley, a rhythm guitarist and singer for Kiss, gestures to the crowd during a performance at Golden 1 Center on Saturday, Feb. 9, 2019. Thousands of fans came to watch the ‘One Last Kiss: End of the Road World Tour’.",Daniel Kimdkim@sacbee.com
3,sacbee_news,,,6,"Paul Stanley, a rhythm guitarist and singer for Kiss, points at the crowd during a performance at Golden 1 Center on Saturday, Feb. 9, 2019. Thousands of fans came to watch the ‘One Last Kiss: End of the Road World Tour’.",Daniel Kimdkim@sacbee.com
3,sacbee_news,,,6,"Paul Stanley, right, gestures to Gene Simmons during concert at Golden 1 Center, Saturday, Feb. 9, 2019. Thousands of fans came to watch the ‘One Last Kiss: End of the Road World Tour’.",Daniel Kimdkim@sacbee.com
3,sacbee_news,,,6,"Fans stand outside Golden 1 Center to take pictures while waiting in line for the Kiss concert, Saturday, Feb. 9, 2019.",Daniel Kimdkim@sacbee.com
6,sacbee_news,https://www.sacbee.com/news/politics-government/election/presidential-election/article226009395.html,"February 10, 2019 12:41 PM",0,NA,NA
22,sacbee_news,https://www.sacbee.com/sports/mlb/san-francisco-giants/article226037075.html,"February 09, 2019 02:01 PM",2,"Sacramento resident Ronny Cobb, left, takes a photo with Giants CEO Larry Baer on Monday in Las Vegas. Cobb’s tweet accidentally alerted the baseball world that the Giants were in town to speak with free-agent outfielder Bryce Harper. 

Courtesy of Ronny Cobb",Courtesy of Ronny Cobb
22,sacbee_news,,,2,Bryce Harper played his first seven major league seasons with the Washington Nationals. The Giants are among the teams interested in the free-agent outfielder.,Kathy WillensThe Associated Press
25,sacbee_news,https://www.sacbee.com/food-drink/article226042435.html,"February 09, 2019 01:15 PM",0,NA,NA
26,sacbee_news,https://www.sacbee.com/news/local/crime/article226055805.html,"February 09, 2019 07:15 PM",1,NA,NA
27,sacbee_news,https://www.sacbee.com/entertainment/living/home-garden/article225517780.html,"February 06, 2019 03:00 AM",1,"Does a pepper have three bumps or four? It doesn’t matter, the Bee’s Plant Lady says.",David Middlecampdmiddlecamp@thetribunenews.com
28,sacbee_news,https://www.sacbee.com/news/local/article226052280.html,"February 09, 2019 06:08 PM",1,"Attendees of the “Pahela Falgun” celebration at Folsom High School pose for a photo, Saturday, Feb. 9, 2019.",David Bustamante
29,sacbee_news,https://www.sacbee.com/food-drink/article226042435.html,"February 09, 2019 01:15 PM",0,NA,NA
32,sacbee_news,https://www.sacbee.com/news/nation-world/national/article226032995.html,"February 09, 2019 09:18 AM",1,"Lindsey Tuttle and her husband Jonathan Tuttle pose with baby gator Fred for a maternity photo on Facebook on Feb. 2, 2019. 

Trisha Bergold
Facebook",Facebook
33,sacbee_news,https://www.sacbee.com/food-drink/article226042435.html,"February 09, 2019 01:15 PM",0,NA,NA
34,sacbee_news,https://www.sacbee.com/sports/high-school/article226040070.html,"February 09, 2019 04:32 PM",1,"The West Campus girls celebrate their second consecutive CIF State championship March 23, 2018, at Golden 1 Center. The Warriors are the No. 2 seed in the Sac-Joaquin Section Division IV playoffs this year. Brackets for all divisions were released Saturday. 

Jose Luis Villegas
Sacramento Bee file",Sacramento Bee file
35,sacbee_news,https://www.sacbee.com/food-drink/article226042435.html,"February 09, 2019 01:15 PM",0,NA,NA
36,sacbee_news,https://www.sacbee.com/sports/mlb/san-francisco-giants/article226037075.html,"February 09, 2019 02:01 PM",2,"Sacramento resident Ronny Cobb, left, takes a photo with Giants CEO Larry Baer on Monday in Las Vegas. Cobb’s tweet accidentally alerted the baseball world that the Giants were in town to speak with free-agent outfielder Bryce Harper. 

Courtesy of Ronny Cobb",Courtesy of Ronny Cobb
36,sacbee_news,,,2,Bryce Harper played his first seven major league seasons with the Washington Nationals. The Giants are among the teams interested in the free-agent outfielder.,Kathy WillensThe Associated Press
37,sacbee_news,https://www.sacbee.com/sports/spt-columns-blogs/hometown-report/article226040140.html,"February 09, 2019 01:52 PM",5,"Jake Browning passed for 12,296 yards and 94 touchdowns in four years with Washington.",Jae C. Hong   AP
37,sacbee_news,,,5,"UC Davis wide receiver Keelan Doss, a two-time All-American, had 3,744 receiving yards and 26 touchdowns in three seasons.",Brian Baer   Special to The Sacramento Bee
37,sacbee_news,,,5,"Wyoming defensive end Carl Granderson had 173 career tackles, including 35 1/2 for loss, and 16 1/2 sacks as a three-year starter.",Andres Leighton   AP
37,sacbee_news,,,5,"USC linebacker Cameron Smith recorded 354 career tackles, including 26 1/2 for loss, as a four-year starter and two-time team captain.",Rick Scuteri   AP
37,sacbee_news,,,5,Alabama offensive lineman Jonah Williams could be the highest-drafted player in Sacramento-area history. The Folsom High School graduate is one of five players with ties to the region scheduled to attend the NFL scouting combine.,Michael WoodsAP
38,sacbee_news,https://www.sacbee.com/news/local/news-columns-blogs/marcos-breton/article225592530.html,"February 09, 2019 01:03 PM",1,"Sacramento Bee reporters Tony Bizjak and Dale Kasler, with their editor Ryan Lillis, join columnist Marcos Bretón (right) posing for a Golden 1 Center fan moment with the Kings’ Jerry Reynolds in December 2018.",(right) posing for a Golden 1 Center fan moment with the Kings’ Jerry Reynolds in December 2018.
39,sacbee_news,https://www.sacbee.com/food-drink/article226042435.html,"February 09, 2019 01:15 PM",0,NA,NA
40,sacbee_news,https://www.sacbee.com/opinion/op-ed/article225950185.html,"February 08, 2019 12:01 AM",3,"These packaged gummy bears were among 150 pounds of cannabis-infused edibles seized by Fresno police during an April 27 raid of a central Fresno dispensary even though they are clearly marked as containing CBD, a compound found to have a host of medicinal benefits.",John Walkerjwalker@fresnobee.com
40,sacbee_news,,,3,NA,NA
40,sacbee_news,,,3,NA,NA
44,sacbee_news,https://www.sacbee.com/news/article226035320.html,"February 09, 2019 11:04 AM",0,NA,NA
45,sacbee_news,https://www.sacbee.com/entertainment/music-news-reviews/article225509950.html,"February 06, 2019 03:00 AM",1,"Gene Simmons, left, guitarist Tommy Thayer and singer Paul Stanley of Kiss will rock Golden 1 Center on Saturday.",Britta PedersenAP
46,sacbee_news,https://www.sacbee.com/sports/nba/sacramento-kings/article226037420.html,"February 09, 2019 10:57 AM",1,"Sacramento Kings guard Ben McLemore (23) grabs a pass during a game at Golden 1 Center on Monday, October 8, 2018 in Sacramento, Calif.",Paul Kitagaki Jr.pkitagaki@sacbee.com
