Index,ID,User_ID,Friends_Count,Followers_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
1,1094739050278187008,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,2,2,2019-02-10 23:25:03,"Massive 200-person brawl at Henrietta bar leaves firetruck bloodied, sends three to hospital with stab w... https://t.co/qAUuOI7hrl #ROC"
2,1094712631347228672,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,2,0,2019-02-10 21:40:04,Nicholas Kalpin of Hamlin dies in snowmobile crash in the Adirondacks https://t.co/u6PLTU8tAc #ROC
3,1094712628377575424,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,10,16,2019-02-10 21:40:04,"Section V hockey playoff primer: The power seedings are out, here is what you need to know https://t.co/MiWJ1buNLf #ROC"
4,1094701300342611968,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,5,16,2019-02-10 20:55:03,Spencerport's new king of_wrestling wins at Section V SuperSectionals https://t.co/4TOZcmW8zr #ROC
5,1094698813825081344,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,4,8,2019-02-10 20:45:10,Dinolfo launches workforce development program to help offset job-training costs in IT https://t.co/J2dUdVBHzu #ROC
6,1094698810771615744,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,3,4,2019-02-10 20:45:09,Video: thousands take the Rochester Polar Plunge for the Special Olympics https://t.co/ecXwTljvrx #ROC
7,1094695009855520768,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,0,1,2019-02-10 20:30:03,Who can you spot? 2019 Rochester Polar Plunge. https://t.co/AxRmPS5Thu #ROC
8,1094679915750780929,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,2,21,2019-02-10 19:30:04,"Four-legged therapists in schools reduce anxiety, lower blood pressure and build confidence https://t.co/ToHtBtJCj5 #ROC"
9,1094679912013692928,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,4,16,2019-02-10 19:30:03,"Meet Ruby, the new therapy dog at Spencerport High https://t.co/yHAbd78npc #ROC"
10,1094667330095730693,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,0,1,2019-02-10 18:40:04,"Four-legged therapists provide comfort, support throughout area schools https://t.co/F34SgPRlkV #ROC"
11,1094658520455106561,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,1,6,2019-02-10 18:05:03,"Greenlight continues to expand Webster, Irondequoit coverage areas and doubles staff https://t.co/SQpgELCHUP #ROC"
12,1094653486468218880,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,3,3,2019-02-10 17:45:03,"2019 Rochester Polar Plunge raises more than $250,000 for Special Olympics New York https://t.co/tiHXFR8yDB #ROC"
13,1094648451785056256,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,0,0,2019-02-10 17:25:03,Valerie Reyes feared 'someone is going to murder me' the night before she went missing https://t.co/OwBNlV13Wv #ROC
14,1094622028814897152,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,1,3,2019-02-10 15:40:03,"Rochester Wine Festival offers apology, refunds https://t.co/rNTla4sogJ #ROC"
15,1094586799312130048,17022537,4815,132772,4120,1304,172224,2008-10-28 15:09:05,0,0,2019-02-10 13:20:04,"Could Amazon's Bezos wreck AMI, owner of National Enquirer, with blackmail charges? https://t.co/5zK4ABd9m4 #ROC"
