Index,ID,User_ID,Friends_Count,Followers_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
1,1094738080005832704,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,15,118,2019-02-10 23:21:12,No. 12 UH knocks off No. 25 Cincinnati to take first place in AAC https://t.co/yh73Teg0VL
2,1094726452560437248,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,2,0,2019-02-10 22:34:59,Books of love for young readers https://t.co/SG2A6gAIwc
3,1094722840853663744,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,2,3,2019-02-10 22:20:38,"Kylie Jenner, Travis Scott paint the town red at Clive Davis' Pre-Grammy Gala https://t.co/c3gblscsT5"
4,1094716353204895744,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,7,17,2019-02-10 21:54:52,"A number of prominent figures, including @terrycrews and #MeToo founder @TaranaBurke, are reacting to our exclusive… https://t.co/gevv30AXSj"
5,1094715834717667328,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,11,15,2019-02-10 21:52:48,Church leaders across the country are reacting to the @HoustonChron's 'alarming and scandalous' Southern Baptist se… https://t.co/GH0XhGxjdT
6,1094714225044451330,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,0,3,2019-02-10 21:46:24,Photos: Josh Abbott Band brings country to Texas dance hall https://t.co/ppJ0Ckmk6b
7,1094699966713552896,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,1,5,2019-02-10 20:49:45,Scoring tear for Wheatley's Telisha Brown could find way into record books https://t.co/17BLsghXDI
8,1094697086187118592,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,0,3,2019-02-10 20:38:18,"Michelle Trotter, Crosby make it back to playoffs https://t.co/HoMXVfV4IN"
9,1094676130861408258,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,5,5,2019-02-10 19:15:02,Toilet paper. Dignity. And other things I lacked in prison. https://t.co/XCb3mNSQr2
10,1094670714429456385,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,16,18,2019-02-10 18:53:30,Subscriber Exclusive: A joint investigation by the @HoustonChron and @ExpressNews has discovered roughly 380 Southe… https://t.co/bBWsLLZkKB
11,1094670544799236096,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,6,24,2019-02-10 18:52:50,"Loving moment between girl, pig at TX rodeo goes viral https://t.co/PLMmnT1Txp"
12,1094668844055097346,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,2,0,2019-02-10 18:46:05,Man shot several times in Spring home invasion https://t.co/7aIDzxQ2nG
13,1094664316610064384,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,3,3,2019-02-10 18:28:05,"Clink, clink: Lindsey Vonn walks away with another medal https://t.co/cwGf0ZWcbc"
14,1094662608144220161,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,1,6,2019-02-10 18:21:18,Girls basketball playoff pairings: Bi-district round https://t.co/xpaSMYrfUj
15,1094660622829133825,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,0,3,2019-02-10 18:13:24,Great nations don’t quit wars before they prevail [Opinion] https://t.co/03iXXl2CW6
16,1094654736454832129,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,2,3,2019-02-10 17:50:01,The 25 schools in Houston ISD with the most students who faced discipline last year https://t.co/TUuf1FSvAv
17,1094651685358702592,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,3,3,2019-02-10 17:37:54,Houston police officer injured when car hits barricade on 610 https://t.co/15IUxz6XIl
18,1094641451194032132,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,13,19,2019-02-10 16:57:14,Church leaders react to 'alarming and scandalous' investigation https://t.co/Qp6HQ6bcQ0
19,1094637752346382337,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,3,8,2019-02-10 16:42:32,Nancy Pelosi gets rock star treatment at Grammys gala https://t.co/kgPnwQTWYN
20,1094630826816483334,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,5,12,2019-02-10 16:15:01,"As Jennifer Aniston turns 50, can you guess her age in these photos? https://t.co/fjmSbuIFD7"
21,1094620710931218433,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,32,29,2019-02-10 15:34:49,"The Survivors Network for Those Abused By Priests (SNAP)
*Now works with victims from all religious groups
1-877-SN… https://t.co/k9xNs4kybG"
22,1094620594468020227,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,31,30,2019-02-10 15:34:21,"National Child Abuse Hotline
1.800.422.4453
https://t.co/MuR53vBFw4

Texas Association Against Sexual Assault
1-844… https://t.co/pSwIK77Um2"
23,1094620406345068545,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,26,23,2019-02-10 15:33:36,"Crisis Intervention of Houston
Main hotline: 832-416-1177
Teen hotline: 832-416-1199
By text (for teens): 281-201-4… https://t.co/k3gNdpxdf2"
24,1094620237553635328,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,119,200,2019-02-10 15:32:56,"We understand that our ""Abuse of Faith"" investigation might be bringing up some painful memories. If you are a vict… https://t.co/d9liGMREJ7"
25,1094619510227783680,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,1,4,2019-02-10 15:30:02,Salute to our Heroes puts veterans and education first https://t.co/xi71BLUrEC
26,1094617684602507266,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,5,7,2019-02-10 15:22:47,Nassar victim reacts to Southern Baptist sex abuse investigation https://t.co/JEhYdy37k2
27,1094615979118731265,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,0,6,2019-02-10 15:16:01,Katy ISD’s Miller Career &amp; Tech Center hosts open house https://t.co/rAIIK7CRNv
28,1094615294167994368,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,0,3,2019-02-10 15:13:17,Undefeated! Lady Lions finish season unbeaten in Spring https://t.co/PFSAVBfq8b
29,1094615088831582208,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,28,73,2019-02-10 15:12:28,15/ Help our journalists uncover the big stories. Subscribe today. https://t.co/svRJ0A3pay
30,1094615018602184705,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,27,68,2019-02-10 15:12:12,14/ Sign up for our Must Reads newsletter to get the @HoustonChron's biggest investigations delivered to your inbox: https://t.co/8Vmzeiuj8j
31,1094614914143010818,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,72,119,2019-02-10 15:11:47,"13/ Read our stories, watch videos with victims and perpetrators, or view our database of the ~220 church leaders/v… https://t.co/dRkzOgn38j"
32,1094611503280545792,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,57,104,2019-02-10 14:58:13,"12/ Other leaders agreed: ""The fact that criminal activity occurs in a church context is always the basis of grief,… https://t.co/4gvhjpuVRt"
33,1094610831151677446,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,62,110,2019-02-10 14:55:33,11/ Current SBC president @jdgreear and others are again trying to address the issue. But Greear said he has little… https://t.co/bzaNIjRbQp
34,1094610585730379776,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,114,172,2019-02-10 14:54:35,"10/ At least 35 pastors, employees or volunteers who exhibited predatory behavior were able to find jobs at churche… https://t.co/7INju8d1c2"
35,1094610417593315330,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,142,243,2019-02-10 14:53:55,"9/ Leaders say they have little oversight over the SBC's 47,000 autonomous and self-governing churches. Yet they've… https://t.co/CWxnkAyuH9"
36,1094610296633724929,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,97,197,2019-02-10 14:53:26,"8/ The SBC does not track ordinations or abuse allegations. ""It's a perfect profession for a con artist, because al… https://t.co/CTboQjHWBC"
37,1094610174831222796,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,138,221,2019-02-10 14:52:57,"7/ Some died from suicides or drug overdoses that loved ones blame on the trauma

""So many people’s faith is murder… https://t.co/qT5PIGa2D1"
38,1094609045166673925,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,185,201,2019-02-10 14:48:27,"6/ The youngest of the 700 victims was 3. 

Many more were adolescents who were molested, solicited, exposed to por… https://t.co/r7LjoKbrFf"
39,1094608761317138432,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,114,173,2019-02-10 14:47:20,"5/ They left behind more than 700 victims, many of them shunned by their churches. Others said church leaders —incl… https://t.co/Tr6epwwxlH"
40,1094607589588037632,8940342,525,609744,360,4842,190898,2007-09-17 22:42:49,519,598,2019-02-10 14:42:40,"4/ Since 1998, ~380 Southern Baptist church leaders or volunteers have faced sexual misconduct allegations. Most we… https://t.co/fROdA62LJU"
