Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,bostonglobe,https://www.bostonglobe.com/news/world/2019/02/10/hezbollah-leader-appears-israeli-recycling/2FiadwLHTU7JPsLw3hvE0M/story.html?camp=bg%3Abrief%3Arss%3Afeedly&rss_id=feedly_rss_brief&s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-10 21:13,1,"A billboard shows Hezbollah militant leader Hassan Nasrallah above a major highway in Tel Aviv on Sunday. Above Nasrallah&apos;s finger reads the caption: ""I don&apos;t recycle bottles."" and beneath him, the poster says: ""Nasrallah has been stuck in a bunker for 12 years. What is your excuse?""",Ariel Schalit/Associated Press
2,bostonglobe,https://www.bostonglobe.com/metro/2019/02/09/the-call-from-dcf-have-your-children/nCr8MqBS6H73NuCxOCsMyM/story.html?s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-09 21:35,4,Cynthia cleaned her children’s room before a visit from a Department of Children and Families worker at her home.,Jessica Rinaldi/Globe Staff
2,bostonglobe,,,4,"“If I had known back then what I know now,” Cynthia said, “I would have walked away from him before the children ever were taken.”",Jessica Rinaldi/Globe Staff
2,bostonglobe,,,4,"Stuffed animals lay on her daughter’s bed at Cynthia’s home. The DCF took her children into custody over a variety of concerns, some involving the children’s father.",Jessica Rinaldi/Globe Staff
2,bostonglobe,,,4,Cynthia drove to a supervised visit with her daughter.,Jessica Rinaldi/Globe Staff
4,bostonglobe,https://www.bostonglobe.com/magazine/2019/02/09/who-killed-jean-mcconville-did-secret-archive-boston-college-hold-clues/dJ5k60mJWpKM3F2k63V4CN/story.html?s_campaign=bostonglobe%3Asocialflow%3Atwitter,"February 10, 2019",3,NA,Images from AP and Adobe Stock; Globe staff photo illustration
4,bostonglobe,,,3,Jean McConville with three of her 10 children.,AFP/Getty Images
4,bostonglobe,,,3,Pallbearers carry Jean McConville’s coffin past the Divis Towers.,Alamy Stock
6,bostonglobe,https://www.bostonglobe.com/news/nation/2019/02/10/tabloid-ceo-lawyer-denies-enquirer-tried-extort-bezos/sOhWJY9yHirMuod9fVpmkL/story.html?s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-10 22:01,1,"Jeff Bezos, Amazon founder and CEO, claims the National Enquirer’s parent company threatened to publish explicit photos of him unless he stopped investigating how the Enquirer obtained his private exchanges with his mistress.",Cliff Owen/Associated Press/File 2018
7,bostonglobe,https://www.bostonglobe.com/opinion/2019/02/07/not-racist-gucci/He1AZqPWnwd09LOCsfOZBL/story.html?s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-07 23:30,1,"A screenshot taken on from an online fashion outlet showing a Gucci turtleneck black wool balaclava sweater for sale, that they recently pulled from its online and physical stores. Gucci has apologized for the wool sweater that resembled a ""blackface"" and said the item had been removed from its online and physical stores, the latest case of an Italian fashion house having to apologize for cultural or racial insensitivity.",AP
9,bostonglobe,https://www.bostonglobe.com/arts/music/2019/02/10/grammy-awards-award-show-los-angeles/CX2DUlRoD13a2OQfxyaIzM/story.html?s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-10 22:46,1,"Kacey Musgraves won the award for Album Of The Year for ""Golden Hour.”",Robyn Beck/AFP/Getty Images
11,bostonglobe,https://www.bostonglobe.com/news/world/2019/02/10/airstrikes-said-kill-least-civilians-afghanistan/kKn575RIVQvAnOdAv5fUUI/story.html?camp=bg%3Abrief%3Arss%3Afeedly&rss_id=feedly_rss_brief&s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-10 21:08,1,"American soldiers during Afghan National Army training at Camp Bastion in Helmand Province, Afghanistan. The Pentagon has stepped up airstrikes and special operations raids in Afghanistan to the highest levels since 2014 in what Defense Department officials described as a coordinated series of attacks on Taliban leaders and fighters.",Adam Ferguson/The New York Times/File 2016
12,bostonglobe,https://www.bostonglobe.com/sports/colleges/2019/02/10/northeastern-meet-for-beanpot-title/WvvqhcH6kTBXP8qZgWFO9O/story.html?camp=bg%3Abrief%3Arss%3Afeedly&rss_id=feedly_rss_brief&s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-10 21:07,1,BC freshman Jack McBain celebrated his winning goal with teammate Oliver Wahlstrom in the first round of the Beanpot.,Matthew J. Lee/Globe staff
15,bostonglobe,https://www.bostonglobe.com/news/nation/2019/02/09/california-border-town-swept-mexico-waste/5nNoB0mba2d6dr9NyKDBOP/story.html?s_campaign=bostonglobe%3Asocialflow%3Atwitter,2019-02-09 21:59,1,"Waste and trash often cross the US border through the binational New River, shown near Brawley, Calif.",Emily Kask/New York Times
