Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,enquirer,https://www.cincinnati.com/story/sports/college/university-of-cincinnati/2019/02/10/uc-houston-sunday-aac-showdown/2822525002/,"Published 3:38 p.m. ET Feb. 10, 2019 | Updated 8:01 p.m. ET Feb. 10, 2019",1,"Cincinnati forward Eliel Nsoseme, center, chases a loose ball between Houston guard Armoni Brooks, left, and guard Dejon Jarreau, right, during the first half of an NCAA college basketball game Sunday, Feb. 10, 2019, in Houston. (Photo: Michael Wyke, AP)","(Photo: Michael Wyke, AP)"
3,enquirer,https://www.cincinnati.com/story/news/education/2019/02/10/dps-denver-public-schools-teacher-strike-dcta-school-closing/2812038002/,"Published 5:00 p.m. ET Feb. 10, 2019 | Updated 7:56 p.m. ET Feb. 11, 2019",10,"Ryan Marini and his dog Ollie walk a picket line outside South High School in Denver where he is a teacher. This strike is the first for teachers in Colorado in 25 years. (Photo: David Zalubowski, AP)","(Photo: David Zalubowski, AP)"
3,enquirer,,,10,Thousands of Denver Public Schools teachers and special services providers gathered at the Capitol Monday. Teachers walked out in the first DPS strike in 25 years.,Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,"Denver Public Schools teachers are calling for a more transparent, fair salary system that prioritizes base pay over incentives.",Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,Thousands of educators gathered at the Capitol Monday as Denver Public Schools teachers went on strike. It's the district's first strike in 25 years.,Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,Teachers gather outside East High School Monday morning as the first day of the Denver Public Schools strike kicked off. It's the district's first strike in 25 years.,Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,Cars honk their horns in support of Denver Public Schools teachers picketing Monday. It's the district's first strike in 25 years.,Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,Thousands of teachers walked off the job in Denver Public Schools Monday. It's the district's first strike in 25 years.,Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,A South High School student holds up a sign Monday to support teachers' demand for better pay. Denver Public Schools teachers went on strike for the first time 25 years.,Kelly Ragan/kragan@coloradoan.com
3,enquirer,,,10,Hundreds of South High School students in Denver walked out of class Monday to join their teachers. Denver Public Schools teachers went on strike for the first time in 25 years Monday. Students say their teachers deserve better pay.,Kelly Ragan/kragan@coloradoan.com
