Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,nydailynews,https://www.nydailynews.com/news/politics/ny-news-trump-tweet-schedule-executive-time-any-president-20190210-story.html," Feb 10, 2019  2:50 PM ",1,"Donald Trump plays a round of golf after the opening of The Trump International Golf Links Course in Balmedie, Scotland. (Ian MacNicol / Getty Images)",(Ian MacNicol / Getty Images)
4,nydailynews,https://www.nydailynews.com/new-york/ny-teen-stolen-suv-crash-20190210-story.html," Feb 10, 2019  5:10 PM ",2,"The scene where a Long Island teen fleeing a traffic stop in a stolen SUV crashed into another vehicle, killing an elderly couple and one of his passengers, police said Sunday. (Christopher Sabella / On Scene Photography)",(Christopher Sabella / On Scene Photography)
4,nydailynews,,,2,"The scene where a Long Island teen fleeing a traffic stop in a stolen SUV crashed into another vehicle, killing an elderly couple and one of his passengers, police said Sunday. (Christopher Sabella / On Scene Photography)",(Christopher Sabella / On Scene Photography)
5,nydailynews,https://www.nydailynews.com/news/politics/ny-pol-minnesota-amy-klobuchar-president-20190210-story.html," Feb 10, 2019  4:25 PM ",1,Sen. Amy Klobuchar announced her campaign for President Sunday (Anthony Souffle / AP),(Anthony Souffle / AP)
6,nydailynews,https://www.nydailynews.com/news/politics/ny-pol-warren-trump-2020-jail-20190210-story.html," Feb 10, 2019  3:55 PM ",1,"Sen. Elizabeth Warren kicked off her full campaign schedule in Cedar Rapids, Iowa, Sunday. (Charlie Neibergall / AP)",(Charlie Neibergall / AP)
7,nydailynews,https://www.nydailynews.com/news/crime/ny-news-christopher-solis-dui-pedestrians-20190210-story.html," Feb 10, 2019  3:20 PM ",1,Christopher Solis was charged with felony DUI causing great bodily injury. (Fullerton Police Department),(Fullerton Police Department)
9,nydailynews,https://www.nydailynews.com/news/national/ny-news-video-woman-drives-police-lobby-20190210-story.html," Feb 10, 2019  2:25 PM ",0,NA,No Image
10,nydailynews,https://www.nydailynews.com/news/politics/ny-news-virginia-ralph-northam-going-nowhere-20190210-story.html," Feb 10, 2019  2:45 PM ",1,Virginia Gov. Ralph Northam denied allegations that he is pictured in a yearbook photo wearing racist attire. (Alex Edelman/Getty Images),(Alex Edelman/Getty Images)
12,nydailynews,https://www.nydailynews.com/new-york/ny-fea-vegan-chocolate-shop-20190210-story.html," Feb 09, 2019  5:15 PM ",4,"Confectionery! manager, Veronica Timan, displays some of the chocolates and pastries available at the candy shop in the East Village. (Jeff Bachner for New York Daily News)",(Jeff Bachner for New York Daily News)
12,nydailynews,,,4,"Lagusta Yearwood, store owner of Lagusta's Luscious in New Paltz, and Confectionery!, a vegan, organic fair trade candy shop on E. 9th St. in Manhattan. (Rafi Rogers)",(Rafi Rogers)
