Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,wapoexpress,https://www.washingtonpost.com/express/wp/2018/05/23/a-day-of-eating-and-drinking-in-d-c-on-less-than-30-is-possible-heres-how-to-do-it/?utm_term=.bc7925a10079,2018-05-23T07:13-500,3,Thinkstock/Express illustration,No Credit
1,wapoexpress,,,3,(Kristen Page-Kirby/Express),(Kristen Page-Kirby/Express)
1,wapoexpress,,,3,(Becky Krystal/The Washington POst),(Becky Krystal/The Washington POst)
2,wapoexpress,https://www.washingtonpost.com/express/wp/2015/02/11/women-seeking-d-c-men-dont-give-up-take-this-quiz/?utm_term=.b1f62507b931,2015-02-11T05:00-500,1,(Thinkstock/Getty Images),(Thinkstock/Getty Images)
3,wapoexpress,https://www.washingtonpost.com/express/2019/02/05/small-gesture-metro-goes-long-way-homeless-college-instructor/?utm_term=.fdde97578cf1,2019-02-05T05:49-500,2,A sign inside Patricia Handy Place on Fifth Street NW in the District’s Chinatown neighborhood.,No Credit
3,wapoexpress,,,2,Repairs to escalators at Judiciary Square require extra temporary signage along the Red Line. (Katherine Frey/The Washington Post),(Katherine Frey/The Washington Post)
4,wapoexpress,https://www.washingtonpost.com/express/2019/01/21/how-answer-toughest-job-interview-questions/?utm_term=.a45937420f42,2019-01-21T04:54-500,1,Don't sweat the tough questions at your next job interview.,No Credit
5,wapoexpress,https://www.washingtonpost.com/weather/2019/02/10/wintry-mix-likely-tonight-into-monday-morning-with-some-slippery-travel-delays/?utm_term=.bc9306bb502d,2019-02-10T04:10-500,6,Forecast radar at 1 a.m. Monday from high-resolution NAM model. (PivotalWeather.com/PivotalWeather.com),(PivotalWeather.com/PivotalWeather.com)
5,wapoexpress,,,6,NA,No Credit
5,wapoexpress,,,6,(CWG/CWG),(CWG/CWG)
5,wapoexpress,,,6,Predicted ice accumulation from National Weather Service through Monday morning. (National Weather Service),(National Weather Service)
5,wapoexpress,,,6,Forecast radar from high-resolution NAM model Sunday night into Monday morning. (PivotalWeather.com/PivotalWeather.com),(PivotalWeather.com/PivotalWeather.com)
5,wapoexpress,,,6,(Washington Post/Washington Post),(Washington Post/Washington Post)
6,wapoexpress,https://www.washingtonpost.com/express/2019/02/07/more-propaganda-than-education-national-law-enforcement-museum-sidesteps-pressing-issues-mass-incarceration-police-brutality/?utm_term=.1f248dec240a,2019-02-07T07:47-500,5,"An exhibit funded by the California Correctional Peace Officers Association shows a video about a day in the life of a prison guard, but leaves out the fact that America has the highest incarceration rate in the world. (Sadie Dingfelder/Sadie Dingfelder)",(Sadie Dingfelder/Sadie Dingfelder)
6,wapoexpress,,,5,"One exhibit has visitors match damaged skulls with murder weapons, including a gun, a knife and a bat. (Sadie Dingfelder/Sadie Dingfelder)",(Sadie Dingfelder/Sadie Dingfelder)
6,wapoexpress,,,5,"A decorative column features repeating patterns of police badges, as well as guns and other weapons. (Sadie Dingfelder/Sadie Dingfelder)",(Sadie Dingfelder/Sadie Dingfelder)
6,wapoexpress,,,5,A small exhibit about the 2014 shooting of Michael Brown emphasizes that the white officer wasn’t charged. (Sadie Dingfelder/Sadie Dingfelder),(Sadie Dingfelder/Sadie Dingfelder)
6,wapoexpress,,,5,A two-story facade comes alive with a video showing a SWAT team responding to apparent domestic violence. (Sadie Dingfelder/Sadie Dingfelder),(Sadie Dingfelder/Sadie Dingfelder)
