Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,azcentral,https://www.azcentral.com/story/entertainment/dining/2019/02/09/free-lunch-cb-live-desert-ridge-marketplace-phoenix/2771364002/?cid=twitter_azcentral,"
            Published 5:00 a.m. MT Feb. 9, 2019 | Updated 10:21 a.m. MT Feb. 11, 2019",0,NA,No Image
3,azcentral,https://www.azcentral.com/story/news/politics/fact-check/2019/02/10/phoenix-mayor-race-did-kate-gallego-oppose-public-safety-funding/2777891002/?cid=twitter_azcentral,"
            Published 6:00 a.m. MT Feb. 10, 2019 | Updated 3:52 p.m. MT Feb. 20, 2019",1,AZ Fact Check looks at a TV ad paid for by the Professional Fire Fighters of Arizona's Committee to Move Phoenix Forward regarding Kate Gallego's record on funding public safety while on the Phoenix City Council. (Photo11: Darryl Webb/Special for The Republic),(Photo11: Darryl Webb/Special for The Republic)
5,azcentral,https://www.azcentral.com/story/news/local/phoenix-breaking/2019/02/10/naked-man-tased-phoenix-police-dies-six-days-later/2831458002/?cid=twitter_azcentral,"
            Published 2:20 p.m. MT Feb. 10, 2019 | Updated 3:20 p.m. MT Feb. 10, 2019",1,Breaking news (Photo11: The Republic),(Photo11: The Republic)
6,azcentral,https://www.azcentral.com/story/sports/college/asu/2019/02/09/asu-makes-ncaa-case-convincing-home-win-over-washington/2829258002/?cid=twitter_azcentral,"
            Published 10:35 p.m. MT Feb. 9, 2019 | Updated 5:26 p.m. MT Feb. 10, 2019",10,Arizona State Sun Devils guard Remy Martin celebrates a fast start against the Washington Huskies in the first half on Feb. 9 at Wells Fargo Arena in Tempe. (Photo11: Rob Schumacher/The Republic),(Photo11: Rob Schumacher/The Republic)
6,azcentral,,,10,"Arizona State Sun Devils guard Luguentz Dort (0) takes a shot while being guarded by California Golden Bears guard Matt Bradley (20) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils guard Luguentz Dort (0) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils head coach Bobby Hurley talks with guard Luguentz Dort (0) who took a hard fall during a men's basketball game against the California Golden Bears at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils guard Rob Edwards (2) takes a shot during a men's basketball game against the California Golden Bears at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"California Golden Bears center Connor Vanover (23) guards Arizona State Sun Devils forward Zylan Cheatham (45) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils forward Romello White (23) takes a shot while being guarded by California Golden Bears forward Grant Anticevich (34) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils guard Luguentz Dort (0) slam dunks over California Golden Bears guard Juhwan Harris-Dyson (2) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils forward De'Quon Lake (32) slam dunks a ball while being guarded by California Golden Bears guard Matt Bradley (20) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
6,azcentral,,,10,"Arizona State Sun Devils forward De'Quon Lake (32) slam dunks the ball while being guarded by California Golden Bears guard Juhwan Harris-Dyson (2) during a men's basketball game at Wells Fargo Arena in Tempe on February 24. 
                                
                                    Cheryl Evans/The Republic",Cheryl Evans/The Republic
7,azcentral,https://www.azcentral.com/story/opinion/op-ed/2019/02/10/viewpoints-lds-leader-urges-spirituality-secular-world-visits-phoenix-area/2776270002/?cid=twitter_azcentral,"
            Published 6:00 a.m. MT Feb. 10, 2019 | Updated 12:33 p.m. MT Feb. 13, 2019",1,President Russell M. Nelson (Photo11: The Church of Jesus Christ of Latter-day Saints),(Photo11: The Church of Jesus Christ of Latter-day Saints)
