Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,courierjournal,https://www.courier-journal.com/story/money/louisville-city-living/2019/02/08/best-louisville-hotels-21-c-omni-marriott-coolest-features/2736561002/,"Published 11:18 a.m. ET Feb. 8, 2019 | Updated 2:16 p.m. ET Feb. 8, 2019",10,"The atrium at the 21c Museum Hotel. (Photo: By Michael Clevenger, The C-J)","(Photo: By Michael Clevenger, The C-J)"
1,courierjournal,,,10,"Steve Wilson, 21c founder. (Photo: Original Makers Club)",(Photo: Original Makers Club)
1,courierjournal,,,10,The 21c Museum Hotel's 1996 Lincoln Town Car limo. (Photo: Courier Journal file photo),(Photo: Courier Journal file photo)
1,courierjournal,,,10,A view from the third floor balcony overlooking the Brown Hotel lobby. (Photo: Michael Clevenger/Courier Journal),(Photo: Michael Clevenger/Courier Journal)
1,courierjournal,,,10,The Chocolate Striptease at The English Grill in the Brown Hotel. (Photo: Credit: Chris Witzke),(Photo: Credit: Chris Witzke)
1,courierjournal,,,10,Sue Ann Stone performs on the piano at the Brown Hotel Lobby Bar. (Photo: Tyler Bissmeyer/Special to The C-J),(Photo: Tyler Bissmeyer/Special to The C-J)
1,courierjournal,,,10,"A view of the rooftop garden at the Brown Hotel. June 12, 2017. (Photo: By Pat McDonogh, The C-J)","(Photo: By Pat McDonogh, The C-J)"
1,courierjournal,,,10,Embassy Suites Downtown offer wedding ideas (Photo: provided),(Photo: provided)
1,courierjournal,,,10,An outside view of the Embassy Suites. (Photo: Alton Strupp/The Courier-Journal),(Photo: Alton Strupp/The Courier-Journal)
1,courierjournal,,,10,An outside view of the downtown Marriott. (Photo: Photo provided by Marriott),(Photo: Photo provided by Marriott)
2,courierjournal,https://www.courier-journal.com/story/weather/local/2019/02/09/louisville-weather-flood-watch-starts-sunday-night/2823913002/,"Published 4:54 p.m. ET Feb. 9, 2019 | Updated 9:59 a.m. ET Feb. 13, 2019",10,Heavy rain is expected this week in the Louisville area. (Photo: National Weather Service),(Photo: National Weather Service)
2,courierjournal,,,10,"A stalled car on Frankfort Ave. Wednesday afternoon. 
Feb. 13, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"Flood waters surround the homes on Utica Pike on Wednesday afternoon. 
Feb. 13, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"Flood waters surround River Road BBQ on Wednesday afternoon. 
Feb. 13, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"A stalled car on Frankfort Ave. Wednesday afternoon. 
Feb. 13, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"Flood waters surround the homes on Utica Pike on Wednesday afternoon. 
Feb. 13, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"Flood waters surround the homes of Waldoah Beach Rd. on Wednesday afternoon. 
Feb. 13, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"Chip Jordan, right, has a laugh as he tries to fit all of his belongings into his vehicle with his dog Dixie Tuesday to escape the high waters along River Road. “I had a compound fracture in my leg that kept me laid up six months while I dealth with this last year,” Jordan said. “I still love it.” Feb. 12, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"High water signs on Frankfort Avenue on Tuesday afternoon in Louisville. Feb. 12, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
2,courierjournal,,,10,"A car sits stuck in high water up to its roof along Frankfort Avenue on Tuesday afternoon in Louisville. Feb. 12, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
3,courierjournal,https://www.courier-journal.com/story/sports/college/indiana/2019/02/10/3-reasons-why-iu-basketball-lost-ohio-state-55-52-romeo-langford-archie-miller-juwan-morgan/2831442002/,"Published 3:48 p.m. ET Feb. 10, 2019",10,"Indiana's Juwan Morgan, middle, battles for the ball against Ohio State's Kyle Young, left, and C.J. Jackson during the first half of an NCAA college basketball game, Sunday, Feb. 10, 2019, in Bloomington, Ind. (AP Photo/Darron Cummings) (Photo: Darron Cummings, AP)","(Photo: Darron Cummings, AP)"
3,courierjournal,,,10,"Indiana Hoosiers guard Rob Phinisee (10) drives to the basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Romeo Langford (0) goes up for a dunk during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Romeo Langford (0) scores a basket during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Rob Phinisee (10) drives through contact during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Romeo Langford (0) dribbles the ball during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Al Durham (1) passes the ball during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers forward De'Ron Davis (20) backs down his defender during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Al Durham (1) makes a layup during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
3,courierjournal,,,10,"Indiana Hoosiers guard Rob Phinisee (10) attempts a shot during the game against Ohio State at Simon Skjodt Assembly Hall in Bloomington Ind., on Sunday, Feb. 10, 2019. Bobby Goddin/For IndyStar",Bobby Goddin/For IndyStar
4,courierjournal,https://www.courier-journal.com/story/money/companies/2019/02/08/google-fiber-leaving-louisville-but-what-about-cable-in-our-roads/2804580002/,"Published 5:06 p.m. ET Feb. 8, 2019 | Updated 5:23 p.m. ET Feb. 8, 2019",0,NA,No Image
6,courierjournal,https://www.courier-journal.com/story/sports/college/louisville/2019/02/09/ncaa-tournament-reveal-kentucky-louisville-currently-ranked-top-16-seeds/2813156002/,"Published 1:04 p.m. ET Feb. 9, 2019 | Updated 1:17 p.m. ET Feb. 9, 2019",0,NA,No Image
7,courierjournal,https://www.courier-journal.com/story/sports/college/kentucky/2019/02/07/top-2020-kentucky-high-school-football-prospects/2761059002/,"Published 1:46 p.m. ET Feb. 7, 2019",3,"Vito Tisdale runs with the ball against St. Xavier. (Photo: Pat McDonogh, Courier Journal)","(Photo: Pat McDonogh, Courier Journal)"
7,courierjournal,,,3,John Young (left) celebrates with a teammate during the 2018 Class 2A title game. (Photo: Matt Stone/Louisville Courier Journal),(Photo: Matt Stone/Louisville Courier Journal)
7,courierjournal,,,3,Male's Izayah Cummings makes a catch in 2018. (Photo: Scott Utterback/Courier Journal ),(Photo: Scott Utterback/Courier Journal )
8,courierjournal,https://www.courier-journal.com/story/sports/college/louisville/2019/02/09/louisville-womens-basketball-set-take-virginia-tech/2823183002/,"Published 2:59 p.m. ET Feb. 9, 2019 | Updated 3:02 p.m. ET Feb. 9, 2019",0,NA,No Image
9,courierjournal,https://www.courier-journal.com/story/news/local/2019/02/08/black-history-kentucky-terra-leavell-community-builder/2726310002/,"Published 7:27 a.m. ET Feb. 8, 2019 | Updated 10:39 a.m. ET Feb. 10, 2019",4,"Terra Leavell, chief executive officer and president of the Black Community Development Corporation of Louisville stands outside her offices in Lyles Mall.
06 February 2019 (Photo: David R. Lutman/Special to Courier Journal)",(Photo: David R. Lutman/Special to Courier Journal)
9,courierjournal,,,4,"Terra Leavell, chief executive officer and president of the Black Community Development Corporation fondly strokes the head of 3rd grader Randy Adkins, age 9, at the Sons of Issachar Academy, (an after-school mentoring program.) Adkins pulled a reading assignment on historic Black men from a box held by Leavell. His book assignment was famed agricultural scientist and inventor George Washington Carver.
06 February 2019 (Photo: David R. Lutman/Special to Courier Journal)",(Photo: David R. Lutman/Special to Courier Journal)
9,courierjournal,,,4,"At the Sons of Issachar Academy, (an after-school mentoring program), Terra Leavell, chief executive officer and president of the Black Community Development Corporation (of Louisville,) helps 4th grader Patrick Webster read a book about famed Olympic gold medalist Jesse Owens.
06 February 2019 (Photo: David R. Lutman/Special to Courier Journal)",(Photo: David R. Lutman/Special to Courier Journal)
9,courierjournal,,,4,"Terra Leavell, chief executive officer and president of the Black Community Development Corporation of Louisville stands outside her offices in Lyles Mall.
06 February 2019 (Photo: David R. Lutman/Special to Courier Journal)",(Photo: David R. Lutman/Special to Courier Journal)
11,courierjournal,https://www.courier-journal.com/story/news/local/2019/02/07/kentucky-colleges-add-food-pantries-fight-food-insecurity/2698877002/,"Published 8:25 a.m. ET Feb. 7, 2019 | Updated 6:26 p.m. ET Feb. 11, 2019",10,"Henny Ransdell, left, and Ryan Buckman, right, take a bag of bagels donated by Einstein Bros. bagels, and put them into a plastic bin at U of L's food bank. Jan. 28, 2019 (Photo: Michael Clevenger/Courier Journal)",(Photo: Michael Clevenger/Courier Journal)
11,courierjournal,,,10,"Bellarmine students unload food items picked up at the Dare to Care food bank to be added to the university’s food pantry. The food pantry at Bellarmine is open to any students who may benefit from access to extra snacks and meals. Feb. 4, 2019 (Photo: Alton Strupp/Courier Journal)",(Photo: Alton Strupp/Courier Journal)
11,courierjournal,,,10,"Henny Ransdell pulls a wagon carrying Einstein Bros. Bagels in the Bingham Humanities Building on UofL's campus.  The bagels, donated by the business, were then taken to the university's food bank that has just opened.
January 28, 2019 Michael Clevenger/Courier Journal",Michael Clevenger/Courier Journal
11,courierjournal,,,10,"Food items picked up at the Dare to Care food bank sit in Bellarmine’s food pantry. The food pantry at Bellarmine is open to any students that may benefit from access to extra snacks and meals. Feb. 4, 2019 Alton Strupp/Courier Journal",Alton Strupp/Courier Journal
