Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,dailyherald,https://www.dailyherald.com/sports/20190209/strome-debrincat-kahun-lead-blackhawks-to-7th-straight-victory,Updated 2/10/2019 6:55 PM,1,"Chicago Blackhawks right wing Patrick Kane celebrates after scoring a goal against the Detroit Red Wings during the third period of an NHL hockey game Sunday, Feb. 10, 2019, in Chicago.",No Credit
2,dailyherald,https://www.dailyherald.com/news/20190210/driver-not-charged-after-crashing-into-streamwood-banquet-hall?utm_source=dlvr.it&utm_medium=twitter,Updated 2/10/2019 5:20 PM,1,"Police said Sunday that no charges are filed against the driver of a vehicle that crashed into The Seville banquet hall Friday night in Streamwood.
		Steve Zalusky | Staff Photographer",Steve Zalusky | Staff Photographer
3,dailyherald,https://www.dailyherald.com/news/20190209/watch-schaumburg-rolling-meadows-mayoral-candidates-live-monday-afternoon?utm_source=dlvr.it&utm_medium=twitter,Updated 2/11/2019 9:35 AM,1,You can watch livestreams of interviews with the Schaumburg and Rolling Meadows mayoral candidates through the Daily Herald's Facebook page on Monday.,No Credit
5,dailyherald,https://www.dailyherald.com/news/20190210/lake-county-man-killed-in-head-on-crash-near-wadsworth?utm_source=dlvr.it&utm_medium=twitter,Updated 2/10/2019 8:32 PM,1,NA,No Credit
6,dailyherald,https://www.dailyherald.com/news/20190210/police-men-break-into-naperville-home-hold-woman-at-gunpoint?utm_source=dlvr.it&utm_medium=twitter,Updated 2/10/2019 4:59 PM,1,NA,No Credit
7,dailyherald,https://www.dailyherald.com/entlife/20190210/he-said-she-said-ap-writers-predict-the-2019-grammy-winners?utm_source=dlvr.it&utm_medium=twitter,Posted2/10/2019 7:32 AM,4,"Cardi B is nominated for several Grammy Awards including one for album of the year, record of the year and best rap album.
		Associated Press",Associated Press
7,dailyherald,,,4,"Lady Gaga is nominated for several Grammy Awards including one for record of the year and song of the year. The Grammy Awards will be held on Sunday.
			- Associated Press",- Associated Press
7,dailyherald,,,4,"Taylor Swift is nominated for a Grammy Award for best pop vocal album. The Grammy Awards will be held on Sunday.
			- Associated Press file photo",- Associated Press file photo
7,dailyherald,,,4,"Kacey Musgraves is nominated for several Grammy Awards including one for album of the year and best country solo performance.
			- Associated Press file photo",- Associated Press file photo
8,dailyherald,https://www.dailyherald.com/entlife/20190210/book-review-don-winslow-writes-powerful-novel-about-the-war-on-drugs?utm_source=dlvr.it&utm_medium=twitter,Posted2/10/2019 7:27 AM,1,"""The Border,"" a novel by Don Winslow
		Associated Press/William Morrow",Associated Press/William Morrow
9,dailyherald,https://www.dailyherald.com/entlife/20190210/weekend-picks-celebrate-the-arts-of-bollywood-at-cod?utm_source=dlvr.it&utm_medium=twitter,Posted2/10/2019 7:23 AM,1,"The touring song and dance revue ""Bollywood Boulevard"" plays two shows at College of DuPage's McAninch Arts Center in Glen Ellyn.
		Courtesy of Anne Whitman Photography",Courtesy of Anne Whitman Photography
10,dailyherald,https://www.dailyherald.com/entlife/20190210/swedish-band-ghost-finds-itself-with-big-boys-and-girls-at-the-grammys?utm_source=dlvr.it&utm_medium=twitter,Posted2/10/2019 7:00 AM,1,"Ghost is up for best rock album and best rock song at the Grammy Awards on Sunday.
		Associated Press file photo",Associated Press file photo
11,dailyherald,https://www.dailyherald.com/entlife/20190210/consider-color-now-in-planning-your-summer-garden?utm_source=dlvr.it&utm_medium=twitter,Posted2/10/2019 6:00 AM,1,"Take a look at a color wheel if you desire a flower garden as beautiful as those at the Chicago Botanic Garden.
		Courtesy of Chicago Botanic Garden",Courtesy of Chicago Botanic Garden
