Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,dbnewsjournal,https://www.news-journalonline.com/sports/20190210/daytona-speedweeks-johnson-declared-clash-winner,"Feb 10, 2019 at 8:52 AM 	Feb 10, 2019 at 5:48 PM",8,"""The Clash gets wild with a huge crash Sunday at Daytona International Speedway. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
1,dbnewsjournal,,,8,"""The Clash gets wild with a huge crash Sunday at Daytona International Speedway. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
1,dbnewsjournal,,,8,"""The opening laps of the Clash at Daytona International Speedway on Sunday. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
1,dbnewsjournal,,,8,"""Jimmie Johnson takes a break during a red flag early in the Clash at Daytona International Speedway on Sunday. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
1,dbnewsjournal,,,8,"""The Clash field goes green at Daytona International Speedway on Sunday. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
1,dbnewsjournal,,,8,"""The Clash is underway at Daytona International Speedway. [N-J/Godwin Kelly]"",","[N-J/Godwin Kelly]"","
1,dbnewsjournal,,,8,"""William Byron, right, talks with Jimmie Johnson, left, after winning the pole for the Daytona 500 at Daytona International Speedway on Sunday. [N-J/Lola Gomez]"",","[N-J/Lola Gomez]"","
1,dbnewsjournal,,,8,"""Alex Bowman, shown Sunday, qualified second for the Daytona 500 at Daytona International Speedway. [N-J/Lola Gomez]"",","[N-J/Lola Gomez]"","
3,dbnewsjournal,https://www.news-journalonline.com/zz/entertainmentlife/20190201/valentines-day-2019-these-are-most-romantic-restaurants-in-country?utm_source=facebook&utm_medium=social&utm_campaign=ghm-florida,"Feb 1, 2019 at 6:00 AM 	",1,NA,No Credit
4,dbnewsjournal,https://www.news-journalonline.com/news/20190210/winds-prove-challenge-in-daytona-beach-half-marathon,"Feb 10, 2019 at 3:30 PM 	Feb 11, 2019 at 11:35 AM",10,"""Runners participate in Daytona Half Marathon, Sunday, Feb. 10, 2019, at Daytona International Speedway. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
4,dbnewsjournal,,,10,"""Karim Hanna proposes to Demyona Azer during the Daytona Half Marathon, Sunday, Feb. 10, 2019. She said yes. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
4,dbnewsjournal,,,10,"""NASCAR driver Jimmie Johnson heads to the finish line in the Daytona Half Marathon, Sunday, Feb. 10, 2019. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
4,dbnewsjournal,,,10,"""Lea Tardanico of St. Augustine was the overall female winner in the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",","[N-J/Dinah Voyles Pulver]"","
4,dbnewsjournal,,,10,"""Ryan Carroll, winner of the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",","[N-J/Dinah Voyles Pulver]"","
4,dbnewsjournal,,,10,"""A runner completes the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",
						","[N-J/Dinah Voyles Pulver]"",
						"
4,dbnewsjournal,,,10,"""A runner completes the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",
						","[N-J/Dinah Voyles Pulver]"",
						"
4,dbnewsjournal,,,10,"""A runner completes the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",
						","[N-J/Dinah Voyles Pulver]"",
						"
4,dbnewsjournal,,,10,"""Runners complete the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",
						","[N-J/Dinah Voyles Pulver]"",
						"
4,dbnewsjournal,,,10,"""Runners complete the Daytona Beach Half Marathon. [N-J/Dinah Voyles Pulver]"",
						","[N-J/Dinah Voyles Pulver]"",
						"
5,dbnewsjournal,https://www.news-journalonline.com/news/20190209/panhandle-man-plans-his-burial-in-tomb-inside-old-boat,"Feb 9, 2019 at 6:05 PM 	Feb 9, 2019 at 6:05 PM",5,"""Jim Tucker looks in the vault where he plans to be interred in the hull of the 150-foot boat where he spends most of his time these days. [GATEHOUSE FLORIDA/NICK TOMECEK]"",","[GATEHOUSE FLORIDA/NICK TOMECEK]"","
5,dbnewsjournal,,,5,"""Jim Tucker talks in the office on his boat where he plans to be interred. Tucker spends most of his time there because that's where he says he feels most safe. [GATEHOUSE FLORIDA/NICK TOMECEK]"",","[GATEHOUSE FLORIDA/NICK TOMECEK]"","
5,dbnewsjournal,,,5,"""Jim Tucker's boat is docked in Santa Rosa Sound in Fort Walton Beach. Tucker plans for the triple-decked concrete-hulled boat to be his final resting place. [GATEHOUSE FLORIDA/NICK TOMECEK]"",","[GATEHOUSE FLORIDA/NICK TOMECEK]"","
5,dbnewsjournal,,,5,"""Jim Tucker plans to be interred in this vault on the boat where he spends most of his time. [GATEHOUSE FLORIDA/NICK TOMECEK]"",","[GATEHOUSE FLORIDA/NICK TOMECEK]"","
5,dbnewsjournal,,,5,"""Jim Tucker shows the \""tomb\"" on his boat where he would like to placed. [GATEHOUSE FLORIDA/NICK TOMECEK]"",","[GATEHOUSE FLORIDA/NICK TOMECEK]"","
7,dbnewsjournal,https://www.news-journalonline.com/news/20190131/after-plant-die-off-what-fate-awaits-alligator-snapping-turtles?utm_source=facebook&utm_medium=social&utm_campaign=ghm-florida,"Jan 31, 2019 at 4:04 PM 	Feb 1, 2019 at 9:36 AM",2,"""Researcher Travis Thomas holds an alligator snapping turtle. [Photo courtesy of Travis Thomas]"",","[Photo courtesy of Travis Thomas]"","
7,dbnewsjournal,,,2,"""An alligator snapping turtle swims in a spring. [Photo courtesy Jerry Johnston]"",","[Photo courtesy Jerry Johnston]"","
8,dbnewsjournal,https://www.news-journalonline.com/news/20190209/historic-legends-beach-parade-brings-back-racing-memories,"Feb 9, 2019 at 7:00 PM 	Feb 9, 2019 at 7:00 PM",10,"""Vicki Wood the \""fastest women in racing\"" leads the 8th Annual Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",","[News-Journal/Nikki Ross]"","
8,dbnewsjournal,,,10,"""Fans gatherd to watch the 8th Annual Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",","[News-Journal/Nikki Ross]"","
8,dbnewsjournal,,,10,"""Fans line the beach behind Racing's North Turn Restaurant during the 8th Annual Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",","[News-Journal/Nikki Ross]"","
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
8,dbnewsjournal,,,10,"""Historic North Turn Legends Beach Parade in Ponce Inlet, Saturday, Feb. 9, 2019. [News-Journal/Nikki Ross]"",
						","[News-Journal/Nikki Ross]"",
						"
9,dbnewsjournal,https://www.news-journalonline.com/news/20190207/florida-history-fountain-of-youth-isnt-backed-by-historical-evidence-but-keep-reading,"Feb 7, 2019 at 8:44 AM 	Feb 7, 2019 at 9:28 AM",10,NA,No Credit
9,dbnewsjournal,,,10,"""The Fountain of Youth at St. Augustine. This is near where Ponce de Leon, discoverer of Florida, first landed, is this legendary spring, the waters of which were supposed to restore the lost charm and vigor of youth. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
9,dbnewsjournal,,,10,"""The Fountain of Youth in Saint Augustine, Florida. The spring is said to have been visited in 1513 by Ponce de Leon. It is believed to have been enclosed in 1565 when the first permanent settlement in the United States was established at Saint Augustine, Florida. Property purchased by Dr. Luella Day McConnell in 1901 who began to charge an admission price to drink from the waters of the free flowing spring found on the estate. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
9,dbnewsjournal,,,10,"""The Ponce de Leon statue at the entrance to the spring in De Leon Springs, Florida. (State Archives of Florida/Johnson)"",
						","(State Archives of Florida/Johnson)"",
						"
9,dbnewsjournal,,,10,"""A woman sitting on the Fountain of Youth attraction in Saint Augustine, Florida. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
9,dbnewsjournal,,,10,"""The Fountain of Youth in St. Augustine, Florida .According to tradition it is the exact spot where Juan de Leon, the Spanish explorer in search of the Fountain of Youth, landed on April 2, 1513, planted a cross, and took possession of the \""New World\"" in the name of the King of Spain. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
9,dbnewsjournal,,,10,"""The entrance and pavilion to the Fountain of Youth, 1921. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
9,dbnewsjournal,,,10,"""The Ponce de Leon Lodge and Country Club in St. Augustine, 1960s. A 300 acre tropical resort offers golf, tennis, world's largest cloverleaf pool. Perfect for honeymooners, vacations, group business meetings. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
9,dbnewsjournal,,,10,"""Photographed is the landing of the \""Spanish Caravel\"" carrying Ponce de Leon and escorts for the celebration of the landing of Ponce de Leon in April 1513. Saint Augustine, 1929. (State Archives of Florida/Rahner)"",
						","(State Archives of Florida/Rahner)"",
						"
9,dbnewsjournal,,,10,"""A woman standing at the entrance to the Fountain of Youth in the early 1900s. (State Archives of Florida)"",
						","(State Archives of Florida)"",
						"
10,dbnewsjournal,https://www.news-journalonline.com/news/20190209/paid-parental-leave-one-issue-that-trump-rivals-can-agree-on,"Feb 9, 2019 at 12:57 PM 	Feb 9, 2019 at 10:53 PM",2,"""During his State of the Union speech on Feb. 5, President Donald Trump devoted a single sentence to what is likely the only issue in America that can unite his devoted base and ardent foes: Paid parental leave. While polls show broad public support for the idea and lawmakers give it lip service, the U.S. remains the only industrialized nation without federally mandated paid leave for new parents. [Doug Mills/The New York Times via AP, Pool]"",","[Doug Mills/The New York Times via AP, Pool]"","
10,dbnewsjournal,,,2,"""Ivanka Trump, left, seen here arriving for the State of the Union address with Lara Trump, was at her father's side when Donald Trump floated a proposal to provide six weeks paid leave for birth mothers at a campaign rally. Trump included this proposal in his first budget, allowing him to proclaim Tuesday he was \""the first president to include in my budget a plan for nationwide paid family leave.\"" [AP Photo/Andrew Harnik]"",","[AP Photo/Andrew Harnik]"","
11,dbnewsjournal,https://www.news-journalonline.com/news/20190209/votran-rolling-out-new-bus-route-in-deltona,"Feb 9, 2019 at 12:56 PM 	Feb 9, 2019 at 12:56 PM",1,"""Votran buses head out on routes from the transfer plaza on Dr. Mary McLeod Bethune Blvd. in Daytona. [News-Journal file]"",","[News-Journal file]"","
12,dbnewsjournal,https://www.news-journalonline.com/zz/news/20190208/alamo-drafthouse-is-coming-to-florida,"Feb 8, 2019 at 12:00 PM 	",1,NA,"""Courtesy: Alamo Drafthouse"","
13,dbnewsjournal,https://www.news-journalonline.com/news/20190217/state-of-nascar-we-probably-lost-our-way,"Feb 17, 2019 at 12:01 AM 	",10,"""President Steve Phelps says that his job is to change the perception that NASCAR's best days are behind it. [News-Journal/Nigel Cook]"",","[News-Journal/Nigel Cook]"","
13,dbnewsjournal,,,10,"""Chase Elliott prepares for today's Advance Auto Parts Clash practice at Daytona International Speedway. If Elliott can become a consistent winner in NASCAR, he and other young drivers could help fill the sport's star-power void, which has become an issue, President Steve Phelps concedes. [News-Journal/Nigel Cook]"",","[News-Journal/Nigel Cook]"","
13,dbnewsjournal,,,10,"""Declining attendance is one of the major concerns facing NASCAR, as evidenced by alll of the empty seats during this Cup Series auto race at Martinsville Speedway in 2017. [AP File Photo]"",","[AP File Photo]"","
13,dbnewsjournal,,,10,"""The naming rights sponsorship deal between NASCAR and Monster Energy, announced in 2016, will expire after the 2019 season, forcing the sport to look at a multi-sponsor model. [File Photo]"",","[File Photo]"","
13,dbnewsjournal,,,10,"""Long-time sponsor Lowe's parted ways with seven-time champion Jimmie Johnson after the 2018 season. [AP File Photo]"",","[AP File Photo]"","
13,dbnewsjournal,,,10,"""Gus Dean's car (32) is taken to the garages after a crash during the ARCA Racing Series at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
13,dbnewsjournal,,,10,"""Harrison Burton (20) leads the ARCA Racing Series at the final lap at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
13,dbnewsjournal,,,10,"""ARCA Racing Series at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
13,dbnewsjournal,,,10,"""Gus Dean (32) and Harrison Burton (20) lead the ARCA Racing Series at lap 14 at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
13,dbnewsjournal,,,10,"""ARCA Racing Series at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
14,dbnewsjournal,https://www.news-journalonline.com/news/20190209/gun-seizure-laws-grow-in-popularity-since-parkland-shooting/1,"Feb 9, 2019 at 6:00 PM 	Feb 9, 2019 at 6:00 PM",5,"""FILE - In this Tuesday, Jan. 29, 2019, file photo, Linda Beigel Schulman, left, holds a photograph of her son Scott Beigel, who was killed during the Valentine's Day massacre at Marjory Stoneman Douglas High School, while speaking with New York Gov. Andrew Cuomo and gun safety advocates during a news conference at the state Capitol in Albany, N.Y. Since the shooting, states have seen a surge of interest in laws intended to make it easier to disarm people who show signs of being violent or suicidal. (AP Photo/Hans Pennink, File)"",","(AP Photo/Hans Pennink, File)"","
14,dbnewsjournal,,,5,"""In this Monday, Feb. 4, 2019, photo, Mike Heal, left, police chief for the city of Aztec, N.M., testifies in support of a state bill that would take away guns temporarily under court orders from people who are considered a danger to themselves or others, in Santa Fe, N.M. Heal says the bill from Democratic state Reps. Daymon Ely, center, and Joy Garratt, right, provides a new tool to keep school students safe. (AP Photo/Morgan Lee)"",","(AP Photo/Morgan Lee)"","
14,dbnewsjournal,,,5,"""In this Monday, Feb. 4, 2019, photo, Democratic state Rep. Daymon Ely of Corrales, N.M., left, explains provisions of a bill he sponsored with Rep. Joy Garratt of Albuquerque, center, that would allow police or family members to seek court orders requiring people who are deemed threatening to surrender their guns, in Santa Fe, N.M. States have seen a surge of interest in laws intended to make it easier to disarm people who show signs of being violent or suicidal, since last year's mass shooting at a Florida high school. (AP Photo/Morgan Lee)"",","(AP Photo/Morgan Lee)"","
14,dbnewsjournal,,,5,"""In this Monday, Feb. 4, 2019, photo, high school student Sophia Lussiez, 17, of Santa Fe, N.M., second from right, testifies in support of proposals for new gun safety regulations in the state, in Santa Fe, N.M. The New Mexico Legislature is considering a bill that would temporarily restrict firearms access for people considered to be at risk to themselves or others. Various states are considering similar regulations since last year's mass shooting at a Florida high school. (AP Photo/Morgan Lee)"",","(AP Photo/Morgan Lee)"","
14,dbnewsjournal,,,5,"""In this Monday, Feb. 4, 2019, photo, Rico Giron, second from left, of Las Vegas, N.M., and a line of New Mexico residents, voice disapproval of a state bill that would temporarily restrict firearms access for people considered to be at risk to themselves or others, at a legislative committee hearing in Santa Fe, N.M. States have seen a surge of interest in laws intended to make it easier to disarm people who show signs of being violent or suicidal, since last year's mass shooting at a Florida high school. (AP Photo/Morgan Lee)"",","(AP Photo/Morgan Lee)"","
15,dbnewsjournal,https://www.news-journalonline.com/news/20190209/daytona-speedweeks-harrison-burton-wins-arca-pole-and-clash-roll-next,"Feb 9, 2019 at 8:59 PM 	Feb 9, 2019 at 9:06 PM",10,"""Eric Caudell No. 2 comes in contact with the inside wall during the ARCA Lucas Oil 200 at Daytona International Speedway, Saturday, Feb. 9, 2019. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
15,dbnewsjournal,,,10,"""Gus Dean (32) and Brandon McReynolds (28) are taken in ambulances for a check up after a crash during the ARCA Racing Series at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",","[N-J / Lola Gomez]"","
15,dbnewsjournal,,,10,"""Connor Hall NO. 22 throws sparks while sliding through turn 4 during the ARCA Lucas Oil 200 at Daytona International Speedway, Saturday, Feb. 9, 2019. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
15,dbnewsjournal,,,10,"""Denny Hamlin and Clint Bowyer share a laugh prior to going on track during Advance Auto Parts Clash practice at Daytona International Speedway, Saturday, Feb. 9, 2019. [N-J/Nigel Cook]"",","[N-J/Nigel Cook]"","
15,dbnewsjournal,,,10,"""The crew of the No. 88 Chevy, driven by Alex Bowman, pushes the car through the garage during practice for the Advanced Auto Parts Clash, at Daytona International Speedway, in Daytona Beach, on Saturday February 9, 2019 morning. [N-J / Peter Bauer]"",","[N-J / Peter Bauer]"","
15,dbnewsjournal,,,10,"""Kevin Harvick slips on sunglasses as he walks out of the garage, Saturday February 9, 2019 before Clash practice at Daytona International Speedway.. [N-J/David Tucker]"",","[N-J/David Tucker]"","
15,dbnewsjournal,,,10,"""Gus Dean's car (32) is taken to the garages after a crash during the ARCA Racing Series at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
15,dbnewsjournal,,,10,"""Harrison Burton (20) leads the ARCA Racing Series at the final lap at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
15,dbnewsjournal,,,10,"""ARCA Racing Series at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
15,dbnewsjournal,,,10,"""Gus Dean (32) and Harrison Burton (20) lead the ARCA Racing Series at lap 14 at the Daytona International Speedway in Daytona Beach on Saturday, February 9, 2019. [N-J / Lola Gomez]"",
						","[N-J / Lola Gomez]"",
						"
16,dbnewsjournal,https://www.news-journalonline.com/news/20190209/daytona-beach-police-nab-20-accused-panhandlers-in-enforcing-new-ordinance,"Feb 9, 2019 at 6:32 PM 	Feb 9, 2019 at 6:32 PM",10,"""A man who was begging on Oakridge Boulevard on Thursday afternoon got nabbed by the new Daytona Beach panhandling regulations that went into effect Wednesday night. [News-Journal/David Tucker]"",","[News-Journal/David Tucker]"","
16,dbnewsjournal,,,10,""""",
						",No Credit
16,dbnewsjournal,,,10,"""Nicholas Shoupp, 52, of Daytona Beach"",
						",No Credit
16,dbnewsjournal,,,10,"""Christina Wakefield, 40, of Kissimmee"",
						",No Credit
16,dbnewsjournal,,,10,"""Chad Driggers, 26, of Pompano Beach"",
						",No Credit
16,dbnewsjournal,,,10,"""Charles Lamont, 48, of Hartland, Florida"",
						",No Credit
16,dbnewsjournal,,,10,"""Craig Kowel, 34, of Daytona Beach"",
						",No Credit
16,dbnewsjournal,,,10,"""Dakota Lee Coakley, 25 of Daytona Beach. Also arrested for possession of paraphernalia."",
						",No Credit
16,dbnewsjournal,,,10,"""Dominic James Eliassen, 23, of Daytona Beach"",
						",No Credit
16,dbnewsjournal,,,10,"""Gerald Watts, 34, of West Palm Beach"",
						",No Credit
17,dbnewsjournal,https://www.news-journalonline.com/news/20190205/mom-meets-police-dispatcher-who-helped-deliver-baby?utm_source=facebook&utm_medium=social&utm_campaign=ghm-florida,"Feb 5, 2019 at 7:00 PM 	Feb 6, 2019 at 8:00 AM",3,"""Keisha Oliver, holding her baby boy Uzziah Jeremiah Brown III, talks to the media Tuesday at the Ocala Police Department. Ocala Police dispatcher Ambar Melendez-Sanchez, right, talked dad Uzziah Jeremiah Brown II through the birth on Jan. 30 at their home in Ocala. Sanchez, who is a new dispatcher, talked the father through the whole thing. [Alan Youngblood/Staff photographer]"",","[Alan Youngblood/Staff photographer]"","
