Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,detroitnews,https://www.detroitnews.com/story/sports/nhl/red-wings/2019/02/10/holland-fine-niklas-kronwall-ending-his-long-career-red-wing/2830455002/,"Published 5:36 p.m. ET Feb. 10, 2019 | Updated 6:07 a.m. ET Feb. 11, 2019",8,"Niklas Kronwall (Photo: David Guralnick, Detroit News)","(Photo: David Guralnick, Detroit News)"
2,detroitnews,,,8,"Detroit Red Wings goalie Jonathan Bernier blocks a shot against the Chicago Blackhawks during the second period of an NHL hockey game Sunday, Feb. 10, 2019, in Chicago.  Detroit lost to Chicago 5-2","Nam Y. Huh, AP"
2,detroitnews,,,8,Chicago Blackhawks goalie Cam Ward stops a shot during the first period.,"Nam Y. Huh, AP"
2,detroitnews,,,8,"Detroit Red Wings center Dylan Larkin, front right, controls the puck against Chicago Blackhawks center Marcus Kruger, left, during the first period.","Nam Y. Huh, AP"
2,detroitnews,,,8,Chicago Blackhawks center Drake Caggiula (91) controls the puck against Detroit Red Wings right wing Gustav Nyquist (14) during the second period.,"Nam Y. Huh, AP"
2,detroitnews,,,8,Detroit Red Wings center Dylan Larkin (71) battles for the puck against Chicago Blackhawks center Artem Anisimov (15) during the second period.,"Nam Y. Huh, AP"
2,detroitnews,,,8,"Chicago Blackhawks center Dylan Strome, right, controls the puck against Detroit Red Wings center Dylan Larkin during the second period.","Nam Y. Huh, AP"
2,detroitnews,,,8,Detroit Red Wings center Christoffer Ehn (70) celebrates with teammates after scoring a goal against the Chicago Blackhawks during the second period.,"Nam Y. Huh, AP"
3,detroitnews,https://www.detroitnews.com/story/news/politics/2019/02/10/amy-klobuchar-joins-democratic-race/39036037/,"Published 12:36 p.m. ET Feb. 10, 2019 | Updated 3:47 p.m. ET Feb. 10, 2019",3,"US Senator Amy Klobuchar (D-MN) announces her candidacy for president during a snow fall on February 10, 2019 in Minneapolis, Minnesota. (Photo: KEREM YUCEL, AFP/Getty Images)","(Photo: KEREM YUCEL, AFP/Getty Images)"
3,detroitnews,,,3,"Amy Klobuchar supporters cheer as a DJ takes the stage before Sen. Amy Klobuchar's announcement announcement to run for president Sunday, Feb. 10, 2019, from a snowy Boom Park, in Minneapolis. (Photo: Glen Stubbe, AP)","(Photo: Glen Stubbe, AP)"
3,detroitnews,,,3,"Volunteer Tim Schumann grills his lunch over an open flame in one of the warming areas Sunday, Feb. 10, 2019, prior to Democratic Sen. Amy Klobuchar's announcement of her decision in the race for president at a rally in Minneapolis. (Photo: Anthony Souffle, AP)","(Photo: Anthony Souffle, AP)"
4,detroitnews,https://www.detroitnews.com/story/news/local/michigan/2018/11/28/epa-buffalo-reef-lake-superior-harbor-sand-dredging-project-funds-approved/38633569/,"Published 1:53 p.m. ET Nov. 28, 2018
        ",1,The sun sits low in the sky over Lake Superior at the mouth of the Hurricane River on Oct. 16.(Photo: Bryan Mitchell / Special to Detroit News),(Photo: Bryan Mitchell / Special to Detroit News)
5,detroitnews,https://www.detroitnews.com/story/news/local/michigan/2019/02/10/riverside-park-canoe-kayak-universal-access-project/39035597/,"Published 9:46 a.m. ET Feb. 10, 2019 | Updated 9:56 a.m. ET Feb. 10, 2019",1,Plans are in the works for a universal-access canoe and kayak launch at Riverside Park in western Michigan (Photo: Experience Grand Rapids),(Photo: Experience Grand Rapids)
6,detroitnews,https://www.detroitnews.com/story/news/local/detroit-city/2019/02/10/police-man-gunned-down-east-jefferson/2829920002/,"Published 10:28 a.m. ET Feb. 10, 2019
        ",1,"Police are investigating the death of an unidentified man, believed to be in his 30s, who was fatally shot late Saturday night on the city's east side. (Photo: Detroit News, file)","(Photo: Detroit News, file)"
7,detroitnews,https://www.detroitnews.com/story/entertainment/music/2019/02/10/grammy-nominations-can-women-win/39035845/,"Published 11:03 a.m. ET Feb. 10, 2019 | Updated 6:15 a.m. ET Feb. 11, 2019",4,"Members of Greta Van Fleet, from left, Danny Wagner,  Sam Kiszka, Josh Kiszka, and Jake Kiszka at the 2018 KROQ Absolut Almost Acoustic Christmas in Inglewood, Calif. The young Michigan rockers whose sound and classic rock look is reminiscent of Led Zeppelin have won a best rock album Grammy. (Photo: Amy Harris, Amy Harris/Invision/AP)","(Photo: Amy Harris, Amy Harris/Invision/AP)"
7,detroitnews,,,4,"Drake accepts the award for best rap song for ""God's Plan"" at the 61st annual Grammy Awards. (Photo: Matt Sayles, Matt Sayles/Invision/AP)","(Photo: Matt Sayles, Matt Sayles/Invision/AP)"
7,detroitnews,,,4,"Lady Gaga, right, and Mark Ronson perform ""Shallow"" at the 61st annual Grammy Awards. (Photo: Matt Sayles, Matt Sayles/Invision/AP)","(Photo: Matt Sayles, Matt Sayles/Invision/AP)"
7,detroitnews,,,4,Dua Lipa accepts the award for best new artist at the 61st annual Grammy Awards. Looking on at right is presenter Bob Newhart. (Photo: Matt Sayles/Invision/AP),(Photo: Matt Sayles/Invision/AP)
8,detroitnews,https://www.detroitnews.com/story/news/local/michigan/2019/02/10/weather-outlook-metro-detroit-snow-freezing-rain-ice/2829784002/,"Published 10:07 a.m. ET Feb. 10, 2019 | Updated 6:39 a.m. ET Feb. 11, 2019",8,"Weather conditions were near white out on eastbound I-696 in Warren, Sunday evening, February 10, 2019. (Photo: Kevin Hardy, The Detroit News)","(Photo: Kevin Hardy, The Detroit News)"
8,detroitnews,,,8,"Stacey Zaborny of West Bloomfield watches while her sons, Tyler Zaborny, 10, right, and Conor Zaborny, 12, play chess in the Cadillac Lodge at the first weekend of the Quicken Loans Winter Blast in Detroit on Feb. 10, 2019.   
This year the Winter Blast will take place over four consecutive weekends.","Robin Buckson, The Detroit News"
8,detroitnews,,,8,"Ardise Williams, 9, right, and his sister, Tae'on Clay, 5, both of Detroit make art projects at the Arts and Scraps table in the Bedrock Comfort Zone.","Robin Buckson, The Detroit News"
