Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,mercnews,https://www.mercurynews.com/2019/02/10/andre-iguodala-out-vs-miami-heat-with-left-hamstring-tightness/?utm_content=tw-mercnews&utm_source=twitter.com&utm_medium=social&utm_campaign=socialflow,"PUBLISHED: February 10, 2019 at 3:34 pm | UPDATED: February 10, 2019 at 11:36 pm",1,"OAKLAND, CA – FEBRUARY 6: Golden State Warriors’ Andre Iguodala (9) listens to the National Anthem before their game against the San Antonio Spurs at Oracle Arena in Oakland, Calif., on Wednesday, Feb. 6, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
2,mercnews,https://www.mercurynews.com/2019/02/10/matt-chapman-oakland-athletics-shoulder-rehab-mlb-injury/?utm_campaign=socialflow&utm_medium=social&utm_content=tw-mercnews&utm_source=twitter.com,"PUBLISHED: February 10, 2019 at 3:10 pm | UPDATED: February 10, 2019 at 11:37 pm",1,"Oakland Athletics third baseman Matt Chapman (26) warms up during batting practice before the American League wild-card game against the New York Yankees in the Bronx borough of New York City on Wednesday, Oct. 3, 2018. (Jane Tyska/Bay Area News Group)",(Jane Tyska/Bay Area News Group)
3,mercnews,https://www.mercurynews.com/2019/02/10/1-2-3-pillow-fight-feathers-and-smiles-abound-in-downtown-san-jose-during-9th-annual-event/?utm_source=twitter.com&utm_content=tw-mercnews&utm_medium=social&utm_campaign=socialflow,"PUBLISHED: February 10, 2019 at 3:19 pm | UPDATED: February 11, 2019 at 12:39 am",9,"Spider Gwen, Kirsten Manesa, and Lucila Chavez, center, participate in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"Over a 100 participants take part in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"Lucila Chavez, drops fathers on niece Natalie Cortez as they take part in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"San Jose Giants mascot Gigante, with Spider Gwen, Kirsten Manesa, take part in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"Cosplay decorative pillows ready to take part in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"Participants take part in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"Kirsten Manesa, dress as Spider Gwen is photographed with her pillows before participating in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"San Jose Giants mascot Gigante, participates in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
3,mercnews,,,9,"Spider Gwen, Kirsten Manesa, submerged in feathers as she takes part in a pillow fight during the annual Feather's of Fury 9: The Annual Valentine's Weekend Pillow Fight of San Jose, at the Paseo de San Antonio in San Jose, Calif., on Sunday, February 10, 2019. (Josie Lepe/ Special to the BANG)",(Josie Lepe/ Special to the BANG)
4,mercnews,https://www.mercurynews.com/2019/02/10/stanford-routed-in-pac-12-showdown-with-oregon/?utm_campaign=socialflow&utm_medium=social&utm_source=twitter.com&utm_content=tw-mercnews,"PUBLISHED: February 10, 2019 at 3:07 pm | UPDATED: February 11, 2019 at 4:24 am",10,"STANFORD, CA - FEBRUARY 10: Stanford's Lexie Hull (12) steals the ball away from Oregon's Sabrina Ionescu (20) in the third quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Oregon's Sabrina Ionescu (20) takes a shot against Stanford's Lexie Hull (12) in the second quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Stanford's DiJonai Carrington (21) tries to get a shot off against Oregon's Taylor Chavez (3) in the fourth quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Oregon's Sabrina Ionescu (20) takes a shot against the Stanford Cardinal in the second quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Oregon's Sabrina Ionescu (20) hugs family and friends following their 88-48 win over the Stanford Cardinal at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Stanford's DiJonai Carrington (21) sits on the bench during their game against the Oregon Ducks late in the fourth quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Oregon's Sabrina Ionescu (20) dribbles against Stanford's Alanna Smith (11) in the third quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Oregon's Oti Gildon (32) takes a shot against Stanford's Maya Dodson (15) in the second quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Stanford's Alanna Smith (11) takes a 3-point shot against Oregon's Oti Gildon (32) in the first quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
4,mercnews,,,10,"STANFORD, CA - FEBRUARY 10: Stanford Cardinal head coach Tara VanDerveer cheers for a basket during their game against the Oregon Ducks early in the first quarter at Maples Pavilion in Stanford, Calif., on Sunday, Feb. 10, 2019. (Nhat V. Meyer/Bay Area News Group)",(Nhat V. Meyer/Bay Area News Group)
5,mercnews,https://www.mercurynews.com/2019/02/10/5863103/?utm_content=tw-mercnews&utm_source=twitter.com&utm_medium=social&utm_campaign=socialflow,"February 10, 2019 at 7:00 am",1,"Latest line: Who is our political winner, loser of the week?",No Credit
6,mercnews,https://www.mercurynews.com/2019/02/10/los-gatos-community-briefs-for-the-week-of-feb-15/?utm_source=twitter.com&utm_content=tw-mercnews&utm_medium=social&utm_campaign=socialflow,"February 10, 2019 at 7:21 am",1,"Photo by Judy Gittelsohn
						Judy Gittelsohn , whose artwork is shown here, will lead a ‘Painting Symbols’ workshop Feb. 16-17 at NUMU Los Gatos.",Photo by Judy Gittelsohn
