Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,pbpost,https://www.palmbeachpost.com/news/20190210/boynton-man-70-dies-after-car-flips-in-canal-in-village-of-golf?rssfeed=true,"Feb 10, 2019 at 5:27 PM 	Feb 11, 2019 at 10:57 AM",1,NA,No Credit
2,pbpost,https://www.palmbeachpost.com/zz/news/20190210/lindsey-vonn-wins-bronze-medal-in-final-race-of-her-career?rssfeed=true,"Feb 10, 2019 at 11:30 AM 	",1,"""Lindsey Vonn celebrates with the US Ski members after the flowers ceremony of the women downhill race at the 2019 FIS Alpine Skiing World Championships in Are, Sweden Sunday, Feb. 10, 2019."",","""The Associated Press"","
3,pbpost,https://www.palmbeachpost.com/news/20190210/at-beach-it-might-be-best-to-admire-water-not-swim-in-it?rssfeed=true,"Feb 10, 2019 at 10:51 AM 	Feb 10, 2019 at 10:51 AM",1,"""It's a beautiful day for the beach, like this one last year at Juno Beach. {Greg Lovett/palmbeachpost.com]"",",Greg Lovett/palmbeachpost.com
4,pbpost,https://www.palmbeachpost.com/news/20190210/national-signing-day-see-which-schools-pbc-athletes-picked/1?rssfeed=true,"Feb 10, 2019 at 12:01 AM 	",10,"""These Wellington athletes signed their letters of intent last Wednesday: (first row from the left) Antonio Washington (Keiser), Dane Stratton (FAU), Ashley Cozad (UNF), Cornelius Butler (St. Thomas), Madeleine Crean (Oswego; (second row from the left) Mark-Antony Richards (Auburn), Devin Scott (Keiser)."",",No Credit
4,pbpost,,,10,"""Peter Sinoyiannis, a linebacker at Seminole Ridge (center) signed with Florida Tech on Wednesday. He's seen here with his parents, Pete and Julie Sinoyiannis. [Photo courtesy of Seminole Ridge High]"",","[Photo courtesy of Seminole Ridge High]"","
4,pbpost,,,10,"""Ty'Korian Brown, a Seminole Ridge safety, signed with Tusculum University (Tenn.) on Wednesday. He's seen here with his mother Ota'Kiya Brown (left) and girlfriend Micah Jones. [Photo courtesy of Seminole Ridhe High]"",","[Photo courtesy of Seminole Ridhe High]"","
4,pbpost,,,10,"""Ty'Korian Brown, a Seminole Ridge safety, signed with Tusculum University (Tenn.) on Wednesday. He's seen here with his mother Ota'Kiya Brown (left) and girlfriend Micah Jones. [Photo courtesy of Seminole Ridhe High]"",
						","[Photo courtesy of Seminole Ridhe High]"",
						"
4,pbpost,,,10,"""Peter Sinoyiannis, a linebacker at Seminole Ridge (center) signed with Florida Tech on Wednesday. He's seen here with his parents, Pete and Julie Sinoyiannis. [Photo courtesy of Seminole Ridge High]"",
						","[Photo courtesy of Seminole Ridge High]"",
						"
4,pbpost,,,10,"""Peter Sinoyiannis, a linebacker at Seminole Ridge (center) signed with Florida Tech on Wednesday. [Photo courtesy of Seminole Ridge High]"",
						","[Photo courtesy of Seminole Ridge High]"",
						"
4,pbpost,,,10,"""Ty'Korian Brown, a Seminole Ridge safety, signed with Tusculum University (Tenn.) on Wednesday. [Photo courtesy of Seminole Ridhe High]"",
						","[Photo courtesy of Seminole Ridhe High]"",
						"
4,pbpost,,,10,"""Atlantic tight end Kamareon Williams holds up a picture of former teammate Marc'Allan Derac. Williams signed with FIU. [JAKE ELMAN/palmbeachpost.com]"",
						","[JAKE ELMAN/palmbeachpost.com]"",
						"
4,pbpost,,,10,"""Benjamin defensive back Kaiir Elam will play college football at the University of Florida. With him at his signing ceremony Wednesday at the school are (from left) his sister, Abraiya, dad Abe, mom Shayla and brother Aydan. [JODIE WAGNER/palmbeachpost.com]"",
						","[JODIE WAGNER/palmbeachpost.com]"",
						"
4,pbpost,,,10,"""University of Florida football coach Dan Mullen meets with Wellington High School football player Mark-Antony Richards after arriving by helicopter on a recruiting trip Tuesday in Wellington, January 29, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,https://www.palmbeachpost.com/sports/20190209/golfer-rocco-mediate-id-fill-my-water-bottle-with-vodka-while-playing-on-tour?rssfeed=true,"Feb 9, 2019 at 7:36 PM 	Feb 11, 2019 at 1:55 PM",10,"""Rocco Mediate watches his tee shot on the par 3, 8th hole during Friday's first round of the Oasis Championship in Boca Raton. [ALLEN EYESTONE/palmbeachpost.com]"",","[ALLEN EYESTONE/palmbeachpost.com]"","
5,pbpost,,,10,"""Rocco Mediate with his caddie after holing out from the fairway on the par 4 fourth hole during Friday's first round of the Oasis Championship in Boca Raton. [ALLEN EYESTONE/palmbeachpost.com]"",","[ALLEN EYESTONE/palmbeachpost.com]"","
5,pbpost,,,10,"""Rocco Mediate won his first Champions Tour event winning by two strokes at the Alliance Championship on The Old Course at Broken Sound in Boca Raton, FL on February 10, 2013. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate watches his tee shot on the 14th hole during the final round of the Alliance Championship on The Old Course at Broken Sound in Boca Raton, FL on February 10, 2013. Mediate won by two strokes. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate (right) fist bumps Brad Faxon after Mediate holes out from the fairway on the par 4, fourth hole during the first round of the Oasis Championship in Boca Raton, February 8, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate stretches before teeing off on the first hole during the first round of the Oasis Championship in Boca Raton, February 8, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate with his caddie after holing out from the fairway on the par 4 fourth hole during the first round of the Oasis Championship in Boca Raton, February 8, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate watches his tee shot on the par 3, 8th hole during the first round of the Oasis Championship in Boca Raton, February 8, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate watches his tee shot on the par 3, 8th hole during the first round of the Oasis Championship in Boca Raton, February 8, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
5,pbpost,,,10,"""Rocco Mediate during the first round of the Oasis Championship in Boca Raton, February 8, 2019. [ALLEN EYESTONE/palmbeachpost.com]"",
						","[ALLEN EYESTONE/palmbeachpost.com]"",
						"
6,pbpost,https://www.palmbeachpost.com/opinion/20190210/analysis-immigration-legislation-investigation-and-child-poverty-4-scholars-respond-to-trumps-state-of-union?rssfeed=true,"Feb 10, 2019 at 6:31 AM 	",1,"""WASHINGTON -- President Donald Trump shakes hands with House Speaker Nancy Pelosi as Vice President Mike Pence looks on, as he arrives in the House chamber before giving his State of the Union address to a joint session of Congress, on Tuesday. [Doug Mills/The New York Times via AP, Pool]"",","[Doug Mills/The New York Times via AP, Pool]"","
