Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-gang-stabbing-quinceanera-20190210-story.html,2019-02-10T15:45:00PST,0,NA,No Image
2,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-ranch-bernardo-house-fire-20190210-story.html,2019-02-10T14:20:00PST,0,NA,No Image
3,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-fatal-stabbing-el-cajon-20190210-story.html,2019-02-10T14:15:00PST,0,NA,No Image
4,sdut,https://www.sandiegouniontribune.com/weather/sd-me-sandiego-morerain-20190210-story.html,2019-02-10T12:55:00PST,1,"A weak Pacific storm moved through Southern California on Sunday, producing showers at the coast and snow in the mountains.",Gary Robbins/Union-Tribune
6,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-shooting-concert-pechanga-arena-injured-20190210-story.html,2019-02-10T11:20:00PST,0,NA,No Image
7,sdut,https://www.sandiegouniontribune.com/business/la-fi-money-talk-retirement-debt-payoff-20190210-story.html,2019-02-10T03:00:00PST,1,"Using retirement savings to pay off a home equity line of credit is perilous, especially if you haven't addressed what caused you to pile up debt in the first place.",Getty Images
8,sdut,https://www.sandiegouniontribune.com/news/us-politics/ct-border-wall-government-shutdown-20190210-story.html,2019-02-11T05:55:00PST,1,"Budget talks have hit another impasse over immigration, congressional aides said.",AFP/Getty Images
9,sdut,https://www.sandiegouniontribune.com/business/technology/sd-fi-quacomm-ftc-lookback-20190210-story.html,2019-02-10T06:00:00PST,3,"Qualcomm's business model has been under fire by the FTC as anti-competitive, but does it harm competition and consumers?",New York Times
9,sdut,,,3,Qualcomm CEO Steve Mollenkopf defended Qualcomm's business model at FTC trial.,No Credit
9,sdut,,,3,The FTC anti-trust case against Qualcomm is very similar to arguments made by Apple in a separate lawsuit in San Diego federal court.,Associated Press
10,sdut,https://www.sandiegouniontribune.com/communities/north-county/sd-no-flowergeddon-prevention-borrego-20190128-story.html,2019-02-10T06:00:00PST,2,View looking east over Borrego Springs with the open desert that is starting to bloom with wildflowers in the background. It is shaping up to be a banner year with a bumper crop of wildflowers in the local desert.,John Gibbins / San Diego Union-Tribune
10,sdut,,,2,"Brianna Puzzo, foreground, assistant executive director of the Anza-Borrego Foundation, and Bri Fordem, rear, executive director, sort through some of the extra merchandise that they have stocked up on at the gift shop for the upcoming wildflower season.",John Gibbins / San Diego Union-Tribune
11,sdut,https://www.sandiegouniontribune.com/communities/north-county/sd-no-homeless-jobs-program-20190207-story.html,2019-02-10T06:00:00PST,1,"Homeless count volunteer Heather Conklin speaks with homeless man Barry Blaylock, 54, on a sidewalk in downtown Oceanside in January. Above is Oceanside police Officer Steve Peppard.",Union-Tribune file photo by Charlie Neuman
12,sdut,https://www.sandiegouniontribune.com/news/us-politics/la-na-pol-me-too-presidential-campaign-20190210-story.html,2019-02-10T04:00:00PST,3,Sen. Bernie Sanders of Vermont faces a reckoning over sexual harassment and other misconduct by male supervisors who worked on his 2016 campaign for the Democratic presidential nomination.,Alex Brandon / Associated Press
12,sdut,,,3,"Sen. Kamala Harris (D-Calif.) says nobody told her about a $400,000 settlement of a sexual harassment suit filed against one of her top aides when she was state attorney general.",Marcus Yam / Los Angeles Times
12,sdut,,,3,Anita Hill was interrogated by the all-male Senate Judiciary Committee at the 1991 confirmation hearings for Supreme Court nominee Clarence Thomas.,Samuel Goldwyn Films
13,sdut,https://www.sandiegouniontribune.com/communities/north-county/sd-no-woodson-parking-lot-20190208-story.html,2019-02-10T06:00:00PST,1,The county may buy land off state Route 67 in Ramona where it would build a parking lot where hikers visiting Potato Chip Rock and Mt. Woodson could park. For years now hikers have been parking along the western shoulder of the highway creating serious safety issues.,J. Harry Jones / San Diego Union-Tribune
14,sdut,https://www.sandiegouniontribune.com/news/environment/sd-no-kelp-forest-threatened-20190129-story.html,2019-02-10T06:00:00PST,3,Scripps Institution of Oceanography Researcher Ed Parnell inspects the kelp forest off the San Diego coast during a dive to check on the current conditions of the local kelp.,Andrew Roe
14,sdut,,,3,"This Norrisia norrisii snail clinging to a kelp leaf, was observed during a dive to check on the current conditions of the local kelp.",Andrew Roe
14,sdut,,,3,"Scripps Institution of Oceanography Researcher Ed Parnell places abalone shells on a pile of invasive Sargassum horneri sea weed, a kelp competitor, after taking a dive to check on the current conditions of the local kelp.",Andrew Roe
15,sdut,https://www.sandiegouniontribune.com/lifestyle/people/sd-me-one-williams-20190206-story.html,2019-02-10T06:00:00PST,1,"Brian Williams is a local archaeologist and a board member with the San Diego Archaeological Center. The center is hosting the ""San Diego First Peoples Tour Series,"" which explores the physical locations and landscapes of the first people who inhabited the area.",Nelvin C. Cepeda / San Diego Union-Tribune
16,sdut,https://www.sandiegouniontribune.com/news/us-politics/ct-amy-klobuchar-2020-presidential-election-20190210-story.html,2019-02-10T14:45:00PST,1,"Democratic Sen. Amy Klobuchar, laughs as she addresses a snowy rally where she announced she is entering the race for president on Feb. 10, 2019, at Boom Island Park in Minneapolis.",Jim Mone/AP
17,sdut,https://www.sandiegouniontribune.com/news/homelessness/sd-me-homeless-disparity-20190205-story.html,2019-02-10T05:00:00PST,1,"A look at the racial breakdown of homeless people in San Diego County and nationwide showed a disparity with the overall population, with some groups over-represented and others under-represented. Above, people are shown at last month's Project Homeless Connect in San Diego.",File photo
18,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-mcstay-merritt-trial-week-5-story.html,2019-02-10T05:00:00PST,1,"The McStay family, from left: Summer, Joey Jr., Gianni, Joseph Sr.",courtesy photo
19,sdut,https://www.sandiegouniontribune.com/news/us-politics/la-na-pol-trump-impeachment-investigations-20190210-story.html,2019-02-10T03:00:00PST,1,"Clockwise from top left: Reps. Maxine Waters, Eliot Engel, Jerrold Nadler and Adam B. Schiff, and House Speaker Nancy Pelosi.","AFP, AP, AP, AP, EPA"
20,sdut,https://www.sandiegouniontribune.com/news/nation-world/la-fg-south-korea-us-troops-20190209-story.html,2019-02-10T13:00:00PST,1,"South Korean Foreign Minister Kang Kyung-wha, right, with Timothy Betts, acting deputy assistant secretary and senior advisor for security negotiations and agreements at the State Department, during their meeting Feb. 10 in Seoul.",Pool / Getty Images
21,sdut,https://www.sandiegouniontribune.com/sports/columnists/bryce-miller/sd-sp-miller-don-orsillo-padres-red-sox-fishing-20190209-story.html,2019-02-10T06:00:00PST,1,"Padres broadcaster Don Orsillo, right, shows off a Vermilion rockfish Thursday with Pete Gray while fishing aboard Gray's boat near the Coronado Islands.",Bryce Miller/San Diego Union-Tribune
22,sdut,https://www.sandiegouniontribune.com/news/marijuana/sd-me-marijuana-black-market-20190210-story.html,2019-02-10T05:00:00PST,4,"A California National Guard Counterdrug Task Force team member cuts down illegal marijuana plants at an illicit grow site in the Sierra National Forest near Fresno on August 21. The eradication efforts were part of Operation Forest Watch, a month-long, multi-agency effort.",Sgt. Lani Pascual/USNORTHCOM
22,sdut,,,4,"A member of the Mexican Attorney General's Office stands guard during the incineration of more than 3 tons of marijuana and other narcotics, in Zapopan, Jalisco State, Mexico, on Feb. 1, 2019.",Ulises Ruiz/Getty Images
22,sdut,,,4,"The Imperial County Sheriff's Office seized 23,000 pounds of marijuana in a semi-truck in Calexico in May.",Courtesy of Imperial County Sheriff's Office
22,sdut,,,4,"Lincoln Fish, CEO of OutCo, operates Outliers Collective, a legal medical cannabis business, holds a marijuana bud grown at their facility.",Howard Lipin/U-T
23,sdut,https://www.sandiegouniontribune.com/news/marijuana/sd-me-marijuana-black-market-backstory-20190210-story.html,2019-02-10T05:00:00PST,0,NA,No Image
24,sdut,https://www.sandiegouniontribune.com/news/education/sd-me-ucsd-foreignstudents-20190207-story.html,2019-02-10T05:00:00PST,1,"UC San Diego has added nearly 7,200 foreign students in the past decade. Engineering has attracted (left to right) such students as Mohammad Qubbaj of Jordan, Reem Mohanty of Qatar, and Kevin Monsanto of Indonesia. ,",John Gibbins/Union-Tribune
25,sdut,https://www.sandiegouniontribune.com/communities/north-county/sd-no-extreme-anniversary-20190210-story.html,2019-02-10T05:00:00PST,2,"Brian Wofford, 68, outside his Encinitas home, which was dramatically tansformed 15 years ago on the ABC TV series ""Extreme Makeover: Home Edition.""",Bill Wechter / San Diego Union-Tribune
25,sdut,,,2,"In September 2004, America met the Wofford family of Encinitas whose tiny home was quadrupled in size on ABC's ""Extreme Makeover: Home Edition"" TV series. Widower Brian Wofford reflects on that week and how his families lives have changed since then. (Pam Kragen)",No Credit
26,sdut,https://www.sandiegouniontribune.com/sports/sd-sp-gulls-bakersfield-condors-ahl-20190209-story.html,2019-02-09T22:10:00PST,0,NA,No Image
27,sdut,https://www.sandiegouniontribune.com/sports/high-school-preps/sd-sp-preps-scoreboard-0210-x-20190209-story.html,2019-02-09T21:25:00PST,0,NA,No Image
28,sdut,https://www.sandiegouniontribune.com/sports/sd-sp-fleet-sanantonio-0209-story.html,2019-02-09T21:25:00PST,1,San Diego Fleet head coach Mike Martz's team could not find the end zone Saturday night.,AP
29,sdut,https://www.sandiegouniontribune.com/sports/high-school-preps/sd-sp-preps-wrestling-rancho-bernardo-20190209-story.html,2019-02-09T21:20:00PST,0,NA,No Image
30,sdut,https://www.sandiegouniontribune.com/sports/high-school-preps/sd-sp-preps-wrestling-poway-20190209-story.html,2019-02-09T21:15:00PST,0,NA,No Image
31,sdut,https://www.sandiegouniontribune.com/sports/high-school-preps/sd-sp-preps-wrestling-brawley-20190209-story.html,2019-02-09T21:10:00PST,0,NA,No Image
32,sdut,https://www.sandiegouniontribune.com/sports/high-school-preps/sd-sp-preps-wrestling-imperial-20190209-story.html,2019-02-09T21:05:00PST,0,NA,No Image
33,sdut,https://www.sandiegouniontribune.com/sports/aztecs/sd-sp-sdsu-aztecs-basketball-utah-state-viejas-20190209-story.html,2019-02-09T21:05:00PST,1,Aztecs' Jeremy Hemsley looks to pass as Utah State's Sam Merrill defends during the first half at Viejas Arena on Saturday.,Hayne Palmour IV / San Diego Union-Tribune
34,sdut,https://www.sandiegouniontribune.com/entertainment/music/sd-et-grammy-awards-preview-20190209-story.html,2019-02-09T21:00:00PST,3,"Some of the leading 2019 Grammy Awards nominees include, clockwise from top right, Cardi B, Lady Gaga, Janelle Monáe, H.E.R. and Kacey Musgraves.",Union-Tribune photo Illustration by Gloria Orbegozo
34,sdut,,,3,Alicia Keys will host the 61st annual Grammy Awards on Sunday. She is the first woman to host the show in 15 years.,Photo by Frederic J. BROWN / AFP
34,sdut,,,3,"Grammy Awards honcho Neil Portnow, who will step down in July after a decade, is shown with Katy Perry.",Photo by Lester Cohen / WireImage
35,sdut,https://www.sandiegouniontribune.com/sports/high-school-preps/sd-sp-preps-basketball-playoff-pairings-section-20190209-story.html,2019-02-09T18:50:00PST,1,"St. Augustine coach Mike Haupt, whose team is seeded No. 2 in the Open Division, opposes the pool-play idea.",Bill Wechter
37,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-escondido-ois-shooting-torres-20190209-story.html,2019-02-09T18:30:00PST,0,NA,No Image
38,sdut,https://www.sandiegouniontribune.com/news/public-safety/sd-me-vista-jail-inmate-death-20190209-story.html,2019-02-09T18:15:00PST,0,NA,No Image
39,sdut,https://www.sandiegouniontribune.com/news/nation-world/ct-kyle-yorlets-nashville-shooting-20190209-story.html,2019-02-09T17:35:00PST,0,NA,No Image
40,sdut,https://www.sandiegouniontribune.com/sports/columnists/nick-canepa/sd-sp-canepa-super-bowl-rams-0210-story.html,2019-02-09T17:05:00PST,1,Maybe Rams coach Sean McVay isn’t such an offensive genius after all. Offensive geniuses find ways to score a TD in 60 minutes. Last Sunday’s loss was his.,John Bazemore / AP
