Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,sltrib,https://www.sltrib.com/news/2019/02/10/snowmobiler-killed-summit/,"·   Published: February 9  Updated: February 10, 2019",0,NA,No Image
2,sltrib,https://www.sltrib.com/artsliving/2019/02/08/gomberg-marie-kondo/,"·   Published: February 10  Updated: February 10, 2019",1,Francisco Kjolseth | The Salt Lake Tribune Trib staff portraits. Marina Gomberg.,Francisco Kjolseth
3,sltrib,https://www.sltrib.com/religion/2019/02/10/belief-god-is-pre-eminent/,"·   Published: February 10  Updated: February 11, 2019",2,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) The world leader of The Church of Jesus Christ of Latter-day Saints, President Russell M. Nelson, encourages members in the Phoenix area to increase their faith practices in the home. He and his first counselor, President Dallin H. Oaks, spoke to Latter-day Saints in State Farm Stadium Sunday, Feb. 10, 2019.","(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) The world leader of The Church of Jesus Christ of Latter-day Saints, President Russell M. Nelson, encourages members in the Phoenix area to increase their faith practices in the home. He and his first counselor, President Dallin H. Oaks, spoke to Latter-day Saints in State Farm Stadium Sunday, Feb. 10, 2019."
3,sltrib,,,2,"(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) After his meeting in Chico, Calif., Jan. 13, 2019, President Russell M. Nelson met with Rob and Gretchen Harrison and their three children in front of what used to be their home.","(Photo courtesy of The Church of Jesus Christ of Latter-day Saints) After his meeting in Chico, Calif., Jan. 13, 2019, President Russell M. Nelson met with Rob and Gretchen Harrison and their three children in front of what used to be their home."
4,sltrib,https://www.sltrib.com/opinion/letters/2019/02/10/letter-trump-stops-rules/,"·   Published: February 10  Updated: February 10, 2019",1,"(Carolyn Kaster | The Associated Press) President Donald Trump arrives on Marine One on the South Lawn of the White House in Washington, Friday, Feb. 8, 2019. The President was returning to the White House after his annual physical exam at Walter Reed National Military Medical Center.",(Carolyn Kaster
5,sltrib,https://www.sltrib.com/opinion/commentary/2019/02/10/commentary-transgender/,"·   Published: February 10  Updated: February 10, 2019",1,Dex Rumsey,No Credit
6,sltrib,https://www.sltrib.com/opinion/commentary/2019/02/10/commentary-we-are-losing/,"·   Published: February 10  Updated: February 10, 2019",1,Tim J.S. Heise,No Credit
7,sltrib,https://www.sltrib.com/opinion/commentary/2019/02/10/commentary-there-are/,"·   Published: February 10  Updated: February 10, 2019",2,"(Jessica Hill | AP file photo) In this Aug. 17, 2018, file photo, family and friends who have lost loved ones to OxyContin and opioid overdoses leave pill bottles in protest outside the headquarters of Purdue Pharma, which is owned by the Sackler family, in Stamford, Conn.",(Jessica Hill
7,sltrib,,,2,Aharon Shulimson,No Credit
8,sltrib,https://www.sltrib.com/opinion/commentary/2019/02/10/leonard-pitts-last-thing/,"·   Published: February 10  Updated: February 10, 2019",2,Leonard Pitts Jr.,No Credit
8,sltrib,,,2,Leonard Pitts Jr.,No Credit
9,sltrib,https://www.sltrib.com/opinion/commentary/2019/02/10/commentary-church-needs/,"·   Published: February 10  Updated: February 10, 2019",2,"(Keith Johnson | Special to The Tribune) President Russell M. Nelson speaks about the name of name of the church during the 188th Semiannual General Conference of The Church of Jesus Christ of Latter-day Saints on Oct. 7, 2018, in Salt Lake City.",(Keith Johnson
9,sltrib,,,2,Samuel Wolfe,No Credit
10,sltrib,https://www.sltrib.com/opinion/letters/2019/02/10/letter-lawmakers-put/,"·   Published: February 10  Updated: February 10, 2019",1,"(Rick Egan | Tribune file photo) New House Speaker Brad Wilson conducts business in the House of Representatives, on the first day of the 2019 Utah Legislative session, Monday, Jan. 28, 2019.",(Rick Egan
11,sltrib,https://www.sltrib.com/sports/2019/02/10/lindsey-vonn-finishes-her/,"·   Published: February 10  Updated: February 10, 2019",10,"(Jean-Christophe Bott/Keystone via AP) Lindsey Vonn of the United States celebrates with the US Ski members after the flowers ceremony of the women downhill race at the 2019 FIS Alpine Skiing World Championships in Are, Sweden Sunday, Feb. 10, 2019.","(Jean-Christophe Bott/Keystone via AP) Lindsey Vonn of the United States celebrates with the US Ski members after the flowers ceremony of the women downhill race at the 2019 FIS Alpine Skiing World Championships in Are, Sweden Sunday, Feb. 10, 2019."
11,sltrib,,,10,"Lindsey Vonn of the United States celebrates with the dog Lucy after the flower ceremony of the women downhill race at the 2019 FIS Alpine Skiing World Championships in Are, Sweden Sunday, Feb. 10, 2019. (Jean-Christophe Bott/Keystone via AP)",(Jean-Christophe Bott/Keystone via AP
11,sltrib,,,10,"Third placed United States' Lindsey Vonn celebrates with her team in the finish area after the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Marco Trovati)",(AP Photo/Marco Trovati
11,sltrib,,,10,"United States' Lindsey Vonn holds a press conference after taking the bronze medal in the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Gabriele Facciotti)",(AP Photo/Gabriele Facciotti
11,sltrib,,,10,"United States' Lindsey Vonn celebrates after taking third place during the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Marco Trovati)",(AP Photo/Marco Trovati
11,sltrib,,,10,"Lindsey Vonn of the United States celebrates with the US Ski members after the flowers ceremony of the women downhill race at the 2019 FIS Alpine Skiing World Championships in Are, Sweden Sunday, Feb. 10, 2019. (Jean-Christophe Bott/Keystone via AP)",(Jean-Christophe Bott/Keystone via AP
11,sltrib,,,10,"United States' Lindsey Vonn shows her career's medals as she holds a press conference after taking the bronze medal in the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Gabriele Facciotti)",(AP Photo/Gabriele Facciotti
11,sltrib,,,10,"Bronze medalist United States' Lindsey Vonn celebrates after the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Shinichiro Tanaka)",(AP Photo/Shinichiro Tanaka
11,sltrib,,,10,"United States' Lindsey Vonn, right, celebrates her third place with Sweden former skier Ingemar Stenmark after the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Giovanni Auletta)",(AP Photo/Giovanni Auletta
11,sltrib,,,10,"United States' Lindsey Vonn smiles in the finish area after the women's downhill race, at the alpine ski World Championships in Are, Sweden, Sunday, Feb. 10, 2019. (AP Photo/Giovanni Auletta)",(AP Photo/Giovanni Auletta
12,sltrib,https://www.sltrib.com/opinion/letters/2019/02/10/letter-now-that-san-juan/,"·   Published: February 10  Updated: February 10, 2019",1,"(Rick Egan | Tribune file photo) San Juan County commissioners Willie Grayeyes, Kenneth Maryboy and Bruce Adams share a laugh, after being sworn in at the San Juan County Courthouse in Monticello, Jan. 7, 2019.",(Rick Egan
13,sltrib,https://www.sltrib.com/news/2019/02/10/west-valley-city-police/,"·   Published: February 9  Updated: February 12, 2019",0,NA,No Image
14,sltrib,https://www.sltrib.com/opinion/commentary/2019/02/10/commentary-clean-air-utah/,"·   Published: February 10  Updated: February 10, 2019",1,Al Hartmann | The Salt Lake Tribune Hazy scene of downtown Salt Lake City at 9:30 a.m. Friday Dec. 4 a few blocks north of the the Utah State Capitol. Air quality was in the yellow range.,Al Hartmann
15,sltrib,https://www.sltrib.com/news/2019/02/09/head-grand-canyon-cleared/,"Published: February 9  Updated: February 09, 2019",2,"This May 19, 2018, photo released by the National Park Service shows Grand Canyon Superintendent, Christine Lehnertz at the Grand Canyon National Park, Ariz. A U.S. investigation at Grand Canyon National Park has ended with the exoneration of the park's superintendent and an announcement that she'll return to work soon. Lehnertz was reassigned in Oct. 2018, while investigators from the Interior Department's Office of Inspector General looked into undisclosed allegations against her. Deputy Director P. Daniel Smith said the allegations were ""wholly unfounded"" and Lehnertz has demonstrated a commitment to building a respectful workplace. (Michael Quinn/National Park Service via AP)",(Michael Quinn/National Park Service via AP)
15,sltrib,,,2,"FILE - In this Oct. 13, 2017, file photo, then-Interior Secretary Ryan Zinke, left, and Grand Canyon National Park Superintendent Christine Lehnertz address National Park Service employees at Grand Canyon National Park, Ariz. Lehnertz is returning to work after being cleared in a federal investigation. (AP Photo/Felicia Fonseca, File)","(AP Photo/Felicia Fonseca, File)"
16,sltrib,https://www.sltrib.com/artsliving/2019/02/10/brain-heart-war-utah/,"·   Published: February 10  Updated: February 13, 2019",10,"(Francisco Kjolseth | The Salt Lake Tribune) Actress Betsy West got a little guidance with frosting a cake from chefs Frederick Jackson, center, and A.J. Collette as she prepared to play a Southern Baptist bakery owner in North Carolina faced with a request to bake a wedding cake for a gay couple. She appears in Salt Lake Acting Company's production of The Cake. A self-admitted baking novice, West was in search of better authenticity and received lessons from chefs at Flourish.",(Francisco Kjolseth | The Salt Lake Tribune
16,sltrib,,,10,(Francisco Kjolseth | The Salt Lake Tribune) Actress Betsy West prepared to play a Southern Baptist bakery owner in North Carolina faced with a request to bake a wedding cake for a gay couple. She appears in Salt Lake Acting Company's production of The Cake.,(Francisco Kjolseth | The Salt Lake Tribune
16,sltrib,,,10,"(Francisco Kjolseth | The Salt Lake Tribune) Actress Betsy West gets a little guidance with frosting a cake from chef A.J. Collette as she prepares for an upcoming role of a Southern Baptist bakery owner in North Carolina faced with a request to bake a cake for a gay couple getting married for Salt Lake Acting Company's production of The Cake. A self admitted baking novice, West, in search of better authenticity in portraying her role received a one-on-one lesson from the chef's at Flourish.",(Francisco Kjolseth | The Salt Lake Tribune
16,sltrib,,,10,"(Francisco Kjolseth | The Salt Lake Tribune) Paid intern chef for Flourish bakery A.J. Collette, helps actress Betsy West prepares for the upcoming role of a Southern Baptist bakery owner in North Carolina faced with a request to bake a cake for a gay couple getting married for Salt Lake Acting Company's production of The Cake. A self admitted baking novice, West, in search of better authenticity in portraying her role received a one-on-one lesson from the chef's.",(Francisco Kjolseth | The Salt Lake Tribune
16,sltrib,,,10,"(Photo courtesy of dav.d daniels | dav.d photography) Latoya Cameron, left, Carianne H. Jones, center, and Betsy West in Salt Lake Acting Company’s production of The Cake by Bekah Brunstetter.",(Photo courtesy of dav.d daniels | dav.d photography
16,sltrib,,,10,"(Photo courtesy of dav.d daniels |dav.d photography) Latoya Cameron, left, and Betsy West in Salt Lake Acting Company’s production of The Cake by Bekah Brunstetter.",(Photo courtesy of dav.d daniels |dav.d photography
16,sltrib,,,10,(Photo courtesy of dav.d daniels | dav.d photography) Joe Crnich and Betsy West in Salt Lake Acting Company’s production of The Cake by Bekah Brunstetter.,(Photo courtesy of dav.d daniels | dav.d photography
16,sltrib,,,10,"(Photo courtesy of dav.d daniels | dav.d photography) Latoya Cameron. left, and Carianne H. Jones in Salt Lake Acting Company’s production of The Cake by Bekah Brunstetter.",(Photo courtesy of dav.d daniels | dav.d photography
16,sltrib,,,10,"(Photo courtesy of dav.d daniels | dav.d photography) Carianne H. Jones, left, and Betsy West in Salt Lake Acting Company’s production of The Cake by Bekah Brunstetter.",(Photo courtesy of dav.d daniels | dav.d photography
16,sltrib,,,10,"(Francisco Kjolseth | The Salt Lake Tribune) Actress Betsy West prepares for the upcoming role of a Southern Baptist bakery owner in North Carolina faced with a request to bake a cake for a gay couple getting married for Salt Lake Acting Company's production of The Cake. A self admitted baking novice, West, in search of better authenticity in portraying her role received a one-on-one lesson from the chef's at Flourish Bakery.",(Francisco Kjolseth | The Salt Lake Tribune
17,sltrib,https://www.sltrib.com/news/politics/2019/02/09/saturday-canvassers-lobby/,"·   Published: February 9  Updated: February 10, 2019",7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill talks to Dawn Le as they plan to canvas a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
17,sltrib,,,7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill talks to Dawn Le as they plan to canvas a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
17,sltrib,,,7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill talks to Mark Stacey, as he goes door to door in a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
17,sltrib,,,7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill talks to Dawn Le as they plan to canvas a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
17,sltrib,,,7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill goes door to door in a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
17,sltrib,,,7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill talks to Ron Bishop, as he goes door to door in a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
17,sltrib,,,7,"(Rick Egan | The Salt Lake Tribune) Keaton Hill talks to Ron Bishop, as he goes door to door in a neighborhood in Taylorsville with other supporters of the fuller Medicaid expansion, urging residents to call their senator, Saturday, Feb. 9, 2019.",(Rick Egan | The Salt Lake Tribune
18,sltrib,https://www.sltrib.com/religion/2019/02/10/kirby-active-shooter/,"·   Published: February 10  Updated: February 10, 2019",1,Francisco Kjolseth | The Salt Lake Tribune Robert Kirby,Francisco Kjolseth
19,sltrib,https://www.sltrib.com/opinion/letters/2019/02/10/letter-appeal-lesser/,"·   Published: February 10  Updated: February 10, 2019",1,"(Leah Hogsten | Tribune file photo) Protestors gather outside the Utah House chambers, as members gather to vote on the replacement Medicaid plan on Friday, Feb. 2, 2019.",(Leah Hogsten
20,sltrib,https://www.sltrib.com/news/politics/2019/02/09/former-candidate-utah/,"·   Published: February 9  Updated: February 09, 2019",2,(Courtesy of the Organization for a New Utah Flag) A proposed redesign of the Utah State Flag.,(Courtesy of the Organization for a New Utah Flag) A proposed redesign of the Utah State Flag.
20,sltrib,,,2,"(Chris Detrick | Tribune file photo) Sophia Molenaar, 6, and Arianna Vasquez, 6, hold a new embroidered Utah State flag on Saturday April 5, 2014. Former Governor Mike Leavitt and Utah Governor Gary R. Herbert are in the back right.",(Chris Detrick
21,sltrib,https://www.sltrib.com/artsliving/2019/02/09/ask-ann-cannon-our/,"·   Published: February 9  Updated: February 09, 2019",1,Francisco Kjolseth | The Salt Lake Tribune The Salt Lake Tribune staff portraits. Ann Cannon,Francisco Kjolseth
