Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,abqjournal,https://www.abqjournal.com/1279105/el-paso-bristles-at-trumps-claim-that-wall-made-city-safe.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549831065,"Published: Sunday, February 10th, 2019 at 12:42pm",1,"In this Tuesday, Jan. 22, 2019, photo, Mickie Subia gathers her laundry at her home in El Paso, Texas. Subia lives less than a block away from a border barrier that runs along the Texas-Mexico border in El Paso. (AP Photo/Eric Gay)",(AP Photo/Eric Gay)
2,abqjournal,https://www.abqjournal.com/1279102/minnesota-sen-amy-klobuchar-expected-to-join-2020-dem-race.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549828739,"Published: Sunday, February 10th, 2019 at 12:40pm",1,"FILE - In this Jan. 15, 2109 file photo, Senate Judiciary Committee member Sen. Amy Klobuchar, D-Minn., during a Senate Judiciary Committee hearing on Capitol Hill in Washington. (AP Photo/Carolyn Kaster)",(AP Photo/Carolyn Kaster)
3,abqjournal,https://www.abqjournal.com/1279092/warren-takes-on-trump-say-he-may-not-be-free-in-2020.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549823173,"Published: Sunday, February 10th, 2019 at 11:05am",1,"Sen. Elizabeth Warren, D-Mass., speaks during an event to formally launch her presidential campaign, Saturday, Feb. 9, 2019, in Lawrence, Mass. (AP Photo/Elise Amendola)",(AP Photo/Elise Amendola)
4,abqjournal,https://www.abqjournal.com/1278835/al-central-teams-at-the-start-of-spring-training-2.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549837585,"Published: Saturday, February 9th, 2019 at 3:36pm",1,"FILE - At left, in an Oct. 5, 2018, file photo, Cleveland Indians starting pitcher Corey Kluber delivers a pitch against the Houston Astros during the first inning in Game 1 of an American League Division Series baseball game, in Houston. At right, in a July 31, 2018, file photo, Cleveland Indians' Trevor Bauer throws against the Minnesota Twins during the first inning of a baseball game, in Minneapolis. The Indians swung a wrecking ball at their roster this offseason. And while the Indians made numerous moves, they didn't pull the trigger on a blockbuster trade involving All-Star pitchers Corey Kluber or Trevor Bauer. (AP Photo/File)",(AP Photo/File)
5,abqjournal,https://www.abqjournal.com/1279084/emptying-the-notebook-new-mexico-gets-blown-out-at-no-6-nevada.html?utm_medium=Social&utm_source=Twitter#Echobox=1549812301,"Sunday, February 10th, 2019 at 1:36am",1,"Lawlor Events Center in Reno, Nev., on Feb. 9, 2019. (Geoff Grammer/Albuquerque Journal)",(Geoff Grammer/Albuquerque Journal)
6,abqjournal,https://www.abqjournal.com/1278829/al-west-teams-at-the-start-of-spring-training-2.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549834382,"Published: Saturday, February 9th, 2019 at 3:35pm",1,"FILE - In this Oct. 5, 2018, file photo, Houston Astros starting pitcher Justin Verlander delivers a pitch against theCleveland Indians during the first inning in Game 1 of an American League Division Series baseball game, in Houston. The Astros have plenty of reasons to be confident with a big chunk of last year's squad which won a franchise-record 103 games. That group is led by a bevy of stars including 2017 AL MVP Jose Altuve, shortstop Carlos Correa, third baseman Alex Bregman, 2017 World Series MVP George Springer and starters Verlander and Gerrit Cole, who combined for 31 wins and 566 strikeouts in 2018. (AP Photo/Eric Christian Smith, File)","(AP Photo/Eric Christian Smith, File)"
7,abqjournal,https://www.abqjournal.com/1279007/in-impoverished-nation-lure-of-the-us-is-strong.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549818084,"Sunday, February 10th, 2019 at 12:05am",1,"Martina Alvarez walks through her family's peach orchard with her grandchildren. Alvarez and her husband also grow corn and have a small tortilla shop in Cienega Grande, Guatemala. (Angela Kocherga/Albuquerque Journal)",(Angela Kocherga/Albuquerque Journal)
8,abqjournal,https://www.abqjournal.com/1279040/famous-belenites-work-to-bring-art-space-to-town.html?utm_medium=Social&utm_source=Twitter#Echobox=1549812414,"Sunday, February 10th, 2019 at 12:05am",2,"We are grateful to the community,” said Judy Chicago. “It’s just been wonderful to see all these people come together to help.” (Clara Garcia/News-Bulletin)",(Clara Garcia/News-Bulletin)
8,abqjournal,,,2,"Internationally known feminist artist Judy Chicago and her husband, photographer Donald Woodman, who have lived in the Hub City since 1996, are moving forward with the Through the Flower Art Space. (Clara Garcia/News-Bulletin)",(Clara Garcia/News-Bulletin)
9,abqjournal,https://www.abqjournal.com/1279063/aggies-hold-off-grand-canyon-again.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549829833,"Saturday, February 9th, 2019 at 11:37pm",0,NA,NA
10,abqjournal,https://www.abqjournal.com/1279023/mayors-plan-would-support-rail-yards-cleanup.html?utm_medium=Social&utm_source=Twitter#Echobox=1549812328,"Sunday, February 10th, 2019 at 12:05am",1,The machine shop in the Rail Yards sits empty in January 2015. Mayor Tim Keller is seeking some $5.5 million for redevelopment efforts at the Rail Yards in his first general obligation bond package proposal since taking office. (Morgan Petroski/Albuquerque Journal),(Morgan Petroski/Albuquerque Journal)
11,abqjournal,https://www.abqjournal.com/1278893/nl-east-teams-at-the-start-of-spring-training-2.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549826399,"Published: Saturday, February 9th, 2019 at 4:50pm",1,"File-This Sept. 14, 2018, file photo shows Atlanta Braves left fielder Ronald Acuna Jr. (13) hitting a ball for a triple in the fourth inning of a baseball game against the Washington Nationals in Atlanta. Acuna, helped the Atlanta Braves accelerate their rebuilding schedule in 2018, when they were the surprise winners of the NL East. The next challenge will be for the Braves, preparing for their last spring training at their Disney complex in Kissimmee, Florida, to defend that division title and move closer to their first World Series since 1999. (AP Photo/John Bazemore, File)","(AP Photo/John Bazemore, File)"
12,abqjournal,https://www.abqjournal.com/1279056/mma-vannata-wins-by-1st-round-sub.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549818079,"Published: Saturday, February 9th, 2019 at 11:14pm",0,NA,NA
13,abqjournal,https://www.abqjournal.com/1279045/kelati-sets-school-mark-in-3000-at-millrose-games.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549820295,"Saturday, February 9th, 2019 at 11:02pm",0,NA,NA
14,abqjournal,https://www.abqjournal.com/1279043/boxing-leo-wins-big.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1549818081,"Published: Saturday, February 9th, 2019 at 11:00pm",0,NA,NA
15,abqjournal,https://www.abqjournal.com/1278922/embracing-the-wild-in-all-of-us.html?utm_medium=Social&utm_source=Twitter#Echobox=1549812537,"Sunday, February 10th, 2019 at 12:02am",2,"Tulah Dillman-Stanford (top), John Helfrich and Lucy Shattuck star in Dale Dunn’s play “The Big Heartless.” It premieres at Warehouse 21 on Thursday. (Courtesy of Dale Dunn)",(Courtesy of Dale Dunn)
15,abqjournal,,,2,New Mexico School for the Arts student Lucy Shattuck co-stars in “The Big Heartless.” (Courtesy of Dale Dunn),(Courtesy of Dale Dunn)
16,abqjournal,https://www.abqjournal.com/1279025/charter-school-leaders-blast-education-bill.html?utm_medium=Social&utm_source=Twitter#Echobox=1549811883,"Sunday, February 10th, 2019 at 12:05am",0,NA,NA
17,abqjournal,https://www.abqjournal.com/1279006/migrants-falling-for-lies.html?utm_medium=Social&utm_source=Twitter#Echobox=1549811963,"Published: Sunday, February 10th, 2019 at 12:02am",4,"Vendors at an open-air market in San Martin Jilotepeque, Guatemala, prepare to close their stands after a busy day.",NA
