Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,spokesmanreview,http://www.spokesman.com/stories/2019/feb/09/elizabeth-warren-makes-presidential-bid-official-w/,"Sat., Feb. 9, 2019, 11:45 a.m.",1,"Sen. Elizabeth Warren, D-Mass., waves to supporters as she takes the stage during an event to formally launch her presidential campaign, Saturday, Feb. 9, 2019, in Lawrence, Mass. (Elise Amendola / AP)",(Elise Amendola / AP
2,spokesmanreview,http://www.spokesman.com/stories/2019/feb/09/spokane-gets-more-than-4-inches-of-snow-and-strong/,"UPDATED: Sun., Feb. 10, 2019, 11:14 a.m.	5 a.m.",1,"Nestor Castor, 12, rides a sled face-first as he enjoys the cold weather on Saturday, Feb. 9, 2019, in Spokane Valley, Wash. (Tyler Tjomsland / The Spokesman-Review)",(Tyler Tjomsland / The Spokesman-Review
3,spokesmanreview,https://www.spokesman.com/stories/2019/feb/08/spokane-mayor-david-condon-keeps-focus-on-the-futu/,"UPDATED: Fri., Feb. 8, 2019, 10:52 p.m.	5 a.m.",2,"""Mayor David Condon smiles toward the crowd Friday before he delivers his final state of the city address. (Kathy Plonka / The Spokesman\u002DReview)"",","""Kathy Plonka"","
3,spokesmanreview,,,2,"""Mayor David Condon delivers his final state of the city address Friday, Feb. 8, 2019,  in the Spokane Convention Center. (Kathy Plonka / The Spokesman\u002DReview)"",","""Kathy Plonka"","
4,spokesmanreview,https://www.spokesman.com/stories/2019/feb/08/house-panel-considers-ending-personal-exemption-fo/,"UPDATED: Fri., Feb. 8, 2019, 8:32 p.m.",1,"A woman holds a sign opposing a proposed bill that would remove parents’ ability to claim a philosophical exemption to opt their school-age children out of the combined measles, mumps and rubella vaccine Friday as she stands near the Legislative Building. (Ted S. Warren / Associated Press)",(Ted S. Warren / Associated Press
5,spokesmanreview,https://www.spokesman.com/stories/2019/feb/08/wolf-shot-killed-in-adams-county-in-area-with-no-d/,"UPDATED: Fri., Feb. 8, 2019, 10:50 p.m.	5:30 a.m.",1,"FILE - This Feb., 2017, file photo provided by the Oregon Department of Fish and Wildlife shows a gray wolf of the Wenaha Pack captured on a remote camera on U.S. Forest Service land in Oregon's northern Wallowa County. The Oregon Fish and Wildlife commission is finally set to vote on a plan for managing wolves in the state, after years of contentious meetings. The Oregonian/OregonLive reported that the commission is expected to vote in March 2019. The main sticking point has been over when and how lethal action can be taken against wolves that kill livestock. (Oregon Department of Fish and Wildlife via AP, File) ORG XMIT: LA611 (AP)",(AP
7,spokesmanreview,http://www.spokesman.com/stories/2019/feb/07/federal-agents-locate-missing-bonners-ferry-childr/,"UPDATED: Thu., Feb. 7, 2019, 9:32 p.m.	4 a.m.",0,NA,NA
11,spokesmanreview,https://www.spokesman.com/stories/2019/feb/07/want-to-avoid-an-avalanche-meditate/,"UPDATED: Thu., Feb. 7, 2019, 1:57 p.m.	6 a.m.",3,"Keith Robine ski cuts above a steep slope near Kootenay Pass B.C. on Monday Feb. 4, 2019. Robine is an avalanche skills training instructor in Rossland, B.C. (Eli Francovich / The Spokesman-Review)",(Eli Francovich / The Spokesman-Review
11,spokesmanreview,,,3,"""Jack Sutter, left, Eric DeRosa and Keith Robine discuss the upcoming terrain on Monday, Feb. 4, 2019. Robine was leading a eight students through the B.C. backcountry near Kootenay Pass as part of an avalanche training course. (Eli Francovich / The Spokesman\u002DReview)"",","""Eli Francovich"","
11,spokesmanreview,,,3,"""Jon Oellrich makes his way up a steep slope near Kootenay Pass in British Columbia on Monday Feb. 4. Oellrich, from Sandpoint, had attended a avalanche training course in Rossland, BC. (Eli Francovich / The Spokesman\u002DReview)"",","""Eli Francovich"","
12,spokesmanreview,https://www.spokesman.com/stories/2019/feb/07/shopko-to-close-north-spokane-spokane-valley-and-p/,"UPDATED: Thu., Feb. 7, 2019, 7:30 p.m.	4 a.m.",1,"A shopper loads her cart up with Black Friday deals at the Shopko on the South Hill in this picture from 2016. The company is bankrupt and is closing this store, along with several others in the area. (Colin Mulvany / The Spokesman-Review)",(Colin Mulvany / The Spokesman-Review
13,spokesmanreview,https://www.spokesman.com/stories/2019/feb/07/residents-cite-density-concerns-from-proposed-deve/,"Thu., Feb. 7, 2019, 5 a.m.",1,"Spokane County’s hearing examiner will be making a decision within two weeks on a developer’s proposal to build more than 75 duplexes and town houses on the former site of Bergman’s Christmas Tree Farm, shown, at East 28th Avenue and South Adams Road. (Jesse Tinsley / The Spokesman-Review)",(Jesse Tinsley / The Spokesman-Review
14,spokesmanreview,https://www.spokesman.com/stories/2019/feb/07/past-due-city-gives-spokane-residents-extra-time-t/,"UPDATED: Thu., Feb. 7, 2019, 6:31 a.m.	5 a.m.",1,"TC Brenden, City Hall mail center specialist, handles utility bills Monday in the Spokane City Hall mail room. (Libby Kamrowski / The Spokesman-Review)",(Libby Kamrowski / The Spokesman-Review
15,spokesmanreview,https://www.spokesman.com/stories/2019/feb/07/racist-robocaller-now-living-quietly-in-montana-bu/,"UPDATED: Wed., Feb. 13, 2019, 9:53 a.m.",1,"Scott D. Rhodes, left, speaks with Sandpoint police officers in an image captured by an officer’s body-camera on Dec. 1, 2017. Rhodes, the neo-Nazi who plagued several parts of the country last year with hate-filled robocalls from his home in Sandpoint, is now living in Libby, Montana. (Sandpoint Police Department)",(Sandpoint Police Department
17,spokesmanreview,https://www.spokesman.com/stories/2019/feb/06/active-shooter-reported-at-central-washington-univ/,"UPDATED: Wed., Feb. 6, 2019, 9:16 p.m.",1,"Posts made by CWU Observers staff to Twitter in the wake of a report of an active shooter at the university’s campus on February 6, 2019. (Twitter)",(Twitter
18,spokesmanreview,http://www.spokesman.com/stories/2019/feb/06/active-shooter-reported-at-central-washington-univ/,"UPDATED: Wed., Feb. 6, 2019, 9:16 p.m.",1,"Posts made by CWU Observers staff to Twitter in the wake of a report of an active shooter at the university’s campus on February 6, 2019. (Twitter)",(Twitter
