Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,delawareonline,https://www.delawareonline.com/story/news/2019/02/10/paramedics-truck-and-chevy-collide-near-new-castle/2832406002/?utm_source=dlvr.it&utm_medium=twitter,"Published 6:22 p.m. ET Feb. 10, 2019 | Updated 6:25 p.m. ET Feb. 10, 2019",2,"An emergency vehicle was in a crash Sunday morning, according to New Castle County Police. (Photo: John J. Jankowski Jr./Special to The News Journal)",(Photo: John J. Jankowski Jr./Special to The News Journal)
1,delawareonline,,,2,A Chevy HHR and a paramedic truck collided at the intersection of West Basin and Aiport roads Sunday. (Photo: John J. Jankowski Jr./Special to The News Journal),(Photo: John J. Jankowski Jr./Special to The News Journal)
3,delawareonline,https://www.delawareonline.com/picture-gallery/sports/2019/02/10/philadelphia-76-ers-vs-los-angeles-lakers/2831532002/?utm_source=dlvr.it&utm_medium=twitter,,10,"Tobias Harris #33 of the Philadelphia 76ers shoots the ball against the Los Angeles Lakers on February 10, 2019 at the Wells Fargo Center in Philadelphia, Pennsylvania.","Jesse D. Garrabrant, NBAE/Getty Images"
3,delawareonline,,,10,"LeBron James #23 of the Los Angeles Lakers smiles with Joel Embiid #21 of the Philadelphia 76ers on February 10, 2019 at the Wells Fargo Center in Philadelphia.","Andrew D. Bernstein, NBAE/Getty Images"
3,delawareonline,,,10,"Joel Embiid #21 of the Philadelphia 76ers handles the ball against the Los Angeles Lakers on February 10, 2019 at the Wells Fargo Center in Philadelphia.","Jesse D. Garrabrant, NBAE/Getty Images"
3,delawareonline,,,10,"Allen Iverson talks with Magic Johnson during the game between the Philadelphia 76ers and the Los Angeles Lakers on February 10, 2019 at the Wells Fargo Center in Philadelphia, Pennsylvania.","Andrew D. Bernstein, NBAE/Getty Images"
3,delawareonline,,,10,"Owner Michael Rubin of the Philadelphia 76ers, and Owner Robert Kraft of the New England Patriots, and Owner Magic Johnson of the Los Angeles Lakers talk during the game the Philadelphia 76ers and the Los Angeles Lakers on February 10, 2019 at the Wells Fargo Center in Philadelphia, Pennsylvania.","Andrew D. Bernstein, NBAE/Getty Images"
3,delawareonline,,,10,"Lance Stephenson #6 of the Los Angeles Lakers shoots the ball against the Philadelphia 76ers on February 10, 2019 at the Wells Fargo Center in Philadelphia, Pennsylvania.","Jesse D. Garrabrant, NBAE/Getty Images"
3,delawareonline,,,10,"T.J. McConnell #12 of the Philadelphia 76ers reacts before the game against the Los Angeles Lakers on February 10, 2019 at the Wells Fargo Center in Philadelphia.","Jesse D. Garrabrant, NBAE/Getty Images"
3,delawareonline,,,10,"Ben Simmons #25 of the Philadelphia 76ers handles the ball against the Los Angeles Lakers on February 10, 2019 at the Wells Fargo Center in Philadelphia.","Jesse D. Garrabrant, NBAE/Getty Images"
