Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,memphisnews,https://www.commercialappeal.com/story/news/local/2019/02/10/mike-bowen-memphis-businessman-crash/2832361002/,"Published 5:26 p.m. CT Feb. 10, 2019 | Updated 5:12 p.m. CT Feb. 11, 2019",1,Mike Bowen (Photo: Leadership Memphis),(Photo: Leadership Memphis)
2,memphisnews,https://www.commercialappeal.com/story/news/local/2019/02/10/mike-bowen-memphis-businessman-crash/2832361002/?utm_source=dlvr.it&utm_medium=twitter,"Published 5:26 p.m. CT Feb. 10, 2019 | Updated 5:12 p.m. CT Feb. 11, 2019",1,Mike Bowen (Photo: Leadership Memphis),(Photo: Leadership Memphis)
4,memphisnews,https://www.commercialappeal.com/story/sports/college/memphis-tigers/basketball/2019/02/10/penny-hardaways-memphis-tigers-take-uconn/2766319002/,"Published 1:03 p.m. CT Feb. 10, 2019 | Updated 5:09 p.m. CT Feb. 10, 2019",10,Connecticut coach Dan Hurley yells out to his players during Sunday's game. (Photo: Brad Vest/The Commercial Appeal),(Photo: Brad Vest/The Commercial Appeal)
4,memphisnews,,,10,Memphis players celebrate during Sunday's game against Connecticut at FedExForum. (Photo: Brad Vest/The Commercial Appeal),(Photo: Brad Vest/The Commercial Appeal)
4,memphisnews,,,10,Memphis' Kyvon Davenport goes up for a shot Sunday. (Photo: Brad Vest/The Commercial Appeal),(Photo: Brad Vest/The Commercial Appeal)
4,memphisnews,,,10,"February 10, 2019 - Kyvon Davenport passes the ball off during Sunday's game versus Connecticut at the FedExForum.",Brad Vest/The Commercial Appeal
4,memphisnews,,,10,"February 10, 2019 - Antwann Jones Jr. goes up for a shot during Sunday's game versus Connecticut at the FedExForum.",Brad Vest/The Commercial Appeal
4,memphisnews,,,10,"February 10, 2019 - Connecticut's Sidney Wilson, left, and Memphis' Raynere Thornton, right, go after the ball during Sunday's game versus Connecticut at the FedExForum.",Brad Vest/The Commercial Appeal
4,memphisnews,,,10,"February 10, 2019 - Memphis' Alex Lomax passes the ball off during Sunday's game versus Connecticut at the FedExForum.",Brad Vest/The Commercial Appeal
4,memphisnews,,,10,"February 10, 2019 - Kyvon Davenport dunks the ball during Sunday's game versus Connecticut at the FedExForum.",Brad Vest/The Commercial Appeal
