Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,statesman,https://www.statesman.com/nationworld/20190210/strongtrump-defends-work-ethic-after-private-schedules-leakstrong?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Sunday
Feb 10, 2019 at 4:08 PM
Feb 10, 2019 at 4:08 PM",1,"""FILE - In this Friday, Feb. 8, 2019, file photo, President Donald Trump waves after arriving on Marine One on the South Lawn of the White House in Washington. Trump is pushing back against criticisms that a leak of his private schedule suggests he is not working hard. (AP Photo/Carolyn Kaster, File)"",","(AP Photo/Carolyn Kaster, File)"","
3,statesman,https://www.statesman.com/news/20190210/delayed-vote-could-spell-end-to-recycled-reads-sublease?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Sunday
Feb 10, 2019 at 4:00 PM
Feb 10, 2019 at 4:05 PM",2,"""Bethany Morrison purchases 11 books at Recycled Reads, the city-owned book store in North Austin, in December. The store sells roughly 12,000 books a month at prices that range from 50 cents to $1. [RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"",","[RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"","
3,statesman,,,2,"""Kathy Hirsch stock shelves at Recycled Reads last month. [RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"",","[RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"","
4,statesman,https://www.statesman.com/news/20190210/water-treatment-plant-named-for-former-council-member?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Sunday
Feb 10, 2019 at 3:31 PM
Feb 10, 2019 at 3:32 PM",2,"""A photo of the sign for the Berl L. Handcox Sr. Water Treatment Plant adorned a cake at a reception Friday. [Photo courtesy Austin Water]"",","[Photo courtesy Austin Water]"","
4,statesman,,,2,"""Berl L. Handcox Sr."",",
5,statesman,https://www.statesman.com/news/20190208/texas-enterprise-fund-report-focuses-on-money-recouped-from-deals-gone-bad?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Friday
Feb 8, 2019 at 2:41 PM
Feb 10, 2019 at 3:19 PM",1,"""Companies that ended their incentive deals with the Texas Enteprise Fund include eBay. A new state report on the enterprise fund cites deals that were terminated early as well as the number of new jobs and investment that it has helped attract. [AP Photo/Marcio Jose Sanchez]"",","[AP Photo/Marcio Jose Sanchez]"","
6,statesman,https://www.statesman.com/news/20190208/georgetown-seeks-third-party-review-of-energy-management?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Friday
Feb 8, 2019 at 7:47 PM
Feb 10, 2019 at 11:24 AM",1,"""City of Georgetown"",",
7,statesman,https://www.statesman.com/news/20190208/investment-in-austin-startups-was-hot-in-2018-this-year-is-looking-even-better?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Friday
Feb 8, 2019 at 11:26 AM
Feb 10, 2019 at 11:22 AM",4,"""Ryan Wuerch, CEO of Austin-based cash back app Dosh, updates his employees on the progress of the company, on Thursday, Sept. 20 , 2018. On Jan. 22, Dosh landed a $40 milion funding round led by Goodwater Capital and Western Technology Investment. The investment added to the roughly $530 million that Austin-area companies have seen so far in 2019. [RICARDO B. BRAZZIELL / AMERICAN-STATESMAN]"",","[RICARDO B. BRAZZIELL / AMERICAN-STATESMAN]"","
7,statesman,,,4,"""Miguel Garza and Veronica Garza are co-founders of Austin-based Siete Family Foods. The company has raised $90 million to expand its line of grain-free tortillas and dairy-free quesos. [SIETE]"",","[SIETE]"","
7,statesman,,,4,"""Employees work at Austin-based financial tech startup Dosh on Thursday, Sept. 20, 2018. Dosh has raised $97 million to date, according to public records. [RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"",","[RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"","
7,statesman,,,4,"""Siete Family Foods' headquarters is at 7001 Burnet Road. [SIETE]"",","[SIETE]"","
8,statesman,https://www.statesman.com/news/20190208/giving-city-conference-helps-to-destigmatize-health-care?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Friday
Feb 8, 2019 at 1:19 PM
Feb 10, 2019 at 11:23 AM",1,"""Attendees at the African American Family Support Conference participate in a workshop last year. [Photo by African American Family Support Conference]"",","[Photo by African American Family Support Conference]"","
9,statesman,https://www.statesman.com/news/20190209/doggett-optimistic-about-background-check-bill-for-gun-purchases?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Saturday
Feb 9, 2019 at 6:52 PM
Feb 10, 2019 at 11:23 AM",2,"""U.S Rep. Lloyd Doggett, D-Austin, greets constituents after a gun safety town hall meeting Saturday at the Town Lake YMCA. [NICK WAGNER/AMERICAN-STATESMAN]"",","[NICK WAGNER/AMERICAN-STATESMAN]"","
9,statesman,,,2,"""U.S. Rep. Lloyd Doggett, D-Austin, answers a question during a gun safety town hall meeting Saturday. [NICK WAGNER/AMERICAN-STATESMAN]"",","[NICK WAGNER/AMERICAN-STATESMAN]"","
10,statesman,https://www.statesman.com/news/20190208/bill-would-bar-new-billboards-from-some-hays-county-roads?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Friday
Feb 8, 2019 at 5:57 PM
Feb 10, 2019 at 11:22 AM",2,"""A billboard towers near Driftwood along RM 1826 at Darden Hill Road. A bill by state Rep. Erin Zwiener, D-Driftwood, would prevent other billboards from going up along 1826 and on along parts of RM 150 and RM 967, although existing billboards could stay. [JAY JANNER/AMERICAN-STATESMAN]"",","[JAY JANNER/AMERICAN-STATESMAN]"","
10,statesman,,,2,"""State Rep. Erin Zwiener, D-Driftwood, says her constituents have complained that billboards along some Hill Country roads obstruct views and add light pollution, reducing home values. [Stephen Spillman / For American-Statesman]"",","[Stephen Spillman / For American-Statesman]"","
11,statesman,https://www.statesman.com/sports/20190209/perfect-so-far-tsd-girls-season-rings-loud-and-clear?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Saturday
Feb 9, 2019 at 9:33 PM
Feb 10, 2019 at 11:17 AM",5,"""Texas School for the Deaf's Sunita Schmidjorg goes up for a layup in the Rangers' 63-14 win over Veritas Academy last Tuesday. TSD, a TAPPS Class 4A school, might be the best girls team in Central Texas. [ANA RAMIREZ/AMERICAN-STATESMAN]"",","[ANA RAMIREZ/AMERICAN-STATESMAN]"","
11,statesman,,,5,"""From left, Michaela Kelley, Brianne Leiker, Ashlene Etkie and Sunita Schmidjorg communicate with signs during a recent practice. The Rangers have a win-state-or-bust mentality. [ANA RAMIREZ/AMERICAN-STATESMAN]"",","[ANA RAMIREZ/AMERICAN-STATESMAN]"","
11,statesman,,,5,"""TSD players gather during halftime of Tuesday's win over Veritas Academy. Coach Brian Sipek has the Rangers fired up, and they have rolled to a 31-0 record. [ANA RAMIREZ/AMERICAN-STATESMAN]"",","[ANA RAMIREZ/AMERICAN-STATESMAN]"","
11,statesman,,,5,"""The Rangers put pressure on a Veritas Academy player during TSD's 63-14 victory Tuesday. \""The bond we share is incredible,\"" Kaci Ketchum said of her teammates. [ANA RAMIREZ/AMERICAN-STATESMAN]"",","[ANA RAMIREZ/AMERICAN-STATESMAN]"","
11,statesman,,,5,"""TSD varsity players have decorated lockers and plenty of enthusiasm about their team and its postseason chances. [ANA RAMIREZ/AMERICAN-STATESMAN]"",","[ANA RAMIREZ/AMERICAN-STATESMAN]"","
12,statesman,https://www.statesman.com/news/20190208/did-medics-do-enough-to-save-dying-austin-area-man?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Friday
Feb 8, 2019 at 11:52 AM
Feb 9, 2019 at 1:06 PM",2,"""Joe McKoy was driving this pickup when he and his husband were killed Sept. 27 in a hit-and-run collision near Texas 130 and Pearce Lane. [TEXAS DEPARTMENT OF PUBLIC SAFETY]"",","[TEXAS DEPARTMENT OF PUBLIC SAFETY]"","
12,statesman,,,2,"""Joe McKoy died in a Sept. 27 hit-and-run crash. Authorities are investigating whether first responders followed Austin-Travis County Emergency Medical Services' standards for care in his treatment. [TEXAS DEPARTMENT OF PUBLIC SAFETY]"",","[TEXAS DEPARTMENT OF PUBLIC SAFETY]"","
13,statesman,https://www.statesman.com/sports/20190210/new-aaf-league-wants-to-give-football-fans-something-to-cheer-about-in-spring?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman,"Sunday
Feb 10, 2019 at 12:44 AM
Feb 10, 2019 at 5:19 PM",3,"""San Antonio Commanders linebacker Shaan Washinton knocks the helmet off of San Diego Fleet quarterback Mike Bercovici in an Alliance of American Football opener Saturday night at the Alamodome. The former Texas A&M star's hit was the defensive play of the night as San Antonio won 15-6. [Tom Reel/San Antonio Express-News]"",","[Tom Reel/San Antonio Express-News]"","
13,statesman,,,3,"""Greg Ward Jr., who starred at quarterback for the University of Houston, stretches to grab a pass for San Antonio as the Commanders beat San Diego on Saturday. [Tom Reel/San Antonio Express-News]"",","[Tom Reel/San Antonio Express-News]"","
13,statesman,,,3,"""San Antonio running back Aaron Green, a former TCU star, runs with the team flag before Saturday night's 15-6 win over the San Diego Fleet. It was part of the debut of the Alliance of American Football, a spring league full of NFL hopefuls. [Ronald Martinez/AAF/Getty Images]"",","[Ronald Martinez/AAF/Getty Images]"","
