Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,heraldtribune,https://www.heraldtribune.com/sports/20190210/column-cardinal-mooneys-childs-on-road-to-recovery?rssfeed=true,"Feb 10, 2019 at 6:34 PM 	Feb 19, 2019 at 12:38 PM",5,"""Cardinal Mooney teammates of Jaelen Childs visit him at Sarasota Memorial Hospital. [Courtesy photo]"",","[Courtesy photo]"","
1,heraldtribune,,,5,"""Cardinal Mooney's Jaelen Childs is assisted in his room at Sarasota Memorial Hospital. [Courtesy photo]"",","[Courtesy photo]"","
1,heraldtribune,,,5,"""A poster with the motto for this season's Cardinal Mooney baseball team. [Courtesy photo]"",","[Courtesy photo]"","
1,heraldtribune,,,5,"""The Lexus driven by Jaelen Childs was involved in an accident on the night of January 31. [Courtesy photo]"",","[Courtesy photo]"","
1,heraldtribune,,,5,"""Cardinal Mooney baseball players sign a banner for teammate Jaelen Childs. [Courtesy photo]"",","[Courtesy photo]"","
2,heraldtribune,https://www.heraldtribune.com/news/20190210/sarasota-considers-ban-on-plastic-straws?rssfeed=true,"Feb 10, 2019 at 5:04 PM 	Feb 11, 2019 at 8:28 AM",1,"""The Sarasota City Commission is considering banning single-use plastic straws citywide and polystyrene, more commonly known by its brand name Styrofoam, in public places. [AP Photo / Wilfredo Lee]"",","[AP Photo / Wilfredo Lee]"","
3,heraldtribune,http://www.heraldtribune.com/news/20190210/bomb-squad-destroys-explosives-found-near-terra-ceia?rssfeed=true,"Feb 10, 2019 at 4:19 PM 	Feb 10, 2019 at 6:40 PM",2,"""A pipe containing explosive powder was destroyed by the Manatee County hazardous materials team after 12:30 a.m. on Sunday, Feb. 10, 2019. [Courtesy of the Manatee County Sheriff's Office]"",","[Courtesy of the Manatee County Sheriff's Office]"","
3,heraldtribune,,,2,"""A pipe containing explosive powder was destroyed by the Manatee County hazardous materials team after 12:30 a.m. on Sunday, Feb. 10, 2019. [Courtesy of the Manatee County Sheriff's Office]"",","[Courtesy of the Manatee County Sheriff's Office]"","
4,heraldtribune,https://www.heraldtribune.com/entertainmentlife/20190210/opera-review-turandot-provides-grand-opening-for-new-sarasota-opera-season?rssfeed=true,"Feb 10, 2019 at 11:08 AM 	Feb 10, 2019 at 6:18 PM",3,"""A scene from Sarasota Opera's season-opening production of \""Turandot\"" with Kara Shay Thomson, center, as Turandot, and Jonathan Burton, bottom left, as a would-be suitor, Calaf. [Provided by Sarasota Opera / Rod Millington]"",","[Provided by Sarasota Opera / Rod Millington]"","
4,heraldtribune,,,3,"""Kara Shay Thomson as princess Turandot tries to reject the attentions of a foreign prince, Calaf, played by Jonathan Burton in the Sarasota Opera producction of Puccini's \""Turandot.\"" [Provided by Sarasota Opera / Rod Millington]"",","[Provided by Sarasota Opera / Rod Millington]"","
