Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,mcall,https://www.mcall.com/news/breaking/mc-nws-lehigh-valley-weather-winter-storm-20190210-story.html#nt=oft12aH-3la1,2019-02-10T14:00:00EST,1,The Lehigh Valley will see a moderate amount of snow as well as freezing rain over the next several days. (APRIL GAMIZ / THE MORNING CALL),APRIL GAMIZ / THE MORNING CALL
2,mcall,https://www.mcall.com/opinion/mc-opi-jeff-bezos-national-enquirer-20190208-story.html,2019-02-10T12:00:00EST,1,"The front page of the Jan. 28, 2019, edition of the National Enquirer featuring a story about Amazon founder and CEO Jeff Bezos' divorce. (AP)",AP
3,mcall,https://www.mcall.com/opinion/mc-opi-pa-medical-malpractice-venue-change-supreme-court-muschick-20190207-story.html,2019-02-10T11:00:00EST,1,A committee of the Pennsylvania Supreme Court plans to propose changes that would enable medical malpractice lawsuits to be filed in counties other than where the alleged negligence occurred. (Getty Images/iStockphoto),Getty Images/iStockphoto
4,mcall,https://www.mcall.com/news/breaking/mc-nws-klein-transportation-new-york-bus-ticket-prices-20190210-story.html#nt=oft12aH-3gp2,2019-02-10T08:10:00EST,1,"After the abrupt closure of Bieber Transportation Group, Klein Transportation and OurBus on Saturday announced ticket prices and pickup locations for daily routes to New York. (MORNING CALL FILE PHOTO)",MORNING CALL FILE PHOTO
5,mcall,https://www.mcall.com/news/nation-world/bs-md-ci-frederick-douglass-high-school-shooting-20190208-story.html,2019-02-09T14:35:00EST,0,NA,NA
6,mcall,https://www.mcall.com/entertainment/food-drink/mc-ent-emmaus-farmers-market-opens-at-the-triangle-20190205-story.html,2019-02-08T08:45:00EST,1,"The Emmaus Farmers Market will be in full swing Sunday but at its new location, the borough's Triangle Park. (MORNING CALL FILE PHOTO)",MORNING CALL FILE PHOTO
7,mcall,https://www.mcall.com/news/local/mc-nws-lower-macungie-speed-humps-guidelines-20190208-story.html,2019-02-08T14:05:00EST,0,NA,NA
8,mcall,https://www.mcall.com/news/local/bethlehem/mc-nws-bethlehem-hilda-doolittle-portrait-20190207-story.html,2019-02-07T00:00:00EST,1,"The Bethlehem Area Public Library is seek an artist to paint a portrait of Poet Hilda Doolittle, part of a 12-month long exploration of Doolittle’s life and work. (Contributed)",Contributed
9,mcall,https://www.mcall.com/opinion/mc-opi-john-dingell-last-words-20190208-story.html,2019-02-09T10:30:00EST,0,NA,NA
10,mcall,https://www.mcall.com/entertainment/food-drink/restaurants/mc-ent-valentines-day-dining-lehigh-valley-20190205-story.html,2019-02-06T10:15:00EST,9,Dozens of Lehigh Valley area restaurants are offering special menus and events to spoil your special someone for Valentine's Day. (Tom McCorkle for The Washington Post),Tom McCorkle for The Washington Post
10,mcall,,,9,"On Valentine's Day, Beam Yard at The Steel Club in Lower Saucon Township will offer a four-course menu, with third-course options of lobster ravioli, prime 16-ounce bone-in filet, 8-ounce butter-roasted lobster tail and stuffed chicken breast. (RYAN KNELLER/THE MORNING CALL)",RYAN KNELLER/THE MORNING CALL
10,mcall,,,9,"On Valentine's Day Beck's Land and Sea House in Bushkill Township will offer a holiday menu, including entrees of bronzed Chilean sea bass, 8-ounce South African cold water lobster tail, filet mignon, shrimp stir fry, lobster Francaise, surf and turf and more. (MORNING CALL FILE PHOTO)",MORNING CALL FILE PHOTO
10,mcall,,,9,"On Valentine's Day, Easton Wine Project will offer a three-course wine pairing dinner, featuring second-course choices of filet mignon toasties with choice of soup, alfredo over cheese ravioli with salad or fish tacos with mixed vegetables. (MORNING CALL FILE PHOTO)",MORNING CALL FILE PHOTO
10,mcall,,,9,"On Valentine's Day, The Dime in Allentown will offer various specials, including entrees of pistachio-crusted lamb loin, homemade spaguetinni cacio a pepe, grilled Maine lobster and seared duck breast. (MORNING CALL FILE PHOTO)",MORNING CALL FILE PHOTO
10,mcall,,,9,"In celebration of Valentine's Day, Kempton Hotel will host a “Midnight at the Masquerade” murder mystery dinner, featuring a murder mystery show, commemorative couple’s photo and five-course dinner, 5 p.m. Sunday, Feb. 10. (RYAN KNELLER/THE MORNING CALL)",RYAN KNELLER/THE MORNING CALL
10,mcall,,,9,"On Valentine's Day, McCarthy's Red Stag Pub and Whiskey Bar in Bethlehem will offer a dinner for two, featuring entree choices of a 5-ounce steak filet, twin crab cakes, chicken parmesan or vegetarian pasta. (RYAN KNELLER/THE MORNING CALL)",RYAN KNELLER/THE MORNING CALL
10,mcall,,,9,"On Valentine's Day, The Shelby in Lower Macungie Township will offer special features, including lobster empanada, imperial crab-stuffed oysters, pean-seared boat scallops, braised lamb steak and strawberry terrine. (MORNING CALL FILE PHOTO)",MORNING CALL FILE PHOTO
10,mcall,,,9,"On Valentine's Day, the Spinnerstown Hotel in Milford Township will offer a special menu, including entree highlights of braised short ribs, cast iron sea scallops, free range chicken breast, Hawaiian moonfish and lobster and gnocchi. (RYAN KNELLER/THE MORNING CALL)",RYAN KNELLER/THE MORNING CALL
11,mcall,https://www.mcall.com/opinion/mc-opi-mass-shootings-son-orfanos-20190208-story.html,2019-02-09T10:30:00EST,1,"Susan Orfanos, the mother of Borderline shooting victim Telemachus Orfanos, hugs Ventura County Sheriff's Sgt. Eric Buschow, with 22-year-old son Tymaeus and husband Marc Orfanos, following the Borderline shooting in 2018. (Al Seib / Los Angeles Times)",Al Seib / Los Angeles Times
12,mcall,https://www.mcall.com/news/police/mc-pol-bucks-county-body-recovered-of-man-20190208-story.html,2019-02-08T21:20:00EST,1,"Authorities believe a body found last month along the Delaware River has been identified Raymond Myslinski, whose empty car was found submerged on Christmas.","Authorities believe a body found last month along the Delaware River has been identified Raymond Myslinski, whose empty car was found submerged on Christmas."
