Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/wrong-direction-driving-often-fatal/,"by
              
              Clara Turnage
              
               | 
            
            February 10, 2019 at 4:30 a.m.",2,"An ambulance is pulled onto a wrecker after it was struck head-on in a collision on Interstate 40 on Jan. 6.  - 
                        Photo by Metropolitan Emergency Medical Services",Photo by Metropolitan Emergency Medical Services
1,arkansasonline,,,2,Arkansas wrong-way crashes,NA
2,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/susan-paige-davis-hickingbotham-2019021/?latest,"by
              
              Kimberly Dishongh
              
               | 
            
            February 10, 2019 at 4:30 a.m.",2,"“Herren and Susan have been to many, many shows, not just the Rolling Stones, but when I was working with Eric Clapton they came to shows, and we’ve done other things together through the years and it’s just always a pleasure. They’re just some of my favorite people.” — musician Chuck Leavell about Susan Hickingbotham - 
                        Photo by John Sykes Jr.",Photo by John Sykes Jr.
2,arkansasonline,,,2,"Photo by John Sykes Jr.
                                  “I’m always up for an adventure. I like zip-lining and whitewater rafting and parasailing and hot-air ballooning and all that kind of thing.” — Susan Hickingbotham","Photo by John Sykes Jr.
                                  “I’m always up for an adventure. I like zip-lining and whitewater rafting and parasailing and hot-air ballooning and all that kind of thing.” — Susan Hickingbotham"
3,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/man-in-jail-after-store-commotion-polic/?latest,"by
              
              Clara Turnage
              
               | 
            
            February 10, 2019 at 2:32 a.m.",1,Stephen Barton,NA
4,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/officers-say-little-rock-mom-put-teen-cold/,"February 10, 2019 at 4:30 a.m.",0,NA,NA
5,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/court-papers-describe-killing-veteran/,"by
              
              Clara Turnage
              
               | 
            
            February 10, 2019 at 4:30 a.m.",0,NA,NA
6,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/sheriff-man-dressed-deputy-stopped-central-arkansa/,"by
              
              Arkansas Democrat-Gazette  
              
               | 
            
            February 9, 2019 at 10:04 a.m.
            
             | Updated February 10, 2019 at 4:30 a.m.",1,Jeremy Kurck is shown in this photo released by the Lonoke County sheriff's office.,NA
7,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/teacher-recruitment-program-in-low-gear/,"by
              
              Jaime Adame
              
               | 
            
            February 10, 2019 at 4:30 a.m.",1,Eric Mayes,NA
8,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/little-rock-mayor-arkansas-governor-pastor-plan-ev/,"by
              
              Rachel Herzog
              
               | 
            
            February 10, 2019 at 4:30 a.m.
            
             | Updated February 11, 2019 at 4:30 a.m.",1,"Little Rock Mayor Frank Scott is shown in this file photo. - 
                        Photo by Staton Breidenthal",Photo by Staton Breidenthal
9,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/ex-kark-anchor-sets-africa/,"by
              
              Frank E. Lockwood
              
               | 
            
            February 10, 2019 at 4:30 a.m.",1,"Alice Stewart, a former KARK-TV weekend anchor and longtime aide to former Gov. Mike Huckabee",NA
10,arkansasonline,https://www.arkansasonline.com/news/2019/feb/10/wrong-direction-driving-often-fatal/,"by
              
              Clara Turnage
              
               | 
            
            February 10, 2019 at 4:30 a.m.",2,"An ambulance is pulled onto a wrecker after it was struck head-on in a collision on Interstate 40 on Jan. 6.  - 
                        Photo by Metropolitan Emergency Medical Services",Photo by Metropolitan Emergency Medical Services
10,arkansasonline,,,2,Arkansas wrong-way crashes,NA
11,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/eye-charts-letter-sizes-don-t-shift-201/?news-arkansas,"by
              
              Frank Fellone
              
               | 
            
            February 9, 2019 at 4:30 a.m.",1,NA,NA
12,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/cotton-joins-tour-at-burning-dump-site-/,"by
              
              Mike Jones
              
               | 
            
            February 9, 2019 at 4:30 a.m.",2,"Kevin White (left), associate director of land resources with the Arkansas Department of Environmental Quality, leads Arkansas’ U.S. Sen. Tom Cotton and others on a tour Friday at the stump dump fi re site in Bella Vista.  - 
                        Photo by Ben Goff","(left), associate director of land resources with the Arkansas Department of Environmental Quality, leads Arkansas’ U.S. Sen. Tom Cotton and others on a tour Friday at the stump dump fi re site in Bella Vista.  - 
                        Photo by Ben Goff"
12,arkansasonline,,,2,Federal and state officials view conditions Friday at the stump dump site in Bella Vista.,NA
13,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/driver-passenger-die-state-after-running-through-s/,"by
              
              Clara Turnage
              
               | 
            
            February 9, 2019 at 6:28 p.m.",0,NA,NA
14,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/searcy-man-arrested-parking-lot-after-walmart-robb/?latest,"by
              
              Clara Turnage
              
               | 
            
            February 9, 2019 at 1:54 p.m.",0,NA,NA
