Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
2,expressnews,https://www.expressnews.com/news/local/article/San-Antonio-centenarians-reveal-secrets-of-13605697.php?utm_campaign=twitter,2019-02-11T03:26:47+00:00	2019-02-11T12:46:00+00:00,10,"Gonzales told her granddaughters that by 65, she had sworn off smoking and alcohol and that she feels much better for it.",Photo: Josie Norris /San Antonio Express-News
2,expressnews,,,10,"Deidra Hagdorn twirls around as her 108-year-old grandmother Ofelia Gonzales grins as she dances with Steve Malone during a monthly family gathering at the Shenandoah Homes Community Guesthouse, Nov. 29, 2018. At the age of 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like,"" Gonzales says.",Photo: Photos by Josie Norris /Staff photographer
2,expressnews,,,10,"Sylvia Diaz kisses grandmother Gonzales, who credits three factors for her longevity: faith, eating right and staying active.",Photo: Josie Norris / San Antonio Express-News
2,expressnews,,,10,"From left, Sylvia Diaz, Lisa Gomez, laugh at what their grandmother, Ofelia Gonzales, told Deidra Hagdorn as they visit with the 108 year-old grandmother at the Shenandoah Homes Community Guesthouse, Nov. 29, 2018. At the age of 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like,"" Gonzales says.","Photo: Josie Norris, Staff / San Antonio Express-News"
2,expressnews,,,10,"Lisa Gomez holds her hand up to grandmother Ofelia Gonzales’ hand to show how similar they are during a monthly family gathering at the Shenandoah Homes Community Guesthouse. Gonzales, 108, has outlived her husband and seven of her 10 children.",Photo: Photos by Josie Norris /Staff photographer
2,expressnews,,,10,"Deidra Hagdorn bends over affectionately to her grandmother Ofelia Gonzales during a monthly family gathering of three of her grand daughters at the Shenandoah Homes Community Guesthouse, Nov. 29, 2018. At the age of 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like,"" Gonzales says.","Photo: Josie Norris, Staff / San Antonio Express-News"
2,expressnews,,,10,"Ofelia Gonzales laughs during a monthly family gathering of three of her grand daughters at the Shenandoah Homes Community Guesthouse, Nov. 29, 2018. At the age of 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like, "" Gonzales says. She went on to say ""I'm a clown but never made any money. I like people to be happy.""","Photo: Josie Norris, Staff / San Antonio Express-News"
2,expressnews,,,10,"Ofelia Gonzales laughs during a monthly family gathering of three of her granddaughters at the Shenandoah Homes Community Guesthouse, Nov. 29, 2018. At the age of 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like,"" Gonzales says. She went on to say ""I'm a clown but never made any money. I like people to be happy.""","Photo: Josie Norris, Staff / San Antonio Express-News"
2,expressnews,,,10,"Ofelia Gonzales motions to her ear mentioning how she got water in it during her morning shower during a monthly family gathering of three of her granddaughters at the Shenandoah Homes Community Guesthouse, Nov. 29, 2018. At age 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like,"" Gonzales says.","Photo: Josie Norris, Staff / San Antonio Express-News"
2,expressnews,,,10,"Ofelia Gonzales poses at the Shenandoah Homes Community Guesthouse, during a monthly family gathering of three of her granddaughters Nov. 29, 2018. At the age of 108, Gonzales has outlived her husband and seven of her 10 children. However, her zeal for life and spunk has not diminished with her growing years. ""I had a good life. I'm free now and I do whatever I like,"" Gonzales says.","Photo: Josie Norris, Staff / San Antonio Express-News"
