Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,oregonian,https://www.oregonlive.com/business/2019/02/millions-of-americans-could-be-surprised-as-their-tax-refunds-shrink.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-10T15:15:36,1,The 1040 U.S. Individual Income Tax Return form for 2018 (AP Photo/Mark Lennihan),(AP Photo/Mark Lennihan)
2,oregonian,https://www.oregonlive.com/hg/2019/02/penny-black-house-scooby-doo-victorian-remade-in-portland-heights-video.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T14:41:11,0,NA,NA
3,oregonian,https://www.oregonlive.com/pacific-northwest-news/2019/02/woman-killed-in-crash-on-icy-us-101-near-florence.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-10T14:26:13,1,A delivery truck that was involved in a crash on U.S. 101 Saturday morning.,NA
4,oregonian,https://www.oregonlive.com/health/2019/02/weekend-brings-no-new-cases-in-vancouver-area-measles-outbreak.html?utm_source=twitter&utm_medium=social&utm_campaign=oregonian_sf,2019-02-10T21:02:52,0,NA,NA
6,oregonian,https://www.oregonlive.com/entertainment/2019/02/grammy-awards-2019-when-is-red-carpet-coverage-is-it-streaming.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-10T15:30:16,1,"Alicia Keys hosts the 61st Annual Grammy Awards, telecast Sunday, Feb. 10 on CBS. (Photo: Jaclyn Martinez/Courtesy of AK Worldwide, Inc ©2019 AK Worldwide, Inc.)","(Photo: Jaclyn Martinez/Courtesy of AK Worldwide, Inc ©2019 AK Worldwide, Inc.)"
7,oregonian,https://www.oregonlive.com/dining/2019/01/wait-reno-nevada-has-a-little-portland-now.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-01-04T14:44:23,1,Through the window at Sizzle Pie Pizza.,NA
8,oregonian,https://www.oregonlive.com/wine/2018/09/willamette_valley_winemakers_p.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2018-09-13T13:11:00,4,Oregon winemaker David Adelsheim describes wine labeling proposals at a recent town hall meeting. (Photo:Ross Maloof),(Photo:Ross Maloof)
8,oregonian,,,4,"Wines from the Chehalem Mountains, Yamhill-Carlton and Eola-Hills sub-AVAs.",NA
8,oregonian,,,4,"Wines that meet the requirements are labeled Willamette Valley, wines that do not may be labeled Oregon.",NA
8,oregonian,,,4,Barnaby Tuttle of Teutonic Wine Co. explains his concerns about a truth-in-wine-labeling proposal. (Photo: Ross Maloof),(Photo: Ross Maloof)
9,oregonian,https://www.oregonlive.com/portland/2018/10/armed_robbers_order_patrons_to.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2018-10-19T13:52:03,1,(Michael Russell/The Oregonian),(Michael Russell/The Oregonian)
11,oregonian,https://www.oregonlive.com/portland/2019/02/hundreds-seek-warm-shelter-during-overnight-deep-freeze.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T11:11:48,1,Mt. Scott Community Center in Southeast Portland after a snow storm in February 2018. Multnomah County opened the center as a severe weather shelter on Saturday.,NA
12,oregonian,https://www.oregonlive.com/entertainment/2019/02/tv-this-week-grammy-awards-real-housewives-of-beverly-hills-the-umbrella-academy.html?utm_source=twitter&utm_medium=social&utm_campaign=oregonian_sf,2019-02-10T11:15:12,1,"""The Real Housewives of Beverly Hills"" returns for a new season, with Lisa Rinna, right, and newcomer Denise Richards, left. (Photo: Nicole Weingart/Bravo)",(Photo: Nicole Weingart/Bravo)
13,oregonian,https://www.oregonlive.com/politics/2019/02/oregon-state-senator-criticized-for-linking-eric-garners-death-to-tobacco-taxes.html?utm_source=twitter&utm_medium=social&utm_campaign=oregonian_sf,2019-02-10T10:07:04,1,"In this Dec. 3, 2014, file photo, a person carries a sign inscribed with, ""I can't breathe,"" during in a protest in response to the grand jury's decision in the Eric Garner case, in Times Square in New York. An Oregon state senator has been accused of racism by a fellow lawmaker for referencing the death of Eric Garner, a black man killed in New York by police using a chokehold, in a statement opposing cigarette taxes and using Garner's last words: ""I can't breathe."" (AP)",(AP)
14,oregonian,https://www.oregonlive.com/pacific-northwest-news/2019/02/hundreds-turn-out-to-oppose-removing-vaccine-exemptions-in-washington-state-despite-measles-outbreak.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T11:00:01,0,NA,NA
15,oregonian,https://www.oregonlive.com/business/2019/02/publication-threat-neither-extortion-nor-blackmail-national-enquirers-attorney-argues.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T10:59:01,1,"Jeff Bezos, Amazon founder and CEO (AP)",(AP)
16,oregonian,https://www.oregonlive.com/news/2019/02/this-gift-to-a-ne-portland-church-will-outlive-all-who-created-it.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-11T16:29:25,0,NA,NA
18,oregonian,https://www.oregonlive.com/weather/2019/02/portland-metro-sunday-weather-mix-of-rain-snow-ahead-today.html?utm_source=twitter&utm_medium=social&utm_campaign=oregonian_sf,2019-02-10T11:04:37,0,NA,NA
19,oregonian,https://www.oregonlive.com/education/2019/02/will-this-weekends-snowstorm-mean-a-shorter-summer-vacation-for-portland-area-students.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T08:14:31,1,"In this Oregonian file photo, Adam Schlatter, 12, sleds down a hill at Chapman Elementary School in Northwest Portland on Dec. 15, 2016. (LC- The Oregonian)",(LC- The Oregonian)
21,oregonian,https://www.oregonlive.com/entertainment/2019/02/bridgeport-village-is-a-shopping-and-dining-delight-gerry-franks-picks.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-10T05:00:16,1,"Shoppers walk around Bridgeport Village, an outdoor shopping mall in Tigard.",NA
22,oregonian,https://www.oregonlive.com/entertainment/2019/02/horoscope-for-feb-10-2019-play-fair-sagittarius-libra-watch-for-thorns-on-that-rose.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T02:50:43,1,The signs of the Zodiac,NA
23,oregonian,https://www.oregonlive.com/entertainment/2019/02/ask-amy-if-husband-wont-make-phone-calls-in-the-other-room-wife-should-just-turn-up-volume-on-tv.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-10T00:01:22,1,NA,NA
24,oregonian,https://www.oregonlive.com/entertainment/2019/02/dear-abby-wife-flirts-with-waiter-and-husband-tells-her-it-was-out-of-line.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-10T00:01:22,1,NA,NA
26,oregonian,https://www.oregonlive.com/crime/2019/02/authorities-investigating-a-death-in-linn-county.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-09T21:35:29,1,NA,NA
29,oregonian,https://www.oregonlive.com/entertainment/2019/02/carolyn-hax-parenting-requires-one-to-actually-ahem-parent-not-pout.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-09T17:01:35,1,Carolyn Hax is a syndicated advice columnist.,NA
30,oregonian,https://www.oregonlive.com/news/2019/02/icy-roads-will-make-portland-roads-treacherous-tonight.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-10T08:50:46,0,NA,NA
31,oregonian,https://www.oregonlive.com/entertainment/2019/02/the-starlings-present-dinosaurs-is-creative-well-crafted-fun-for-kids.html?utm_source=twitter&utm_medium=social&utm_campaign=oregonian_sf,2019-02-09T14:20:47,0,NA,NA
33,oregonian,https://www.oregonlive.com/news/2019/02/frigid-night-ahead-milder-sunday-whats-in-store-for-the-work-week.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-10T08:49:49,0,NA,NA
