Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,reviewjournal,https://www.reviewjournal.com/news/politics-and-government/nevada/joe-neals-legacy-firmly-set-in-history-of-nevada-senate-1594235/,"February 10, 2019 - 2:21 pm",3,"Former Sen. Joe Neal, 83, D-Nev., at the Review-Journal on Thursday, Feb. 7, 2019, in Las Vegas. (Benjamin Hager/Las Vegas Review-Journal) @BenjaminHphoto",(Benjamin Hager/Las Vegas Review-Journal) @BenjaminHphoto
1,reviewjournal,,,3,"Former Sen. Joe Neal, 83, D-Nev., at the Review-Journal on Thursday, Feb. 7, 2019, in Las Vegas. (Benjamin Hager/Las Vegas Review-Journal) @BenjaminHphoto",(Benjamin Hager/Las Vegas Review-Journal) @BenjaminHphoto
1,reviewjournal,,,3,"Neal, Joe, Jr. - 1989

 Joe Neal sits in his chair during a recess in the Senate chambers.  (File Photo/{Las Vegas Review-Journal})",(File Photo/{Las Vegas Review-Journal})
2,reviewjournal,https://www.reviewjournal.com/entertainment/arts-culture/your-guide-to-16-of-southern-nevadas-most-intriguing-museums/,"May 10, 2018 - 10:34 am",10,"Signs are illuminated in ""Brilliant!""– an audiovisual immersion experience that uses technology advances to reanimate 40 monumental examples of the museum's iconic vintage signs at the Neon Museum in Las Vegas, Thursday, Feb. 1, 2018. Andrea Cornejo Las Vegas Review-Journal @DreaCornejo",NA
2,reviewjournal,,,10,"A worker checks the lighting on the Building Atomic Vegas exhibit Monday Januart 24, 2011. The Atomic Testing Museum will display a  yearlong exhibit commemorating the 60th anniversary of the Nevada Test Site opening Jan. 28, 2011 through Jan. 5, 2012. ( JOHN GURZINSKI/LAS VEGAS REVIEW-JOURNAL)",( JOHN GURZINSKI/LAS VEGAS REVIEW-JOURNAL)
2,reviewjournal,,,10,"The Boulder City/Hoover Dam Museum tells the story of the construction of the dam, as well as the birth of Boulder City, with artifacts, audio recordings and interactive exhibits. Hunter Terry/Boulder City Review",NA
2,reviewjournal,,,10,"A look at the exhibit space at the Burlesque Hall of Fame, which celebrates its reopening on April 17, 2018. (Burlesque Hall of Fame)",(Burlesque Hall of Fame)
2,reviewjournal,,,10,"A neon Las Vegas sign is reflected in a Seven Eleven machine on display that was one of the first craps slot machines built for casino gaming at the Clark County Museum in Henderson on Wednesday, April 4, 2018. The museum is featuring an exhibition called ""50 Years of Preserving History: Celebrating the Golden Anniversary of the Clark County Museum"" to celebrate its 50th anniversary. Chase Stevens Las Vegas Review-Journal @csstevensphoto",NA
2,reviewjournal,,,10,"Clark County museums administrator Mark Hall-Patton talks about the history of the Clark County Museum in Henderson on Wednesday, April 4, 2018. The museum is featuring an exhibition called ""50 Years of Preserving History: Celebrating the Golden Anniversary of the Clark County Museum"" to celebrate its 50th anniversary. Chase Stevens Las Vegas Review-Journal @csstevensphoto",NA
2,reviewjournal,,,10,"Zak Bagans, paranormal investigator and host of Travel Channel's ""Ghost Adventures,"" poses for a photo in a room with items from his upcoming documentary ""Demon House"" at the Haunted Museum in downtown Las Vegas on Tuesday, March 13, 2018. Chase Stevens Las Vegas Review-Journal @csstevensphoto",NA
2,reviewjournal,,,10,"Duane Stoner III splashes around in Water World at the DISCOVERY Children's Museum on Tuesday, May 1, 2018, in Las Vegas. Benjamin Hager Las Vegas Review-Journal @benjaminhphoto",NA
2,reviewjournal,,,10,"A 1958 Cessna 172 single-engine plane, part of the Howard W. Cannon Aviation Museum, hangs over the baggage claim at McCarran International Airport in Las Vegas on Tuesday, Dec. 26, 2017. Chase Stevens Las Vegas Review-Journal @csstevensphoto",NA
2,reviewjournal,,,10,"Animal husbandry worker Jordan Lorge holds a rose hair tarantula named Charlotte at the Las Vegas Natural History Museum on Tuesday, Dec. 13, 2016, in Las Vegas. Lorge has worked at the museum for the past three years, caring for marine life and educating the public. Benjamin Hager/Las Vegas Review-Journal",NA
