Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,miamiherald,https://www.miamiherald.com/news/local/community/miami-dade/article225634680.html,"February 10, 2019 06:45 PM",4,"A sketch showing an elevated Metromover track over the MacArthur Causeway, the bridge linking Miami to Miami Beach. The sketch was included in a consultants’ report released in August showing options for a new transit route linking Miami’s Design District to South Beach.",NA
1,miamiherald,,,4,"A sketch of what a train station might look like in South Beach as a Miami-Dade consultant maps out possibilities for a transit route between Miami and Miami Beach. The sketch was obtained through a records request to Miami-Dade, and was identified as preliminary in the internal email correspondence that produced it.",NA
1,miamiherald,,,4,"Miami-Dade’s Metromover system, a free elevated shuttle that connects downtown Miami with Brickell, is fully subsidized by the county’s half-percent sales tax for transportation. A consultant is studying the possibility of extending it north to Midtown Miami and east to Miami Beach.",Miami Herald File
1,miamiherald,,,4,A monorail system operating in Seattle is included in a consultant’s report about the possibility of bringing the transit technology to Miami.,NA
2,miamiherald,https://www.miamiherald.com/news/local/crime/article226061480.html,"February 10, 2019 09:37 AM",0,NA,NA
5,miamiherald,https://www.miamiherald.com/news/local/crime/article226067540.html,"February 10, 2019 04:58 PM",1,"A South Carolina man was fatally shot by law enforcement Sunday morning. 

Getty Images/iStockphoto",Getty Images/iStockphoto
7,miamiherald,https://www.miamiherald.com/news/local/crime/article225537585.html,"February 10, 2019 04:25 PM",1,NA,NA
8,miamiherald,https://www.miamiherald.com/news/nation-world/national/article226067960.html,"February 10, 2019 04:00 PM",2,"Amy Klobuchar supporters cheer as a DJ takes the stage before Sen. Amy Klobuchar’s announcement announcement to run for president Sunday, Feb. 10, 2019, from a snowy Boom Park, in Minneapolis. (Glen Stubbe/Star Tribune via AP) 

Glen Stubbe
AP",AP
8,miamiherald,,,2,"Snow falls as rally goers arrive at Boom Island Park for Democratic Sen. Amy Klobuchar’s announcement of her decision in the race for president at a rally Sunday, Feb. 10, 2019, at Boom Island Park in Minneapolis. (AP Photo/Jim Mone)",Jim Mone   AP
12,miamiherald,https://www.miamiherald.com/news/nation-world/national/article226066615.html,"February 10, 2019 02:50 PM",1,"A cat found hanging from a tree with a sign warning drivers to slow down has been removed, police in Phoenix, Arizona, say. Neighbors believe the homeowner’s cat had been hit by a car. 

Screengrab from KSAZ video",Screengrab from KSAZ video
14,miamiherald,https://www.miamiherald.com/latest-news/article226063420.html,"February 10, 2019 12:04 PM",2,A sealed pipe containing explosives was pulled out of mangroves in the Terra Ceia area of Manatee County on Saturday.,Manatee County Sheriff's Office
14,miamiherald,,,2,The Manatee County Sheriff’s Office investigated and later detonated an explosive device found in the mangroves behind a Terra Ceia resident’s home.,Manatee County Sheriff's Office
16,miamiherald,https://www.miamiherald.com/news/nation-world/national/article226064920.html,"February 10, 2019 02:08 PM",1,"A retired cop was arrested after firing his gun at a shoplifting suspect at a Riverside Home Depot store, police said.",Screen grab of KCAL9 news video
17,miamiherald,https://www.miamiherald.com/news/nation-world/national/article226064470.html,"February 10, 2019 12:39 PM",1,"Christopher Solis 

Fullerton Police Department",Fullerton Police Department
18,miamiherald,https://www.miamiherald.com/news/nation-world/national/article226062400.html,"February 10, 2019 12:06 PM",1,"This July 24, 2018, file photo shows a portion of the 1040 U.S. Individual Income Tax Return form for 2018 in New York. The Child Tax Credit changed considerably in 2018.",Mark Lennihan AP
19,miamiherald,https://www.miamiherald.com/news/state/florida/article226063960.html,"February 10, 2019 11:53 AM",2,"Moriah Goode’s family, surrounded by friends and advocates sit in court as Devon Lee Freeman is sentenced to 13 and a half years followed by 18 months of probation.",Tiffany Tompkins   ttompkins@bradenton.com
19,miamiherald,,,2,Devon Lee Freeman was sentenced to 13 and a half years followed by 18 months of probation after he spoke on his own behalf Friday in court.,Tiffany Tompkins   ttompkins@bradenton.com
20,miamiherald,https://www.miamiherald.com/news/local/crime/article225234535.html,"February 10, 2019 06:00 AM",4,"New Broward Sheriff Gregory Tony, appointed by Florida Governor Ron DeSantis, held his first press conference where he exchanged with a group of media outlets and laid out his vision and plans for the Broward Sheriff Office moving forward on Thursday February 07, 2019.",PEDRO PORTAL   pportal@miamiherald.com
20,miamiherald,,,4,"Broward Sheriff Scott Israel was suspended Friday, Jan. 11, 2019, by Florida Gov. Ron DeSantis.",Michael Laughlin   Sun Sentinel
20,miamiherald,,,4,"Florida Gov. Ron DeSantis, left, designated former Coral Springs Sgt. Gregory Tony as BSO sheriff to replace Scott Israel on Friday, Jan. 11, 2019.",AL DIAZ   adiaz@miamiherald.com
20,miamiherald,,,4,"Newly appointed Broward Sheriff Gregory Tony met with the news media after his predecessor, Scott Israel, was suspended by Gov. Ron DeSantis on Friday, Jan. 11, 2019.",AL DIAZ   adiaz@miamiherald.com
21,miamiherald,https://www.miamiherald.com/news/local/crime/article225234535.html,"February 10, 2019 06:00 AM",4,"New Broward Sheriff Gregory Tony, appointed by Florida Governor Ron DeSantis, held his first press conference where he exchanged with a group of media outlets and laid out his vision and plans for the Broward Sheriff Office moving forward on Thursday February 07, 2019.",PEDRO PORTAL   pportal@miamiherald.com
21,miamiherald,,,4,"Broward Sheriff Scott Israel was suspended Friday, Jan. 11, 2019, by Florida Gov. Ron DeSantis.",Michael Laughlin   Sun Sentinel
21,miamiherald,,,4,"Florida Gov. Ron DeSantis, left, designated former Coral Springs Sgt. Gregory Tony as BSO sheriff to replace Scott Israel on Friday, Jan. 11, 2019.",AL DIAZ   adiaz@miamiherald.com
21,miamiherald,,,4,"Newly appointed Broward Sheriff Gregory Tony met with the news media after his predecessor, Scott Israel, was suspended by Gov. Ron DeSantis on Friday, Jan. 11, 2019.",AL DIAZ   adiaz@miamiherald.com
22,miamiherald,https://www.miamiherald.com/news/nation-world/national/article226063260.html,"February 10, 2019 11:16 AM",3,NA,Hector Amezcua   hamezcua@sacbee.com
22,miamiherald,,,3,NA,Hector Amezcua   hamezcua@sacbee.com
22,miamiherald,,,3,"Kathryn Rogers holds a photo of her husband Gene Rogers on Tuesday in Sacramento. The Rodgers family alleges caretakers at Meadow Oaks assisted living facility left Gene outside in a wheelchair in June 2018, where he suffered a fatal heat stroke.",Hector Amezcua hamezcua@sacbee.com
23,miamiherald,https://www.miamiherald.com/news/local/community/miami-dade/article225951500.html,"February 08, 2019 05:52 PM",3,NA,NA
23,miamiherald,,,3,Miami-Dade County transportation planners want to build a highway across protected wetlands between SW 157th Avenue and Krome Avenue.,Miami Herald file
23,miamiherald,,,3,"A southbound view of Southwest 157th Avenue running next to the Bird Basin Park. Miami-Dade highway planners want to build an 836/Dolphin Expressway to the west, across wetlands.",Pedro Portal   pportal@miamiherald.com
24,miamiherald,https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article225495800.html,"February 10, 2019 09:51 AM",9,Muhammad Ali is jubilant after knocking out Sonny Liston in their world heavyweight championship bout at the Miami Beach Convention Hall in 1964.,John Pineda   Miami Herald File
24,miamiherald,,,9,"Cassius Clay, left, connects on a punch to the face of Sonny Liston in the third round before a TKO in the seventh round of their heavyweight championship fight in Miami Beach, Fla., on Feb. 25, 1964.",AP File
24,miamiherald,,,9,NA,NA
24,miamiherald,,,9,Ali at the 5th Street Gym.,Miami Herald File
24,miamiherald,,,9,Muhammad Ali took by surprise to his former trainer Angelo Dundee during a tribute to Mr. Dundee at the former site of the 5th street gym in Miami Beach.,Hector Gabino   Miami Herald File
24,miamiherald,,,9,Ali plays with middle weight Florentino Fernandez a fighter who carried the most powerful left hook in boxing during his time. Photo from the late 1960s.,John Pineda   Miami Herald File
24,miamiherald,,,9,"In this Sept. 23, 2010, file photo, Angelo Dundee gestures during an interview at the opening of the new 5th Street Gym in Miami Beach, Fla. Dundee, the trainer who helped groom Muhammad Ali and Sugar Ray Leonard into world champions and became one of boxing’s most recognizable figures, died Wednesday, Feb. 1, 2012. He was 90.",Wilfredo Lee   AP File
24,miamiherald,,,9,"Black muslim leader Malcolm X (L) behind soda fountain training his camera on tux-clad Cassius Clay (R), smugly sitting at counter surrounded by jubilant fans after he beat Sonny Liston for the heavyweight championship of the world.",BOB GOMEL   Miami Herald File
24,miamiherald,,,9,Muhammad Ali is jubilent after knocking out Sonny Liston in their world heavyweight championship bout at the Miami Beach Convention Hall in 1964.,John Pineda Miami Herald File
25,miamiherald,https://www.miamiherald.com/news/local/crime/article226061480.html,"February 10, 2019 09:37 AM",0,NA,NA
27,miamiherald,https://www.miamiherald.com/news/local/community/gay-south-florida/article225949765.html,"February 07, 2019 07:25 PM",3,"Original Dreamgirl Jennifer Holliday does a special surprise tribute to honor those impacted by HIV/AIDS at a World AIDS Day commemoration Nov. 30, 2018, at the historic Apollo Theater in New York. 

Mark Von Holden
Invision/AP",Invision/AP
27,miamiherald,,,3,"Broadway’s ‘Dreamgirls’ star Jennifer Holliday is using her voice for good in a concert to benefit Miami Beach Pride, a week-long celebration for members of the LGBTQ community and their allies.",Photo provided to the Miami Herald
27,miamiherald,,,3,Broadway’s original ‘Dreamgirls’ star will appear Sunday night at the Faena Theater in Miami Beach in “An Intimate Evening With Jennifer Holliday.”,Photo provided to the Miami Herald
28,miamiherald,https://www.miamiherald.com/news/politics-government/article225930990.html,"February 10, 2019 06:00 AM",2,"OCTAVIO JONES | Times Michelle Vann Etten, left, a small business owner talks with Governor Ron DeSantis while Governor Ron DeSantis while Dr. Jennifer China, (standing rear left), and Dipa Shah, Chair of the HCC District Board of Trustees (standing rear right), and Elba Martin with the Assistant Attorney General’s Office (front left) and Cheryl Gonzalez, HCC Chief Diversity Officer looks on during the Governor’s Luncheon at the Florida State Fair in Tampa, Florida on Thursday, January 7, 2019.",Octavio Jones Tampa Bay Times
28,miamiherald,,,2,"Florida Gov. Ron DeSantis gives a thumbs up after announcing he is ending a waiting list for special education scholarships as first lady Casey DeSantis applauds Monday, Feb. 4, 2019 at the North Florida School of Special Education in Jacksonville, Fla. (Will Dickey/The Florida Times-Union via AP)",Will Dickey Florida Times-Union/AP
31,miamiherald,https://www.miamiherald.com/sports/high-school/article226052505.html,"February 09, 2019 10:13 PM",1,High schools roundup.,NA
32,miamiherald,https://www.miamiherald.com/news/local/community/broward/article226053585.html,"February 09, 2019 08:20 PM",1,Pembroke Pines Police,Pembroke Pines Police
35,miamiherald,https://www.miamiherald.com/sports/nba/miami-heat/article226034445.html,"February 09, 2019 02:29 PM",1,"Miami Heat guard Dion Waiters, right, keeps the ball out of the reach of Sacramento Kings guard De’Aaron Fox during the first quarter of an NBA basketball game Friday, Feb. 8, 2019, in Sacramento, Calif.",Rich Pedroncelli AP
36,miamiherald,https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article225987345.html,"February 08, 2019 01:27 PM",2,Robert Hopkins/Facebook,Robert Hopkins/Facebook
36,miamiherald,,,2,"Conquest Air Cargo is a Miami Lakes-based cargo airline with offices in Nassau, Bahamas. One of its airplanes crashed off the coast of Bay Harbor Islands Friday afternoon. The Coast Guard rescued one man and suspect a second person was on board.",Facebook/Conquest Air Cargo
