Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
1,theplaindealer,https://www.cleveland.com/metro/index.ssf/page/border_wall.html,,1,NA,"Lisa DeJong, The Plain Dealer"
4,theplaindealer,https://www.cleveland.com/news/2019/02/you-talked-we-listened-were-bringing-back-pickles-and-improving-the-weather-page-george-rodrigue.html,2019-02-08T16:39,1,"Editors can learn from their mistakes, too. (Washington Post Writers Group)", (Washington Post Writers Group)
27,theplaindealer,https://www.cleveland.com/business/2019/01/clevelands-homeless-brace-for-extreme-temperatures-shelters-opening-doors.html,"Posted on January 29, 2019 8:48 AM | Updated January 29, 2019 3:00 PM",10,"Oscar, who goes by first name only, leaves St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Hot coffee is passed out at St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Woman leaves St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who re homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Matt Totta leaves St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"A woman who is homeless lights a cigarette outside St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Woman gets assistance over icy pavement outside St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Matt Totta grabs a hand warmer inside St. Malachi Parish hall, where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Hot coffee was served outside St. Malachi Parish where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"Arthur Boyd II, coordinator with The Metanoia Project, shows a library that can be used as an overflow room for women at St. Malachi Parish in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,10,"View inside St. Malachi Parish hall, where The Metanoia Project operates a homeless shelter in Cleveland, OH, Tuesday, January 29, 2019. With the upcoming polar vortex, those who are homeless will be seeking warm facilities to escape the extreme cold. Cots replace tables inside this large room for overnight stays. (Marvin Fong / The Plain Dealer)",The Plain Dealer
,,,,,,
"

2019-02-26 13:41:41.542899
",,,,,,
News Org                                 Input      RTs        NoLinks    Output    ,,,,,,
Theplaindealer                           148        114        28         3        ,,,,,,
